ModelId	WeaponId[0]	WeaponId[1]	StandbyAnime	HitAnime	Born	FrontDash	BackDash	SpecialAttack[1]	SpecialAttack[2]	SpecialAttack[3]	SpecialAttack[4]	SpecialAttack[5]	SpecialAttack[6]	SpecialAttack[7]	SpecialAttack[8]	SpecialAttack[9]	SpecialAttack[10]	NormalAttack[0]	NormalAttack[1]	NormalAttack[2]	NormalAttack[3]	NormalAttack[4]	NormalAttack[5]	NormalAttack[6]	RedAttack[0]	RedAttack[1]	RedAttack[2]	BlueAttack[0]	BlueAttack[1]	BlueAttack[2]	YellowAttack[0]	YellowAttack[1]	YellowAttack[2]	SpecialAttackSound[1]	SpecialAttackSound[2]	SpecialAttackSound[3]	SpecialAttackSound[4]	SpecialAttackSound[5]	SpecialAttackSound[6]	SpecialAttackSound[7]	SpecialAttackSound[8]	SpecialAttackSound[9]	SpecialAttackSound[10]	HideNodeName[1]
R3YongyechaoMd010011	10570111		Stand2		101517	101515	101516											101501	101502	101503	101504				101505	101506	101507	101508	101509	101510	101511	101512	101513											
R2KalieninaMd010011	10730111		Stand2		100714	100720	100721											100701	100702	100703	100704				100705	100706	100707	100708	100709	100710	100711	100712	100713											
Mb1OrphanMd030001			Stand2		815031			815003	815011	815003	815003	815003	815003	815003	815003	815003	815003																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1MelodyhuaxuMd10001			Stand2		835200			835201	835211	835201	835201	835201	835201	835201	835201	835201	835201																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1XigeluenMd010001			Stand2	Hit1	841008			841002	841008	841002	841002	841002	841002	841002	841002	841002	841002																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1JiabailieMd000001			Stand2		836010			836003	836005	836003	836019	836017	836003	836003	836003	836003	836003																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
R3KalieninaMd010011	10770211		Stand2		101714	110117	110118											110101	110102	110103	110104				110107	110108	110109	110110	110111	110112	110113	110114	110115											
R2PulaoMd010011	12660111		Stand2		130438	130411	130412											130401	130402	130403	130404	130405	130406		130414	130415	130416	130420	130421	130422	130426	130427	130428											
R3KuluomuMd010011	12060111	12060112	Stand2		111226	111220	111221											111201	111202	111203	111204	111205	111206		111207	111208	111209	111210	111211	111212	111213	111214	111215											
R3BiankaMd010011	10470211		Stand2		101421	101416	101417											101401	101402	101403	101404				101406	101407	101408	101409	101410	101411	101412	101413	101414											
R2NuoanMd010011	12960111	12960112	Stand2		130624	130616	130617											130601	130602	130603	130604	130605	130606		130607	130608	130609	130610	130611	130612	130613	130614	130615											
Mb1LamiyaMd010001			Stand1		846010			846004	846001	846002	846002	846002	846002	846002	846002	846002	846002																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1AolajiangMd010001			Stand2		837027			837011	837011	837013	837013	837013	837013	837013	837013	837013	837013																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1RapperMd000001			Stand2		822039			822041	822042	822054	822054	822054	822054	822054	822054	822054	822054																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1StarknightMd010001			Stand2		851009			851004	851007	851008	851016	851031	851031	851031	851031	851031	851031																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	
Mb1MoonguyMd010001			Stand2		853008			853026	853027	853028	853029	853029	853029	853029	853029	853029	853029																	4103022	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	4106013	Mb1MoonguyMd010001Weapon
