Id	DailyLimit	TotalLimit	TimeId	Config[1]	Config[2]	Config[3]	Config[4]	Config[5]	Config[6]	Config[7]	Config[8]	Config[9]	Config[10]	ExchangeType	CanMutiply	AutoClose
2365				2365										2	2	1
2366				2366										2	2	1
2367				2367										2	2	1
2368				2368										2	2	1
2369				2369										2	2	1
70011				70011										2	2	1
70012				70012										2	2	1
70021				70021										2	2	1
70022				70022										2	2	1
70031				70031										2	2	1
70032				70032										2	2	1
70041				70041										2	2	1
70042				70042										2	2	1
70051				70051										2	2	1
70052				70052										2	2	1
70061				70061										2	2	1
70062				70062										2	2	1
70071				70071										2	2	1
70072				70072										2	2	1
70081				70081										2	2	1
70082				70082										2	2	1
70091				70091										2	2	1
70092				70092										2	2	1
70101				70101										2	2	1
70102				70102										2	2	1
70111				70111										2	2	1
70112				70112										2	2	1
70121				70121										2	2	1
70122				70122										2	2	1
70131				70131										2	2	1
70132				70132										2	2	1
70141				70141										2	2	1
70142				70142										2	2	1
70151				70151										2	2	1
70152				70152										2	2	1
70161				70161										2	2	1
70162				70162										2	2	1
70171				70171										2	2	1
70172				70172										2	2	1
70181				70181										2	2	1
70182				70182										2	2	1
70191				70191										2	2	1
70192				70192										2	2	1
70201				70201										2	2	1
70202				70202										2	2	1
70211				70211										2	2	1
70212				70212										2	2	1
70221				70221										2	2	1
70222				70222										2	2	1
70231				70231										2	2	1
70232				70232										2	2	1
70241				70241										2	2	1
70242				70242										2	2	1
70251				70251										2	2	1
70252				70252										2	2	1
70261				70261										2	2	1
70262				70262										2	2	1
70271				70271										2	2	1
70272				70272										2	2	1
70281				70281										2	2	1
70282				70282										2	2	1
70291				70291										2	2	1
70292				70292										2	2	1
70301				70301										2	2	1
70302				70302										2	2	1
70311				70311										2	2	1
70312				70312										2	2	1
70001				70001										2	2	1
70002				70002										2	2	1
79991				79991										2	2	1
79992				79992										2	2	1
62901	5			629011	629012	629013	629014	629015						1	1	
63001		50		63001										2	2	1
50104		1000		50104										2	2	1
32002				32002										2	2	1
32003				32003										2	2	1
32004				32004										2	2	1
32005				32005										2	2	1
32006				32006										2	2	1
33002				33002										2	2	1
33003				33003										2	2	1
33004				33004										2	2	1
33005				33005										2	2	1
33006				33006										2	2	1
33007				33007										2	2	1
33008				33008										2	2	1
270007				270007										1	2	1
270008				270008										1	2	1
400000				400000
