Id	Name	Description	WorldDesc	BigIcon	Icon	ItemType	Quality	Priority	MaxCount	GridCount	TimelinessType	StartTime	Duration	RecycleRewardId	RecycleByMail	SellForId	SellForCount	RecType	RecTime	RecCount	SuitId	FastTrading	SkipIdParams[0]	SkipIdParams[1]	SkipIdParams[2]	SkipIdParams[3]	SkipIdParams[4]	SkipIdParams[5]	SubTypeParams[0]	SubTypeParams[1]	SubTypeParams[2]	SubTypeParams[3]	SubTypeParams[4]	SubTypeParams[5]	SubTypeParams[6]	SubTypeParams[7]
56	Kinetic Potion	Micawberism Cloisters level up items	An uneventful can filled with a strangely smelling liquid. According to its maker, the graffiti painted on the surface of the can "is a security mark."	Assets/Product/Texture/Image/IconTools/IconPokemonDongnengshiji01.png	Assets/Product/Texture/Image/IconTools/IconPokemonDongnengshiji001.png	3	5	11	99999	99999												0														
57	Core Module	Micawberism Cloisters rank up items	An exquisite mechanical heart. The built-in new kinetic energy module can convert the high concentration kinetic energy liquid stored in the device into energy for continuous operation of the mechanoid, greatly improving its performance.	Assets/Product/Texture/Image/IconTools/IconPokemonHexinmokuai01.png	Assets/Product/Texture/Image/IconTools/IconPokemonHexinmokuai002.png	3	5	10	99999	99999												0														
58	Minor Core Module	Micawberism Cloisters minor rank up items	A less exquisite but still practical mechanic heart is the best choice for the budget and the pursuit of cost-effectiveness!	Assets/Product/Texture/Image/IconTools/IconPokemonHexinmokuai02.png	Assets/Product/Texture/Image/IconTools/IconPokemonHexinmokuai022.png	3	5	10	99999	99999												0														
59	Trap Doll	The stage skip item of Infiniteness Chapter can be used to skip stages, and be recycled by challenging the skipped stages.	A doll made by Nanami. No one knows what she did to it to make the trap doll briefly attract the attention of other corrupteds... and take advantage of this interval, allows Nanami to advance to the next layer quickly!	Assets/Product/Texture/Image/IconTools/IconPokemonXianjingrenou01.png	Assets/Product/Texture/Image/IconTools/IconPokemonXianjingrenou02.png	3	5	10	99999	99999												0														
60	Intel Value	Obtain from completing Rating Mission. Accumulate to increase Rating Level.	Complete the Rating Missions to earn Intel Value, an important measure of your Rating Level. Sometimes a trivial detail may determine the outcome of a battle. Make good use of everything you have got.	Assets/Product/Texture/Image/IconTools/ItPassportcurrency01.png	Assets/Product/Texture/Image/IconToolsSp/ItPassportcurrency01Sp.png	2097156	5	10	999999	999999												0														
61	A-Rank Structure Material	Deconstruct A-rank CUB to obtain.	The material obtained by deconstructing extra CUBs has higher recycle value and can be used to exchange any material in Babylonia	Assets/Product/Texture/Image/IconTools/IconParentPiece01.png	Assets/Product/Texture/Image/IconToolsSp/IconParentPiece01Sp.png	65540	4	29904	99999	99999												0														
62	S-Rank Structure Material	Deconstruct S-rank CUB to obtain.	The material obtained by deconstructing extra CUBs has higher recycle value and can be used to exchange any material in Babylonia	Assets/Product/Texture/Image/IconTools/IconParentPiece02.png	Assets/Product/Texture/Image/IconToolsSp/IconParentPiece02Sp.png	65540	4	29905	99999	99999												0														
63	Signal Diffuser	A Circuit Connect item that can unlock skills in the shop. Can be obtained through completing missions.	A part that can be used to expand signal band capacity and range of effect. Its ease of use, compatibility, and stability have made it a widely used item in various scenes. It's an indispensable item for both internal and external operations.	Assets/Product/Texture/Image/IconTools/IconSameColorCoin02.png	Assets/Product/Texture/Image/IconToolsSp/IconSameColorCoin02Sp.png	3	5	10	99999	99999												0														
64	Signal Anchor	A Circuit Connect item that can unlock characters in the shop. Can be obtained through completing missions.	A microelectronic unit once used to locate signals. As one of the indispensable parts in the electronic industry during the Golden Age, it was mass-produced and used in various fields. Although its basic technology and form have changed countless times, the item still enjoys a stable position.	Assets/Product/Texture/Image/IconTools/IconSameColorCoin01.png	Assets/Product/Texture/Image/IconToolsSp/IconSameColorCoin01Sp.png	3	5	10	99999	99999												0														
65	Unipower Module	Use it to exchange for items in the Operation Uniframe Shop	Awarded to participants of Operation Uniframe	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatIconCurrency.png	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatIconCurrencySp.png	3	4	10	9999999	9999999												0														
71	Bonus Move	Once purchased, this Circuit Connect item can unlock skills during the event.	Add 1 Step. 9 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconShanxian.png	Assets/Product/Texture/Image/IconTools/IconShanxian.png	3	5	10	99999	99999												0														
72	Enhanced Red	Once purchased, this Circuit Connect item can unlock skills during the event.	Increases the Damage Points of Red Orbs by 50% for 1 round. 5 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconWeihong.png	Assets/Product/Texture/Image/IconTools/IconWeihong.png	3	5	10	99999	99999												0														
73	Enhanced Blue	Once purchased, this Circuit Connect item can unlock skills during the event.	Increases the Damage Points of Blue Orbs by 50% for 1 round. 5 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconWeilan.png	Assets/Product/Texture/Image/IconTools/IconWeilan.png	3	5	10	99999	99999												0														
74	Enhanced Yellow	Once purchased, this Circuit Connect item can unlock skills during the event.	Increases the Damage Points of Yellow Orbs by 50% for 1 round. 5 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconWeihuang.png	Assets/Product/Texture/Image/IconTools/IconWeihuang.png	3	5	10	99999	99999												0														
75	Enhanced Basic Attack	Once purchased, this Circuit Connect item can unlock skills during the event.	Increases the Damage Points of Basic Attack Orbs by 50% for 1 round. 5 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconQianggong.png	Assets/Product/Texture/Image/IconTools/IconQianggong.png	3	5	10	99999	99999												0														
76	Clear One Row	Once purchased, this Circuit Connect item can unlock skills during the event.	Remove one row. 8 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconXuruo2.png	Assets/Product/Texture/Image/IconTools/IconXuruo2.png	3	5	10	99999	99999												0														
77	Clear One Column	Once purchased, this Circuit Connect item can unlock skills during the event.	Remove one column. 8 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconXuruo.png	Assets/Product/Texture/Image/IconTools/IconXuruo.png	3	5	10	99999	99999												0														
78	Clear Same Color	Once purchased, this Circuit Connect item can unlock skills during the event.	Remove all orbs of the same color. 12 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconKangyuansu.png	Assets/Product/Texture/Image/IconTools/IconKangyuansu.png	3	5	10	99999	99999												0														
79	Change Orb	Once purchased, this Circuit Connect item can unlock skills during the event.	Changes the color of orbs. 12 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconHeidong.png	Assets/Product/Texture/Image/IconTools/IconHeidong.png	3	5	10	99999	99999												0														
80	Swap Orb	Once purchased, this Circuit Connect item can unlock skills during the event.	Swap two orbs. 5 rounds cooldown.	Assets/Product/Texture/Image/IconTools/IconBihuan.png	Assets/Product/Texture/Image/IconTools/IconBihuan.png	3	5	10	99999	99999												0														
91	Nanami: Storm	Once purchased, this Circuit Connect item can unlock a character during the event.	Unlocks character "Nanami: Storm"	Assets/Product/Texture/Image/Role/RoleHeadYongyechao.png	Assets/Product/Texture/Image/Role/RoleHeadYongyechao.png	3	5	10	99999	99999												0														
92	Lee: Palefire	Once purchased, this Circuit Connect item can unlock a character during the event.	Unlocks character "Lee: Palefire"	Assets/Product/Texture/Image/Role/RoleHeadLi.png	Assets/Product/Texture/Image/Role/RoleHeadLi.png	3	5	10	99999	99999												0														
93	Watanabe: Nightblade	Once purchased, this Circuit Connect item can unlock a character during the event.	Unlocks character "Watanabe: Nightblade"	Assets/Product/Texture/Image/Role/RoleHeadDubian.png	Assets/Product/Texture/Image/Role/RoleHeadDubian.png	3	5	10	99999	99999												0														
94	Lucia: Plume	Once purchased, this Circuit Connect item can unlock a character during the event.	Unlocks character "Lucia: Plume"	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya.png	3	5	10	99999	99999												0														
95	Vera: Garnet	Once purchased, this Circuit Connect item can unlock a character during the event.	Unlocks character "Vera: Garnet"	Assets/Product/Texture/Image/Role/RoleHeadR3Weila.png	Assets/Product/Texture/Image/Role/RoleHeadR3Weila.png	3	5	10	99999	99999												0														
100	Strange Mark	Obtained from deciphering Lemegeton.	Its nature is completely unknown.	Assets/Product/Texture/Image/IconTools/ItPointEvent003.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent003Sp.png	262148	3	1	99999	99999												0														
101	Popular Gift	Can be gifted to another Commandant in the Command Bureau. The recipient gains 10 Popularity while the giver receives 1 United Achievement Point.	Can be gained by playing the combat supply stage AE-5	Assets/Product/Texture/Image/IconTools/ItGuildGift0101.png	Assets/Product/Texture/Image/IconTools/ItGuildGift0101.png	4194308	4	30001	99999	99999						1	10					0														
102	Trade Voucher	Can be exchanged for items in Shop - Voucher Exchange	A voucher that records resource transactions, which will be submitted for approval.	Assets/Product/Texture/Image/IconTools/IconPoints102.png	Assets/Product/Texture/Image/IconToolsSp/IconPoints102Sp.png	3	5	10														0	20109													
103	Dispatch Certificate	Can be exchanged for items in Dormitory Shop [Dispatch Shop].	Issued by Babylonia to individuals who have completed the commissions. Can be used to apply for extra supplies. Some Constructs also keep it as a medal.	Assets/Product/Texture/Image/IconTools/IconConsumeDormQuest01.png	Assets/Product/Texture/Image/IconToolsSp/IconConsumeDormQuest01Sp.png	3	5	29500	99999	99999												0	10043													
104	Supply Card	Awarded to those who have completed the special return missions	This coupon is issued to commandants in the special return event and allows them to redeem supplies of their choice. Accumulate to increase the Special Return Battle Pass level.	Assets/Product/Texture/Image/IconTools/IconRegression3Coin02.png	Assets/Product/Texture/Image/IconToolsSp/IconRegression3Coin02Sp.png	2097156	5	10	99999	99999												0														
200	Phantom Pain Scar	Obtained from Phantom Pain Cage. Can be exchanged for useful items	Parts retrieved from powerful Corrupted, key to unlocking the secrets of the Punishing Virus. Can be exchanged for supplies.	Assets/Product/Texture/Image/IconTools/ItPointEvent001.png	Assets/Product/Texture/Image/IconToolsSp/ItPointEvent001Sp.png	65540	3	29600	99999	99999												0	10009													
201	Booster Structural Part - Yuan Ye	A structural part of the Combat Unit Booster, Yuan Ye. Collect a certain number of them to create the Combat Unit Booster.	All the essence of the Combat Unit Booster lies within its structure. Once there are sufficient parts, a CUB can be easily assembled.	Assets/Product/Texture/Image/IconTools/IconPet2Niu.png	Assets/Product/Texture/Image/IconToolsSp/IconPet2NiuSp.png	8	4	29600	9999	9999												0	15004	7212												
202	Booster Structural Part - Noctua	A structural part of the Combat Unit Booster, Noctua. Collect a certain number of them to create the Combat Unit Booster.	All the essence of the Combat Unit Booster lies within its structure. Once there are sufficient parts, a CUB can be easily assembled.	Assets/Product/Texture/Image/IconTools/IconPet2Xiao.png	Assets/Product/Texture/Image/IconToolsSp/IconPet2XiaoSp.png	8	4	29600	9999	9999												0	15006	7212												
203	Booster Structural Part - Toniris	A structural part of the Combat Unit Booster, Toniris. Collect a certain number of them to create the Combat Unit Booster.	All the essence of the Combat Unit Booster lies within its structure. Once there are sufficient parts, a CUB can be easily assembled.	Assets/Product/Texture/Image/IconTools/IconPet3He.png	Assets/Product/Texture/Image/IconToolsSp/IconPet3HeSp.png	8	4	29600	9999	9999												0	15006	7212												
204	Booster Structural Part - Frost Oath	A structural part of the Combat Unit Booster, Frost Oath. Collect a certain number of them to create the Combat Unit Booster.	All the essence of the Combat Unit Booster lies within its structure. Once there are sufficient parts, a CUB can be easily assembled.	Assets/Product/Texture/Image/IconTools/IconPet3Ma.png	Assets/Product/Texture/Image/IconToolsSp/IconPet3Ma.png	8	4	29600	9999	9999												0	15006	7212												
