Id	Times	GainCount	ConsumeId[0]	ConsumeId[1]	ConsumeCount[0]	ConsumeCount[1]	DiscountShows[1]	DiscountShows[2]
70222	1	1	70002		50			
70231	1	1	70001		50			
70232	1	1	70002		50			
70241	1	1	70001		50			
70242	1	1	70002		50			
70251	1	1	70001		50			
70252	1	1	70002		50			
70261	1	1	70001		50			
70262	1	1	70002		50			
70271	1	1	70001		50			
70272	1	1	70002		50			
70281	1	1	70001		50			
70282	1	1	70002		50			
70291	1	1	70001		50			
70292	1	1	70002		50			
70301	1	1	70001		50			
70302	1	1	70002		50			
70311	1	1	70001		50			
70312	1	1	70002		50			
70001	1	1	39		1			
70002	1	1	39		6			
79991	1	1	39		20			
79992	1	1	39		60			
62714	1	10	3	5	100	10		
629011	1	120	3		20			
629012	2	120	3		25			
629013	3	120	3		30			
629014	4	120	3		40			
629015	5	120	3		60			
63001	1	1	3	5	300	9	0	70
50104	1	1	3	5	30	1	0	0
32002	1	1	32000		15			
32003	1	1	32000		15			
32004	1	1	32000		15			
32005	1	1	32000		15			
32006	1	1	32000		15			
33002	1	1	33000		15			
33003	1	1	33000		15			
33004	1	1	33000		15			
33005	1	1	33000		15			
33006	1	1	33000		15			
33007	1	1	33000		15			
33008	1	1	33000		15			
270007	1	10	3		50			
270008	1	10	3		50
400000	1	10	3		50
