Id	Type	Name	Desc	Params[1]	Params[2]	Params[3]	Params[4]	AreaIcon	CardIcon
21006	1	Main Story: <color=#59f5ff>Footprints</color>	Head to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and complete Event [Footprints]	2022051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21007	1	Main Story: <color=#59f5ff>Pass the Hidden Door</color>	Go to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and use the key card	2022053				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21008	1	Main Story: <color=#59f5ff>Collapsed Hidden Door</color>	Go to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and complete Event [Collapsed Hidden Door]	2022052				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21009	1	Main Story: <color=#59f5ff>Data Chip</color>	Go to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and complete Event [Data Chip]	2022057				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
25010	5	Main Story: <color=#59f5ff>Hidden Data</color>	Go to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and remove Blockade 2	61502				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon01.png
21011	1	Main Story: <color=#59f5ff>Piper</color>	Head to the <color=#f5b60b>Residential Area</color> of [Zone A Forgotten Streets] and inspect the hidden data	2022042				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
26012	1	Main Story: <color=#59f5ff>Business District Ruins</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B No.35 Business District Ruins]	2031051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon01.png
21013	1	Main Story: <color=#59f5ff>A Long Journey</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and complete Event [A Long Journey].	2031051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21813	1	Main Story: <color=#59f5ff>Farewell Letter</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and complete Event [Farewell Letter].	2031052				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21814	1	Main Story: <color=#59f5ff>Voice of the Fanatic</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and complete Event [Voice of the Fanatic].	2031053				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21815	1	Main Story: <color=#59f5ff>Search Route C</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and find Event [Search Route C].	2031043				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
23014	3	Main Story: <color=#59f5ff>Hetero-Creature</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and find the key clue	10130112				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21015	1	Main Story: <color=#59f5ff>Young Men's Location</color>	Go to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and complete Event [Young Men's Location]	2032051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21016	1	Main Story: <color=#59f5ff>Plunder & Sacrifice</color>	Go to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and complete Event [Plunder & Sacrifice]	2032041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21816	1	Main Story: <color=#59f5ff>Remaining Data</color>	Go to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and find Event [Remaining Data]	2032053				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21817	1	Main Story: <color=#59f5ff>Old Photo</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and find Event [Old Photo]	2032052				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21818	1	Main Story: <color=#59f5ff>Around the Corner</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and find Event [Around the Corner].	2032054				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21017	1	Main Story: <color=#59f5ff>Past & Future</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and find Event [Past & Future].	2032042				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21018	1	Main Story: <color=#59f5ff>Scavenger</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and complete Event [Scavenger].	2033051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21019	1	Main Story: <color=#59f5ff>A Tiny Hope</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and complete Event [A Tiny Hope].	2033053				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21020	1	Main Story: <color=#59f5ff>Blood Link</color>	Head to the <color=#f5b60b>1st Street</color> of [Zone B Business District Ruins] and complete Event [Blood Link].	2033041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
26021	1	Main Story: <color=#59f5ff>Abandoned Factory - <color=#59f5ff>Entrance<color=#59f5ff> </color>	Head to [C-07 Abandoned Factory - <color=#f5b60b>Entrance</color>].	2041041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
24022	4	Main Story: <color=#59f5ff>Abandoned Factory - <color=#59f5ff>Entrance<color=#59f5ff> </color>	Head to [C-07 Abandoned Factory - <color=#f5b60b>Entrance</color>] and find Blockade 1 item	61501				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21023	1	Main Story: <color=#59f5ff>Blocked Area</color>	Go to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Blocked Area]	2041051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21024	1	Main Story: <color=#59f5ff>Protective Equipment</color>	Head to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Protective Equipment].	2041053				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21025	1	Main Story: <color=#59f5ff>Past Record</color>	Go to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Past Record]	2041054				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21026	1	Main Story: <color=#59f5ff>Continue Forward</color>	Head to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Continue Forward]	2041041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21027	1	Main Story: <color=#59f5ff>Full of Thorns</color>	Head to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Full of Thorns].	2042041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21028	1	Main Story: <color=#59f5ff>Obstacle Crate</color>	Head to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Obstacle Crate].	2042051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21029	1	Main Story: <color=#59f5ff>Red Crack</color>	Head to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Red Crack].	2042052				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21030	1	Main Story: <color=#59f5ff>Protective Equipment</color>	Head to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Protective Equipment].	2042053				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21031	1	Main Story: <color=#59f5ff>Memory Fragment</color>	Head to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Memory Fragment].	2042054				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
21032	1	Main Story: <color=#59f5ff>Deja Vu</color>	Head to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Deja Vu].	2042055				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
23033	3	Main Story: <color=#59f5ff>We Were Here</color>	Head to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [We Were Here]	10130115				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
21034	1	Main Story: <color=#59f5ff>Shattered Fragments</color>	Go to the <color=#f5b60b>Entrance</color> of [Zone C Abandoned Factory] and complete Event [Shattered Fragments]	2042042				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
30000	7	Main Story: <color=#59f5ff>Underground Cavern</color>	Head to [Underground Cavern (New Area)] to explore	130000				Assets/Product/Texture/Image/RoleCharacter/MoruiNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31001	7	Main Story: <color=#59f5ff>Red Tide's Guidance</color>	Head to [Outer City Ruins] and regroup in [Supply Carriage] before going deeper inside the city.	130011				Assets/Product/Texture/Image/RoleCharacter/BulijiteNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
33003	3	Main Story: <color=#59f5ff>Welcoming Ceremony</color>	Head to [B01 Industrial Sector] <color=#f5b60b>Lv.1 Area</color> and explore the city's underground cavern.	10130119				Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31005	1	Main Story: <color=#59f5ff>Unexpected Support</color>	Synchronize available information with Babylonia in [B01 Industrial Sector] <color=#f5b60b>Lv.2 Area</color>.	3023041				Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
33006	3	Main Story: <color=#59f5ff>Ascension Secrets</color>	Head to [B01 Industrial Sector] <color=#f5b60b>Lv.2 Area</color> to find out how to enter the Core Area.	10130121				Assets/Product/Texture/Image/RoleCharacter/MoruiNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
33007	3	Main Story: <color=#59f5ff>Question</color>	Head to [B01 Junction Corridor] <color=#f5b60b>Lv.1 Area</color> and cross the bridge.	10130123				Assets/Product/Texture/Image/RoleCharacter/MoruiNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31008	1	Main Story: <color=#59f5ff>Master of Ceremony</color>	Look for a way to enter the Core Area at [B01 Junction Corridor] <color=#f5b60b>Lv.2 Area</color>.	3032041				Assets/Product/Texture/Image/RoleCharacter/MoruiNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31009	7	Main Story: <color=#59f5ff>Cross the Bridge</color>	Head to [Outer City Ruins] and seek help in [Supply Carriage].	130021				Assets/Product/Texture/Image/RoleCharacter/BulijiteNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31010	1	Main Story: <color=#59f5ff>Huaxu's Projection</color>	Find the entrance to the Core Area at [B01 Junction Corridor] <color=#f5b60b>Lv.3 Area</color>.	3033041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31011	1	Main Story: <color=#59f5ff>Visitor</color>	Head to the <color=#f5b60b>Elevator</color> of [Core Area] to investigate.	3041041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31012	1	Main Story: <color=#59f5ff>Crimson Resolve</color>	Head to the <color=#f5b60b>Elevator</color> of [Core Area] in the seek for a battle of destiny.	3041042				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31013	1	Main Story: <color=#59f5ff>Shards of Remorse</color>	Head to [Deep M.I.N.D.] <color=#f5b60b>Lv.1 Area</color> to relieve the remorse in the past.	3051043				Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
33015	3	Main Story: <color=#59f5ff>Lucia</color>	Go deep inside [Deep M.I.N.D.] <color=#f5b60b>Lv.2 Area</color>.	10130126				Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
31016	1	Main Story: <color=#59f5ff>To the Future</color>	With all her memories back, Lucia headed toward [Core Area] <color=#f5b60b>Power Room</color> with determination.	3042041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
40000	7	Main Story: <color=#59f5ff>Polyphage Abyss</color>	Enter [Polyphage Abyss (New Area)] to explore	140000				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41001	7	Main Story: <color=#59f5ff>A Perfect Disguise?</color>	Head to [Preparation Cavern] and contact Murray.	140011				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41002	7	Main Story: <color=#59f5ff>"Murray"</color>	Head to [Underground Junction] and contact "Murray."	140011				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41003	1	Main Story: <color=#59f5ff>Audio Analysis</color>	Head to the <color=#f5b60b>Open Land</color> of [Shattered Valley] and analyze the comms audio for loopholes.	4021041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41803	1	Main Story: <color=#59f5ff>Mermaid's Gift</color>	Head to the <color=#f5b60b>Open Land</color> of [Shattered Valley] and complete Event [Mermaid's Gift].	4021052				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41004	1	Main Story: <color=#59f5ff>Mermaid Caught Up</color>	Head to the <color=#f5b60b>Open Land</color> of [Shattered Valley] and find out where Lamia is hiding amongst multiple split roads.	4021053				Assets/Product/Texture/Image/RoleCharacter/LamiyaNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41005	1	Main Story: <color=#59f5ff>Horrifying Marks</color>	Head to the <color=#f5b60b>Open Land</color> of [Shattered Valley] and investigate the battle remains.	4022051				Assets/Product/Texture/Image/RoleCharacter/LamiyaNormal01.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
43006	3	Main Story: <color=#59f5ff>Cannibalism</color>	Head to the <color=#f5b60b>Open Land</color> of [Shattered Valley] and inspect the video of Hetero-creatures.	10130127				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41007	1	Main Story: <color=#59f5ff>Resolve</color>	Follow Lamia and go deep into [Shattered Valley].	4023052				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41008	1	Main Story: <color=#59f5ff>Chasing Lamia</color>	Head to the <color=#f5b60b>Open Land</color> of [Shattered Valley] and chase Lamia.	4023054				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41009	1	Main Story: <color=#59f5ff>Mermaid's Purpose</color>	Head to the <color=#f5b60b>Open Land</color> of [Shattered Valley] and catch Lamia!	4023051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41010	1	Main Story: <color=#59f5ff>Roaring Polyphage</color>	Head to the <color=#f5b60b>Open Land</color> of [Shattered Valley] and confront the Polyphage.	4024051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
43011	3	Main Story: <color=#59f5ff>Huge Threat</color>	Head to the <color=#f5b60b>Open Land</color> of [Shattered Valley] for a final battle against the Polyphage.	10130128				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41812	1	Main Story: <color=#59f5ff>Confession</color>	Head to [Polyphage Left Hand] <color=#f5b60b>Lv.1 Area</color> and climb up.	4031041				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon02.png
41813	1	Main Story: <color=#59f5ff>Break the Siege</color>	Head to [Polyphage Left Hand] <color=#f5b60b>Lv.1 Area</color> and continue climbing up.	4031051				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41814	1	Main Story: <color=#59f5ff>Siege</color>	Head to [Polyphage Left Hand] <color=#f5b60b>Lv.1 Area</color> and break the siege of Hetero-creatures.	4031053				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
41815	1	Main Story: <color=#59f5ff>Defense Break</color>	Head to [Polyphage Left Hand] <color=#f5b60b>Lv.1 Area</color> and break the defense system of the Polyphage's left hand.	4031054				Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	Assets/Product/Texture/Atlas/UiTRPG/UiTRPGMazeIcon06.png
