Id	StageId	GroupId	Diff	MonsterLevel[1]	MonsterLevel[2]	MonsterLevel[3]
107	30140111	1	2	559	279	214
108	30140112	1	2	559	279	214
109	30140201	1	2	338	163	127
110	30140202	1	2	338	163	127
111	30140203	1	2	338	163	127
112	30140204	1	2	338	163	127
113	30140205	1	2	338	163	127
114	30140206	1	2	338	163	127
115	30140207	1	2	338	163	127
116	30140208	1	2	338	163	127
117	30140209	1	2	338	163	127
118	30140210	1	2	338	163	127
119	30140211	1	2	338	163	127
120	30140212	1	2	338	163	127
121	30140301	1	2	640	336	263
122	30140307	1	2	640	336	263
123	30140309	1	2	640	336	263
124	30140310	1	2	640	336	263
125	30140311	1	2	640	336	263
126	30140312	1	2	640	336	263
127	30140401	1	2	397	191	149
128	30140402	1	2	397	191	149
129	30140403	1	2	397	191	149
130	30140404	1	2	397	191	149
131	30140405	1	2	397	191	149
132	30140406	1	2	397	191	149
133	30140407	1	2	397	191	149
134	30140408	1	2	397	191	149
135	30140409	1	2	397	191	149
136	30140410	1	2	397	191	149
137	30140411	1	2	397	191	149
138	30140412	1	2	397	191	149
139	30140501	1	2	744	407	314
140	30140507	1	2	744	407	314
141	30140509	1	2	744	407	314
142	30140510	1	2	744	407	314
143	30140511	1	2	744	407	314
144	30140512	1	2	744	407	314
145	30140113	1	2	568	283	221
146	30140117	1	2	568	283	221
147	30140120	1	2	568	283	221
148	30140213	1	2	345	166	129
149	30140214	1	2	345	166	129
150	30140215	1	2	345	166	129
151	30140216	1	2	345	166	129
152	30140217	1	2	345	166	129
153	30140218	1	2	345	166	129
154	30140219	1	2	345	166	129
155	30140220	1	2	345	166	129
156	30140313	1	2	648	340	265
157	30140317	1	2	648	340	265
158	30140320	1	2	648	340	265
159	30140413	1	2	404	195	152
160	30140414	1	2	404	195	152
161	30140415	1	2	404	195	152
162	30140416	1	2	404	195	152
163	30140417	1	2	404	195	152
164	30140418	1	2	404	195	152
165	30140419	1	2	404	195	152
166	30140420	1	2	404	195	152
167	30140513	1	2	751	412	321
168	30140517	1	2	751	412	321
169	30140520	1	2	751	412	321
170	30140121	1	2	444	454	351
171	30140122	1	2	444	454	351
172	30140124	1	2	444	454	351
173	30140125	1	2	563	454	351
174	30140126	1	2	563	454	351
175	30140221	1	2	342	263	206
176	30140222	1	2	342	263	206
177	30140223	1	2	342	263	206
178	30140224	1	2	342	263	206
179	30140225	1	2	342	263	206
180	30140226	1	2	342	263	206
181	30140227	1	2	342	263	206
182	30140228	1	2	342	263	206
183	30140229	1	2	342	263	206
184	30140230	1	2	257	263	206
185	30140321	1	2	522	530	427
186	30140322	1	2	522	530	427
187	30140324	1	2	522	530	427
188	30140325	1	2	645	530	427
189	30140326	1	2	645	530	427
190	30140421	1	2	401	308	241
191	30140422	1	2	401	308	241
192	30140423	1	2	401	308	241
193	30140424	1	2	401	308	241
194	30140425	1	2	401	308	241
195	30140426	1	2	401	308	241
196	30140427	1	2	401	308	241
197	30140428	1	2	401	308	241
198	30140429	1	2	401	308	241
199	30140430	1	2	301	308	241
200	30140521	1	2	599	609	508
201	30140522	1	2	599	609	508
202	30140524	1	2	599	609	508
203	30140525	1	2	748	609	508
204	30140526	1	2	748	609	508
205	30140101	1	3	635	332	258
206	30140107	1	3	635	332	258
207	30140109	1	3	635	332	258
208	30140110	1	3	635	332	258
209	30140111	1	3	635	332	258
210	30140112	1	3	635	332	258
211	30140201	1	3	400	192	149
212	30140202	1	3	400	192	149
213	30140203	1	3	400	192	149
214	30140204	1	3	400	192	149
215	30140205	1	3	400	192	149
216	30140206	1	3	400	192	149
217	30140207	1	3	400	192	149
218	30140208	1	3	400	192	149
219	30140209	1	3	400	192	149
220	30140210	1	3	400	192	149
221	30140211	1	3	400	192	149
222	30140212	1	3	400	192	149
223	30140301	1	3	725	395	308
224	30140307	1	3	725	395	308
225	30140309	1	3	725	395	308
226	30140310	1	3	725	395	308
227	30140311	1	3	725	395	308
228	30140312	1	3	725	395	308
229	30140401	1	3	462	222	173
230	30140402	1	3	462	222	173
231	30140403	1	3	462	222	173
232	30140404	1	3	462	222	173
233	30140405	1	3	462	222	173
234	30140406	1	3	462	222	173
235	30140407	1	3	462	222	173
236	30140408	1	3	462	222	173
237	30140409	1	3	462	222	173
238	30140410	1	3	462	222	173
239	30140411	1	3	462	222	173
240	30140412	1	3	462	222	173
241	30140501	1	3	836	470	364
242	30140507	1	3	836	470	364
243	30140509	1	3	836	470	364
244	30140510	1	3	836	470	364
245	30140511	1	3	836	470	364
246	30140512	1	3	836	470	364
247	30140113	1	3	646	339	265
248	30140117	1	3	646	339	265
249	30140120	1	3	646	339	265
250	30140213	1	3	407	196	153
251	30140214	1	3	407	196	153
252	30140215	1	3	407	196	153
253	30140216	1	3	407	196	153
254	30140217	1	3	407	196	153
255	30140218	1	3	407	196	153
256	30140219	1	3	407	196	153
257	30140220	1	3	407	196	153
258	30140313	1	3	735	402	309
259	30140317	1	3	735	402	309
260	30140320	1	3	735	402	309
261	30140413	1	3	469	226	176
262	30140414	1	3	469	226	176
263	30140415	1	3	469	226	176
264	30140416	1	3	469	226	176
265	30140417	1	3	469	226	176
266	30140418	1	3	469	226	176
267	30140419	1	3	469	226	176
268	30140420	1	3	469	226	176
269	30140513	1	3	846	479	370
270	30140517	1	3	846	479	370
271	30140520	1	3	846	479	370
272	30140121	1	3	520	529	423
273	30140122	1	3	520	529	423
274	30140124	1	3	520	529	423
275	30140125	1	3	642	529	423
276	30140126	1	3	642	529	423
277	30140221	1	3	404	311	242
278	30140222	1	3	404	311	242
279	30140223	1	3	404	311	242
280	30140224	1	3	404	311	242
281	30140225	1	3	404	311	242
282	30140226	1	3	404	311	242
283	30140227	1	3	404	311	242
284	30140228	1	3	404	311	242
285	30140229	1	3	404	311	242
286	30140230	1	3	303	311	242
287	30140321	1	3	586	596	499
288	30140322	1	3	586	596	499
289	30140324	1	3	586	596	499
290	30140325	1	3	731	596	499
291	30140326	1	3	731	596	499
292	30140421	1	3	467	359	279
293	30140422	1	3	467	359	279
294	30140423	1	3	467	359	279
295	30140424	1	3	467	359	279
296	30140425	1	3	467	359	279
297	30140426	1	3	467	359	279
298	30140427	1	3	467	359	279
299	30140428	1	3	467	359	279
300	30140429	1	3	467	359	279
301	30140430	1	3	350	359	279
302	30140521	1	3	667	682	563
303	30140522	1	3	667	682	563
304	30140524	1	3	667	682	563
305	30140525	1	3	842	682	563
306	30140526	1	3	842	682	563
307	30140101	1	4	716	388	301
308	30140107	1	4	716	388	301
309	30140109	1	4	716	388	301
310	30140110	1	4	716	388	301
311	30140111	1	4	716	388	301
312	30140112	1	4	716	388	301
313	30140201	1	4	463	222	174
314	30140202	1	4	463	222	174
315	30140203	1	4	463	222	174
316	30140204	1	4	463	222	174
317	30140205	1	4	463	222	174
318	30140206	1	4	463	222	174
319	30140207	1	4	463	222	174
320	30140208	1	4	463	222	174
321	30140209	1	4	463	222	174
322	30140210	1	4	463	222	174
323	30140211	1	4	463	222	174
324	30140212	1	4	463	222	174
325	30140301	1	4	809	452	351
326	30140307	1	4	809	452	351
327	30140309	1	4	809	452	351
328	30140310	1	4	809	452	351
329	30140311	1	4	809	452	351
330	30140312	1	4	809	452	351
331	30140401	1	4	523	251	196
332	30140402	1	4	523	251	196
333	30140403	1	4	523	251	196
334	30140404	1	4	523	251	196
335	30140405	1	4	523	251	196
336	30140406	1	4	523	251	196
337	30140407	1	4	523	251	196
338	30140408	1	4	523	251	196
339	30140409	1	4	523	251	196
340	30140410	1	4	523	251	196
341	30140411	1	4	523	251	196
342	30140412	1	4	523	251	196
343	30140501	1	4	920	518	410
344	30140507	1	4	920	518	410
345	30140509	1	4	920	518	410
346	30140510	1	4	920	518	410
347	30140511	1	4	920	518	410
348	30140512	1	4	920	518	410
349	30140113	1	4	728	395	308
350	30140117	1	4	728	395	308
351	30140120	1	4	728	395	308
352	30140213	1	4	471	227	177
353	30140214	1	4	471	227	177
354	30140215	1	4	471	227	177
355	30140216	1	4	471	227	177
356	30140217	1	4	471	227	177
357	30140218	1	4	471	227	177
358	30140219	1	4	471	227	177
359	30140220	1	4	471	227	177
360	30140313	1	4	820	458	356
361	30140317	1	4	820	458	356
362	30140320	1	4	820	458	356
363	30140413	1	4	530	255	199
364	30140414	1	4	530	255	199
365	30140415	1	4	530	255	199
366	30140416	1	4	530	255	199
367	30140417	1	4	530	255	199
368	30140418	1	4	530	255	199
369	30140419	1	4	530	255	199
370	30140420	1	4	530	255	199
371	30140513	1	4	930	524	414
372	30140517	1	4	930	524	414
373	30140520	1	4	930	524	414
374	30140121	1	4	580	591	493
375	30140122	1	4	580	591	493
376	30140124	1	4	580	591	493
377	30140125	1	4	723	591	493
378	30140126	1	4	723	591	493
379	30140221	1	4	468	359	281
380	30140222	1	4	468	359	281
381	30140223	1	4	468	359	281
382	30140224	1	4	468	359	281
383	30140225	1	4	468	359	281
384	30140226	1	4	468	359	281
385	30140227	1	4	468	359	281
386	30140228	1	4	468	359	281
387	30140229	1	4	468	359	281
388	30140230	1	4	351	359	281
389	30140321	1	4	647	659	548
390	30140322	1	4	647	659	548
391	30140324	1	4	647	659	548
392	30140325	1	4	815	659	548
393	30140326	1	4	815	659	548
394	30140421	1	4	527	405	316
395	30140422	1	4	527	405	316
396	30140423	1	4	527	405	316
397	30140424	1	4	527	405	316
398	30140425	1	4	527	405	316
399	30140426	1	4	527	405	316
400	30140427	1	4	527	405	316
401	30140428	1	4	527	405	316
402	30140429	1	4	527	405	316
403	30140430	1	4	395	405	316
404	30140521	1	4	728	742	611
405	30140522	1	4	728	742	611
406	30140524	1	4	728	742	611
407	30140525	1	4	925	742	611
408	30140526	1	4	925	742	611
409	30140101	1	5	791	440	340
410	30140107	1	5	791	440	340
411	30140109	1	5	791	440	340
412	30140110	1	5	791	440	340
413	30140111	1	5	791	440	340
414	30140112	1	5	791	440	340
415	30140201	1	5	521	250	195
416	30140202	1	5	521	250	195
417	30140203	1	5	521	250	195
418	30140204	1	5	521	250	195
419	30140205	1	5	521	250	195
420	30140206	1	5	521	250	195
421	30140207	1	5	521	250	195
422	30140208	1	5	521	250	195
423	30140209	1	5	521	250	195
424	30140210	1	5	521	250	195
425	30140211	1	5	521	250	195
426	30140212	1	5	521	250	195
427	30140301	1	5	902	509	399
428	30140307	1	5	902	509	399
429	30140309	1	5	902	509	399
430	30140310	1	5	902	509	399
431	30140311	1	5	902	509	399
432	30140312	1	5	902	509	399
433	30140401	1	5	601	289	225
434	30140402	1	5	601	289	225
435	30140403	1	5	601	289	225
436	30140404	1	5	601	289	225
437	30140405	1	5	601	289	225
438	30140406	1	5	601	289	225
439	30140407	1	5	601	289	225
440	30140408	1	5	601	289	225
441	30140409	1	5	601	289	225
442	30140410	1	5	601	289	225
443	30140411	1	5	601	289	225
444	30140412	1	5	601	289	225
445	30140501	1	5	1070	586	487
446	30140507	1	5	1070	586	487
447	30140509	1	5	1070	586	487
448	30140510	1	5	1070	586	487
449	30140511	1	5	1070	586	487
450	30140512	1	5	1070	586	487
451	30140113	1	5	804	449	350
452	30140117	1	5	804	449	350
453	30140120	1	5	804	449	350
454	30140213	1	5	529	255	198
455	30140214	1	5	529	255	198
456	30140215	1	5	529	255	198
457	30140216	1	5	529	255	198
458	30140217	1	5	529	255	198
459	30140218	1	5	529	255	198
460	30140219	1	5	529	255	198
461	30140220	1	5	529	255	198
462	30140313	1	5	914	515	406
463	30140317	1	5	914	515	406
464	30140320	1	5	914	515	406
465	30140413	1	5	609	293	228
466	30140414	1	5	609	293	228
467	30140415	1	5	609	293	228
468	30140416	1	5	609	293	228
469	30140417	1	5	609	293	228
470	30140418	1	5	609	293	228
471	30140419	1	5	609	293	228
472	30140420	1	5	609	293	228
473	30140513	1	5	1082	591	493
474	30140517	1	5	1082	591	493
475	30140520	1	5	1082	591	493
476	30140121	1	5	635	647	540
477	30140122	1	5	635	647	540
478	30140124	1	5	635	647	540
479	30140125	1	5	798	647	540
480	30140126	1	5	798	647	540
481	30140221	1	5	526	403	315
482	30140222	1	5	526	403	315
483	30140223	1	5	526	403	315
484	30140224	1	5	526	403	315
485	30140225	1	5	526	403	315
486	30140226	1	5	526	403	315
487	30140227	1	5	526	403	315
488	30140228	1	5	526	403	315
489	30140229	1	5	526	403	315
490	30140230	1	5	395	403	315
491	30140321	1	5	716	731	603
492	30140322	1	5	716	731	603
493	30140324	1	5	716	731	603
494	30140325	1	5	908	731	603
495	30140326	1	5	908	731	603
496	30140421	1	5	606	466	363
497	30140422	1	5	606	466	363
498	30140423	1	5	606	466	363
499	30140424	1	5	606	466	363
500	30140425	1	5	606	466	363
501	30140426	1	5	606	466	363
502	30140427	1	5	606	466	363
503	30140428	1	5	606	466	363
504	30140429	1	5	606	466	363
505	30140430	1	5	455	466	363
506	30140521	1	5	837	853	696
507	30140522	1	5	837	853	696
508	30140524	1	5	837	853	696
509	30140525	1	5	1075	853	696
510	30140526	1	5	1075	853	696
511	30140101	2	1	879	499	388
512	30140107	2	1	879	499	388
513	30140109	2	1	879	499	388
514	30140110	2	1	879	499	388
515	30140111	2	1	879	499	388
516	30140112	2	1	879	499	388
517	30140201	2	1	581	279	218
518	30140202	2	1	581	279	218
519	30140203	2	1	581	279	218
520	30140204	2	1	581	279	218
521	30140205	2	1	581	279	218
522	30140206	2	1	581	279	218
523	30140207	2	1	581	279	218
524	30140208	2	1	581	279	218
525	30140209	2	1	581	279	218
526	30140210	2	1	581	279	218
527	30140211	2	1	581	279	218
528	30140212	2	1	581	279	218
529	30140301	2	1	972	543	437
530	30140307	2	1	972	543	437
531	30140309	2	1	972	543	437
532	30140310	2	1	972	543	437
533	30140311	2	1	972	543	437
534	30140312	2	1	972	543	437
535	30140401	2	1	640	307	240
536	30140402	2	1	640	307	240
537	30140403	2	1	640	307	240
538	30140404	2	1	640	307	240
539	30140405	2	1	640	307	240
540	30140406	2	1	640	307	240
541	30140407	2	1	640	307	240
542	30140408	2	1	640	307	240
543	30140409	2	1	640	307	240
544	30140410	2	1	640	307	240
545	30140411	2	1	640	307	240
546	30140412	2	1	640	307	240
547	30140501	2	1	1071	587	487
548	30140507	2	1	1071	587	487
549	30140509	2	1	1071	587	487
550	30140510	2	1	1071	587	487
551	30140511	2	1	1071	587	487
552	30140512	2	1	1071	587	487
553	30140113	2	1	894	506	395
554	30140117	2	1	894	506	395
555	30140120	2	1	894	506	395
556	30140213	2	1	591	284	221
557	30140214	2	1	591	284	221
558	30140215	2	1	591	284	221
559	30140216	2	1	591	284	221
560	30140217	2	1	591	284	221
561	30140218	2	1	591	284	221
562	30140219	2	1	591	284	221
563	30140220	2	1	591	284	221
564	30140313	2	1	988	548	444
565	30140317	2	1	988	548	444
566	30140320	2	1	988	548	444
567	30140413	2	1	649	312	243
568	30140414	2	1	649	312	243
569	30140415	2	1	649	312	243
570	30140416	2	1	649	312	243
571	30140417	2	1	649	312	243
572	30140418	2	1	649	312	243
573	30140419	2	1	649	312	243
574	30140420	2	1	649	312	243
575	30140513	2	1	1084	592	496
576	30140517	2	1	1084	592	496
577	30140520	2	1	1084	592	496
578	30140121	2	1	700	714	591
579	30140122	2	1	700	714	591
580	30140124	2	1	700	714	591
581	30140125	2	1	888	714	591
582	30140126	2	1	888	714	591
583	30140221	2	1	587	450	351
584	30140222	2	1	587	450	351
585	30140223	2	1	587	450	351
586	30140224	2	1	587	450	351
587	30140225	2	1	587	450	351
588	30140226	2	1	587	450	351
589	30140227	2	1	587	450	351
590	30140228	2	1	587	450	351
591	30140229	2	1	587	450	351
592	30140230	2	1	440	450	351
593	30140321	2	1	769	784	643
594	30140322	2	1	769	784	643
595	30140324	2	1	769	784	643
596	30140325	2	1	981	784	643
597	30140326	2	1	981	784	643
598	30140421	2	1	645	496	386
599	30140422	2	1	645	496	386
600	30140423	2	1	645	496	386
601	30140424	2	1	645	496	386
602	30140425	2	1	645	496	386
603	30140426	2	1	645	496	386
604	30140427	2	1	645	496	386
605	30140428	2	1	645	496	386
606	30140429	2	1	645	496	386
607	30140430	2	1	484	496	386
608	30140521	2	1	837	855	699
609	30140522	2	1	837	855	699
610	30140524	2	1	837	855	699
611	30140525	2	1	1077	855	699
612	30140526	2	1	1077	855	699
613	30140101	2	2	895	507	398
614	30140107	2	2	895	507	398
615	30140109	2	2	895	507	398
616	30140110	2	2	895	507	398
617	30140111	2	2	895	507	398
618	30140112	2	2	895	507	398
619	30140201	2	2	593	285	222
620	30140202	2	2	593	285	222
621	30140203	2	2	593	285	222
622	30140204	2	2	593	285	222
623	30140205	2	2	593	285	222
624	30140206	2	2	593	285	222
625	30140207	2	2	593	285	222
626	30140208	2	2	593	285	222
627	30140209	2	2	593	285	222
628	30140210	2	2	593	285	222
629	30140211	2	2	593	285	222
630	30140212	2	2	593	285	222
631	30140301	2	2	991	550	448
632	30140307	2	2	991	550	448
633	30140309	2	2	991	550	448
634	30140310	2	2	991	550	448
635	30140311	2	2	991	550	448
636	30140312	2	2	991	550	448
637	30140401	2	2	653	314	244
638	30140402	2	2	653	314	244
639	30140403	2	2	653	314	244
640	30140404	2	2	653	314	244
641	30140405	2	2	653	314	244
642	30140406	2	2	653	314	244
643	30140407	2	2	653	314	244
644	30140408	2	2	653	314	244
645	30140409	2	2	653	314	244
646	30140410	2	2	653	314	244
647	30140411	2	2	653	314	244
648	30140412	2	2	653	314	244
649	30140501	2	2	1089	595	497
650	30140507	2	2	1089	595	497
651	30140509	2	2	1089	595	497
652	30140510	2	2	1089	595	497
653	30140511	2	2	1089	595	497
654	30140512	2	2	1089	595	497
655	30140113	2	2	909	514	406
656	30140117	2	2	909	514	406
657	30140120	2	2	909	514	406
658	30140213	2	2	603	290	226
659	30140214	2	2	603	290	226
660	30140215	2	2	603	290	226
661	30140216	2	2	603	290	226
662	30140217	2	2	603	290	226
663	30140218	2	2	603	290	226
664	30140219	2	2	603	290	226
665	30140220	2	2	603	290	226
666	30140313	2	2	1005	557	454
667	30140317	2	2	1005	557	454
668	30140320	2	2	1005	557	454
669	30140413	2	2	662	318	248
670	30140414	2	2	662	318	248
671	30140415	2	2	662	318	248
672	30140416	2	2	662	318	248
673	30140417	2	2	662	318	248
674	30140418	2	2	662	318	248
675	30140419	2	2	662	318	248
676	30140420	2	2	662	318	248
677	30140513	2	2	1102	600	500
678	30140517	2	2	1102	600	500
679	30140520	2	2	1102	600	500
680	30140121	2	2	713	726	600
681	30140122	2	2	713	726	600
682	30140124	2	2	713	726	600
683	30140125	2	2	905	726	600
684	30140126	2	2	905	726	600
685	30140221	2	2	599	460	359
686	30140222	2	2	599	460	359
687	30140223	2	2	599	460	359
688	30140224	2	2	599	460	359
689	30140225	2	2	599	460	359
690	30140226	2	2	599	460	359
691	30140227	2	2	599	460	359
692	30140228	2	2	599	460	359
693	30140229	2	2	599	460	359
694	30140230	2	2	449	460	359
695	30140321	2	2	782	797	654
696	30140322	2	2	782	797	654
697	30140324	2	2	782	797	654
698	30140325	2	2	998	797	654
699	30140326	2	2	998	797	654
700	30140421	2	2	658	505	395
701	30140422	2	2	658	505	395
702	30140423	2	2	658	505	395
703	30140424	2	2	658	505	395
704	30140425	2	2	658	505	395
705	30140426	2	2	658	505	395
706	30140427	2	2	658	505	395
707	30140428	2	2	658	505	395
708	30140429	2	2	658	505	395
709	30140430	2	2	493	505	395
710	30140521	2	2	850	868	708
711	30140522	2	2	850	868	708
712	30140524	2	2	850	868	708
713	30140525	2	2	1096	868	708
714	30140526	2	2	1096	868	708
715	30140101	2	3	918	517	410
716	30140107	2	3	918	517	410
717	30140109	2	3	918	517	410
718	30140110	2	3	918	517	410
719	30140111	2	3	918	517	410
720	30140112	2	3	918	517	410
721	30140201	2	3	611	293	229
722	30140202	2	3	611	293	229
723	30140203	2	3	611	293	229
724	30140204	2	3	611	293	229
725	30140205	2	3	611	293	229
726	30140206	2	3	611	293	229
727	30140207	2	3	611	293	229
728	30140208	2	3	611	293	229
729	30140209	2	3	611	293	229
730	30140210	2	3	611	293	229
731	30140211	2	3	611	293	229
732	30140212	2	3	611	293	229
733	30140301	2	3	1018	562	458
734	30140307	2	3	1018	562	458
735	30140309	2	3	1018	562	458
736	30140310	2	3	1018	562	458
737	30140311	2	3	1018	562	458
738	30140312	2	3	1018	562	458
739	30140401	2	3	673	323	251
740	30140402	2	3	673	323	251
741	30140403	2	3	673	323	251
742	30140404	2	3	673	323	251
743	30140405	2	3	673	323	251
744	30140406	2	3	673	323	251
745	30140407	2	3	673	323	251
746	30140408	2	3	673	323	251
747	30140409	2	3	673	323	251
748	30140410	2	3	673	323	251
749	30140411	2	3	673	323	251
750	30140412	2	3	673	323	251
751	30140501	2	3	1117	606	506
752	30140507	2	3	1117	606	506
753	30140509	2	3	1117	606	506
754	30140510	2	3	1117	606	506
755	30140511	2	3	1117	606	506
756	30140512	2	3	1117	606	506
757	30140113	2	3	934	524	416
758	30140117	2	3	934	524	416
759	30140120	2	3	934	524	416
760	30140213	2	3	621	299	233
761	30140214	2	3	621	299	233
762	30140215	2	3	621	299	233
763	30140216	2	3	621	299	233
764	30140217	2	3	621	299	233
765	30140218	2	3	621	299	233
766	30140219	2	3	621	299	233
767	30140220	2	3	621	299	233
768	30140313	2	3	1031	569	466
769	30140317	2	3	1031	569	466
770	30140320	2	3	1031	569	466
771	30140413	2	3	682	328	255
772	30140414	2	3	682	328	255
773	30140415	2	3	682	328	255
774	30140416	2	3	682	328	255
775	30140417	2	3	682	328	255
776	30140418	2	3	682	328	255
777	30140419	2	3	682	328	255
778	30140420	2	3	682	328	255
779	30140513	2	3	1129	613	511
780	30140517	2	3	1129	613	511
781	30140520	2	3	1129	613	511
782	30140121	2	3	728	742	613
783	30140122	2	3	728	742	613
784	30140124	2	3	728	742	613
785	30140125	2	3	926	742	613
786	30140126	2	3	926	742	613
787	30140221	2	3	616	473	370
788	30140222	2	3	616	473	370
789	30140223	2	3	616	473	370
790	30140224	2	3	616	473	370
791	30140225	2	3	616	473	370
792	30140226	2	3	616	473	370
793	30140227	2	3	616	473	370
794	30140228	2	3	616	473	370
795	30140229	2	3	616	473	370
796	30140230	2	3	462	473	370
797	30140321	2	3	799	816	668
798	30140322	2	3	799	816	668
799	30140324	2	3	799	816	668
800	30140325	2	3	1025	816	668
801	30140326	2	3	1025	816	668
802	30140421	2	3	679	521	407
803	30140422	2	3	679	521	407
804	30140423	2	3	679	521	407
805	30140424	2	3	679	521	407
806	30140425	2	3	679	521	407
807	30140426	2	3	679	521	407
808	30140427	2	3	679	521	407
809	30140428	2	3	679	521	407
810	30140429	2	3	679	521	407
811	30140430	2	3	509	521	407
812	30140521	2	3	871	888	723
813	30140522	2	3	871	888	723
814	30140524	2	3	871	888	723
815	30140525	2	3	1125	888	723
816	30140526	2	3	1125	888	723
817	30140101	2	4	945	529	423
818	30140107	2	4	945	529	423
819	30140109	2	4	945	529	423
820	30140110	2	4	945	529	423
821	30140111	2	4	945	529	423
822	30140112	2	4	945	529	423
823	30140201	2	4	629	302	235
824	30140202	2	4	629	302	235
825	30140203	2	4	629	302	235
826	30140204	2	4	629	302	235
827	30140205	2	4	629	302	235
828	30140206	2	4	629	302	235
829	30140207	2	4	629	302	235
830	30140208	2	4	629	302	235
831	30140209	2	4	629	302	235
832	30140210	2	4	629	302	235
833	30140211	2	4	629	302	235
834	30140212	2	4	629	302	235
835	30140301	2	4	1042	575	473
836	30140307	2	4	1042	575	473
837	30140309	2	4	1042	575	473
838	30140310	2	4	1042	575	473
839	30140311	2	4	1042	575	473
840	30140312	2	4	1042	575	473
841	30140401	2	4	690	331	258
842	30140402	2	4	690	331	258
843	30140403	2	4	690	331	258
844	30140404	2	4	690	331	258
845	30140405	2	4	690	331	258
846	30140406	2	4	690	331	258
847	30140407	2	4	690	331	258
848	30140408	2	4	690	331	258
849	30140409	2	4	690	331	258
850	30140410	2	4	690	331	258
851	30140411	2	4	690	331	258
852	30140412	2	4	690	331	258
853	30140501	2	4	1140	618	514
854	30140507	2	4	1140	618	514
855	30140509	2	4	1140	618	514
856	30140510	2	4	1140	618	514
857	30140511	2	4	1140	618	514
858	30140512	2	4	1140	618	514
859	30140113	2	4	960	537	428
860	30140117	2	4	960	537	428
861	30140120	2	4	960	537	428
862	30140213	2	4	639	307	239
863	30140214	2	4	639	307	239
864	30140215	2	4	639	307	239
