Id	CoreId	CoreLevel	DecomposeMoney	BuffId[1]	BuffId[2]	BuffId[3]	Description
104	3012	1	18	81082			Deals 100% of ATK as Fire DMG to all enemies within 4m every second.
105	3013	1	18	81086			Attacks have a 50% chance to deal Lightning DMG equal to 80% of self ATK to all units within 2m around the target. It can only be triggered once per 3s.
106	3013	2	36	81087			Attacks have a 50% chance to deal Lightning DMG equal to 160% of self ATK to all units within 2m around the target. It can only be triggered once per 3s.
107	3013	3	54	81088			Attacks have a 50% chance to deal Lightning DMG equal to 240% of self ATK to all units within 2m around the target. It can only be triggered once per 3s.
108	3014	1	18	81092			QTE increases the controlling character's ATK by 10% for 5s.
109	3014	2	36	81093			QTE increases the controlling character's ATK by 15% for 5s.
110	3014	3	54	81094			QTE increases the controlling character's ATK by 20% for 5s.
111	3015	1	18	81095			QTE reduces the target's Physical DEF by 20% for 5s.
112	3015	2	36	81096			QTE reduces the target's Physical DEF by 25% for 5s.
113	3015	3	54	81097			QTE reduces the target's Physical DEF by 30% for 5s.
114	3016	1	18	81098			QTE reduces the target's Elemental Resistance by 20% for 5s.
115	3016	2	36	81099			QTE reduces the target's Elemental Resistance by 25% for 5s.
116	3016	3	54	81100			QTE reduces the target's Elemental Resistance by 30% for 5s.
117	3017	1	18	81101			After summoning a QTE, unleash a shockwave within 3m that deals 300% Physical Damage.
118	3017	2	36	81102			After summoning a QTE, unleash a shockwave within 3m that deals 450% Physical Damage.
119	3017	3	54	81103			After summoning a QTE, unleash a shockwave within 3m that deals 600% Physical Damage.
120	3018	1	18	81104			Each attack has a 30% chance to increase its damage by 30%.
121	3018	2	36	81105			Each attack has a 40% chance to increase its damage by 40%.
122	3018	3	54	81106			Each attack has a 50% chance to increase its damage by 60%.
123	3019	1	18	81123			When dealing Dark DMG, there is a 30% chance to deal Extra Damage equal to 60% of the Dark DMG dealt
124	3019	2	36	81124			When dealing Dark DMG, there is a 40% chance to deal Extra Damage equal to 70% of the Dark DMG dealt
125	3019	3	54	81125			When dealing Dark DMG, there is a 50% chance to deal Extra Damage equal to 80% of the Dark DMG dealt
126	3020	1	18	81126			Attacks have a 30% chance to freeze the enemy target for 3s, then deal 80% Ice DMG within a 3m radius from the target
127	3020	2	36	81127			Attacks have a 40% chance to freeze the enemy target for 3s, then deal 100% Ice DMG within a 3m radius from the target
128	3020	3	54	81128			Attacks have a 50% chance to freeze the enemy target for 3s, then deal 120% Ice DMG within a 3m radius from the target
129	3021	1	18	81135			Increases all damage by 10% for 5s after switching to another member
130	3021	2	36	81136			Increases all damage by 20% for 5s after switching to another member
131	3021	3	54	81137			Increases all damage by 30% for 5s after switching to another member
132	3022	1	18	81141			Deals 300% damage to enemies within 3m after switching to another member
133	3022	2	36	81142			Deals 500% damage to enemies within 3m after switching to another member
134	3022	3	54	81143			Deals 700% damage to enemies within 3m after switching to another member
135	3023	1	18	81144			Reduces the Elemental Resistance of enemies within 4m by 20% for 8s after switching to another member
136	3023	2	36	81145			Reduces the Elemental Resistance of enemies within 4m by 25% for 8s after switching to another member
137	3023	3	54	81146			Reduces the Elemental Resistance of enemies within 4m by 30% for 8s after switching to another member
138	3024	1	18	81011			Gains 100 energy at the start of battle.
139	3025	1	18	81069			Gain 3 extra Signal Orbs of the same color upon entering battle.
