Id	PoolId	Weight	Type	Params[1]	Params[2]	Params[3]	Description	Name	Icon
134	20014	100	201	50			<color=#34AFF9><size=20>Require maintenance parts</size></color>\n→All team members restore 50% HP.		
135	20014	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
136	20014	100	401	1			<color=#34AFF9><size=20>Require Energy compensation</size></color>\n→Obtain 1 Action Point		
137	20014	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
138	20014	100	101	3			<color=#34AFF9><size=20>Require equipment</size></color>\n→Obtain a high-grade Add-On Unit		
139	20014	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
140	20015	100	502	99			<color=#34AFF9><size=20>Cleanse All</size></color>\n→Remove all negative effects		
141	20015	100	301	-50			\n→Lose 50% of your Aberrant Cubes		
142	20015	100	502	1			<color=#34AFF9><size=20>Quick Cleanse</size></color>\n→Randomly remove 1 negative effect		
143	20015	100	301	-20			\n→Lose 20% of your Aberrant Cubes		
144	20016	100	502	99			<color=#34AFF9><size=20>Cleanse All</size></color>\n→Remove all negative effects		
145	20016	100	201	-50			\n→All team members lose 50% HP		
146	20016	100	502	1			<color=#34AFF9><size=20>Quick Cleanse</size></color>\n→Randomly remove 1 negative effect		
147	20016	100	202	-30			\n→A random team member loses 30% HP		
148	20017	100	101	1			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a low-grade Add-On Unit		
149	20017	100	201	-20			\n→All team members lose 20% HP		
150	20017	100	101	1			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain a low-grade Add-On Unit		
151	20017	100	302	-45			\n→Lose 45 Aberrant Cubes		
152	20017	100	101	1			<color=#34AFF9><size=20>Recklessly open</size></color>\n→Obtain a low-grade Add-On Unit		
153	20017	100	401	-1			\n→Lose 1 Action Point		
154	20018	100	101	2			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a mid-grade Add-On Unit		
155	20018	100	201	-30			\n→All team members lose 30% HP		
156	20018	100	101	2			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain a mid-grade Add-On Unit		
157	20018	100	302	-60			\n→Lose 60 Aberrant Cubes		
158	20018	100	101	2			<color=#34AFF9><size=20>Dismantle circumspectly</size></color>\n→Obtain a mid-grade Add-On Unit		
159	20018	100	401	-1			\n→Lose 1 Action Point		
160	20019	100	101	3			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a high-grade Add-On Unit		
161	20019	100	201	-50			\n→All team members lose 50% HP		
162	20019	100	101	3			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain a high-grade Add-On Unit		
163	20019	100	302	-75			\n→Lose 75 Aberrant Cubes		
164	20019	100	101	3			<color=#34AFF9><size=20>Recklessly open</size></color>\n→Obtain a high-grade Add-On Unit		
165	20019	100	401	-1			\n→Lose 1 Action Point		
166	20020	100	301	10			<color=#34AFF9><size=20>Open</size></color>\n→Gain 10% of your Aberrant Cubes		
167	20020	100	302	38			<color=#34AFF9><size=20>Open</size></color>\n→Obtain 38 Aberrant Cubes		
168	20020	100	303	36	42		<color=#34AFF9><size=20>Open</size></color>\n→Obtain 36-42 Aberrant Cubes		
169	20021	100	301	10			<color=#34AFF9><size=20>Open</size></color>\n→Gain 10% of your Aberrant Cubes		
170	20021	100	302	44			<color=#34AFF9><size=20>Open</size></color>\n→Obtain 44 Aberrant Cubes		
171	20021	100	303	35	53		<color=#34AFF9><size=20>Open</size></color>\n→Obtain 35-53 Aberrant Cubes		
172	20022	100	301	10			<color=#34AFF9><size=20>Open</size></color>\n→Gain 10% of your Aberrant Cubes		
173	20022	100	302	49			<color=#34AFF9><size=20>Open</size></color>\n→Obtain 49 Aberrant Cubes		
174	20022	100	303	42	56		<color=#34AFF9><size=20>Open</size></color>\n→Obtain 42-56 Aberrant Cubes		
175	10023	50	103	1			Upgrade 1 random Add-On Unit you already own [50%]		
176	10023	50	302	-60			Lose 60 Aberrant Cubes [50%]		
177	10024	50	103	1			Upgrade 1 random Add-On Unit you already own [50%]		
178	10024	50	102				Lose 1 random Add-On Unit you already own [50%]		
179	20023	100	101	1			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a low-grade Add-On Unit		
180	20023	100	302	-45			\n→Lose 45 Aberrant Cubes		
181	20023	100	103	1			<color=#34AFF9><size=20>Crudely open</size></color>\n→Upgrade 1 random Add-On Unit you already own		
182	20023	100	302	-60			\n→Lose 60 Aberrant Cubes		
183	20024	100	101	2			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a mid-grade Add-On Unit		
184	20024	100	302	-60			\n→Lose 60 Aberrant Cubes		
185	20024	100	103	1			<color=#34AFF9><size=20>Crudely open</size></color>\n→Upgrade 1 random Add-On Unit you already own		
186	20024	100	302	-60			\n→Lose 60 Aberrant Cubes		
187	20025	100	101	3			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a high-grade Add-On Unit		
188	20025	100	302	-75			\n→Lose 75 Aberrant Cubes		
189	20025	100	103	1			<color=#34AFF9><size=20>Crudely open</size></color>\n→Upgrade 1 random Add-On Unit you already own		
190	20025	100	302	-60			\n→Lose 60 Aberrant Cubes		
191	11001	25	101	2001			Obtain Add-On Unit: Fuel Purification (Fire DMG Bonus) [25%]		
192	11001	25	302	-45			Lose 45 Aberrant Cubes [25%]		
193	11001	50	302	32			Obtain 32 Aberrant Cubes [50%]		
194	11002	25	101	2002			Obtain Add-On Unit: Improved Circuitry (Lightning DMG Bonus) [25%]		
195	11002	25	302	-45			Lose 45 Aberrant Cubes [25%]		
196	11002	50	302	32			Obtain 32 Aberrant Cubes [50%]		
197	11003	25	101	2003			Obtain Add-On Unit: Radiator Grill (Ice DMG Bonus) [25%]		
198	11003	25	302	-45			Lose 45 Aberrant Cubes [25%]		
199	11003	50	302	32			Obtain 32 Aberrant Cubes [50%]		
200	11004	25	101	2004			Obtain Add-On Unit: Radiation Boost (Dark DMG Bonus) [25%]		
201	11004	25	302	-45			Lose 45 Aberrant Cubes [25%]		
202	11004	50	302	32			Obtain 32 Aberrant Cubes [50%]		
203	11005	25	101	2005			Obtain Add-On Unit: Enhanced Strike (Physical DMG Bonus) [25%]		
204	11005	25	302	-45			Lose 45 Aberrant Cubes [25%]		
205	11005	50	302	32			Obtain 32 Aberrant Cubes [50%]		
206	11006	25	101	3008			Obtain Add-On Unit: Shield Strategy (Bonus damage when a Shield is active) [25%]		
207	11006	25	302	-60			Lose 60 Aberrant Cubes [25%]		
208	11006	50	302	32			Obtain 32 Aberrant Cubes [50%]		
209	11007	25	101	3010			Obtain Add-On Unit: Signal Mk.1 (Bonus damage after pinging an orb) [25%]		
210	11007	25	302	-60			Lose 60 Aberrant Cubes [25%]		
211	11007	50	302	32			Obtain 32 Aberrant Cubes [50%]		
212	11008	25	101	3017			Obtain Add-On Unit: Shock Wave Lead (QTE deals Area DMG) [25%]		
213	11008	25	302	-60			Lose 60 Aberrant Cubes [25%]		
214	11008	50	302	32			Obtain 32 Aberrant Cubes [50%]		
215	11009	25	101	2010			Obtain Add-On Unit: Prototype Correction (Restores Orb after defeating an enemy) [25%]		
216	11009	25	302	-60			Lose 60 Aberrant Cubes [25%]		
217	11009	50	302	32			Obtain 32 Aberrant Cubes [50%]		
218	11010	25	101	3006			Obtain Add-On Unit: Potential Control (Bonus damage after dodging) [25%]		
219	11010	25	302	-60			Lose 60 Aberrant Cubes [25%]		
220	11010	50	302	32			Obtain 32 Aberrant Cubes [50%]		
221	21001	100	101	2			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a mid-grade Add-On Unit		
222	21001	100	302	-60			\n→Lose 60 Aberrant Cubes		
223	21001	100	101	2014			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: Link Mk.2 (Bonus Combo DMG)		
224	21001	100	302	-75			\n→Lose 75 Aberrant Cubes		
225	21002	100	101	2			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a mid-grade Add-On Unit		
226	21002	100	302	-60			\n→Lose 60 Aberrant Cubes		
227	21002	100	101	2013			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: High-speed Processor (Reduces QTE cooldown)		
228	21002	100	302	-75			\n→Lose 75 Aberrant Cubes		
229	21003	100	101	2			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a mid-grade Add-On Unit		
230	21003	100	302	-60			\n→Lose 60 Aberrant Cubes		
231	21003	100	101	2006			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: Power Boost (Bonus Basic ATK DMG)		
232	21003	100	302	-75			\n→Lose 75 Aberrant Cubes		
233	21004	100	101	2			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a mid-grade Add-On Unit		
234	21004	100	302	-60			\n→Lose 60 Aberrant Cubes		
235	21004	100	101	2018			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: Shared Intelligence (Restores Orb when switching to a different member)		
236	21004	100	302	-75			\n→Lose 75 Aberrant Cubes		
237	21005	100	101	3			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a high-grade Add-On Unit		
238	21005	100	302	-75			\n→Lose 75 Aberrant Cubes		
239	21005	100	101	3021			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: Squad Coverage (Bonus damage when switching to a different member)		
240	21005	100	302	-90			\n→Lose 90 Aberrant Cubes		
241	21006	100	101	3			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a high-grade Add-On Unit		
242	21006	100	302	-75			\n→Lose 75 Aberrant Cubes		
243	21006	100	101	3004			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: Sticky Bomb (Area Fire DMG)		
244	21006	100	302	-90			\n→Lose 90 Aberrant Cubes		
245	21007	100	101	3			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a high-grade Add-On Unit		
246	21007	100	302	-75			\n→Lose 75 Aberrant Cubes		
247	21007	100	101	3008			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: Shield Strategy (Bonus damage when a Shield is active)		
248	21007	100	302	-90			\n→Lose 90 Aberrant Cubes		
249	21008	100	101	3			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a high-grade Add-On Unit		
250	21008	100	302	-75			\n→Lose 75 Aberrant Cubes		
251	21008	100	101	3019			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: Radioactive Dust (Bonus Dark DMG)		
252	21008	100	302	-90			\n→Lose 90 Aberrant Cubes		
253	21009	100	101	3			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a high-grade Add-On Unit		
254	21009	100	302	-75			\n→Lose 75 Aberrant Cubes		
255	21009	100	101	3019			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: Radioactive Dust (Bonus Dark DMG)		
256	21009	100	302	-90			\n→Lose 90 Aberrant Cubes		
257	21010	100	101	3			<color=#34AFF9><size=20>Carefully open</size></color>\n→Obtain a high-grade Add-On Unit		
258	21010	100	302	-75			\n→Lose 75 Aberrant Cubes		
259	21010	100	101	3013			<color=#34AFF9><size=20>Crudely open</size></color>\n→Obtain Add-On Unit: High-voltage Arc (Area Lightning DMG)		
260	21010	100	302	-90			\n→Lose 90 Aberrant Cubes		
