Id	PreId	Order	DetailDesc	Name	Prefab	IconBg	IconBoss	DetailBg	FinishRelatedId[1]	FinishRelatedId[2]	FinishRelatedId[3]	FinishRelatedId[4]	FinishRelatedId[5]	Endurance	AddElectricEnergy	RewardId[1]	RewardId[2]	RewardId[3]	TeamMember[1]	TeamMember[2]	TeamMember[3]	TeamMember[4]	TeamMember[5]	TeamMember[6]	DistributionGroup	BuffGroup[1]	BuffGroup[2]	BuffGroup[3]	BuffGroup[4]	BuffGroup[5]	BuffGroup[6]	RobotGroup[1]	RobotGroup[2]	RobotGroup[3]	StageIdGroup[1]	StageIdGroup[2]	StageIdGroup[3]	StageIdGroup[4]	StageIdGroup[5]	StageIdGroup[6]	BaseBuffId[1]	BaseBuffId[2]	BaseBuffId[3]	StageBuffId[1]	StageBuffId[2]	StageBuffId[3]	StageBuffId[4]	SweepLevelId[1]	SweepCondition[1]	SweepLevelId[2]	SweepCondition[2]	SweepLevelId[3]	SweepCondition[3]
111		SP-04	Complete the operation to reduce the difficulty of EX-02	Southern Passage	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage021.png								1	0	406211	406111	406011	3	3	3	3	3	3	2	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202041|30202042	30202043|30202343	30202044|30202344	30202045|30202345	30202046|30202346	30202047|30202347	73|73|73			36|36|36				1	95422	2	95412	3	95402
112		EX-02	Complete the operation to eliminate all the enemies in the mine	Southern Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	107	108	109	110	111	1	0	406212	406112	406012	3	3	3	3	3	3	2	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202048|30202049	30202050|30202350	30202051|30202351	30202052|30202352	30202053|30202353	30202054|30202354	21|21|21			25|25|25	36|36|36			1	95422	2	95412	3	95402
113	112	NA-07	Clear to get Miners as reward	Groening Entrance	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406213	406113	406013	3	3	3	3	3	3	3	0|0	0|0	0|0	0|0	0|0	0|0	2	1	1	30202055|30202056	30202057|30202357	30202058|30202358	30202059|30202359	30202060|30202360	30202061|30202361	56|56|56											3	95403
114		NA-08	Clear to get Miners as reward	Groening Surface	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406214	406114	406014	3	3	3	3	3	3	3	0|0	0|0	0|0	0|0	0|0	0|0	2	1	1	30202062|30202063	30202064|30202364	30202065|30202365	30202066|30202366	30202067|30202367	30202068|30202368	56|56|56											3	95403
115		SP-05	Complete the operation to reduce the difficulty of EX-03	Groening Cave	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage022.png								1	0	406215	406115	406015	3	3	3	3	3	3	3	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202069|30202070	30202071|30202371	30202072|30202372	30202073|30202373	30202074|30202374	30202075|30202375	58|58|58			29|29|29								3	95403
116		SP-06	Complete the operation to reduce the difficulty of EX-03	Groening Passage	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage023.png								1	0	406216	406116	406016	3	3	3	3	3	3	3	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202076|30202077	30202078|30202378	30202079|30202379	30202080|30202380	30202081|30202381	30202082|30202382	58|58|58			47|47|47								3	95403
117		SP-07	Complete the operation to reduce the difficulty of EX-03	Groening Cliff	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage024.png								1	0	406217	406117	406017	3	3	3	3	3	3	3	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202083|30202084	30202085|30202385	30202086|30202386	30202087|30202387	30202088|30202388	30202089|30202389	58|58|58			33|33|33								3	95403
118		EX-03	Complete the operation to eliminate all the enemies in the mine	Groening Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss05.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	113	114	115	116	117	1	0	406218	406118	406018	3	3	3	3	3	3	3	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202090|30202091	30202092|30202392	30202093|30202393	30202094|30202394	30202095|30202395	30202096|30202396	41|41|41	21|21|21		29|29|29	47|47|47	33|33|33						3	95403
119	118	NA-09	Clear to get Miners as reward	Stratum Entrance	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406219	406119	406019	3	3	3	3	3	3	4	0|0	0|0	0|0	0|0	0|0	0|0	2	1	1	30202097|30202098	30202099|30202399	30202100|30202400	30202101|30202401	30202102|30202402	30202103|30202403	58|58|58	0|160|0											
120		NA-10	Clear to get Miners as reward	Stratum Surface	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406220	406120	406020	3	3	3	3	3	3	4	0|0	0|0	0|0	0|0	0|0	0|0	2	1	1	30202104|30202105	30202106|30202406	30202107|30202407	30202108|30202408	30202109|30202409	30202110|30202410	58|58|58	0|160|0											
121		SP-08	Complete the operation to reduce the difficulty of EX-04	Stratum Cave	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage022.png								1	0	406221	406121	406021	3	3	3	3	3	3	4	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202111|30202112	30202113|30202413	30202114|30202414	30202115|30202415	30202116|30202416	30202117|30202417	21|21|21	39|39|39	0|160|0	27|162|156									
122		SP-09	Complete the operation to reduce the difficulty of EX-04	Stratum Passage	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage023.png								1	0	406222	406122	406022	3	3	3	3	3	3	4	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202118|30202119	30202120|30202420	30202121|30202421	30202122|30202422	30202123|30202423	30202124|30202424	21|21|21	35|35|35	0|160|0	155|161|155									
123		SP-10	Complete the operation to reduce the difficulty of EX-04	Stratum Cliff	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage024.png								1	0	406223	406123	406023	3	3	3	3	3	3	4	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202125|30202126	30202127|30202427	30202128|30202428	30202129|30202429	30202130|30202430	30202131|30202431	21|21|21	28|28|28	0|160|0	34|163|157									
124		EX-04	Complete the operation to eliminate all the enemies in the mine	Stratum Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss07.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	119	120	121	122	123	1	0	406224	406124	406024	3	3	3	3	3	3	4	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202132|30202133	30202134|30202434	30202135|30202435	30202136|30202436	30202137|30202437	30202138|30202438	22|22|22	67|67|56	0|160|0	27|162|156	155|161|155	34|163|157							
125	124	NA-11	Clear to get Miners as reward	Bollie Entrance	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406125	406125	406025	3	3	3	3	3	3	5	0|0	0|0	0|0	0|0	0|0	0|0	2	1	1	30202139|30202140	30202141|30202441	30202142|30202442	30202143|30202443	30202144|30202444	30202145|30202445	26|26|26	0|164|236											
126		NA-12	Clear to get Miners as reward	Bollie Surface	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage03.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage03.png								1	0	406126	406126	406026	3	3	3	3	3	3	5	0|0	0|0	0|0	0|0	0|0	0|0	2	1	1	30202146|30202147	30202148|30202448	30202149|30202449	30202150|30202450	30202151|30202451	30202152|30202452	26|26|26	0|164|236											
127		SP-11	Complete the operation to reduce the difficulty of EX-05	Bollie Cave	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage022.png								1	0	406127	406127	406027	3	3	3	3	3	3	5	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202153|30202154	30202155|30202455	30202156|30202456	30202157|30202457	30202158|30202458	30202159|30202459	22|22|22	57|57|57	0|164|236	31|166|237									
128		SP-12	Complete the operation to reduce the difficulty of EX-05	Bollie Passage	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage023.png								1	0	406128	406128	406028	3	3	3	3	3	3	5	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202160|30202161	30202162|30202462	30202163|30202463	30202164|30202464	30202165|30202465	30202166|30202466	22|22|22	55|55|55	0|164|236	238|165|238									
129		SP-13	Complete the operation to reduce the difficulty of EX-05	Bollie Cliff	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage024.png								1	0	406129	406129	406029	3	3	3	3	3	3	5	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202167|30202168	30202169|30202469	30202170|30202470	30202171|30202471	30202172|30202472	30202173|30202473	22|22|22	51|51|51	0|164|236	42|167|239									
130		EX-05	Complete the operation to eliminate all the enemies in the mine	Bollie Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss08.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	125	126	127	128	129	1	0	406130	406130	406030	3	3	3	3	3	3	5	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202174|30202175	30202176|30202476	30202177|30202477	30202178|30202478	30202179|30202479	30202180|30202480	23|23|23	56|56|168	0|164|236	31|166|237	238|165|238	42|167|239							
131	118	DF-01	Complete the operation to reduce the difficulty of DS-01	Energy Surface	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage020.png								0	0	406300	406301	406302	3	3	3	3	3	3	6	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202482	30202483	30202484	30202485	30202486	30202487	202|202|202	203|203|203		204|204|204									
132		DF-02	Complete the operation to reduce the difficulty of DS-01	Energy Passage	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage021.png								0	0	406303	406304	406305	3	3	3	3	3	3	6	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202488	30202489	30202490	30202491	30202492	30202493	202|202|202	203|203|203		205|205|205									
133		DS-01	Clear to gain Electricity and other item rewards	Energy Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	131	132				0	0	406306	406307	406308	3	3	3	3	3	3	6	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202494	30202495	30202496	30202497	30202498	30202499	202|202|202	203|203|203		204|204|204	205|205|205								
134	133	DF-03	Complete the operation to reduce the difficulty of DS-02	Mountain Surface	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage020.png								0	0	406309	406310	406311	3	3	3	3	3	3	7	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202500	30202501	30202502	30202503	30202504	30202505	206|206|206	207|207|207		208|208|208									
135		DF-04	Complete the operation to reduce the difficulty of DS-02	Mountain Passage	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage021.png								0	0	406312	406313	406314	3	3	3	3	3	3	7	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202506	30202507	30202508	30202509	30202510	30202511	206|206|206	207|207|207		209|209|209									
136		DS-02	Clear to gain Electricity and other item rewards	Mountain Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss05.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	134	135				0	0	406315	406316	406317	3	3	3	3	3	3	7	81|81	82|82	83|83	84|84	85|85	201|201	2	1	1	30202512	30202513	30202514	30202515	30202516	30202517	206|206|206	207|207|207		208|208|208	209|209|209								
137	136	DF-05	Complete the operation to reduce the difficulty of DS-03	Wamba Surface	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage022.png								0	0	406318	406319	406320	3	3	3	3	3	3	8	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202518	30202519	30202520	30202521	30202522	30202523	22|22|22	39|39|39	210|210|210	211|211|211									
138		DF-06	Complete the operation to reduce the difficulty of DS-03	Wamba Cave	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage023.png								0	0	406321	406322	406323	3	3	3	3	3	3	8	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202524	30202525	30202526	30202527	30202528	30202529	22|22|22	35|35|35	210|210|210	213|213|213									
139		DF-07	Complete the operation to reduce the difficulty of DS-03	Wamba Passage	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage024.png								0	0	406324	406325	406326	3	3	3	3	3	3	8	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202530	30202531	30202532	30202533	30202534	30202535	22|22|22	28|28|28	210|210|210	212|212|212									
140		DS-03	Clear to gain Electricity and other item rewards	Wamba Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss07.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	137	138	139			0	0	406327	406328	406329	3	3	3	3	3	3	8	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202536	30202537	30202538	30202539	30202540	30202541	22|22|22	67|67|56	210|210|210	211|211|211	213|213|213	212|212|212							
141	140	DF-08	Complete the operation to reduce the difficulty of DS-04	Midland Surface	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage022.png								0	0	406330	406331	406332	3	3	3	3	3	3	9	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202542	30202543	30202544	30202545	30202546	30202547	23|23|23	57|57|57	214|214|214	215|215|215									
142		DF-09	Complete the operation to reduce the difficulty of DS-04	Midland Cave	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage023.png								0	0	406333	406334	406335	3	3	3	3	3	3	9	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202548	30202549	30202550	30202551	30202552	30202553	23|23|23	55|55|55	214|214|214	217|217|217									
143		DF-10	Complete the operation to reduce the difficulty of DS-04	Midland Passage	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage024.png								0	0	406336	406337	406338	3	3	3	3	3	3	9	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202554	30202555	30202556	30202557	30202558	30202559	23|23|23	51|51|51	214|214|214	216|216|216									
144		DS-04	Clear to gain Electricity and other item rewards	Midland Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss07.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	141	142	143			0	0	406339	406340	406341	3	3	3	3	3	3	9	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202560	30202561	30202562	30202563	30202564	30202565	23|23|23	56|56|56	214|214|214	215|215|215	217|217|217	216|216|216							
145	130	SP-14	Complete the operation to reduce the difficulty of EX-06	Western Cloud Island	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage021.png								0	0	406356	406356	406356	3	3	3	3	3	3	10	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202600|30202601	30202602|30202603	30202604|30202605	30202606|30202607	30202608|30202609	30202610|30202611	23|23|23	63|63|63	218|223|228	219|224|229									
146		SP-15	Complete the operation to reduce the difficulty of EX-06	Southern Cloud Island	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage022.png								0	0	406357	406357	406357	3	3	3	3	3	3	10	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202612|30202613	30202614|30202615	30202616|30202617	30202618|30202619	30202620|30202621	30202622|30202623	23|23|23	38|38|38	218|223|228	220|225|230									
147		SP-16	Complete the operation to reduce the difficulty of EX-06	Eastern Cloud Island	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage023.png								0	0	406358	406358	406358	3	3	3	3	3	3	10	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202624|30202625	30202626|30202627	30202628|30202629	30202630|30202631	30202632|30202633	30202634|30202635	23|23|23	49|49|49	218|223|228	221|226|231									
148		SP-17	Complete the operation to reduce the difficulty of EX-06	Northern Cloud Island	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage02.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage024.png								0	0	406359	406359	406359	3	3	3	3	3	3	10	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202636|30202637	30202638|30202639	30202640|30202641	30202642|30202643	30202644|30202645	30202646|30202647	23|23|23	73|73|73	218|223|228	222|227|232									
149		EX-06	Complete the operation to eliminate all the enemies in the mine	Cloud Island Deep Hive	Assets/Product/Ui/ComponentPrefab/FubenStronghold/FuBenStrongholdStage01.prefab	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStage01.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdFightStageBoss11.png	Assets/Product/Texture/Image/UiStronghold/UiStrongholdBossBg.png	145	146	147	148		0	0	406355	406355	406355	3	3	3	3	3	3	10	86|86	87|87	88|88	89|89	90|90	201|201	2	1	1	30202648|30202649	30202650|30202651	30202652|30202653	30202654|30202655	30202656|30202657	30202658|30202659	23|23|23	56|56|56	218|223|228	219|224|229	220|225|230	221|226|231	222|227|232						
