Id	Position	FightSkillId	UnlockStar	Name	Description	Icon
50002	0	901307	1	Charge Constraint	Charges forward and deals area damage	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50003	0	901507	1	Kinetic Charge	Deals damage to a single target	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50004	0	901806	1	Shock Blast	Charges forward and deals area damage	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50005	0	901913	1	Precision Modification	Deals damage to the area in front	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50006	0	902112	1	Multi-severance	Deals 3 AOE hits	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50007	0	902507	1	Blade Breaker	Dash, dealing an area damage and adding stun effect	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50008	0	903609	1	Overload	Deals multiple hits	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50009	0	903707	1	Shattering Arrow	Deals massive damage to a single target	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50010	0	904417	1	Rebellious Whirlwind	Deals multiple hits to targets in a straight line	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50011	0	903312	1	Gravity	Deals multiple hits of area damage	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50012	0	903411	1	Malla Swipe	Charges forward and deals area damage 3 times	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50013	0	902607	1	Obliterating Laser	Deals multiple hits to targets in a straight line	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50014	0	902213	1	Quicksand	Charges forward and deals area damage in a rectangular area	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50015	0	904520	1	Wrath of the Judgment	Deals damage in a large area after the leap. Becomes invincible while jumping	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50016	0	906214	1	Disintegrated Firepower	Deals multiple hits of damage in a small area	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50017	0	906408	1	Warp Toss	Deals area damage	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50018	0	906511	1	Crimson Wheel	Casts a boomerang to deal DOT	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
50019	0	907019	1	Shackle of Universe	Deals massive damage to a single target	Assets/Product/Texture/Image/IconSkill/R2kuluomudazhao1.png
