Id	Name	GuideBg	Description
51	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
52	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
53	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
54	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
55	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
56	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
57	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
58	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
59	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
60	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
61	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
62	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
63	BP-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
64	BP-5	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
65	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
66	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
67	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
68	BPR-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
69	BPR-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
70	BPR-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
71	BPR-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
72	BPR-5	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	Pick
