Id	Normal	Urgency	Critical	NormalTitle	NormalStatus	UrgencyTitle	UrgencyStatus	CriticalTitle	CriticalStatus
30150231	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150232	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150233	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150234	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150235	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150236	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150237	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150238	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150239	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150240	0	10	20	<color=#FFFFFF>Normal</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150241	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150242	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150243	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150244	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150245	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150246	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150247	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150248	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150249	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150260	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150261	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150262	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150263	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150264	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150265	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150266	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150267	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150268	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150269	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150270	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150271	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
30150272	0	10	20	<color=#FFFFFF>Normal Situation</color>	<color=#FFFFFF>Current Status: White Warning</color>	<color=#E9B132>Urgent</color>	<color=#E9B132>Current Status: Yellow Warning</color>	<color=#F6565C>Critical</color>	<color=#F6565C>Current Status: Red Warning</color>
