Id	IconPath	BigIconPath	Name	Description	SkillEffect[1]	SkillEffect[2]	SkillEffect[3]	SkillEffect[4]	SkillEffect[5]	SkillEffect[6]	SkillDescription[1]	SkillDescription[2]	SkillDescription[3]	SkillDescription[4]	SkillDescription[5]	SkillDescription[6]
1504	Assets/Product/Texture/Image/IconToolsSp/EFuertaiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EFuertaiI01002.png	Voltaire	Weaken Enemy I		150402		150404				Attacks reduce the target's DEF by 10% for 5s. 12s cooldown.		When taking damage, reduces the attacker's Physical DEF by 15% for 7s. Can be stacked up to 2 times. Duration resets every time it is triggered.		
1505	Assets/Product/Texture/Image/IconToolsSp/EGeluodaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGeluodaI01002.png	Gloria	Weaken Enemy II		150502		150504				Attacks reduce the target's all Elemental Resistance by 6% for 5s. 12s cooldown.		When taking damage, reduces the Elemental Resistance of enemies within 5m by 6% for 7s. Duration resets every time it is triggered.		
1506	Assets/Product/Texture/Image/IconToolsSp/ELisailiuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELisailiuI01002.png	Richelieu	Attack Support Boost		150602		150604				Healing effect increases by 5%. Next healing effect increases the target's Physical DMG by 8% for 4s. 5s cooldown.		Gains a random Signal Orb for every 8 orbs pinged. 5s cooldown.		
1507	Assets/Product/Texture/Image/IconToolsSp/ESamandaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ESamandaI01002.png	Samantha	Energy Support Boost		150702		150704				Healing effect increases by 5%. Next healing effect increases the target's Elemental DMG by 8% for 4s. 5s cooldown.		The next healing effect adds an elemental aura that increases the Elemental DMG and Elemental Resistance of the allies in the area by 8% and 5% respectively. 10s cooldown.		
1508	Assets/Product/Texture/Image/IconToolsSp/EMozateI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EMozateI01002.png	Mozart	EX Dodge Boost		150802		150804				Extra DMG Bonus increases by 15% when in Matrix.		Deals 200% damage to all enemies on screen when you enter Matrix.		
1509	Assets/Product/Texture/Image/IconToolsSp/EBudikaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EBudika01002.png	Boudica	ATK Boost		150902		150904		150906		Basic Attack's Extra DMG Bonus increases by 7%.		All DMG dealt and Movement Speed are increased by 5% and 10% when in Matrix.		Extra DMG Bonus increases by 3% upon dealing DMG. It can only be triggered once per 2s. Stacks up to 5 times until taking DMG.
1550	Assets/Product/Texture/Image/IconToolsSp/EShengdanlifuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EShengdanlifuI01001.png	Liv: Reindeer	Energy Boost		155002		155004				Signal Orb skill's Extra DMG Bonus and healing effect increase by 5%.		Attacks have a 20% chance to drop Christmas gifts next to the enemy. Picking up a gift restores 5 Energy and increases Extra DMG Bonus by 5% for 5s. 10s cooldown.		
1551	Assets/Product/Texture/Image/IconToolsSp/EXinniankalieI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EXinniankalieI01001.png	New Year Fireworks	Damage Boost		155012						ATK increases by 5%. For every 3 Red Orbs pinged, summons 4 red packets that deal 10% Fire DMG when they touch the enemy. Lasts 10s. 30s cooldown.				
1552	Assets/Product/Texture/Image/IconToolsSp/EYuanxiaoluxiyaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EYuanxiaoluxiyaI01001.png	Lantern Festival: Reunion	ATK Boost		155022						After performing a 3-Ping or QTE skill, releases a lantern to follow the character on field, increasing the ATK and Movement Speed of nearby allies by 7% for 15s. 30s cooldown.				
1553	Assets/Product/Texture/Image/IconToolsSp/ELizhounianI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELizhounianI01002.png	Lee—Celebration under the Moon	Anniversary		155052		155054				Gain 10% Extra DMG Reduction for 3s upon dodge.		The own max. HP restores by 10% when entering Matrix, and is triggered every 30s.		
1555	Assets/Product/Texture/Image/IconToolsSp/EKFC02Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKFC02002.png	KFC·Alpha	Speed Boost		155032						A QTE or 3-Ping has a 50% chance to drop a bucket of chicken. 30s cooldown. The bucket disappears in 10s. Picking it up will increase Movement Speed by 12% for 15s. Duration resets every time it is triggered.				
1556	Assets/Product/Texture/Image/IconToolsSp/EKFC01Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKFC01002.png	KFC·Lucia	Energy Boost		155042						A QTE or 3-Ping has a 50% chance to drop a chicken burger. 30s cooldown. The chicken burger disappears in 10s. Picking it up grants 8 energy.				
1557	Assets/Product/Texture/Image/IconToolsSp/ELifuZhongqiuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELifuZhongqiuI01002.png	Liv: United	Survival Boost		155062		155064				Movement speed increases by 10%		After a 3-Ping, increases healing by 10% and gains a shield of 10% max HP for 5s.		
1558	Assets/Product/Texture/Image/IconToolsSp/EKuluomuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKuluomuI01002.png	Chrome: Banquet	2nd Anniversary Memory		155072		155074				DEF increases by 10%.		After a 3-Ping, gain a shield of 15% max HP for 8s. Can be triggered once per 8s.		
1601	Assets/Product/Texture/Image/IconToolsSp/EKangdelinaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKangdelinaI01002.png	Condelina	Basic Attack Boost		160102		160104				Basic Attack's Extra DMG Bonus increases by 15%.		Basic Attacks have a 25% chance to go berserk, increasing the Extra Damage of Basic Attack by 15% and CRIT Rate by 5% for 5s. 8s cooldown.		
1602	Assets/Product/Texture/Image/IconToolsSp/EShashibiyaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EShashibiyaI01002.png	Shakespeare	Fire Boost		160202		160204				All ATK increases by 3% and Fire DMG increases by 7%.		Attacks have a 50% chance to inflict Burn for 5s. When attacking a burning enemy, there is a 20% chance to cause an explosion, dealing 100% Fire DMG. 5s cooldown. Burn: Reduces the target's Fire Resistance by 8% and deals 12% Fire DMG per second. Can be stacked up to 3 times. Duration resets every time it is triggered.		
1603	Assets/Product/Texture/Image/IconToolsSp/EHaisenbaoI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EHaisenbaoI01002.png	Heisen	Lightning Boost		160302		160304				All ATK increases by 3% and Lightning DMG increases by 7%.		Attacks have a 25% chance to trigger Thunderstorm within 3.5m. Thunderstorm electrocutes the target for 5s. 5s cooldown. Attacking an electrocuted enemy has a 20% chance to trigger lightning chain damage. 8s cooldown. Lightning Chain: All electrocuted targets take 250% Lightning DMG. Thunderstorm: 100% Lightning DMG. Electrocute: Lightning Resistance is reduced by 8%.		
1604	Assets/Product/Texture/Image/IconToolsSp/EDaerwenI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EDaerwenI01002.png	Darwin	Orb Skill Boost		160402		160404				For each orb pinged, Extra DMG Bonus increases by 3% for 4s. Can be stacked up to 5 times. Duration resets every time it is triggered.		Records the color of Signal Orbs pinged. When all 3 colors are recorded, unleashes a 12m shockwave that deals 600% Physical DMG and resets the record.		
1605	Assets/Product/Texture/Image/IconToolsSp/EHannaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EHannaI01002.png	Hanna	3-Ping Boost		160502		160504				Extra DMG Bonus of 3-Ping is increased by 25%.		For every 30s, enters Matrix upon a 3-Ping and gains a random Signal Orb.		
1606	Assets/Product/Texture/Image/IconToolsSp/EAdaifuI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAdaifuI01002.png	Cottie	Signature Move Boost		160602		160604				Gains 20% more Energy when pinging an orb. Signature Move requires 20% less Energy.		Extra DMG Bonus increases by 15% for 10s when performing a Signature Move. Gains Super Armor that increases Extra DMG Reduction by 20% for 5s after the Signature Move. Triggering these effects again will renew their duration.		
1607	Assets/Product/Texture/Image/IconToolsSp/EDafenqiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EDafenqiI01002.png	Da Vinci	QTE Boost		160702		160704				When QTE is triggered, the controlling character gains 10% ATK and 20% DEF for 8s. Duration resets every time it is triggered.		When QTE is triggered, triggers another character's QTE. 8s cooldown. If there are 3 characters on the field, ATK is increased by 20%.		
1608	Assets/Product/Texture/Image/IconToolsSp/EKaiselinI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKaiselinI01002.png	Catherine	Survival Boost I		160802		160804				QTE and 3-Ping skills reduce the target's Physical DEF by 20% for 8s. 10s cooldown.		When taking damage, gains a shield that absorbs damage equal to 20% of own DEF, as well as increasing the Physical DMG dealt by 15% for 5s. 8s cooldown.		
1609	Assets/Product/Texture/Image/IconToolsSp/EAiyinsitanI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAiyinsitanI01002.png	Einsteina	Survival Boost II		160902		160904				QTEs and 3-Pings reduce the target's corresponding Elemental DMG Resistance by 15% for 8s. Cooldown: 10s.		When taking damage, releases an elemental aura, gaining Elemental Resistance equal to 5% + 1% of own DEF for 5s. Elemental DMG dealt increases by 15% when the aura is present. 8s cooldown.		
1610	Assets/Product/Texture/Image/IconToolsSp/EFeilieteI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EFeilieteI01002.png	Philip II	Support Boost I		161002		161004				Increase Heal by 10%. Healing allies increases their Physical DMG and DEF by 10% for 5s (CD: 8s).		A healing drone will be charged when healing is performed. When fully charged, the next time you performing healing will consume all charged energy to summon the healing drone. It will follow an ally with the lowest HP percentage, healing allies in a 5m radius for 2% maximum HP per second and increasing their Physical DMG by 15% for 5s. 12s cooldown.		
1611	Assets/Product/Texture/Image/IconToolsSp/EGuiniweiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGuiniweiI01002.png	Guinevere	Support Boost II		161102		161104				Heals for 10% more. Increases the Elemental DMG and Resistances of the healing target by 10% for 5 seconds. Has a cooldown of 8 seconds.		A healing drone will be charged when healing is performed. When fully charged, the next time you performing healing will consume all charged energy to summon the healing drone. It will follow an ally with the lowest HP percentage, healing allies in a 5m radius for 2% maximum HP per second and increasing their Elemental ATK by 15% for 5s. 12s cooldown.		
1612	Assets/Product/Texture/Image/IconToolsSp/EFeitelieI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EFeitelieI01002.png	Frederick	Dodge Boost		161202		161204				Each dodge increases Movement Speed by 15% and Extra DMG Bonus by 5% for 5s. Can be stacked up to 3 times. Duration resets every time it is triggered.		The next dodge reduces the attacker's speed by 20% and Extra DMG Reduction by 15% for 4s. 8s cooldown.		
1613	Assets/Product/Texture/Image/IconToolsSp/EManyinsitanI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EManyinsitanI01002.png	Bathlon	Dark Boost		161302		161304				ATK increases by 3% and Dark DMG increases by 7%		Dealing DMG has a 20% chance to summon a Dark Zone that lasts 5s. 5s cooldown. The Dark Zone will inflict Corruption on the targets within it for 3s. Attacking a Corrupted target has a 20% chance to gain 1 random Signal Orb. 12s cooldown. Corruption: Deals 80% Dark DMG every 2s and reduces Dark Resistance by 8%.		
1614	Assets/Product/Texture/Image/IconToolsSp/EBadunI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EBadunI01002.png	Patton	Physical Boost		161402		161404				CRIT Rate and Physical DMG increase by 5%.		Each time you deal Physical DMG, if it is not a CRIT Hit, the CRIT Rate of the next Physical DMG increases by 2%, stacking up to a maximum of 20%. This effect is reset when you deal a CRIT Hit. CRIT Hit increases Physical DMG by 5% for 3s. Can be stacked up to 3 times. Duration resets every time it is triggered.		
1615	Assets/Product/Texture/Image/IconToolsSp/EZuwenyuanI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EZuwenyuanI01001.png	Chen Jiyuan	Ice Boost		161502		161504				ATK increases by 3% and Ice DMG increases by 7%		30% chance to cause Frost for 5s while attacking. When attacking targets with Frost, there is a 20% chance to trigger Ice Explosion to deal 420% Ice DMG within 3m from the target and apply Frost. This effect has a 8s cooldown. Frost: Reduces target's Movement Speed by 20% and Ice Resistance by 8%.		
1616	Assets/Product/Texture/Image/IconToolsSp/EKeyaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EKeya01002.png	Koya	ATK Boost		161602		161604		161606		Extra DMG increases by 10%.		Gains 20% energy when switched in. Signal Orb Skill DMG increases by 10% while a shield exists.		When Camu: Crocotta is Berserk, increases Damage Dealt by 10% and Speed by 20%. Ping Skills that deal damage also inflict Fear for the duration of Berserk. Fear: Reduces ATK DMG by 10% and deals an additional 10% ATK DMG to the target.
1617	Assets/Product/Texture/Image/IconToolsSp/ELiewenhukeI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELiewenhukeI01001.png	Leeuwenhoek	Physical Support Boost		161702		161704				ATK increases by 3% and Physical DMG increases by 7%		Increases the effect of Lance of Perception by 20%. Deals 5% more damage against targets under the effect of Lance of Perception.		
1618	Assets/Product/Texture/Image/IconToolsSp/EWuanjunI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EWuanjunI01002.png	Wu'an	ATK Boost		161802		161804		161806		Basic Attack's Extra DMG Bonus increases by 5%, Physical DMG increases by 7%.		The Super Armor of Sweeping Tempest lasts 2s longer. Physical DMG increases by 15% while Super Armor is active.		Gains 24 Energy upon entering Concentrated Will. Immediately gains one Signal Orb of each color after casting Signature - Dragon's Wrath.
1619	Assets/Product/Texture/Image/IconToolsSp/ELemeiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELemeiI01002.png	Flamel	ATK Boost		161902		161904				Dark DMG increases by 5% and ATK increases by 5%		After entering annihilation state, the aphotic DMG increases by 30%. DMG of End is Nigh increases by 30%. Gain extra 10 Energy after the annihilation orb is eliminated.		
1620	Assets/Product/Texture/Image/IconToolsSp/ELukeleiqiyaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ELukeleiqiyaI01002.png	Lucrezia	Lightning Boost		162002		162004		162006		Lightning DMG increases by 10%.		Upon triggering Chord, gain bonus 15 energy and 10% Extra DMG Bonus for 5s.		Extra DMG Bonus increases by 20% when attacking enemies affected by Concerto.
1621	Assets/Product/Texture/Image/IconToolsSp/EAikesupeiliI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAikesupeiliI01002.png	Exupery	Ice Boost												
1622	Assets/Product/Texture/Image/IconToolsSp/ETifaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ETifaI01002.png	Tifa	Lightning Boost		162202		162204				ATK increases by 5% and Lightning DMG increases by 5%		DMG from Spear Lunge increases by 50%. Victorious War Flag causes Turbulence Interference on the target for 2s. Refreshes every time it is triggered. Basic DMG from Lightning Fall increases by 100%.		
1623	Assets/Product/Texture/Image/IconToolsSp/ENikeersenI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/ENikeersenI01002.png	Jack	Fire Boost		162302		162304		162306		ATK increases by 5% and Fire DMG increases by 7%.		Basic Attack combo has 10% more Extra DMG Bonus and returns 10 bonus Deception Points.		Gains 30 bonus energy each time upon deployment. After casting a valid combo, recovers 50/75/100 Dodge Gauge based on the combo type. The Extra DMG Bonus of Incinerating Orb increases by 100%. After casting a Signature Move, Attack increases by 5% for 8s.
1624	Assets/Product/Texture/Image/IconToolsSp/EYilishabaiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EYilishabaiI01002.png	Elizabeth	Fire Boost		162402		162404				ATK increases by 5% and Fire DMG increases by 5%.		Extra DMG Bonus of Oaths will increase by 50%. When equipped by Liv: Empyrea, upon a 3-Ping by any team member, Liv: Empyrea's drones will appear and cast White Oracle against the target, dealing damage equal to 3% Liv: Empyrea's ATK every second for 20s. This effect can be stacked up to 5 times. Meanwhile, Liv: Empyrea will restore HP equal to 15% of her ATK every second for team members within the range for 4s.		
1625	Assets/Product/Texture/Image/IconToolsSp/EFanniI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EFanniI01002.png	Seraphine	Dark Boost		162502		162504				ATK increases by 5% and Dark DMG increases by 5%.		A random Reprise deals 100% more damage. Allies healed by Selena: Capriccio gain a Dark Radiation effect of dealing 10% more Dark DMG for 8s. The duration will be reset every time the effect is triggered.		
1626	Assets/Product/Texture/Image/IconToolsSp/EMaerkeI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EMaerkeI01002.png	Marco	Physical Boost		162602		162604		162606		Deals 7% more Physical DMG and 5% more Basic Attack DMG.		When Pulao: Dragontoll catches Dragon Axe while being hit, removes her own Hit status and throws it again. Meanwhile, removes the red penalty on the Dodge Gauge and restores 250 Dodge Gauge value.		Dragon Force Combo's Base DMG increases by 50%. When the first hit of Dragon Force Combo is triggered, Dragon Axe will release Dragon Roar to pull enemies to Pulao and she gains a shield equal to 15% max HP for 6s.
1627	Assets/Product/Texture/Image/IconToolsSp/EYounimeiteI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EYounimeiteI01002.png	Unimate	Fire Boost		162702		162704				Increases Fire DMG by 10%.		"Oops! Missed it!"/"Perfect!"/Burning Blow deals 100% more Base DMG. Nanami: Starfarer's QTE Skill will inflict Scorching Invasion that reduces the target's Fire Resistance by 15% upon hitting it for 8s.		
1628	Assets/Product/Texture/Image/IconToolsSp/EAixiaI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EAixiaI01002.png	Isabel	Ice Boost		162802		162804		162806		ATK increases by 5% and Ice DMG increases by 7%.		Frost-Treated Blade: Quench deals 15% more Base DMG.		Bitter Frost deals 200% more Ice DMG to enemies with Frozen Status.
1629	Assets/Product/Texture/Image/IconToolsSp/EBuenI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EBuenI01002.png	Boone	Dark Boost		162902		162904				Dark DMG increases by 10%.		Doubles the Base DMG increase effect of Karenina: Scire's Kinetic Energy for Starshatter Horizon and the Base DMG multiplier of Leap Attack and Radiant Whirlwind.		
1630	Assets/Product/Texture/Image/IconToolsSp/EXueLaiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EXueLaiI01002.png	Shelley	Lightning Boost		163002		163004		163006		Lightning DMG increases by 10%.		Gains Super Armor when casting a 3-Ping and Combo Strike. Whenever taking DMG during a 3-Ping, Gear-Break Combo, or Assault-Rising Combo, loses Dodge Gauge instead of HP until the DMG taken exceeds the available Dodge Gauge.		The Base DMG multiplier of Gear-Break Combo and Assault-Rising Combo doubles.
1631	Assets/Product/Texture/Image/IconToolsSp/EXialuodiI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EXialuodiI01002.png	Charlotte	Physical Boost		163102		163104				Basic Attacks deal 5% more DMG. ATK increases by 7%.		Glowing Lanternlight deals 50% more Base DMG. Afterglow Shadow deals 100% more Base DMG. Every time upon entering Luminous Realm, rearranges the Signal Orbs when casting Glowing Lanternlight.		
20001	Assets/Product/Texture/Image/IconToolsSp/EJpLivlizhuangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EJpLivlizhuangB01001.png	Ceremony - Liv	Survival Boost		3000002		3000004				Gain a shield equal to 20% Max HP for 5s every 30s after taking DMG.		Gain a Heal effect equal to 15% Max HP every 20s.		
1901	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material I								N/A		N/A		
1902	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material II								N/A		N/A		
1903	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material III								N/A		N/A		
1904	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material III								N/A		N/A		
1905	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material III		190202		190204				Reduces Extra DMG Bonus by 15% and Extra DMG Reduction by 30%.		Lose 5% of maximum HP every 5s.		
1906	Assets/Product/Texture/Image/IconToolsSp/EGouliangI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EGouliangI01002.png	Memory Enhancer	Enhance Material III		190202		190204				Reduces Extra DMG Bonus by 15% and Extra DMG Reduction by 30%.		Lose 5% of maximum HP every 5s.		
20002	Assets/Product/Texture/Image/IconToolsSp/EJpWeilaSummerI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EJpWeilaSummerB01001.png	Vera - Scarlet Summers	Attack HP Recovery		3000006		3000008				Upon a 3-Ping, gains 5% ATK for 5s. Cooldown: 10s.		When in Matrix, restores HP equal to 200% of the current ATK next time when dealing DMG. Cooldown: 25s.		
20000	Assets/Product/Texture/Image/IconToolsSp/EJpI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EJpB01001.png	Straylight Terminal	Physical Boost		2000002		2000004				Movement Speed +10%		会心率が3%上昇、物理ダメージが2%上昇		
50000	Assets/Product/Texture/Image/IconToolsSp/EEnI01001Sp.png	Assets/Product/Texture/Image/RoleWaferBag/EEnB01001.png	Lucia - Summer Daze	Exclusive Memory		5000002		5000004				Basic Attack DMG increases by 10%.		After any 3-Ping, randomly gain one of the below effects for 3s. 4s cooldown. Wild Rocker: All DMG increases by 7%. Soothing Chord: Receives a shield equal to 15% of your Defense. The shield refreshes when this effect is triggered again.		
