Id	Type	Site	Quality	Star	WeaponSkillId	Priority	DefaultLock	CharacterId	SuitId	CharacterType	Name	LogName	Description	NeedFirstShow
2074001	7	0	4	4	2074001	2074001	0			0	Rifled Gun	4★ Bazooka: Rifled Gun	Rifling greatly increases the efficiency of delivery.	0
2075001	7	0	5	5	2075001	2075001	0			0	Magma Pillar	5★ Bazooka: Magma Pillar	Prototype cannon equipped with an internal reactor. Be careful of overheating.	0
2075002	7	0	5	5	2075002	2075002	0			0	Firecrackers	5★ Bazooka: Firecrackers	The design of the Bazooka was inspired by firecrackers. Shells can be loaded into the Bazooka and fired together. However, it requires a few seconds to dissipate heat before it can be fired again.	0
2076001	7	0	6	6	2076001	2076001	0			0	Berserk Fusion	6★ Bazooka: Berserk Fusion	Said to have been used by insurgents against the Unified Earth government. Many modifications and additions have been added to the total detriment of usability, to the extent that it almost seems grotesque.	0
2076002	7	0	6	6	2076002	2076002	0			0	Fusion Dragon	6★ Bazooka: Fusion Dragon	High-energy hand cannon that can fire flames like a dragon's breath.	0
2083001	8	0	3	3	2083001	2083001	0			0	Machete	3★ Dagger: Machete	A kind of very common dagger, ordinary in all aspects of quality.	0
2084001	8	0	4	4	2084001	2084001	0			0	Hunter Knife	4★ Dagger: Hunter Knife	Well-designed knife that can be handily wielded even by Constructs who are not good at knives.	0
2085001	8	0	5	5	2085001	2085001	0			0	Stone Heart	5★ Dagger: Stone Heart	The special alloys used make it much heavier than it looks. Very powerful despite its small size.	0
2085002	8	0	5	5	2085002	2085002	0			0	Yuan Night	5★ Dagger: Yuan Night	This dagger was specially designed for the Lantern Festival. There is special blessing engraved on the body of the blade.	0
2086001	8	0	6	6	2086001	2086001	0			0	Soul Ripper	6★ Dagger: Soul Ripper	Dagger equipped with ion vibrator, causing severe damage to the area around the wound. Requires great skill to use effectively.	0
2086002	8	0	6	6	2086002	2086002	0			0	Peacemaker	6★ Dagger: Peacemaker	Pressing the button on Peacemaker's hilt will make the blade vibrate rapidly, greatly enhancing its slashing ability. Additionally, the blade contains trace radioactive elements, which increases penetration damage to the enemy's components.	0
2093001	9	0	3	3	2093001	2093001	0			0	Standard Scythe	3★ Scythe: Standard Scythe	A common scythe, with excellent cutting performance.	0
2094001	9	0	4	4	2094001	2094001	0			0	Bleak Scythe	4★ Scythe: Bleak Scythe	This weapon was forged on the basis of a standard scythe. However, a folding mechanism was added to the body, making it convenient to carry.	0
2095001	9	0	5	5	2095001	2095001	0			0	Faded Color	5★ Scythe: Faded Color	Though this weapon was forged long ago and the coating of the blade has faded, it still remains as sharp as ever.	0
2096001	9	0	6	6	2096001	2096001	0			0	Purple Peony	6★ Scythe: Purple Peony	Purple Peony's bright blade will leave a thick corrosive coating on the enemy while attacking, quickly eating away at the outer armor of the Corrupted. When the corrosive coating penetrates into the body, it can even cause a temporary short-circuit.	0
2096002	9	0	6	6	2096002	2096002	0			0	St. Elmo	6★ Scythe: St. Elmo	Made of highly conductive alloys, the foldable design makes St. Elmo more portable. When you wave it, you can see streaks of flashing blue and white, which is characteristic of the sharp discharge of the blade.	0
2096003	9	0	6	6	2096003	2096003	0			0	Galatea	6★ Scythe Galatea	Galatea is created based on a brand new concept in answer to the dissatisfaction with the existing weapons. It's a perfect vessel that reflects the creator's spirit and holds everything inside. It conveys the creator's feelings and composes an epilogue for the enemy.	0
2104001	10	0	4	4	2104001	2104001	0			2	Photophage	4★ Uniframe: Greatsword Photophage	A battle-experienced Greatsword. The blade has worn, and the body is strengthened with bandages in order not to affect battling.	0
2105001	10	0	5	5	2105001	2105001	0			2	Glimpse	5★ Uniframe: Greatsword Shadow	This greatsword is blunt and unyielding. The deliberately blunt nature of the blade was designed to torture enemies. Consequently, this greatsword is highly demanding on the user's abilities.	0
2106001	10	0	6	6	2106001	2106001	0			2	Thanatos	6★ Uniframe: Greatsword Thanatos	The mechanical device mounted on the hilt greatly enhances its slashing ability. The blistering heat generated by this blade allows it to easily melt through various mechanical structures. In order to be suitable for long-term solo combat, it's also equipped with a basic automatic maintenance device. Simply pull the level to clean and repair the blade.	0
2114001	11	0	4	4	2114001	2114001	0			0	Astray Explorer	4★ Spear Shield Astray Explorer	The first ever mass-produced Rail Spear for military use. It is equipped with a powerful blast cannon and also has outstanding performance in melee range.	0
2115001	11	0	5	5	2115001	2115001	0			0	RL-03C Black Spike	5★ Spear Shield RL-03C Black Spike	A special-purpose railgun for Task Force Constructs. The warhead has a built-in concussion field that can deconstruct armor upon penetration.	0
2116001	11	0	6	6	2116001	2116001	0			0	Gungnir	6★ Spear Shield Gungnir	This railgun utilizes experimental components to unleash high-energy output as its core design principle. Engineers have nicknamed it "Sharp Lance" for which it is sure to live up to its name.	0
2125001	12	0	5	5	2125001	2125001	0			0	Virtuous Contract	5★ Katana & Greatsword Virtuous Contract	A pair of white blades kept by samurai of the East.	0
2126001	12	0	6	6	2126001	2126001	0			0	Virtuous Contract - Mod	6★ Katana & Greatsword Virtuous Contract - Mod	A pair of white blades kept by samurai of the East.	0
2134001	13	0	4	4	2134001	2134001	0			2	Iron Star Type VI	4★ Uniframe: Glaive Iron Star Type VI	The blade of this quaint and well-crafted spear sends a chill up people's spines—keeping them away even when it is only placed on a rack.	0
2135001	13	0	5	5	2135001	2135001	0			2	Guiyun	5★ Uniframe: Glaive Guiyun	Forged from glided steel, this blade will eliminates all in its path. Only when there is no more conflict shall it meet its sheath.	0
2136001	13	0	6	6	2136001	2136001	0			2	Qinghe	6★ Uniframe: Glaive Qinghe	The straight edge opens Heaven; the curved blade opens the Earth. The waxy hilt and obsidian body of this blade leave no room for impurities between Heaven and Earth. Only a benevolent leader is befit to wield such a blade.	0
2144001	14	0	4	4	2144001	2144001	0			0	Armor Break Type IX	4★ Gauntlets Armor Break Type IX	These standard gauntlets have been optimized for their melee user's body features. A boost mode is activated for increased striking force once they come into contact with the target physically.	0
2145001	14	0	5	5	2145001	2145001	0			0	White Qilin	5★ Gauntlets White Qilin	It is a powerful weapon made with a reckless design policy, carrying a power design that should not appear on gauntlets.	0
2146001	14	0	6	6	2146001	2146001	0			0	Baji	6★ Gauntlets Baji	The technical information of this weapon has been lost, and the only way to manufacture it is to use standard industrial blueprints to execute operating instructions with accuracy of micrometer and nanoseconds. Of course, its power makes this all worth it.	0
2155001	15	0	5	5	2155001	2155001	0			0	Type-4O Lance	5★ Tactical Lance Type-4O Lance	The latest YoRHa model.	0
2156001	15	0	6	6	2156001	2156001	0			0	Type-4O Lance - Mod	6★ Tactical Lance Type-4O Lance - Mod	The latest YoRHa model.	0
2165001	16	0	5	5	2165001	2165001	0			0	Cruel Oath	5★ Katana Cruel Oath	A black blade used by warriors of the East.	0
2166001	16	0	6	6	2166001	2166001	0			0	Cruel Oath - Mod	6★ Cruel Oath - Mod	A black blade used by warriors of the East.	0
2174001	17	0	4	4	2174001	2174001	0			0	Genesis	4★ Amplifier Genesis	The outdated and rudimentary structure makes Shi look fragile and weak, but it can still play a role in term of amplification on biotic animals after countless years.	0
2175001	17	0	5	5	2175001	2175001	0			0	Solar Ring	5★ Amplifier Solar Ring	It's the modified version of the first generation amplifier "Shi", with a reinforced structure and improved energy transmission circuit, resulting in a significant increase in its output.	0
2176001	17	0	6	6	2176001	2176001	0			0	Ozma	6★ Amplifier Ozma	When the amplifier Ozma is used to amplify bionic animals, sufficient computing support must be provided, otherwise it will be hard to perform its real effectiveness , even be involved by its computing consumption, resulting in limited performance of the bionic animal. The amplification covers various aspects of the bionic animal, even the resistance or application of the bionic animal to punishing. Double-edged sword is the best word to describe it.	0
2184001	18	0	4	4	2184001	2184001	0			0	Bullet Ant	4★ Gun Set Bullet Ant	Purchased under the terms outlined in Babylonia military weapon contract SMS-FY-AF-0223. Cosmos Industries products can always be trusted.	0
2185001	18	0	5	5	2185001	2185001	0			0	FA2D-AP	5★ Gun Set FA2D-AP	A mysterious experimental anti-material gun set. Its barrel was forged from special alloys to accommodate unique armor-piercing bullets.	0
2186001	18	0	6	6	2186001	2186001	0			0	Scale	6★ Gun Set Scale	On one side of the barrel is the feather-light special flechette-shaped rounds. On the other side is an inevitable ending for their target.	0
2194001	19	0	4	4	2194001	2194001	0			2	Overture	4★ Uniframe: Cello Blade Overture	I mark the beginning of everything. All notes and chants come after.	0
2195001	19	0	5	5	2195001	2195001	0			2	Odette	5★ Uniframe: Cello Blade Odette	The shining steel blade drives the tightened string. Elegant, lightweight, yet unstoppable.	0
2196001	19	0	6	6	2196001	2196001	0			2	Waldmeister	6★ Uniframe: Cello Blade Waldmeister	Soft, rhythmic, but carries a great weight of meaning. It is the wind in the forest, the fluttering of wings, and the happiness of victory.	0
2204001	20	0	4	4	2204001	2204001	0			0	Standard Gunblade	4★Gunblade: Standard Gunblade	A kind of weapon batched produced in accordance with Kara Type I Gunblade, which finds a delicate balance between power and costs.	0
2205001	20	0	5	5	2205001	2205001	0			0	Kara Type I Gunblade	5★Gunblade: Kara Type I Gunblade	The Gunblade, a weapon left over from the Operation Acadia, has the craftsmanship long been lost. And now, the Babylonia can only make simple maintenance to keep it running normally. Kara Type I gunblade has more excellent research value than application, and provides an excellent data templet for developing other subsequent gunblades in Babylonia.	0
2206001	20	0	6	6	2206001	2206001	0			0	Apollo	6★Gunblade: Apollo	Not all Constructs can withstand the chill it constantly emits, and the fit between the gun and the blade reaches a wonderous peak through cold tempering. The energy released from the muzzle is converted and utilized in the turbine to the extreme, driving the blade to emit a strong resonance.	0
2214001	21	0	4	4	2214001	2214001	0			0	Collaborator	4★ Co-Bot	It is the first generation of Co-Bots researched and manufactured by Kurono Laboratory in the early days. This refined prototype is based the Medic Bot's design. It retains the function of balancing the user's M.I.N.D. to a certain extent, and maximizes its combat power, making it an indispensable prototype for the improvement of the future Co-Bots.	0
2215001	21	0	5	5	2215001	2215001	0			0	Animus	5★ Co-Bot	It's a Co-Bot developed by Asimov using data templates acquired from numerous experiments. Based on the first generation of bots, Animus is able to not only balance the M.I.N.D., but also share it with its users. Whether it is a Co-Bot with multiple battle modes or a high-performance laser beam to supplement to combat power, both can become a natural extension of its user through Animus' special external link. Such intuitive design... it seems like the most beautiful and ingenious weapon.	0
2216001	21	0	6	6	2216001	2216001	0			0	Snore	6★ Co-Bot	It's a Co-Bot with unprecedented computing power and independent tactical analysis. "He" is equipped with the most advanced external link technology, allowing "him" to link to a Construct's M.I.N.D. Only when "he" is used by No. 21, can "his" true potential be unleashed. Like a bullet pierces the enemy's throat on the battlefield, this Co-Bot has the explosive power of a beast trained for the Colosseum. When you see "him" on the battlefield, you wonder if you are looking at a soul born to fight.	0
2224001	22	0	4	4	2224001	2224001	0			2	Pioneer	4★ Uniframe: Chain Blade Pioneer	A weapon used by some pioneers in the past during the expansion. It has a simple structure yet multiple functions, but the chain isn't easy to master.	0
2225001	22	0	5	5	2225001	2225001	0			2	Blooming Rose	5★ Uniframe: Chain Blade Blooming Rose	Nobody knows whether this weapon would spit out deadly bullets or mocking flowers, or the red glow on its blade is a warning or a reminder. This oddly shaped weapon is as mysterious as its user, making it impossible for others to interpret their real intention.	0
2226001	22	0	6	6	2226001	2226001	0			2	Durendal	6★ Uniframe: Chain Blade Durendal	Durendal was long lost in the history of the Golden Age. Rumor has it that its blade can pierce through everything, and its crosshair will reveal all hidden foes. The immortal Durendal will fight along its user until their last breath, dedicating absolute loyalty to the person that it protects.	0
2234001	23	0	4	4	2234001	2234001	0			0	Fringe	4★ Banner Oriflamme	One of the prototype weapons developed by the Science Council. The reason they decided to design a weapon as garish as a banner spear is not clear. On second thought, this might be why the banner spear has not been mass produced.	0
2235001	23	0	5	5	2235001	2235001	0			0	Glorious Knight	5★ Banner Spear Glorious Knight	A modified banner spear with a golden-tailed flag to indicate its superiority to the prototype. Weapon designers have paid extra attention to the design of the flag to make sure it stands out among the other banner spear prototypes.	0
2236001	23	0	6	6	2236001	2236001	0			0	Phoenix	6★ Banner Spear Phoenix	This banner spear has seen multiple trials and battlefields, but its shape-memory alloy and self-healing structure has kept it pristine and unspoiled as if it is newly forged. The way it stands unwavering has reminded others of a certain legendary, undying Construct. Or perhaps the shape-memory alloy and self-healing structure are just a white lie? Maybe staff members of the Science Council have kept sneaking into the maintenance room every day to replace it with a new one.	0
2244001	24	0	4	4	2244001	2244001	0			0	Apocalypse	4★ Scepter Apocalypse	The spinning wheel of light has significantly enhanced the damage-dealing efficiency of the weapon. The design is thus widely used by other scepters later.	0
2245001	24	0	5	5	2245001	2245001	0			0	Bipolar Star Rift	5★ Scepter Bipolar Star Rift	The plug-in component keeps revolving around the center, with light as bright as that of the polar star radiating through the gaps.	0
2246001	24	0	6	6	2246001	2246001	0			0	Hestia	6★Scepter Hestia	A scepter with a simple coloring scheme and structure, yet an extraordinary amount of energy. There are few records on the scepter, but any description would be redundant. You will understand this the moment you see it.	0
2254001	25	0	4	4	2254001	2254001	0			0	Standard Mode	4★ Flute Sword Standard Mode	I'm the base of rhythms in music. Everything's change is by your ears.	0
2255001	25	0	5	5	2255001	2255001	0			0	Neapolitan Solo	5★ Flute Sword Neapolitan Solo	The black flute looks deep and composed, concealing all the innocence in her heart. Now her charms are all overthrown, she wields the sword to stay committed to her last duty.	0
2256001	25	0	6	6	2256001	2256001	0			0	Sarastro	6★ Flute Sword Sarastro	A snow-white flute with golden sparkles resembling the light of the sun rising at the end of winter and symbolizing the return of spring.	0
2264001	26	0	4	4	2264001	2264001	0			2	Gray Iron	4★ Dragon Axe Gray Iron	A product of the latest technology. It has excellent performance but weighs way heavier than a standard weapon.	0
2265001	26	0	5	5	2265001	2265001	0			2	Whitefrost Ruler	5★ Dragon Axe Whitefrost Ruler	A weapon with an unconventional straight blade design. In order to increase its overall stability, the designer has added extra metal rivets to the blade.	0
2266001	26	0	6	6	2266001	2266001	0			2	Infinity	6★ Dragon Axe Infinity	A weapon designed by a dancer. Maybe that's why it looks like a prop for performance.	0
2274001	27	0	4	4	2274001	2274001	0			0	Rage	4★ Mega Saw Rage	A mass-produced saw component made with standard alloy. Cheap, big, and economical.	0
2275001	27	0	5	5	2275001	2275001	0			0	Red Shift	5★ Mega Saw Red Shift	The modified chain component has an upward-pointing blade top and enhanced sawblade, making the saw even thicker. The personalized coating has been improved at the user's urging, as "making it cool" is the ultimate goal.	0
2276001	27	0	6	6	2276001	2276001	0			0	Implosion	6★ Mega Saw Implosion	The latest mega saw plan designed by Nanami. It features a complex joint structure and a conspicuous coating. Powered by the Energy Core's sudden increase of temperature, the sawblade will reach its max explosive power.	0
2284001	28	0	4	4	2284001	2284001	0			0	Blast Hammer Prototype	4★ Blast Hammer - Blast Hammer Prototype	A strange weapon modified from engineering equipment primarily used to explore new methods in weapon development. Long-ranged firepower has been added to make up for its lack of power at close range.	0
2285001	28	0	5	5	2285001	2285001	0			0	Despair Breaker	5★ Blast Hammer - Despair Breaker	By integrating the data collected from its prototype and the feedback from the prototype's wielder, it has eventually become an even more powerful weapon than its original model. The grip, power, trajectory, and a hundred other improvements have all been made, resulting in a weapon capable of shattering any doubts and despair.	0
2286001	28	0	6	6	2286001	2286001	0			0	Illuminare	6★ Blast Hammer - Illuminare	The creation of Illuminare is a game changer in Babylonia's weapon development history: its performance-centered exterior is revolutionary, it is committed to maximizing destructive power, and even its wielder, Karenina stormed into the Weapons Design Bureau pressing for the removal of safety limiters. There is no doubt that its final result will be exactly what Karenina said, "This is gonna send all the enemies out of this galaxy!"	0
2294001	29	0	4	4	2294001	2294001	0			2	Hope of the Village	4★ Rev Blade Hope of the Village	"The weapon given to the adventurer before they set off usually carries the hope of the entire village. Don't you think this is a perfect name? You'll feel full of courage just at the thought of fighting for the village."	0
2295001	29	0	5	5	2295001	2295001	0			2	Progressive Knife	5★ Rev Blade Progressive Knife	Babylonia has improved the performance issues of the old blueprint and remade the Rev Blade with strong materials. "Progressive Knife" is a name Noan came up with himself. It seems he got the inspiration from a manga he read. "Great name. Promise me don't name any weapon next time." —Weapon Designer H	0
2296001	29	0	6	6	2296001	2296001	0			2	Prometheus	6★ Rev Blade Prometheus	A Rev Blade made with the improved blueprint by Babylonia's weapon design department. It uses upgraded materials and perfectly matches the off-hand old sword. However, it is restricted by the old design after the overall improvement of performance and requires regular maintenance. What Noan does is hit it several times.	0
2304001	30	0	4	4	2304001	2304001	0			0	Dusk Mirage	4★ Swordstaff Dusk Mirage	An extensible sword that makes its owner able to fight flexibly. Its low-key gray color might not stand out, but the energy hidden in it is astonishing.	0
2305001	30	0	5	5	2305001	2305001	0			0	Polar Night	5★ Swordstaff Polar Night	The sword's blade and body have been converted to match the latest specialized frame with its coating changed to a more transparent black color. The world will be launched into an eternal polar night when the power in the sword is released through its blade.	0
2306001	30	0	6	6	2306001	2306001	0			0	Hecate	6★ Swordstaff Hecate	One of Kurono Tech's best products. A perfect combination of elegance and wildness. When the executor wields the sword as if she is making a prayer, it looks like the multi-faced goddess of the crossroads in the myth has descended to bring victory to her allies and the end to her enemies.	0
2314001	31	0	4	4	2314001	2314001	0			0	Heartless Blades	4★ Mantis Blades Heartless Blades	A sword doesn't have a heart. It only needs to be wielded by its wielder... Is it not?	0
2315001	31	0	5	5	2315001	2315001	0			0	Comet's Edge	5★ Mantis Blades Comet's Edge	A composite weapon with a transformation blade. Created by adopting the newest molecular dynamics technology, its silver blade has a much more lethal curvature and emits a faint blue glow.	0
2316001	31	0	6	6	2316001	2316001	0			0	Sound of Silence	6★ Mantis Blades Sound of Silence	A new-generation special-grade weapon created by Babylonia. While its weight has been further reduced, the argon gas vacuum condensation technology has brought the durability and sharpness of its blade to a level that ordinary metals are impossible to achieve. Repeated hammering and heating also cause its blade to emit a dark blue glow. When wielded, its wielder seems to be controlled by invisible strings to deliver silent death.	0
2324001	32	0	4	4	2324001	2324001	0			0	Composite Armaments Prototype	4★ Composite Armaments - Composite Armaments Prototype	This prototype of Composite Armaments can satisfy the user's needs in close, medium and long range firepower based on the battle situation. The materials used in the relatively more fragile transforming mechanism have all been electro-magnetic processed to ensure a reliable and smooth transition between different forms.	0
2325001	32	0	5	5	2325001	2325001	0			0	Nuclear Meltdown δ	5★ Composite Armaments: Nuclear Meltdown δ	This set of Composite Armaments has been specially approved by Babylonia's Military Weapon Development Center to use an experimental δ-ray core as its energy supply. This is the first time a δ-ray of this scale is deployed on a weapon, so its user must have the ability to master the pace between the δ core's energy output and instant cooldown.	0
2326001	32	0	6	6	2326001	2326001	0			0	Key of Tempus Gate - Stokes	6★ Composite Armaments - Key of Tempus Gate - Stokes	Mankind needs a hope that can confront this dark era. Cosmos Industries, Weapon Development Center and the user Lee himself have discussed many times to calibrate his specialized frame and its exclusive equipment. After installing an additional tactical AI, this weapon has been pushed to its limit in all aspects. "There's no need to compromise to the environment; I won't allow any mistake to happen."	0
2334001	33	0	4	4	2334001	2334001	0			0	"Paintbrush" Prototype	4★ Beam Gunlance: "Paintbrush" Prototype	It was originally designed to be a multipurpose painting tool, but after a range of features were added for convenience's sake, it achieved an unexpectedly high score in the Science Council's weapon testing session.	0
2335001	33	0	5	5	2335001	2335001	0			0	Dual Rainbows	5★ Beam Gunlance: Dual Rainbows	To accommodate the WGAA's newest frame's specifications, this Beam Gunlance has been modified for the finest adjustments on each parameter. As strongly required by Ayla, it also retains a painting function, which makes it one of Ayla's favorite paintbrushes.	0
2336001	33	0	6	6	2336001	2336001	0			0	Star Voyager	6★ Beam Gunlance: Star Voyager	A Beam Gunlance made exclusively for Ayla after undergoing a meticulous final adjustment. It is, in fact, her dream weapon as it absorbs different suggestions and inspirations from many Constructs, which means it is a work involving all her friends.	0
2980201	2	0	4	4	2013001	100	0			0	Vera Katana	Display weapon - Sariel		0
2980202	2	0	4	4	2013001	100	0			0	Lupercalia	Display weapon - Lupercalia		0
2981101	11	0	4	4	2013001	100	0			0	Gungnir	Display Gungnir		0
2981102	11	0	4	4	2013001	100	0			0	Howling Crown	Display weapon - Howling Crown		0
2982001	2	0	4	4	2013001	100	0			0	Crimson Birch	Display weapon Crimson Birch		0
2981301	13	0	4	4	2013001	100	0			0	Starry Clouds	Display weapon - Starry Clouds		0
