Id	ItemId[1]	ItemCount[1]	ItemId[2]	ItemCount[2]	ItemId[3]	ItemCount[3]	SelectSkillItemId[1]	SelectSkillItemCount[1]
3056011	3004	1					3005	1
3056012	3004	1					3005	1
3065001	3003	1						
3065002	3003	1						
3065003	3003	1						
3065004	3003	1						
3065005	3003	1						
3065006	3003	1						
3065007	3003	1						
3065008	3003	1						
3065009	3003	1						
3066001	3004	1					3005	1
3066002	3004	1					3005	1
3066003	3004	1					3005	1
3066004	3004	1					3005	1
3066005	3004	1					3005	1
3066006	3004	1					3005	1
3066007	3004	1					3005	1
3066008	3004	1					3005	1
3066009	3004	1					3005	1
3066010	3004	1					3005	1
3066011	3004	1					3005	1
3066012	3004	1					3005	1
3016013	3004	1					3005	1
3026013	3004	1					3005	1
3036013	3004	1					3005	1
3046013	3004	1					3005	1
3056013	3004	1					3005	1
3066013	3004	1					3005	1
3015050	3003	1						
3025050	3003	1						
3035050	3003	1						
3045050	3003	1						
3055050	3003	1						
3065050	3003	1						
3016014	3004	1					3005	1
3026014	3004	1					3005	1
3036014	3004	1					3005	1
3046014	3004	1					3005	1
3056014	3004	1					3005	1
3066014	3004	1					3005	1
3015051	3003	1						
3025051	3003	1						
3035051	3003	1						
3045051	3003	1						
3055051	3003	1						
3065051	3003	1						
3015052	3003	1						
3025052	3003	1						
3035052	3003	1						
3045052	3003	1						
3055052	3003	1						
3065052	3003	1						
3015053	3003	1						
3025053	3003	1						
3035053	3003	1						
3045053	3003	1						
3055053	3003	1						
3065053	3003	1						
3016015	3004	1					3005	1
3026015	3004	1					3005	1
3036015	3004	1					3005	1
3046015	3004	1					3005	1
3056015	3004	1					3005	1
3066015	3004	1					3005	1
3016016	3004	1					3005	1
3026016	3004	1					3005	1
3036016	3004	1					3005	1
3046016	3004	1					3005	1
3056016	3004	1					3005	1
3066016	3004	1					3005	1
3016017	3004	1					3005	1
3026017	3004	1					3005	1
3036017	3004	1					3005	1
3046017	3004	1					3005	1
3056017	3004	1					3005	1
3066017	3004	1					3005	1
3015055	3003	1						
3025055	3003	1						
3035055	3003	1						
3045055	3003	1						
3055055	3003	1						
3065055	3003	1						
3015056	3003	1						
3025056	3003	1						
3035056	3003	1						
3045056	3003	1						
3055056	3003	1						
3065056	3003	1						
3016018	3004	1					3005	1
3026018	3004	1					3005	1
3036018	3004	1					3005	1
3046018	3004	1					3005	1
3056018	3004	1					3005	1
3066018	3004	1					3005	1
3016019	3004	1					3005	1
3026019	3004	1					3005	1
3036019	3004	1					3005	1
3046019	3004	1					3005	1
3056019	3004	1					3005	1
3066019	3004	1					3005	1
3016020	3004	1					3005	1
3026020	3004	1					3005	1
3036020	3004	1					3005	1
3046020	3004	1					3005	1
3056020	3004	1					3005	1
3066020	3004	1					3005	1
3016021	3004	1					3005	1
3026021	3004	1					3005	1
3036021	3004	1					3005	1
3046021	3004	1					3005	1
3056021	3004	1					3005	1
3066021	3004	1					3005	1
3016022	3004	1					3005	1
3026022	3004	1					3005	1
3036022	3004	1					3005	1
3046022	3004	1					3005	1
3056022	3004	1					3005	1
3066022	3004	1					3005	1
3016023	3004	1					3005	1
3026023	3004	1					3005	1
3036023	3004	1					3005	1
3046023	3004	1					3005	1
3056023	3004	1					3005	1
3066023	3004	1					3005	1
3015057	3003	1						
3025057	3003	1						
3035057	3003	1						
3045057	3003	1						
3055057	3003	1						
3065057	3003	1						
3016024	3004	1					3005	1
3026024	3004	1					3005	1
3036024	3004	1					3005	1
3046024	3004	1					3005	1
3056024	3004	1					3005	1
3066024	3004	1					3005	1
3015058	3003	1						
3025058	3003	1						
3035058	3003	1						
3045058	3003	1						
3055058	3003	1						
3065058	3003	1						
3016025	3004	1					3005	1
3026025	3004	1					3005	1
3036025	3004	1					3005	1
3046025	3004	1					3005	1
3056025	3004	1					3005	1
3066025	3004	1					3005	1
3016026	3004	1					3005	1
3026026	3004	1					3005	1
3036026	3004	1					3005	1
3046026	3004	1					3005	1
3056026	3004	1					3005	1
3066026	3004	1					3005	1
3016027	3004	1					3005	1
3026027	3004	1					3005	1
3036027	3004	1					3005	1
3046027	3004	1					3005	1
3056027	3004	1					3005	1
3066027	3004	1					3005	1
3016028	3004	1					3005	1
3026028	3004	1					3005	1
3036028	3004	1					3005	1
3046028	3004	1					3005	1
3056028	3004	1					3005	1
3066028	3004	1					3005	1
3016029	3004	1					3005	1
3026029	3004	1					3005	1
3036029	3004	1					3005	1
3046029	3004	1					3005	1
3056029	3004	1					3005	1
3066029	3004	1					3005	1
3016030	3004	1					3005	1
3026030	3004	1					3005	1
3036030	3004	1					3005	1
3046030	3004	1					3005	1
3056030	3004	1					3005	1
3066030	3004	1					3005	1
3016031	3004	1					3005	1
3026031	3004	1					3005	1
3036031	3004	1					3005	1
3046031	3004	1					3005	1
3056031	3004	1					3005	1
3066031	3004	1					3005	1
3016032	3004	1					3005	1
3026032	3004	1					3005	1
3036032	3004	1					3005	1
3046032	3004	1					3005	1
3056032	3004	1					3005	1
3066032	3004	1					3005	1
3016033	3004	1					3005	1
3026033	3004	1					3005	1
3036033	3004	1					3005	1
3046033	3004	1					3005	1
3056033	3004	1					3005	1
3066033	3004	1					3005	1
3016034	3004	1					3005	1
3026034	3004	1					3005	1
3036034	3004	1					3005	1
3046034	3004	1					3005	1
3056034	3004	1					3005	1
3066034	3004	1					3005	1
3018053	3003	1						
3028053	3003	1						
3038053	3003	1						
3048053	3003	1						
3058053	3003	1						
3068053	3003	1						
3019050	3003	1						
3029050	3003	1						
3039050	3003	1						
3049050	3003	1						
3059050	3003	1						
3069050	3003	1						
3015059	3003	1						
3025059	3003	1						
3035059	3003	1						
3045059	3003	1						
3055059	3003	1						
3065059	3003	1						
3015060	3003	1						
3025060	3003	1						
3035060	3003	1						
3045060	3003	1						
3055060	3003	1						
3065060	3003	1						
3015501	3003	1						
3025501	3003	1						
3035501	3003	1						
3045501	3003	1
3015650	3003	1						
3025650	3003	1						
3035650	3003	1						
3045650	3003	1						
3055650	3003	1						
3065650	3003	1
