Id	BornMagic[1]	BornMagic[2]	BornMagic[3]	SubSkillId[1]	SubSkillId[2]	SubSkillId[3]	Ability	Icon	Name	Description	DesLinkCharacterSkillId	Account
514	509036						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool15.png	Absolute Defense	Becomes Invincible for 2s upon deployment.		
515	509038						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool19.png	Shock Saturation	Gains 2s of Invincible time when attacked, CD for 15s.		
516	509040						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool20.png	Nsec Transmission	Max dodge increases by 400.		
517	509042						100	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool21.png	Shock Echo	When taking damage, releases a shockwave that deals damage equal to 50% of own ATK, pushing enemies away and reducing enemies' Movement Speed by 35% for 5s, CD for 8s.		
2013001							0					
2014001	501001						0		Resonance Vibration	Physical DMG increased by 15% when combo is greater than 50.		
2015001	501101						0		Saturated Loading	Pinging all 3 types of Signal Orbs within 5s increases Extra DMG Bonus by 15% for 5s. Duration resets every time it is triggered.		Beginner Transition
2015002	501201						0		Dodge Echo	ATK is increased by 30% for 4s after an EX Dodge.		ATK Boost
2016001	501301	501303					0		Predator's Maxim	Extra DMG Bonus increases by 20% when attacking enemies in a burning area.		DMG Boost
2016002	501306						0		Cycle of Stars	Increases Skill - Space Lord's Extra DMG Bonus by 10%. Physical DMG is increased by 15% for 5s after a 3-Ping. Duration resets every time it is triggered.		Physical Boost
2016003	501315						0		Measurement Theory	When picking up an Energy Ball, increases Extra DMG Bonus by 3% for 5s. Can be stacked up to 5 times. For every 5 Energy Balls picked up, gains an additional random Signal Orb and 10 Energy. 10s cooldown.		DMG Boost
2022001							0					
2023001							0					
2024001	502001						0		Unbranded Slash	Extra DMG Bonus of Red Orb skills increases by 15%.		
2025001	502101						0		Phantom Sword	Attacks have a 20% chance to call down a lightning strike that deals 50% Physical DMG. 3s cooldown.		Beginner Transition
2025002	502201						0		One With Armor	ATK is increased by 30% for 4s after an EX Dodge.		ATK Boost
2026001	502301	502303	502306				0		Blade of Fury	Basic Attack's Extra DMG Bonus increases by 10%. Physical DMG increases by 5% for 2s after each Basic Attack. Can be stacked up to 5 times. Duration resets every time it is triggered.		Physical Boost
2026002	502308	502315	502309				0		Inverse Shadow	Lightning DMG Bonus increases by 5% for 4s when dealing Lightning DMG. Can be stacked up to 4 times. Signature Move increases own Extra DMG Bonus by 10% for 10s. Both duration will reset every time it is triggered.		Lightning Boost
2026003	600602	600601					0		Energy Incarnate	Extra DMG Bonus increases by 5%. Pinging orbs will accumulate energy based on the number of orbs pinged. Consumes 50 energy to summon Sirius for 45s. 60s cooldown.          Its power as a weapon is nothing to write home about, but it is much sought after for its attractive appearance.		Support Battle
2026004	502320						0		Falling Blossoms	Each Ping increases Physical DMG by 2% for 5s, stacking up to a max of 10 times and repeated trigger refreshes duration. One Sword Orb can be additionally obtained when entering Sword State. 10s cooldown.		Physical Boost
2026005	502326	502327					0		Crimson Snow	Ice DMG increases by 15%. All DMG increases by 10% for 5s after a 3-Ping.		Ice Boost
2026006	502330						0		Bramble Heart	Dark DMG increases by 15%. Attacks have a 15% chance to unleash a shadow wave, dealing 75% Dark DMG. 0.5s cooldown.		Dark Boost
2032001							0					
2033001							0					
2034001	503001						0		Deep Pursuit	Basic Attack's Extra DMG Bonus increases by 10%.		
2035001	503101						0		Chain Combo	Gains 1 random Signal Orb every 30 combos. 8s cooldown.		Beginner Transition
2035002	503201						0		Jet Boost	ATK increased by 20% for 4s after an EX Dodge. Gain 1 Signal Orb when the effect ends.		ATK Boost
2036001	503301	503303	503309				0		Original Number	Laser Shot's Extra DMG Bonus increases by 50%. Gains 15% ATK after a 3-Ping for 5s. Duration resets every time it is triggered.		ATK Boost
2036002	503311	503313	503315				0		Ring of Praise	For every 12 orbs pinged, increases Extra DMG Bonus of the allies within 5m by 10% for 5s. Duration resets every time it is triggered. When attacking Imprisoned enemies, Extra DMG Bonus increases by 10%.		Support Boost
2036003	503317	503325					0		Storm Hunt	Basic Attacks have a 10% chance to inflict Frail, reducing the target's ATK by 10% for 5s. Duration resets every time it is triggered. Attacking a Frail enemy has a 10% chance to restore 1 Signal Orb. 6s cooldown.		Orb Recovery Boost
2043001							0					
2044001	504001						0		Concentrated Neutralization	Physical DMG increased by 15% if you attack the same target for 5s.		
2045001	504101						0		Sharpshooter	CRIT Rate and CRIT DMG increased by 10% if there are no enemies within 2m.		Beginner Transition
2045002	504201						0		New Moon	ATK is increased by 30% for 4s after an EX Dodge.		
2046001	504301	504305					0		Now, I Am the Master	Signature Move's Extra DMG Bonus increases by 15%. Signature Move reduces its target's Physical Resistance by 2% for 5s per hit. Can be stacked up to 8 times. Duration resets every time it is triggered.		Signature Move Boost
2046002	504310	504316					0		Raging Tempest	Lightning DMG is increased by 15%. When dealing Lightning DMG caused by skills to the same target 5 times, calls down a lightning strike that deals 150% Lightning DMG. 2s cooldown.		Lightning Boost
2053001							0					
2054001	505001						0		Shed Excess	Physical DMG increased by 10% for 3s when switching targets.		
2055001	505101						0		Echo Halls	Attacks have a 30% chance to inflict Broken Armor, reducing an enemy's DEF by 5% for 3s. Can be stacked up to 5 times. Duration resets every time it is triggered.		Beginner Transition
2055002	505201						0		Chain of Stars	ATK is increased by 30% for 4s after an EX Dodge.		
2056001	505301	505304	505307				0		Fusion Shadow	Attacks have a 20% chance to inflict Breach, dealing 2% Physical DMG per second for 3s. The chance is doubled if the enemy's DEF has been reduced. Can be stacked up to 10 times. Duration resets every time it is triggered. Physical DMG increases by 10% when attacking a Breached enemy.		Physical Boost
2056002	505310	505316					0		Fire Chain	Attacks have a 10% chance to reduce the target's Fire Resistance by 5% for 5s. 8s cooldown against the same target. A Signature Move increases Fire DMG by 20% and doubles the chance of reducing the target's Resistance.		Fire Resistance Reduction Boost
2063001							0					
2064001	506001						0		Precision Suppression	The first Basic Attack hit on a target is guaranteed to be a Critical Hit. 15s cooldown against the same target.		
2065001	506101						0		Variable Arms	Attacks have a 10% chance to unleash a shockwave, dealing 100% Physical DMG to enemies in the area.		Beginner Transition
2065002	506201						0		One With Armor	ATK is increased by 30% for 4s after an EX Dodge.		
2065050	506210						0		Merry Christmas!	3-Ping skills create a Christmas aura that increases the Movement Speed and ATK by 8% for 15s. 30s cooldown.		Beginner Transition
2066001	506301	506303	506309				0		Unified Will	Physical DMG increases by 15%. Upon a successful parry, Extra DMG Bonus of the next skill increases by 30%.		Physical Boost
2066002	506311	506314					0		Shadow Burst	After a 3-Ping, Physical DMG and Dark DMG dealt increase by 20% for 5s. Duration resets every time it is triggered.		Dark Boost
2073001							0					
2074001	507001						0		Broken Helix	Basic Attack's Extra DMG Bonus increases by 10%.		
2075001	507101						0		Unquenchable	ATK increases by 12% for 4s after a 3-Ping. Duration resets every time it is triggered.		Beginner Transition
2075002	507207						0		Light Firecrackers	When Artillery Tactics or Thermal Armament is active, dealing damage causes a firecracker explosion at the target location, inflicting a total of 250% Physical DMG. 10s cooldown.		Beginner Transition
2076001	507301	507302	507305				0		Chaos Particle	Physical DMG increases by 10%. After a 3-Ping, Basic Attack's Extra DMG Bonus increases by 30% for 5s. Duration resets every time it is triggered.		Physical Boost
2076002	507307	507308	507310				0		Raging Red	Fire DMG increases by 10%. Pinging Red Orbs increases Fire DMG by 10% for 5s. Duration resets every time it is triggered.		Fire Boost
2083001							0					
2084001	508001						0		Silent Hunter	Movement Speed is increased by 30% and ATK is increased by 10% for 3s after a 3-Ping. Duration resets every time it is triggered.		
2085001	508101						0		Heart of Gravel	Extra DMG Bonus increases by 15% for 5s after performing a 3-Ping consecutively. Duration resets every time it is triggered.		Beginner Transition
2085002	508210						0		Fallen Yuanxiao	Dealing DMG has a 20% chance to release a Yuanxiao that deals 15% Physical DMG. 1s cooldown.		Beginner Transition
2086001	508301	508304	508306				0		Zero Pierce	Dealing a Critical Hit from behind inflicts Breach, dealing 50% Physical DMG per second for 3s. Duration resets every time it is triggered. Physical DMG increases by 20% when attacking a Breached enemy.		Physical Boost
2086002	508310	508312					0		Soul Strike	Extra DMG Bonus increases by 10%. Dark DMG increases by 10% while under Cosmic Wave state.		Dark Boost
2991001							0					
2992001							0					
2993001							0					
2994001							0					
2093001							0					
2094001	531001						0		Color of Bleakness	Extra DMG Bonus increases by 7% when attacking enemies with Super Armor.		
2095001	531101						0		Line Drawing	Extra DMG Bonus increases by 10% for 4s when performing a QTE or 3-Ping skill. Duration resets every time it is triggered.		Beginner Transition
2096001	531301	531307	531309				0		Color Splash	Extra DMG Bonus increases by 2% for 5s when dealing DMG to enemies with Super Armor. Can be stacked up to 3 times. Duration resets every time it is triggered. Stuns an enemy for 2s when breaking its Super Armor. 10s cooldown for the same target. Physical DMG increases by 15% for 7s when releasing Vector Cube. Duration resets every time it is triggered.		Physical Boost
2096002	531311	531312					0		St. Elmo's Fire	Lightning DMG increases by 10%. No. of Lightning Strikes required to trigger Core Passive reduced to 3 under "Signature - Lightning Charge".		Lightning Boost
2096003	512122	512123					0		White Sculpture	<color=#FF6347>Bitter Frost</color> deals 20% more Base DMG. <color=#FF6347>Bitterfrost Level's</color> Energy acquisition speed increases by 100%.		Core Boost
2104001	512001						0		Photophage Phantom	Basic Attack's Extra DMG Bonus increases by 10%.		
2105001	512003						0		Rageful Abyss	After a 3-Ping, Extra DMG Bonus is increased by 12% for 4s.		Beginner Transition
2106001	512030						0		Solar Cleave	Extra DMG Bonus increases by 15%. When Camu: Crocotta enters Berserk, Thanatos will continuously increase Dark DMG for characters on the battlefield by 10%.		Dark Boost
2114001	513001						0		Split Road	Basic Attack's Extra DMG Bonus increases by 10%.		
2115001	513003						0		Collapsing Edge	Increases ATK by 10% for 3s after casting small/medium/wide-area electromagnetic beam. The duration is refreshed each time this effect is triggered.		Beginner Transition
2115002	505201						0		Unnamed	Unnamed		
2116001	513005						0		Everlasting Brilliance	Damaging a target will reduce their Physical DEF by 20% for 8s. The duration is refreshed each time this effect is triggered. Dealing damage with small/medium/wide-area electromagnetic beam also applies a damage over time effect for 8s, dealing Physical DMG equal to 25%/50%/100% of ATK every second.		DEF Reduction Boost
2116002	505310	505316					0		Unnamed	Unnamed		
2124001	513001						0		Split Road	Basic Attack's Extra DMG Bonus increases by 10%.		
2125001	516001						0		Contract	Physical DMG in <color=#FF6347>Battle Stance</color> increases by <color=#FF6347>10%</color>.		Beginner Transition
2125002	516001						0		Contract	Physical DMG in <color=#FF6347>Battle Stance</color> increases by <color=#FF6347>10%</color>.		
2126001	516004						0		Contract - Mod	Increases Physical DMG by <color=#FF6347>15%</color> and doubles the effects of Leader Skill. Upon entering combat, gains <color=#FF6347>160</color> <color=#FF6347>Stability</color> and switching to <color=#FF6347>Battle Stance</color> gives <color=#FF6347>2</color> stacks of <color=#FF6347>Data Correction</color>.		Physical Boost
2126002	516004						0		Contract - Mod	Increases Physical DMG by <color=#FF6347>15%</color> and doubles the effects of Leader Skill. Upon entering combat, gains <color=#FF6347>160</color> <color=#FF6347>Stability</color> and switching to <color=#FF6347>Battle Stance</color> gives <color=#FF6347>2</color> stacks of <color=#FF6347>Data Correction</color>.		
2134001	512049						0		Transcendence	Physical DMG increases by 10% for 5s upon entering Matrix.		
2135001	512051						0		Cleansing	After casting a Blue Orb skill, Physical DMG increases by 10% for 5s. Duration resets every time it is triggered.		Beginner Transition
2136001	512048						0		Marvel		152317	Physical Boost
2144001	514001						0		Star-Piercing Punch	After an Entrance Skill, Extra DMG Bonus increases by 5% for 8s.		
2145001	514003						0		Formless Palm	After a dodge, Extra DMG Bonus is increased by 8% for 4s.		Beginner Transition
2146001	514005						0		Eight Pinnacles	Ice DMG increases by 15%. Creates Mirror Crystals for 8s after casting Flowing Whirlpool or QTE skill.		Ice Boost
2155001	516015						0		Rebel	Upon deploying <color=#FF6347>POD: Shield</color>, A2 gains a 10% Physical DMG boost. Slide for 1s to increase the boost from <color=#FF6347>POD: Shield</color> by an extra 5%.		Beginner Transition
2156001	516019						0		Rebel - Mod	While A2 is in <color=#FF6347>Berserk</color> mode, gains a <color=#FF6347>10%</color> ATK boost. Within <color=#FF6347>2</color> seconds of entering Matrix or evading, hold the Attack Button to launch an enhanced attack dealing * Physical DMG. If the attack hits the enemy, deals * follow-up Physical DMG (DMG varies depending on the Basic Attack and skill level). <color=#FF6347>Spend Yellow Orbs</color> to charge Type 4O Lance's ability, increasing the value of POD: Shield by <color=#FF6347>3%</color> for each orb. Additionally, increases Physical DMG for any amount of Yellow Orbs spent by <color=#FF6347>10%</color> for 15s.	120316	Physical Boost
2165001	516006						0		Oath	DMG for <color=#FF6347>Overclock Indicator</color> increases by <color=#FF6347>10%</color>.		Beginner Transition
2166001	516008						0		Oath - Mod	Increases Physical DMG and Healing effects by <color=#FF6347>15%</color>, also doubles the effects of Leader Skill. After triggering <color=#FF6347>Overclock Indicator</color>, swapping cooldown for 2B and A2 decreases by <color=#FF6347>1s</color> and they gain 1 random Signal Orb.		Healing Boost
2174001	515001						0		Eternal Starting	Impending Pain's Extra DMG Bonus increases by 10%.		
2175001	515101						0		Lunar Eclipse	Full DMG increases by 15% for 8s if 3 signal orbs in different colors are pinged in 6s.		Beginner Transition
2176001	515201						0		Eridani Perturbation	The dark DMG increases by 15%, and the 4th spine of annihilation orb will produce additional 100% of ranged dark DMG.		Dark Boost
2184001	517005						0		Heavy Barrel	Extra DMG Bonus of <color=#FF6347>Frost Spin</color> increases by 10%.		
2185001	517003						0		Second Explosion	Ice DMG increases by 10%.		Beginner Transition
2186001	517001						0		Judgement	Ice DMG increases by 15%. Gain <color=#FF6347>Frost Crystal</color> for 8s when the backstep of <color=#FF6347>Blooming Shot</color> successfully dodges an attack.		Ice Boost
2194001	512065						0		Prologue	Attack increases by 8%. After dodging an attack, movement speed increases by 8% for 4s.		
2195001	512059						0		Swan Lake	After a 3-Ping, ATK increases by 3% for 5s, stacking up to 5 times. Triggering this effect again will renew its duration.		Beginner Transition
2196001	512053						0		Serenade	Lightning DMG increases by 20%. <color=#FF6347>Roaring Thunder</color> and <color=#FF6347>Sonic Vortex</color> can now be cast during the action of other Signal Orb skills, but cannot be cast consecutively. Leaving Chaotic M.I.N.D. will return Orbs based on the number of Orbs before entering Chaotic M.I.N.D. and rearrange them for 3-Ping.		Lightning Boost
2204001	518004						0		Ice Modification	Extra DMG Bonus of <color=#FF6347>Glacial Slash</color> increases by 15%.		
2205001	518006						0		Efficient Conversion	All DMG increases by 5% after 3-Ping for 5s.		Beginner Transition
2206001	518001	518002					0		Apollo's Glory	Ice DMG increases by 15%, QTE and any 3-Ping skill can trigger <color=#FF6347>Frost Corrosion</color>.		Ice Boost
2214001	519001						0		Magnetic Wave Field	Temporary Core: Whenever No. 21: XXI performs Shadow Prism attacks, the Co-Bot unleashes a <color=#FF6347>Force Wave</color> that deals <color=#FF6347>50%</color> AOE Dark DMG to enemies (only triggers once per second).		
2215001	519002						0		Memories Resonance	Experimental Core: Whenever No. 21: XXI performs Shadow Prism attacks or disrupts incoming enemy attacks, the Co-Bot unleashes a <color=#FF6347>Force Wave</color> that deals <color=#FF6347>50%</color> AOE Dark DMG to enemies (only triggers once per second). This effect can only be triggered once per second. Inver-Resonance Unit: Increases the Extra DMG Bonus of No.21: XXI's Twilight Matrix and <color=#FF6347>Resonance Pulse</color> by <color=#FF6347>10%</color>.		Beginner Transition
2216001	519005						0		Wide Energy Pressure		122221	Support Battle
2234001	520001						0		Sharp Cut	DMG from Red Orbs <color=#FF6347>Reaper Sweep</color> increases by 10%		
2235001	520003						0		Forged with Lightning	Lightning DMG increases by 10%		Beginner Transition
2236001	520005						0		Eternal Hymn	Lightning DMG increases by 15%. <color=#FF6347>Victorious War Flag</color> and Signature Move <color=#FF6347>Shining Piercer</color> can create another stack of <color=#FF6347>Electric Charge</color>. When <color=#FF6347>Victorious War Flag</color> is on the field, deploying Vera: Garnet will consume all of <color=#FF6347>Electric Charge</color> to cast <color=#FF6347>Lightning Fall</color>. Create another stack of <color=#FF6347>Electric Charge</color> afterward.		Lightning Boost
2224001	512070						0		Pioneer Blade	Basic Attack's Extra DMG Bonus increases by 10%.		
2225001	512072						0		Opening Fireworks	After casting valid combo twice within 6s, all damage increases by 10% for 5s. Triggering this effect again will renew its duration.		Beginner Transition
2226001	512074						0		Immortality	Fire DMG increases by 10%. The cooldown of consecutive dodge is removed. After dodging a damage, accumulates 1 Combo 2 - Dazzling Blade, which can be cast directly toward the direction of the joystick by tapping the White Orb. Also increases Extra DMG Bonus by 10% for 8s. During <color=#FF6347>Apex of Trickery</color>, the Deception Points generated from this combo are converted into 10 <color=#FF6347>Trickery Points</color> instead.		Fire Boost
2244001	521001						0		Mediation Melody	Extra DMG Bonus of pings increases by <color=#FF6347>10%</color>.		
2245001	521003						0		Faithful Oath	Upon making a Prayer, gains <color=#FF6347>15%</color> Extra DMG Bonus for <color=#FF6347>10</color>s.		Beginner Transition
2246001	521008						0		Sacred Flame Ripples	Liv: Empyrea gains <color=#FF6347>10%</color> more ATK. Every time she enters the battlefield, she gains <color=#FF6347>50%</color> Prayer. Fire DMG Bonus of <color=#FF6347>Purity Oath</color> against enemies affected by <color=#FF6347>White Oracle</color> increases by <color=#FF6347>20%</color> (up to <color=#FF6347>100%</color>).		Fire Boost
2254001	522001						0		Minuet Variation	<color=#FF6347>Red Orbs</color> deal 15% more damage.		
2255001	522003						0		Dark Spring Solo	Dark DMG increases by 10%.		Beginner Transition
2256001	522005						0		Mirage Light Concerto	Each phantom unleashed by Selena: Capriccio on the field will make Selena: Capriccio deal 5% more Extra DMG. This effect can be stacked up to 6 times. Upon casting a <color=#FF6347>Reprise: Echo</color>, Selena: Capriccio gains 12 additional Signature Energy.		Signature Move Boost
2264001	512085						0		Change of Stars	DMG Bonus increases by 10% upon the activation of Dragon Axe.		
2265001	512087						0		Falling Moon	The Base DMG of <color=#FF6347>Signature - Spirit Blade Dance</color> increases by 20%.		Beginner Transition
2266001	512089						0		Dragon Boost	Increases Physical DMG dealt by 15% and Base DMG of <color=#FF6347>Signature - Spirit Blade Dance</color> by 25%. CRIT Rate of <color=#FF6347>Spirit Blade: Falling Stars</color> increases by 30% for every <color=#FF6347>Dragon Force Combo</color> cast. (Can be stacked up to 2 times)		Physical Boost
2274001	512119						0		Overload Muzzle	Fire DMG increases by 5%. <color=#FF6347>"Perfect!"</color> deals 10% more damage.		
2275001	512116						0		Star Burst	Increases Fire DMG by 10%.		Beginner Transition
2276001	512115						0		Helium Flash	Fire DMG increases by 15%. When Nanami: Starfarer is on standby, her teammates' every 3-Ping will restore 12 Signature Energy for her. Missiles will inflict <color=#FF6347>Scorching Invasion</color> upon hitting the target: reduces 15% Fire Resistance for 8s. When Nanami: Starfarer triggers the QTE, if there is <color=#FF6347>Missile Support</color> on the field, the duration of <color=#FF6347>Missile Support</color> will be refreshed.		Fire Boost
2284001	522030						0		Test Circuit	Extra DMG Bonus of Radiant Whirlwind Increases by 10%.		
2285001	522019						0		Darkstar Convergence	Increases Dark DMG by 10%.		Beginner Transition
2286001	522021						0		Big Bang	The <color=#FF6347>Chain Fusion</color> effect applied by Karenina: Scire increases by <color=#FF6347>10%</color>. Each time Karenina casts <color=#FF6347>Radiant Whirlwind</color>, she recovers <color=#FF6347>1</color> Energy. The Extra DMG Bonus of Leap Attack increases by <color=#FF6347>20%</color>.		Signature Boost
2294001	512134						0		"Reinforcement Level +15"	DMG Bonus of Basic Attack increases by 15%.		
2295001	512132						0		Energy Berserk	DMG from pinging Signal Orbs increases by 20%.		Beginner Transition
2296001	512131						0		The Liberated Avalon	ATK increases by 10%. Triggering Gear-Break Combo or Assault-Rising Combo restores 10 Signature Energy. Dodge Gauge restores 100% faster.		ATK Boost
2304001	512151						0		Sharp Blade	Increases CRIT DMG by 10%.		
2305001	512148						0		Candlelight	ATK increases by 5%. CRIT DMG increases by 10%.		Beginner Transition
2306001	512144						0		Deep Scar	CRIT DMG increases by 30%. Upon entering the <color=#FF6347>Sword Form</color>, immediately gains 20 stacks of <color=#FF6347>Stigmata Will</color> and activates the <color=#FF6347>Resolution</color> status.		ATK Boost
2314001	512168						0		Overlaid Bladedge	ATK increases by 5%.		
2315001	512166						0		Chilling Evisceration	Ice DMG increases by 10%.		Beginner Transition
2316001	512162						0		Stark Perseverance	ATK increases by 10%. Bambinata: Vitrum's <color=#FF6347>Pas De Chat</color> deals 15% more Ice DMG. Every time Bambinata: Vitrum is deployed, she will forget a random color of Signal Orbs for 1 <color=#FF6347>Pact of Memory</color>.		ATK Boost
