Id	Site	Star	Breakthrough	ExpToOneCoin	ExpToItemId	RewardId
234	5	3	4	0.142	31203	2438
235	5	4	4	0.142	31204	2439
236	5	5	4	0.142	31204	2440
237	5	6	4	0.142	31204	2441
238	5	7	4	0.142	31204	2442
239	6	1	4	0.142	31202	2443
240	6	2	4	0.142	31202	2444
241	6	3	4	0.142	31203	2445
242	6	4	4	0.142	31204	2446
243	6	5	4	0.142	31204	2447
244	6	6	4	0.142	31204	2448
245	6	7	4	0.142	31204	2449
