Id	AttribPoolId[1]	AttribPoolWeight[1]	AttribPoolId[2]	AttribPoolWeight[2]	AttribPoolId[3]	AttribPoolWeight[3]	CharacterSkillPoolId[1]	CharacterSkillPoolWeight[1]	CharacterSkillPoolId[2]	CharacterSkillPoolWeight[2]	WeaponSkillPoolId[1]	WeaponSkillPoolWeight[1]	WeaponSkillPoolId[2]	WeaponSkillPoolWeight[2]	WeaponSkillPoolId[3]	WeaponSkillPoolWeight[3]
2266001											1	100	2	100	3	100
2275001	5	100	8	100	9	100										
2276001											1	100	2	100	3	100
2285001	5	100	8	100	9	100										
2286001											1	100	2	100	3	100
2295001	5	100	8	100	9	100										
2296001											1	100	2	100	3	100
2305001	5	100	8	100	9	100										
2306001											1	100	2	100	3	100
3015001	6	100	6	100												
3015002	6	100	6	100												
3015003	6	100	6	100												
3015004	6	100	6	100												
3015005	6	100	6	100												
3015006	6	100	6	100												
3015007	6	100	6	100												
3015008	6	100	6	100												
3015009	6	100	6	100												
3016001	7	100	7	100			1	100	2	100						
3016002	7	100	7	100			1	100	2	100						
3016003	7	100	7	100			1	100	2	100						
3016004	7	100	7	100			1	100	2	100						
3016005	7	100	7	100			1	100	2	100						
3016006	7	100	7	100			1	100	2	100						
3016007	7	100	7	100			1	100	2	100						
3016008	7	100	7	100			1	100	2	100						
3016009	7	100	7	100			1	100	2	100						
3016010	7	100	7	100			1	100	2	100						
3016011	7	100	7	100			1	100	2	100						
3016012	7	100	7	100			1	100	2	100						
3025001	6	100	6	100												
3025002	6	100	6	100												
3025003	6	100	6	100												
3025004	6	100	6	100												
3025005	6	100	6	100												
3025006	6	100	6	100												
3025007	6	100	6	100												
3025008	6	100	6	100												
3025009	6	100	6	100												
3026001	7	100	7	100			1	100	2	100						
3026002	7	100	7	100			1	100	2	100						
3026003	7	100	7	100			1	100	2	100						
3026004	7	100	7	100			1	100	2	100						
3026005	7	100	7	100			1	100	2	100						
3026006	7	100	7	100			1	100	2	100						
3026007	7	100	7	100			1	100	2	100						
3026008	7	100	7	100			1	100	2	100						
3026009	7	100	7	100			1	100	2	100						
3026010	7	100	7	100			1	100	2	100						
3026011	7	100	7	100			1	100	2	100						
3026012	7	100	7	100			1	100	2	100						
3035001	6	100	6	100												
3035002	6	100	6	100												
3035003	6	100	6	100												
3035004	6	100	6	100												
3035005	6	100	6	100												
3035006	6	100	6	100												
3035007	6	100	6	100												
3035008	6	100	6	100												
3035009	6	100	6	100												
3036001	7	100	7	100			1	100	2	100						
3036002	7	100	7	100			1	100	2	100						
3036003	7	100	7	100			1	100	2	100						
3036004	7	100	7	100			1	100	2	100						
3036005	7	100	7	100			1	100	2	100						
3036006	7	100	7	100			1	100	2	100						
3036007	7	100	7	100			1	100	2	100						
3036008	7	100	7	100			1	100	2	100						
3036009	7	100	7	100			1	100	2	100						
3036010	7	100	7	100			1	100	2	100						
3036011	7	100	7	100			1	100	2	100						
3036012	7	100	7	100			1	100	2	100						
3045001	6	100	6	100												
3045002	6	100	6	100												
3045003	6	100	6	100												
3045004	6	100	6	100												
3045005	6	100	6	100												
3045006	6	100	6	100												
3045007	6	100	6	100												
3045008	6	100	6	100												
3045009	6	100	6	100												
3046001	7	100	7	100			1	100	2	100						
3046002	7	100	7	100			1	100	2	100						
3046003	7	100	7	100			1	100	2	100						
3046004	7	100	7	100			1	100	2	100						
3046005	7	100	7	100			1	100	2	100						
3046006	7	100	7	100			1	100	2	100						
3046007	7	100	7	100			1	100	2	100						
3046008	7	100	7	100			1	100	2	100						
3046009	7	100	7	100			1	100	2	100						
3046010	7	100	7	100			1	100	2	100						
3046011	7	100	7	100			1	100	2	100						
3046012	7	100	7	100			1	100	2	100						
3055001	6	100	6	100												
3055002	6	100	6	100												
3055003	6	100	6	100												
3055004	6	100	6	100												
3055005	6	100	6	100												
3055006	6	100	6	100												
3055007	6	100	6	100												
3055008	6	100	6	100												
3055009	6	100	6	100												
3056001	7	100	7	100			1	100	2	100						
3056002	7	100	7	100			1	100	2	100						
3056003	7	100	7	100			1	100	2	100						
3056004	7	100	7	100			1	100	2	100						
3056005	7	100	7	100			1	100	2	100						
3056006	7	100	7	100			1	100	2	100						
3056007	7	100	7	100			1	100	2	100						
3056008	7	100	7	100			1	100	2	100						
3056009	7	100	7	100			1	100	2	100						
3056010	7	100	7	100			1	100	2	100						
3056011	7	100	7	100			1	100	2	100						
3056012	7	100	7	100			1	100	2	100						
3065001	6	100	6	100												
3065002	6	100	6	100												
3065003	6	100	6	100												
3065004	6	100	6	100												
3065005	6	100	6	100												
3065006	6	100	6	100												
3065007	6	100	6	100												
3065008	6	100	6	100												
3065009	6	100	6	100												
3066001	7	100	7	100			1	100	2	100						
3066002	7	100	7	100			1	100	2	100						
3066003	7	100	7	100			1	100	2	100						
3066004	7	100	7	100			1	100	2	100						
3066005	7	100	7	100			1	100	2	100						
3066006	7	100	7	100			1	100	2	100						
3066007	7	100	7	100			1	100	2	100						
3066008	7	100	7	100			1	100	2	100						
3066009	7	100	7	100			1	100	2	100						
3066010	7	100	7	100			1	100	2	100						
3066011	7	100	7	100			1	100	2	100						
3066012	7	100	7	100			1	100	2	100						
3016014	7	100	7	100			1	100	2	100						
3026014	7	100	7	100			1	100	2	100						
3036014	7	100	7	100			1	100	2	100						
3046014	7	100	7	100			1	100	2	100						
3056014	7	100	7	100			1	100	2	100						
3066014	7	100	7	100			1	100	2	100						
3015050	6	100	6	100												
3025050	6	100	6	100												
3035050	6	100	6	100												
3045050	6	100	6	100												
3055050	6	100	6	100												
3065050	6	100	6	100												
3016013	7	100	7	100			1	100	2	100						
3026013	7	100	7	100			1	100	2	100						
3036013	7	100	7	100			1	100	2	100						
3046013	7	100	7	100			1	100	2	100						
3056013	7	100	7	100			1	100	2	100						
3066013	7	100	7	100			1	100	2	100						
3016015	7	100	7	100			1	100	2	100						
3026015	7	100	7	100			1	100	2	100						
3036015	7	100	7	100			1	100	2	100						
3046015	7	100	7	100			1	100	2	100						
3056015	7	100	7	100			1	100	2	100						
3066015	7	100	7	100			1	100	2	100						
3016016	7	100	7	100			1	100	2	100						
3026016	7	100	7	100			1	100	2	100						
3036016	7	100	7	100			1	100	2	100						
3046016	7	100	7	100			1	100	2	100						
3056016	7	100	7	100			1	100	2	100						
3066016	7	100	7	100			1	100	2	100						
3016017	7	100	7	100			1	100	2	100						
3026017	7	100	7	100			1	100	2	100						
3036017	7	100	7	100			1	100	2	100						
3046017	7	100	7	100			1	100	2	100						
3056017	7	100	7	100			1	100	2	100						
3066017	7	100	7	100			1	100	2	100						
3016018	7	100	7	100			1	100	2	100						
3026018	7	100	7	100			1	100	2	100						
3036018	7	100	7	100			1	100	2	100						
3046018	7	100	7	100			1	100	2	100						
3056018	7	100	7	100			1	100	2	100						
3066018	7	100	7	100			1	100	2	100						
3016019	7	100	7	100			1	100	2	100						
3026019	7	100	7	100			1	100	2	100						
3036019	7	100	7	100			1	100	2	100						
3046019	7	100	7	100			1	100	2	100						
3056019	7	100	7	100			1	100	2	100						
3066019	7	100	7	100			1	100	2	100						
3015051	6	100	6	100												
3025051	6	100	6	100												
3035051	6	100	6	100												
3045051	6	100	6	100												
3055051	6	100	6	100												
3065051	6	100	6	100												
3015052	6	100	6	100												
3025052	6	100	6	100												
3035052	6	100	6	100												
3045052	6	100	6	100												
3055052	6	100	6	100												
3065052	6	100	6	100												
3015053	6	100	6	100												
3025053	6	100	6	100												
3035053	6	100	6	100												
3045053	6	100	6	100												
3055053	6	100	6	100												
3065053	6	100	6	100												
3015055	6	100	6	100												
3025055	6	100	6	100												
3035055	6	100	6	100												
3045055	6	100	6	100												
3055055	6	100	6	100												
3065055	6	100	6	100												
3015056	6	100	6	100												
3025056	6	100	6	100												
3035056	6	100	6	100												
3045056	6	100	6	100												
3055056	6	100	6	100												
3065056	6	100	6	100												
3016020	7	100	7	100			1	100	2	100						
3026020	7	100	7	100			1	100	2	100						
3036020	7	100	7	100			1	100	2	100						
3046020	7	100	7	100			1	100	2	100						
3056020	7	100	7	100			1	100	2	100						
3066020	7	100	7	100			1	100	2	100						
3016021	7	100	7	100			1	100	2	100						
3026021	7	100	7	100			1	100	2	100						
3036021	7	100	7	100			1	100	2	100						
3046021	7	100	7	100			1	100	2	100						
3056021	7	100	7	100			1	100	2	100						
3066021	7	100	7	100			1	100	2	100						
3016022	7	100	7	100			1	100	2	100						
3026022	7	100	7	100			1	100	2	100						
3036022	7	100	7	100			1	100	2	100						
3046022	7	100	7	100			1	100	2	100						
3056022	7	100	7	100			1	100	2	100						
3066022	7	100	7	100			1	100	2	100						
3016023	7	100	7	100			1	100	2	100						
3026023	7	100	7	100			1	100	2	100						
3036023	7	100	7	100			1	100	2	100						
3046023	7	100	7	100			1	100	2	100						
3056023	7	100	7	100			1	100	2	100						
3066023	7	100	7	100			1	100	2	100						
3015057	6	100	6	100												
3025057	6	100	6	100												
3035057	6	100	6	100												
3045057	6	100	6	100												
3055057	6	100	6	100												
3065057	6	100	6	100												
3016024	7	100	7	100			1	100	2	100						
3026024	7	100	7	100			1	100	2	100						
3036024	7	100	7	100			1	100	2	100						
3046024	7	100	7	100			1	100	2	100						
3056024	7	100	7	100			1	100	2	100						
3066024	7	100	7	100			1	100	2	100						
3016025	7	100	7	100			1	100	2	100						
3026025	7	100	7	100			1	100	2	100						
3036025	7	100	7	100			1	100	2	100						
3046025	7	100	7	100			1	100	2	100						
3056025	7	100	7	100			1	100	2	100						
3066025	7	100	7	100			1	100	2	100						
3015058	6	100	6	100												
3025058	6	100	6	100												
3035058	6	100	6	100												
3045058	6	100	6	100												
3055058	6	100	6	100												
3065058	6	100	6	100												
3016026	7	100	7	100			1	100	2	100						
3026026	7	100	7	100			1	100	2	100						
3036026	7	100	7	100			1	100	2	100						
3046026	7	100	7	100			1	100	2	100						
3056026	7	100	7	100			1	100	2	100						
3066026	7	100	7	100			1	100	2	100						
3016027	7	100	7	100			1	100	2	100						
3026027	7	100	7	100			1	100	2	100						
3036027	7	100	7	100			1	100	2	100						
3046027	7	100	7	100			1	100	2	100						
3056027	7	100	7	100			1	100	2	100						
3066027	7	100	7	100			1	100	2	100						
3016028	7	100	7	100			1	100	2	100						
3026028	7	100	7	100			1	100	2	100						
3036028	7	100	7	100			1	100	2	100						
3046028	7	100	7	100			1	100	2	100						
3056028	7	100	7	100			1	100	2	100						
3066028	7	100	7	100			1	100	2	100						
3016029	7	100	7	100			1	100	2	100						
3026029	7	100	7	100			1	100	2	100						
3036029	7	100	7	100			1	100	2	100						
3046029	7	100	7	100			1	100	2	100						
3056029	7	100	7	100			1	100	2	100						
3066029	7	100	7	100			1	100	2	100						
3016030	7	100	7	100			1	100	2	100						
3026030	7	100	7	100			1	100	2	100						
3036030	7	100	7	100			1	100	2	100						
3046030	7	100	7	100			1	100	2	100						
3056030	7	100	7	100			1	100	2	100						
3066030	7	100	7	100			1	100	2	100						
3016031	7	100	7	100			1	100	2	100						
3026031	7	100	7	100			1	100	2	100						
3036031	7	100	7	100			1	100	2	100						
3046031	7	100	7	100			1	100	2	100						
3056031	7	100	7	100			1	100	2	100						
3066031	7	100	7	100			1	100	2	100						
3018053	6	100	6	100												
3028053	6	100	6	100												
3038053	6	100	6	100												
3048053	6	100	6	100												
3058053	6	100	6	100												
3068053	6	100	6	100												
3019050	6	100	6	100												
3029050	6	100	6	100												
3039050	6	100	6	100												
3049050	6	100	6	100												
3059050	6	100	6	100												
3069050	6	100	6	100												
3015501	6	100	6	100												
3025501	6	100	6	100												
3035501	6	100	6	100												
3045501	6	100	6	100
3015650	6	100	6	100												
3025650	6	100	6	100												
3035650	6	100	6	100												
3045650	6	100	6	100												
3055650	6	100	6	100												
3065650	6	100	6	100
