Id	Group	Direction	ClickType	PressFrame	TotalFrame
276	30031533	1	1	2010	40
277	30031533	1	1	2015	40
278	30031533	1	1	2022	40
279	30031533	2	1	2028	40
280	30031533	1	1	2033	40
281	30031533	3	2	2043	20
282	30031533	1	1	2098	40
283	30031533	1	1	2103	40
284	30031533	1	1	2110	40
285	30031533	2	1	2117	40
286	30031533	2	1	2122	40
287	30031533	2	1	2128	40
288	30031533	1	1	2135	40
289	30031533	2	1	2140	40
290	30031533	3	2	2150	20
291	30031533	2	2	2192	10
292	30031533	1	2	2205	15
293	30031533	2	2	2225	15
294	30031533	1	2	2243	13
295	30031533	3	2	2260	48
296	30031533	3	1	2313	40
297	30031533	2	1	2352	40
298	30031533	1	1	2357	40
299	30031533	2	2	2367	25
300	30031533	1	1	2398	40
301	30031533	2	1	2403	40
302	30031533	1	1	2410	40
303	30031533	3	1	2418	40
304	30031533	2	1	2428	40
305	30031533	1	1	2438	40
306	30031533	2	1	2448	40
307	30031533	3	1	2462	40
308	30031533	3	2	2472	40
309	30031533	1	2	2525	10
310	30031533	1	1	2538	40
311	30031533	2	2	2545	10
312	30031533	2	1	2558	40
313	30031533	3	1	2565	40
314	30031533	3	2	2577	27
315	30031533	1	1	2613	40
316	30031533	2	1	2628	40
317	30031533	1	1	2642	40
318	30031533	2	1	2653	40
319	30031533	1	1	2665	40
320	30031533	2	1	2678	40
321	30031533	3	1	2693	40
322	30031533	2	1	2720	40
323	30031533	1	1	2737	40
324	30031533	2	1	2750	40
325	30031533	3	1	2760	40
326	30031533	3	1	2770	40
327	30031533	2	2	2792	10
328	30031533	2	1	2805	40
329	30031533	1	2	2822	10
330	30031533	1	1	2835	40
331	30031533	1	1	2852	40
332	30031533	2	1	2858	40
333	30031533	1	1	2865	40
334	30031533	2	1	2872	40
335	30031533	1	1	2878	40
336	30031533	2	1	2885	40
337	30031533	3	1	2890	40
338	30031533	1	2	2898	8
339	30031533	1	1	2910	40
340	30031533	2	2	2928	12
341	30031533	2	1	2943	40
342	30031533	1	1	2955	40
343	30031533	2	1	2963	40
344	30031533	1	1	2972	40
345	30031533	2	1	2978	40
346	30031533	1	1	2987	40
347	30031533	2	1	2995	40
348	30031533	3	2	3003	28
349	30031533	2	1	3038	40
350	30031533	1	1	3057	40
351	30031533	2	1	3075	40
352	30031533	1	1	3097	40
353	30031533	3	2	3112	47
354	30031533	3	2	3163	50
355	30031533	3	1	3218	40
356	30031534	1	2	100	33
357	30031534	1	1	137	40
358	30031534	2	2	150	38
359	30031534	2	1	192	40
360	30031534	1	2	207	32
361	30031534	1	1	242	40
362	30031534	2	2	257	38
363	30031534	2	1	298	40
364	30031534	1	2	310	20
365	30031534	1	1	333	40
366	30031534	3	1	350	40
367	30031534	2	2	365	18
368	30031534	2	1	387	40
369	30031534	3	1	403	40
370	30031534	3	2	417	30
371	30031534	1	2	457	12
372	30031534	2	2	472	15
373	30031534	1	2	490	37
374	30031534	1	2	550	12
375	30031534	2	1	557	40
376	30031534	2	1	562	40
377	30031534	2	2	570	12
378	30031534	1	1	577	40
379	30031534	1	1	582	40
380	30031534	3	1	590	40
381	30031534	3	1	597	40
382	30031534	1	2	605	13
383	30031534	2	2	622	13
384	30031534	3	1	640	40
385	30031534	3	1	645	40
386	30031534	3	1	650	40
387	30031534	2	2	657	12
388	30031534	1	1	663	40
389	30031534	1	1	668	40
390	30031534	1	2	677	12
391	30031534	2	1	683	40
392	30031534	2	1	688	40
393	30031534	3	1	697	40
394	30031534	3	1	703	40
395	30031534	2	2	708	18
396	30031534	1	2	730	12
397	30031534	3	1	747	40
398	30031534	3	1	752	40
399	30031534	3	1	757	40
400	30031534	1	1	763	40
401	30031534	2	1	768	40
402	30031534	1	1	773	40
403	30031534	2	1	783	40
404	30031534	1	1	790	40
405	30031534	2	1	797	40
406	30031534	3	1	803	40
407	30031534	3	1	810	40
408	30031534	1	2	817	8
409	30031534	2	2	827	20
410	30031534	3	2	857	10
411	30031534	3	2	872	17
412	30031534	3	2	893	8
413	30031534	3	1	907	40
414	30031534	3	1	912	40
415	30031534	3	1	917	40
416	30031534	3	2	925	40
417	30031534	3	1	970	40
418	30031534	3	2	975	28
419	30031534	1	1	1013	40
420	30031534	2	1	1018	40
421	30031534	1	1	1023	40
422	30031534	2	2	1030	13
423	30031534	1	1	1038	40
424	30031534	1	1	1043	40
425	30031534	1	2	1048	15
426	30031534	2	1	1058	40
427	30031534	2	1	1063	40
428	30031534	3	1	1075	40
429	30031534	3	2	1083	30
430	30031534	2	1	1127	40
431	30031534	1	1	1132	40
432	30031534	2	1	1138	40
433	30031534	3	1	1148	40
434	30031534	1	2	1157	10
435	30031534	2	2	1170	8
436	30031534	3	1	1183	40
437	30031534	3	2	1190	20
438	30031534	3	1	1213	40
439	30031534	3	1	1218	40
440	30031534	2	1	1223	40
441	30031534	1	1	1232	40
442	30031534	2	1	1237	40
443	30031534	1	2	1243	13
444	30031534	2	2	1253	11
445	30031534	3	2	1275	15
446	30031534	3	1	1293	40
447	30031534	2	1	1300	40
448	30031534	1	1	1307	40
449	30031534	3	2	1310	17
450	30031534	3	1	1332	40
451	30031534	3	1	1337	40
452	30031534	3	1	1343	40
453	30031534	2	2	1350	10
454	30031534	1	2	1363	5
455	30031534	3	2	1373	10
456	30031534	3	2	1387	13
457	30031534	3	1	1405	40
458	30031534	3	1	1417	40
459	30031534	3	1	1432	40
460	30031534	3	1	1447	40
461	30031534	2	2	1458	22
462	30031534	1	2	1475	27
463	30031534	2	2	1497	22
464	30031534	1	2	1513	13
465	30031534	3	2	1532	12
466	30031534	3	1	1547	40
467	30031534	3	1	1552	40
468	30031534	3	1	1557	40
469	30031534	2	2	1563	27
470	30031534	1	2	1583	25
471	30031534	2	2	1603	22
472	30031534	1	2	1620	15
473	30031534	3	2	1640	10
474	30031534	3	1	1653	40
475	30031534	3	1	1658	40
476	30031534	3	1	1663	40
477	30031534	3	2	1670	15
478	30031534	1	2	1690	18
479	30031534	2	2	1712	12
480	30031534	1	2	1727	15
481	30031534	2	2	1745	15
482	30031534	3	1	1763	40
483	30031534	3	1	1772	40
484	30031534	3	2	1777	30
485	30031534	1	1	1818	40
486	30031534	2	1	1825	40
487	30031534	1	1	1832	40
488	30031534	3	1	1842	40
489	30031534	3	2	1848	25
490	30031534	1	2	1883	13
491	30031534	2	1	1892	40
492	30031534	2	1	1897	40
493	30031534	2	2	1902	15
494	30031534	1	1	1910	40
495	30031534	1	1	1917	40
496	30031534	1	1	1922	40
497	30031534	2	1	1928	40
498	30031534	3	2	1937	12
499	30031534	3	1	1952	40
500	30031534	3	2	1958	25
501	30031534	2	2	1992	12
502	30031534	1	1	1997	40
503	30031534	1	1	2003	40
504	30031534	1	2	2010	12
505	30031534	2	1	2015	40
506	30031534	2	1	2022	40
507	30031534	2	1	2028	40
508	30031534	1	1	2033	40
509	30031534	3	2	2043	8
510	30031534	3	1	2055	40
511	30031534	3	2	2065	23
512	30031534	2	1	2098	40
513	30031534	2	1	2103	40
514	30031534	3	1	2110	40
515	30031534	1	1	2117	40
516	30031534	1	1	2122	40
517	30031534	3	1	2128	40
518	30031534	2	1	2135	40
519	30031534	1	1	2140	40
520	30031534	3	2	2148	8
521	30031534	3	1	2162	40
522	30031534	3	2	2168	18
523	30031534	2	2	2192	10
524	30031534	1	2	2205	15
525	30031534	2	2	2225	15
526	30031534	1	2	2243	13
527	30031534	2	2	2260	18
528	30031534	1	1	2268	40
529	30031534	1	1	2273	40
530	30031534	1	1	2278	40
531	30031534	1	2	2283	18
532	30031534	2	1	2292	40
533	30031534	2	1	2297	40
534	30031534	2	1	2302	40
535	30031534	3	1	2313	40
536	30031534	3	1	2352	40
537	30031534	3	1	2357	40
538	30031534	3	2	2367	25
539	30031534	1	1	2398	40
540	30031534	2	1	2403	40
541	30031534	1	1	2410	40
542	30031534	3	1	2418	40
543	30031534	2	2	2428	7
544	30031534	1	2	2438	7
545	30031534	2	2	2448	10
546	30031534	3	1	2462	40
547	30031534	3	2	2472	855
548	30031534	3	1	2510	40
549	30031534	1	2	2525	13
550	30031534	2	1	2538	40
551	30031534	2	2	2545	13
552	30031534	1	1	2558	40
553	30031534	2	1	2565	40
554	30031534	1	1	2572	40
555	30031534	3	2	2577	27
556	30031534	1	1	2613	40
557	30031534	1	1	2618	40
558	30031534	1	1	2623	40
559	30031534	3	2	2628	10
560	30031534	2	1	2643	40
561	30031534	2	1	2648	40
562	30031534	2	1	2653	40
563	30031534	3	1	2665	40
564	30031534	3	1	2672	40
565	30031534	3	2	2677	12
566	30031534	3	1	2692	40
567	30031534	3	2	2698	13
568	30031534	2	1	2718	40
569	30031534	1	1	2723	40
570	30031534	3	1	2730	40
571	30031534	3	2	2737	10
572	30031534	3	1	2752	40
573	30031534	3	2	2758	8
574	30031534	3	1	2772	40
575	30031534	3	1	2778	40
576	30031534	3	1	2785	40
577	30031534	2	2	2792	10
578	30031534	3	1	2805	40
579	30031534	3	1	2812	40
580	30031534	1	2	2820	8
581	30031534	3	1	2832	40
582	30031534	3	1	2838	40
583	30031534	3	1	2847	40
584	30031534	1	1	2852	40
585	30031534	1	1	2858	40
586	30031534	1	1	2865	40
587	30031534	2	1	2872	40
588	30031534	2	1	2878	40
589	30031534	2	1	2885	40
590	30031534	3	1	2892	40
591	30031534	1	2	2898	20
592	30031534	2	1	2910	40
593	30031534	2	1	2918	40
594	30031534	2	2	2928	17
595	30031534	1	1	2938	40
596	30031534	1	1	2945	40
597	30031534	1	2	2955	17
598	30031534	2	1	2965	40
599	30031534	2	1	2972	40
600	30031534	2	2	2978	17
601	30031534	1	1	2987	40
602	30031534	1	1	2995	40
603	30031534	3	2	3003	28
604	30031534	2	1	3038	40
605	30031534	1	1	3045	40
606	30031534	3	1	3050	40
607	30031534	3	2	3058	17
608	30031534	3	2	3078	13
609	30031534	1	1	3097	40
610	30031534	2	1	3103	40
611	30031534	1	2	3112	47
612	30031534	2	1	3132	40
613	30031534	2	1	3138	40
614	30031534	2	1	3145	40
615	30031534	2	1	3152	40
616	30031534	2	1	3158	40
617	30031534	2	2	3163	50
618	30031534	1	1	3187	40
619	30031534	1	1	3193	40
620	30031534	1	1	3200	40
621	30031534	1	1	3207	40
622	30031534	1	1	3213	40
623	30031534	3	1	3218	40
624	30031534	3	1	3230	40
625	30031534	3	1	3245	40
626	30031534	3	1	3260	40
627	30031535	3	1	80	40
628	30031535	1	1	99	40
629	30031535	2	1	118	40
630	30031535	1	1	138	40
631	30031535	3	1	157	40
632	30031535	2	1	176	40
633	30031535	1	1	195	40
634	30031535	2	1	214	40
635	30031535	3	1	234	40
636	30031535	1	1	243	40
637	30031535	2	1	253	40
638	30031535	1	1	262	40
639	30031535	2	1	272	40
640	30031535	1	1	282	40
641	30031535	2	1	291	40
642	30031535	1	1	298	40
643	30031535	3	1	310	40
644	30031535	2	1	320	40
645	30031535	1	1	330	40
646	30031535	2	1	339	40
647	30031535	3	1	349	40
648	30031535	2	1	358	40
649	30031535	3	1	368	40
650	30031535	3	1	378	40
651	30031535	2	1	397	40
652	30031535	2	1	406	40
653	30031535	2	1	416	40
654	30031535	1	2	426	14
655	30031535	2	2	445	19
656	30031535	1	1	474	40
657	30031535	1	1	483	40
658	30031535	1	1	493	40
659	30031535	2	2	502	14
660	30031535	1	2	524	14
661	30031535	2	1	550	40
662	30031535	1	1	560	40
663	30031535	2	1	570	40
664	30031535	1	1	579	40
665	30031535	2	1	589	40
666	30031535	1	1	598	40
667	30031535	2	1	608	40
668	30031535	1	2	618	12
669	30031535	2	2	632	19
670	30031535	3	1	675	40
671	30031535	3	1	685	40
672	30031535	3	1	694	40
673	30031535	2	1	704	40
674	30031535	3	1	714	40
675	30031535	1	1	723	40
676	30031535	3	1	733	40
677	30031535	2	1	742	40
678	30031535	1	1	752	40
679	30031535	1	1	762	40
680	30031535	3	1	771	40
681	30031535	1	1	781	40
682	30031535	3	1	790	40
683	30031535	2	1	800	40
684	30031535	3	1	810	40
685	30031535	2	1	819	40
686	30031535	1	1	829	40
687	30031535	1	1	838	40
688	30031535	3	1	848	40
689	30031535	2	1	858	40
690	30031535	3	1	867	40
691	30031535	1	1	877	40
692	30031535	3	1	886	40
693	30031535	3	1	896	40
694	30031535	3	1	906	40
695	30031535	2	1	915	40
696	30031535	3	1	925	40
697	30031535	1	1	934	40
698	30031535	3	1	944	40
699	30031535	3	1	954	40
700	30031535	3	2	963	24
701	30031535	3	1	992	40
702	30031535	1	2	1002	29
703	30031535	2	2	1040	29
704	30031535	1	2	1078	10
705	30031535	1	2	1093	14
706	30031535	2	2	1117	10
707	30031535	2	2	1131	14
708	30031535	1	2	1155	10
709	30031535	1	2	1170	14
710	30031535	2	2	1194	10
711	30031535	2	2	1208	14
712	30031535	3	2	1232	10
713	30031535	3	2	1246	14
714	30031535	3	1	1270	40
715	30031535	3	1	1280	40
716	30031535	3	1	1290	40
717	30031535	3	1	1299	40
718	30031535	3	1	1309	40
719	30031535	1	1	1318	40
720	30031535	2	1	1328	40
721	30031535	1	1	1338	40
722	30031535	2	1	1347	40
723	30031535	1	1	1357	40
724	30031535	2	1	1366	40
725	30031535	1	1	1376	40
726	30031535	3	1	1386	40
727	30031535	2	1	1395	40
728	30031535	1	1	1405	40
729	30031535	2	1	1414	40
730	30031535	1	1	1424	40
731	30031535	2	1	1434	40
732	30031535	1	1	1443	40
733	30031535	2	1	1453	40
734	30031535	3	1	1462	40
735	30031535	3	1	1472	40
736	30031535	3	1	1482	40
737	30031535	2	1	1491	40
738	30031535	2	1	1501	40
739	30031535	2	1	1510	40
740	30031535	2	1	1520	40
741	30031535	2	1	1530	40
742	30031535	3	1	1539	40
743	30031535	3	1	1549	40
744	30031535	3	1	1558	40
745	30031535	1	1	1568	40
746	30031535	1	2	1578	29
747	30031535	3	1	1616	40
748	30031535	3	1	1626	40
749	30031535	3	1	1635	40
750	30031535	1	1	1645	40
751	30031535	1	1	1654	40
752	30031535	1	1	1664	40
753	30031535	1	1	1674	40
754	30031535	1	1	1683	40
755	30031535	3	1	1693	40
756	30031535	3	1	1702	40
757	30031535	3	1	1712	40
758	30031535	2	1	1722	40
759	30031535	2	1	1731	40
760	30031535	2	1	1741	40
761	30031535	2	1	1750	40
762	30031535	2	1	1760	40
763	30031535	3	1	1770	40
764	30031535	3	1	1779	40
765	30031535	3	1	1789	40
766	30031535	3	1	1798	40
767	30031535	1	1	1808	40
768	30031535	1	1	1818	40
769	30031535	1	1	1827	40
770	30031535	1	1	1837	40
771	30031535	2	1	1846	40
772	30031535	2	1	1856	40
773	30031535	2	1	1866	40
774	30031535	2	1	1875	40
775	30031535	3	1	1885	40
776	30031535	3	1	1894	40
777	30031535	3	1	1904	40
778	30031535	3	1	1914	40
779	30031535	3	2	1923	67
780	30031535	2	1	2000	40
781	30031535	2	1	2010	40
782	30031535	2	1	2019	40
783	30031535	2	1	2029	40
784	30031535	2	1	2038	40
785	30031535	2	1	2048	40
786	30031535	2	2	2058	10
787	30031535	1	1	2077	40
788	30031535	1	1	2086	40
789	30031535	1	1	2096	40
790	30031535	1	1	2106	40
791	30031535	1	1	2115	40
792	30031535	1	1	2125	40
793	30031535	1	2	2134	10
794	30031535	3	1	2154	40
795	30031535	3	1	2163	40
796	30031535	3	1	2173	40
797	30031535	3	1	2182	40
798	30031535	3	1	2192	40
799	30031535	3	1	2202	40
800	30031535	3	2	2211	10
801	30031535	3	2	2230	58
802	30031535	1	1	2298	40
803	30031535	1	2	2307	10
804	30031535	1	2	2322	38
805	30031535	2	1	2374	40
806	30031535	2	2	2384	10
807	30031535	2	2	2398	38
808	30031535	3	1	2451	40
809	30031535	3	2	2461	10
810	30031535	3	2	2475	14
811	30031535	3	1	2499	40
812	30031535	3	1	2509	40
813	30031535	3	1	2518	40
814	30031535	3	1	2528	40
815	30031535	3	1	2538	40
816	30031535	2	1	2547	40
817	30031535	1	1	2557	40
818	30031535	2	1	2566	40
819	30031535	1	1	2576	40
820	30031535	2	1	2586	40
821	30031535	1	1	2595	40
822	30031535	2	1	2605	40
823	30031535	3	1	2614	40
824	30031535	1	1	2624	40
825	30031535	2	1	2634	40
826	30031535	1	1	2643	40
827	30031535	2	1	2653	40
828	30031535	1	1	2662	40
829	30031535	2	1	2672	40
830	30031535	1	1	2682	40
831	30031535	3	1	2691	40
832	30031535	3	1	2701	40
833	30031535	3	1	2710	40
834	30031535	1	1	2720	40
835	30031535	1	1	2730	40
836	30031535	1	1	2739	40
837	30031535	1	1	2749	40
838	30031535	1	1	2758	40
839	30031535	3	1	2768	40
840	30031535	3	1	2778	40
841	30031535	3	1	2787	40
842	30031535	2	1	2797	40
843	30031535	2	2	2806	29
844	30031535	3	1	2845	40
845	30031535	3	1	2854	40
846	30031535	3	1	2864	40
847	30031535	2	1	2874	40
848	30031535	2	1	2883	40
849	30031535	2	1	2893	40
850	30031535	2	1	2902	40
851	30031535	2	1	2912	40
852	30031535	3	1	2922	40
853	30031535	3	1	2931	40
854	30031535	3	1	2941	40
855	30031535	1	1	2950	40
856	30031535	1	1	2960	40
857	30031535	1	1	2970	40
858	30031535	1	1	2979	40
859	30031535	1	1	2989	40
860	30031535	3	1	2998	40
861	30031535	3	1	3008	40
862	30031535	3	1	3018	40
863	30031535	3	1	3027	40
864	30031535	2	1	3037	40
865	30031535	2	1	3046	40
866	30031535	2	1	3056	40
867	30031535	2	1	3066	40
868	30031535	1	1	3075	40
869	30031535	1	1	3085	40
870	30031535	1	1	3094	40
871	30031535	1	1	3104	40
872	30031535	3	1	3114	40
873	30031535	3	1	3123	40
874	30031535	3	1	3133	40
875	30031535	3	1	3142	40
876	30031535	3	2	3152	19
877	30031536	3	1	80	40
878	30031536	2	1	90	40
879	30031536	1	1	99	40
880	30031536	2	1	109	40
881	30031536	1	1	118	40
882	30031536	2	1	128	40
883	30031536	1	1	138	40
884	30031536	2	1	147	40
885	30031536	3	2	157	37
886	30031536	1	1	205	40
887	30031536	2	1	214	40
888	30031536	1	1	224	40
889	30031536	3	1	234	40
890	30031536	1	1	243	40
891	30031536	2	1	253	40
892	30031536	1	1	262	40
893	30031536	2	1	272	40
894	30031536	1	1	282	40
895	30031536	2	1	291	40
896	30031536	1	1	301	40
897	30031536	3	2	310	36
898	30031536	3	1	349	40
899	30031536	1	1	358	40
900	30031536	2	1	370	40
901	30031536	1	1	378	40
902	30031536	3	2	387	10
903	30031536	2	2	402	10
904	30031536	1	2	411	10
905	30031536	2	1	421	40
906	30031536	1	2	426	10
907	30031536	2	2	435	10
908	30031536	1	2	445	10
909	30031536	2	2	454	8
910	30031536	1	1	474	40
911	30031536	2	2	478	10
912	30031536	1	2	488	10
913	30031536	2	1	498	40
914	30031536	1	2	502	10
915	30031536	2	2	512	10
916	30031536	1	2	522	10
917	30031536	2	2	531	8
918	30031536	1	1	550	40
919	30031536	2	2	555	10
920	30031536	1	2	565	10
921	30031536	2	1	574	40
922	30031536	1	2	579	10
923	30031536	2	2	589	10
924	30031536	1	2	598	10
925	30031536	2	2	608	10
926	30031536	1	2	618	14
927	30031536	2	2	632	32
928	30031536	1	1	642	40
929	30031536	1	1	651	40
930	30031536	1	2	675	10
931	30031536	2	2	685	7
932	30031536	3	1	694	40
933	30031536	2	1	704	40
934	30031536	3	1	714	40
935	30031536	1	1	723	40
936	30031536	2	1	733	40
937	30031536	2	1	738	40
938	30031536	3	2	747	7
939	30031536	3	2	757	7
940	30031536	3	1	771	40
941	30031536	1	1	781	40
942	30031536	3	1	790	40
943	30031536	2	1	800	40
944	30031536	1	1	810	40
945	30031536	1	1	814	40
946	30031536	3	2	824	7
947	30031536	3	2	834	7
948	30031536	3	1	848	40
949	30031536	1	1	858	40
950	30031536	3	1	867	40
951	30031536	2	1	877	40
952	30031536	1	1	886	40
