Id	CharacterId	Name	SignBoardActionId	UnlockLv	ConditionDescript
1030104	1031001	Affection up	1030104	1	Affection <color=#C14F38>1</color>
1030107	1031001	Quick tap	1030107	1	Affection <color=#C14F38>1</color>
1030201	1031002	Display Pose 1	1030201	1	Affection <color=#C14F38>1</color>
1030202	1031002	Display Pose 2	1030202	1	Affection <color=#C14F38>1</color>
1030203	1031002	Display Pose 3	1030203	1	Affection <color=#C14F38>1</color>
1030205	1031002	Affection up	1030205	1	Affection <color=#C14F38>1</color>
1030206	1031002	Quick tap	1030206	1	Affection <color=#C14F38>1</color>
1030301	1031003	Display Pose 1	1030301	1	Affection <color=#C14F38>1</color>
1030302	1031003	Display Pose 2	1030302	1	Affection <color=#C14F38>1</color>
1030303	1031003	Display Pose 3	1030303	1	Affection <color=#C14F38>1</color>
1030305	1031003	Affection up	1030305	1	Affection <color=#C14F38>1</color>
1030306	1031003	Quick tap	1030306	1	Affection <color=#C14F38>1</color>
1030309	1031003	Connection made	1030309	2	Affection <color=#C14F38>2</color>
1030310	1031003	Excessive online time	1030310	3	Affection <color=#C14F38>3</color>
1030311	1031003	Idle	1030311	4	Affection <color=#C14F38>4</color>
1030312	1031003	Shake	1030312	5	Affection <color=#C14F38>5</color>
1030313	1031003	Extended offline time	1030313	6	Affection <color=#C14F38>6</color>
1040201	1041002	Display Pose 1	1040201	1	Affection <color=#C14F38>1</color>
1040202	1041002	Display Pose 2	1040202	1	Affection <color=#C14F38>1</color>
1040203	1041002	Display Pose 3	1040203	1	Affection <color=#C14F38>1</color>
1040205	1041002	Affection up	1040205	1	Affection <color=#C14F38>1</color>
1040206	1041002	Quick tap	1040206	1	Affection <color=#C14F38>1</color>
1040301	1041003	Display Pose 1	1040301	1	Affection <color=#C14F38>1</color>
1040302	1041003	Display Pose 2	1040302	1	Affection <color=#C14F38>1</color>
1040303	1041003	Display Pose 3	1040303	1	Affection <color=#C14F38>1</color>
1040305	1041003	Affection up	1040305	1	Affection <color=#C14F38>1</color>
1040306	1041003	Quick tap	1040306	1	Affection <color=#C14F38>1</color>
1040309	1041003	Connection made	1040309	2	Affection <color=#C14F38>2</color>
1040310	1041003	Excessive online time	1040310	3	Affection <color=#C14F38>3</color>
1040311	1041003	Idle	1040311	4	Affection <color=#C14F38>4</color>
1040312	1041003	Shake	1040312	5	Affection <color=#C14F38>5</color>
1040313	1041003	Extended offline time	1040313	6	Affection <color=#C14F38>6</color>
1050101	1051001	Display Pose 1	1050101	1	Affection <color=#C14F38>1</color>
1050102	1051001	Display Pose 2	1050102	1	Affection <color=#C14F38>1</color>
1050103	1051001	Display Pose 3	1050103	1	Affection <color=#C14F38>1</color>
1050105	1051001	Affection up	1050105	1	Affection <color=#C14F38>1</color>
1050106	1051001	Quick tap	1050106	1	Affection <color=#C14F38>1</color>
1050301	1051003	Display Pose 1	1050301	1	Affection <color=#C14F38>1</color>
1050302	1051003	Display Pose 2	1050302	1	Affection <color=#C14F38>1</color>
1050303	1051003	Display Pose 3	1050303	1	Affection <color=#C14F38>1</color>
1050305	1051003	Affection up	1050305	1	Affection <color=#C14F38>1</color>
1050306	1051003	Quick tap	1050306	1	Affection <color=#C14F38>1</color>
1050309	1051003	Connection made	1050309	2	Affection <color=#C14F38>2</color>
1050310	1051003	Excessive online time	1050310	3	Affection <color=#C14F38>3</color>
1050311	1051003	Idle	1050311	4	Affection <color=#C14F38>4</color>
1050312	1051003	Shake	1050312	5	Affection <color=#C14F38>5</color>
1050313	1051003	Extended offline time	1050313	6	Affection <color=#C14F38>6</color>
1060201	1061002	Display Pose 1	1060201	1	Affection <color=#C14F38>1</color>
1060202	1061002	Display Pose 2	1060202	1	Affection <color=#C14F38>1</color>
1060203	1061002	Display Pose 3	1060203	1	Affection <color=#C14F38>1</color>
1060205	1061002	Affection up	1060205	1	Affection <color=#C14F38>1</color>
1060206	1061002	Quick tap	1060206	1	Affection <color=#C14F38>1</color>
1060301	1061003	Display Pose 1	1060301	1	Affection <color=#C14F38>1</color>
1060302	1061003	Display Pose 2	1060302	1	Affection <color=#C14F38>1</color>
1060303	1061003	Display Pose 3	1060303	1	Affection <color=#C14F38>1</color>
1060305	1061003	Affection up	1060305	1	Affection <color=#C14F38>1</color>
1060306	1061003	Quick tap	1060306	1	Affection <color=#C14F38>1</color>
1060309	1061003	Connection made	1060309	2	Affection <color=#C14F38>2</color>
1060310	1061003	Excessive online time	1060310	3	Affection <color=#C14F38>3</color>
1060311	1061003	Idle	1060311	4	Affection <color=#C14F38>4</color>
1060312	1061003	Shake	1060312	5	Affection <color=#C14F38>5</color>
1060313	1061003	Extended offline time	1060313	6	Affection <color=#C14F38>6</color>
1070201	1071002	Display Pose 1	1070201	1	Affection <color=#C14F38>1</color>
1070202	1071002	Display Pose 2	1070202	1	Affection <color=#C14F38>1</color>
1070203	1071002	Display Pose 3	1070203	1	Affection <color=#C14F38>1</color>
1070205	1071002	Affection up	1070205	1	Affection <color=#C14F38>1</color>
1070206	1071002	Quick tap	1070206	1	Affection <color=#C14F38>1</color>
1070301	1071003	Display Pose 1	1070301	1	Affection <color=#C14F38>1</color>
1070302	1071003	Display Pose 2	1070302	1	Affection <color=#C14F38>1</color>
1070303	1071003	Display Pose 3	1070303	1	Affection <color=#C14F38>1</color>
1070305	1071003	Affection up	1070305	1	Affection <color=#C14F38>1</color>
1070306	1071003	Quick tap	1070306	1	Affection <color=#C14F38>1</color>
1070309	1071003	Connection made	1070309	2	Affection <color=#C14F38>2</color>
1070310	1071003	Excessive online time	1070310	3	Affection <color=#C14F38>3</color>
1070311	1071003	Idle	1070311	4	Affection <color=#C14F38>4</color>
1070312	1071003	Shake	1070312	5	Affection <color=#C14F38>5</color>
1070313	1071003	Extended offline time	1070313	6	Affection <color=#C14F38>6</color>
1080201	1081002	Display Pose 1	1080201	1	Affection <color=#C14F38>1</color>
1080202	1081002	Display Pose 2	1080202	1	Affection <color=#C14F38>1</color>
1080203	1081002	Display Pose 3	1080203	1	Affection <color=#C14F38>1</color>
1080205	1081002	Affection up	1080205	1	Affection <color=#C14F38>1</color>
1080206	1081002	Quick tap	1080206	1	Affection <color=#C14F38>1</color>
1080301	1081003	Display Pose 1	1080301	1	Affection <color=#C14F38>1</color>
1080302	1081003	Display Pose 2	1080302	1	Affection <color=#C14F38>1</color>
1080303	1081003	Display Pose 3	1080303	1	Affection <color=#C14F38>1</color>
1080305	1081003	Affection up	1080305	1	Affection <color=#C14F38>1</color>
1080306	1081003	Quick tap	1080306	1	Affection <color=#C14F38>1</color>
1090201	1091002	Display Pose 1	1090201	1	Affection <color=#C14F38>1</color>
1090202	1091002	Display Pose 2	1090202	1	Affection <color=#C14F38>1</color>
1090203	1091002	Display Pose 3	1090203	1	Affection <color=#C14F38>1</color>
1090205	1091002	Affection up	1090205	1	Affection <color=#C14F38>1</color>
1090206	1091002	Quick tap	1090206	1	Affection <color=#C14F38>1</color>
1090207	1091002	Connection Made	1090209	2	Affection <color=#C14F38>2</color>
1090208	1091002	Excessive Online Time	1090210	3	Affection <color=#C14F38>3</color>
1090209	1091002	Idle	1090211	4	Affection <color=#C14F38>4</color>
1090210	1091002	Shake	1090212	5	Affection <color=#C14F38>5</color>
1090211	1091002	Extended Offline Time	1090213	6	Affection <color=#C14F38>6</color>
1110201	1111002	Display Pose 1	1110201	1	Affection <color=#C14F38>1</color>
1110202	1111002	Display Pose 2	1110202	1	Affection <color=#C14F38>1</color>
1110203	1111002	Display Pose 3	1110203	1	Affection <color=#C14F38>1</color>
1110205	1111002	Affection up	1110205	1	Affection <color=#C14F38>1</color>
1110206	1111002	Quick tap	1110206	1	Affection <color=#C14F38>1</color>
1120201	1121002	Display Pose 1	1120201	1	Affection <color=#C14F38>1</color>
1120202	1121002	Display Pose 2	1120202	1	Affection <color=#C14F38>1</color>
1120203	1121002	Display Pose 3	1120203	1	Affection <color=#C14F38>1</color>
1120205	1121002	Affection up	1120205	1	Affection <color=#C14F38>1</color>
1120206	1121002	Quick tap	1120206	1	Affection <color=#C14F38>1</color>
1120301	1121003	Display Pose 1	1120301	1	Affection <color=#C14F38>1</color>
1120302	1121003	Display Pose 2	1120302	1	Affection <color=#C14F38>1</color>
1120303	1121003	Display Pose 3	1120303	1	Affection <color=#C14F38>1</color>
1120305	1121003	Affection up	1120305	1	Affection <color=#C14F38>1</color>
1120306	1121003	Quick tap	1120306	1	Affection <color=#C14F38>1</color>
1120309	1121003	Connection made	1120309	2	Affection <color=#C14F38>2</color>
1120310	1121003	Excessive online time	1120310	3	Affection <color=#C14F38>3</color>
1120311	1121003	Idle	1120311	4	Affection <color=#C14F38>4</color>
1120312	1121003	Shake	1120312	5	Affection <color=#C14F38>5</color>
1120313	1121003	Extended offline time	1120313	6	Affection <color=#C14F38>6</color>
1130201	1131002	Display Pose 1	1130201	1	Affection <color=#C14F38>1</color>
1130202	1131002	Display Pose 2	1130202	1	Affection <color=#C14F38>1</color>
1130203	1131002	Display Pose 3	1130203	1	Affection <color=#C14F38>1</color>
1130205	1131002	Affection up	1130205	1	Affection <color=#C14F38>1</color>
1130206	1131002	Quick tap	1130206	1	Affection <color=#C14F38>1</color>
1510301	1511003	Display Pose 1	1510301	1	Affection <color=#C14F38>1</color>
1510302	1511003	Display Pose 2	1510302	1	Affection <color=#C14F38>1</color>
1510303	1511003	Display Pose 3	1510303	1	Affection <color=#C14F38>1</color>
1510305	1511003	Affection up	1510305	1	Affection <color=#C14F38>1</color>
1510306	1511003	Quick tap	1510306	1	Affection <color=#C14F38>1</color>
1140301	1141003	Display Pose 1	1140301	1	Affection <color=#C14F38>1</color>
1140302	1141003	Display Pose 2	1140302	1	Affection <color=#C14F38>1</color>
1140303	1141003	Display Pose 3	1140303	1	Affection <color=#C14F38>1</color>
1140305	1141003	Affection up	1140305	1	Affection <color=#C14F38>1</color>
1140306	1141003	Quick tap	1140306	1	Affection <color=#C14F38>1</color>
1140309	1141003	Connection made	1140309	2	Affection <color=#C14F38>2</color>
1140310	1141003	Excessive online time	1140310	3	Affection <color=#C14F38>3</color>
1140311	1141003	Idle	1140311	4	Affection <color=#C14F38>4</color>
1140312	1141003	Shake	1140312	5	Affection <color=#C14F38>5</color>
1140313	1141003	Extended offline time	1140313	6	Affection <color=#C14F38>6</color>
1160201	1161002	Display Pose 1	1160201	1	Affection <color=#C14F38>1</color>
1160202	1161002	Display Pose 2	1160202	1	Affection <color=#C14F38>1</color>
1160203	1161002	Display Pose 3	1160203	1	Affection <color=#C14F38>1</color>
1160205	1161002	Affection up	1160205	1	Affection <color=#C14F38>1</color>
1160206	1161002	Quick tap	1160206	1	Affection <color=#C14F38>1</color>
1160209	1161002	Connection made	1160209	2	Affection <color=#C14F38>2</color>
1160210	1161002	Excessive online time	1160210	3	Affection <color=#C14F38>3</color>
1160211	1161002	Idle	1160211	4	Affection <color=#C14F38>4</color>
1160212	1161002	Shake	1160212	5	Affection <color=#C14F38>5</color>
1160213	1161002	Extended offline time	1160213	6	Affection <color=#C14F38>6</color>
1520301	1521003	Display Pose 1	1520301	1	Affection <color=#C14F38>1</color>
1520302	1521003	Display Pose 2	1520302	1	Affection <color=#C14F38>1</color>
1520303	1521003	Display Pose 3	1520303	1	Affection <color=#C14F38>1</color>
1520305	1521003	Affection up	1520305	1	Affection <color=#C14F38>1</color>
1520306	1521003	Quick tap	1520306	1	Affection <color=#C14F38>1</color>
1520309	1521003	Connection made	1520309	2	Affection <color=#C14F38>2</color>
1520310	1521003	Excessive online time	1520310	3	Affection <color=#C14F38>3</color>
1520311	1521003	Idle	1520311	4	Affection <color=#C14F38>4</color>
1520312	1521003	Shake	1520312	5	Affection <color=#C14F38>5</color>
1520313	1521003	Extended offline time	1520313	6	Affection <color=#C14F38>6</color>
1170301	1171003	Display Pose 1	1170301	1	Affection <color=#C14F38>1</color>
1170302	1171003	Display Pose 2	1170302	1	Affection <color=#C14F38>1</color>
1170303	1171003	Display Pose 3	1170303	1	Affection <color=#C14F38>1</color>
1170305	1171003	Affection up	1170305	1	Affection <color=#C14F38>1</color>
1170306	1171003	Quick tap	1170306	1	Affection <color=#C14F38>1</color>
1170309	1171003	Connection made	1170309	2	Affection <color=#C14F38>2</color>
1170310	1171003	Excessive online time	1170310	3	Affection <color=#C14F38>3</color>
1170311	1171003	Idle	1170311	4	Affection <color=#C14F38>4</color>
1170312	1171003	Shake	1170312	5	Affection <color=#C14F38>5</color>
1170313	1171003	Extended offline time	1170313	6	Affection <color=#C14F38>6</color>
1180301	1181003	Display Pose 1	1180301	1	Affection <color=#C14F38>1</color>
1180302	1181003	Display Pose 2	1180302	1	Affection <color=#C14F38>1</color>
1180303	1181003	Display Pose 3	1180303	1	Affection <color=#C14F38>1</color>
1180305	1181003	Affection up	1180305	1	Affection <color=#C14F38>1</color>
1180306	1181003	Quick tap	1180306	1	Affection <color=#C14F38>1</color>
1180309	1181003	Connection made	1180309	2	Affection <color=#C14F38>2</color>
1180310	1181003	Excessive online time	1180310	3	Affection <color=#C14F38>3</color>
1180311	1181003	Idle	1180311	4	Affection <color=#C14F38>4</color>
1180312	1181003	Shake	1180312	5	Affection <color=#C14F38>5</color>
1180313	1181003	Extended offline time	1180313	6	Affection <color=#C14F38>6</color>
1190301	1191003	Display Pose 1	1190301	1	Affection <color=#C14F38>1</color>
1190302	1191003	Display Pose 2	1190302	1	Affection <color=#C14F38>1</color>
1190303	1191003	Display Pose 3	1190303	1	Affection <color=#C14F38>1</color>
1190305	1191003	Affection up	1190305	1	Affection <color=#C14F38>1</color>
1190306	1191003	Quick tap	1190306	1	Affection <color=#C14F38>1</color>
1190309	1191003	Connection made	1190309	2	Affection <color=#C14F38>2</color>
1190310	1191003	Excessive online time	1190310	3	Affection <color=#C14F38>3</color>
1190311	1191003	Idle	1190311	4	Affection <color=#C14F38>4</color>
1190312	1191003	Shake	1190312	5	Affection <color=#C14F38>5</color>
1190313	1191003	Extended offline time	1190313	6	Affection <color=#C14F38>6</color>
1200301	1201003	Display Pose 1	1200301	1	Affection <color=#C14F38>1</color>
1200302	1201003	Display Pose 2	1200302	1	Affection <color=#C14F38>1</color>
1200303	1201003	Display Pose 3	1200303	1	Affection <color=#C14F38>1</color>
1200305	1201003	Affection up	1200305	1	Affection <color=#C14F38>1</color>
1200306	1201003	Quick tap	1200306	1	Affection <color=#C14F38>1</color>
1200309	1201003	Connection made	1200309	2	Affection <color=#C14F38>2</color>
1200310	1201003	Excessive online time	1200310	3	Affection <color=#C14F38>3</color>
1200311	1201003	Idle	1200311	4	Affection <color=#C14F38>4</color>
1200312	1201003	Shake	1200312	5	Affection <color=#C14F38>5</color>
1200313	1201003	Extended offline time	1200313	6	Affection <color=#C14F38>6</color>
1210201	1211002	Display Pose 1	1210201	1	Affection <color=#C14F38>1</color>
1210202	1211002	Display Pose 2	1210202	1	Affection <color=#C14F38>1</color>
1210203	1211002	Display Pose 3	1210203	1	Affection <color=#C14F38>1</color>
1210204	1211002	Affection up	1210205	1	Affection <color=#C14F38>1</color>
1210205	1211002	Quick tap	1210206	1	Affection <color=#C14F38>1</color>
1210206	1211002	Connection made	1210209	2	Affection <color=#C14F38>2</color>
1210207	1211002	Excessive online time	1210210	3	Affection <color=#C14F38>3</color>
1210208	1211002	Idle	1210211	4	Affection <color=#C14F38>4</color>
1210209	1211002	Shake	1210212	5	Affection <color=#C14F38>5</color>
1210210	1211002	Extended offline time	1210213	6	Affection <color=#C14F38>6</color>
1530301	1531003	Display Pose 1	1530301	1	Affection <color=#C14F38>1</color>
1530302	1531003	Display Pose 2	1530302	1	Affection <color=#C14F38>1</color>
1530303	1531003	Display Pose 3	1530303	1	Affection <color=#C14F38>1</color>
1530304	1531003	Affection up	1530305	1	Affection <color=#C14F38>1</color>
1530305	1531003	Quick tap	1530306	1	Affection <color=#C14F38>1</color>
1530306	1531003	Connection made	1530309	2	Affection <color=#C14F38>2</color>
1530307	1531003	Excessive online time	1530310	3	Affection <color=#C14F38>3</color>
1530308	1531003	Idle	1530311	4	Affection <color=#C14F38>4</color>
1530309	1531003	Shake	1530312	5	Affection <color=#C14F38>5</color>
1530310	1531003	Extended offline time	1530313	6	Affection <color=#C14F38>6</color>
1220201	1221002	Display Pose 1	1220201	1	Affection <color=#C14F38>1</color> 
1220202	1221002	Display Pose 2	1220202	1	Affection <color=#C14F38>1</color> 
1220203	1221002	Display Pose 3	1220203	1	Affection <color=#C14F38>1</color> 
1220204	1221002	Affection up	1220205	1	Affection <color=#C14F38>1</color>
1220205	1221002	Quick tap	1220206	1	Affection <color=#C14F38>1</color>
1220206	1221002	Connection made	1220209	2	Affection <color=#C14F38>2</color>
1220207	1221002	Excessive online time	1220210	3	Affection <color=#C14F38>3</color>
1220208	1221002	Idle	1220211	4	Affection <color=#C14F38>4</color>
1220209	1221002	Shake	1220212	5	Affection <color=#C14F38>5</color>
1220210	1221002	Extended offline time	1220213	6	Affection <color=#C14F38>6</color>
1130301	1131003	Display Pose 1	1130301	1	Affection <color=#C14F38>1</color>
1130302	1131003	Display Pose 2	1130302	1	Affection <color=#C14F38>1</color>
1130303	1131003	Display Pose 3	1130303	1	Affection <color=#C14F38>1</color>
1130304	1131003	Affection up	1130305	1	Affection <color=#C14F38>1</color>
1130305	1131003	Quick tap	1130306	1	Affection <color=#C14F38>1</color>
1130306	1131003	Connection made	1130309	2	Affection <color=#C14F38>2</color>
1130307	1131003	Excessive online time	1130310	3	Affection <color=#C14F38>3</color>
1130308	1131003	Idle	1130311	4	Affection <color=#C14F38>4</color>
1130309	1131003	Shake	1130312	5	Affection <color=#C14F38>5</color>
1130310	1131003	Extended offline time	1130313	6	Affection <color=#C14F38>6</color>
1540301	1541003	Display Pose 1	1540301	1	Affection <color=#C14F38>1</color>
1540302	1541003	Display Pose 2	1540302	1	Affection <color=#C14F38>1</color>
1540303	1541003	Display Pose 3	1540303	1	Affection <color=#C14F38>1</color>
1540304	1541003	Affection up	1540305	1	Affection <color=#C14F38>1</color>
1540305	1541003	Quick tap	1540306	1	Affection <color=#C14F38>1</color>
1540306	1541003	Connection made	1540309	2	Affection <color=#C14F38>2</color>
1540307	1541003	Excessive online time	1540310	3	Affection <color=#C14F38>3</color>
1540308	1541003	Idle	1540311	4	Affection <color=#C14F38>4</color>
1540309	1541003	Shake	1540312	5	Affection <color=#C14F38>5</color>
1540310	1541003	Extended offline time	1540313	6	Affection <color=#C14F38>6</color>
1030401	1031004	Display Pose 1	1030401	1	Affection <color=#C14F38>1</color>
1030402	1031004	Display Pose 2	1030402	1	Affection <color=#C14F38>1</color>
1030403	1031004	Display Pose 3	1030403	1	Affection <color=#C14F38>1</color>
1030404	1031004	Affection up	1030405	1	Affection <color=#C14F38>1</color>
1030405	1031004	Quick tap	1030406	1	Affection <color=#C14F38>1</color>
1030406	1031004	Connection made	1030409	2	Affection <color=#C14F38>2</color>
1030407	1031004	Excessive online time	1030410	3	Affection <color=#C14F38>3</color>
1030408	1031004	Idle	1030411	4	Affection <color=#C14F38>4</color>
1030409	1031004	Shake	1030412	5	Affection <color=#C14F38>5</color>
1030410	1031004	Extended offline time	1030413	6	Affection <color=#C14F38>6</color>
1530401	1531004	Display Pose 1	1530401	1	Affection <color=#C14F38>1</color>
1530402	1531004	Display Pose 2	1530402	1	Affection <color=#C14F38>1</color>
1530403	1531004	Display Pose 3	1530403	1	Affection <color=#C14F38>1</color>
1530404	1531004	Affection up	1530405	1	Affection <color=#C14F38>1</color>
1530405	1531004	Quick tap	1530406	1	Affection <color=#C14F38>1</color>
1530406	1531004	Connection made	1530409	2	Affection <color=#C14F38>2</color>
1530407	1531004	Excessive online time	1530410	3	Affection <color=#C14F38>3</color>
1530408	1531004	Idle	1530411	4	Affection <color=#C14F38>4</color>
1530409	1531004	Shake	1530412	5	Affection <color=#C14F38>5</color>
1530410	1531004	Extended offline time	1530413	6	Affection <color=#C14F38>6</color>
1550301	1551003	Display Pose 1	1550301	1	Affection <color=#C14F38>1</color>
1550302	1551003	Display Pose 2	1550302	1	Affection <color=#C14F38>1</color>
1550303	1551003	Display Pose 3	1550303	1	Affection <color=#C14F38>1</color>
1550304	1551003	Affection up	1550305	1	Affection <color=#C14F38>1</color>
1550305	1551003	Quick tap	1550306	1	Affection <color=#C14F38>1</color>
1550306	1551003	Connection made	1550309	2	Affection <color=#C14F38>2</color>
1550307	1551003	Excessive online time	1550310	3	Affection <color=#C14F38>3</color>
1550308	1551003	Idle	1550311	4	Affection <color=#C14F38>4</color>
1550309	1551003	Shake	1550312	5	Affection <color=#C14F38>5</color>
1550310	1551003	Extended offline time	1550313	6	Affection <color=#C14F38>6</color>
1050401	1051004	Display Pose 1	1050401	1	Affection <color=#C14F38>1</color>
1050402	1051004	Display Pose 2	1050402	1	Affection <color=#C14F38>1</color>
1050403	1051004	Display Pose 3	1050403	1	Affection <color=#C14F38>1</color>
1050404	1051004	Affection Up	1050405	1	Affection <color=#C14F38>1</color>
1050405	1051004	Quick Tap	1050406	1	Affection <color=#C14F38>1</color>
1050406	1051004	Connection made	1050409	2	Affection <color=#C14F38>2</color>
1050407	1051004	Excessive online time	1050410	3	Affection <color=#C14F38>3</color>
1050408	1051004	Idle	1050411	4	Affection <color=#C14F38>4</color>
1050409	1051004	Shake	1050412	5	Affection <color=#C14F38>5</color>
1050410	1051004	Extended offline time	1050413	6	Affection <color=#C14F38>6</color>
1560301	1561003	Display Pose 1	1560301	1	Affection <color=#C14F38>1</color>
1560302	1561003	Display Pose 2	1560302	1	Affection <color=#C14F38>1</color>
1560303	1561003	Display Pose 3	1560303	1	Affection <color=#C14F38>1</color>
1560304	1561003	Affection Up	1560305	1	Affection <color=#C14F38>1</color>
1560305	1561003	Quick Tap	1560306	1	Affection <color=#C14F38>1</color>
1560306	1561003	Connection Made	1560309	2	Affection <color=#C14F38>2</color>
1560307	1561003	Excessive Online Time	1560310	3	Affection <color=#C14F38>3</color>
1560308	1561003	Idle	1560311	4	Affection <color=#C14F38>4</color>
1560309	1561003	Shake	1560312	5	Affection <color=#C14F38>5</color>
1560310	1561003	Extended Offline Time	1560313	6	Affection <color=#C14F38>6</color>
1070401	1071004	Display Pose 1	1070401	1	Affection <color=#C14F38>1</color>
1070402	1071004	Display Pose 2	1070402	1	Affection <color=#C14F38>1</color>
1070403	1071004	Display Pose 3	1070403	1	Affection <color=#C14F38>1</color>
1070404	1071004	Affection Up	1070405	1	Affection <color=#C14F38>1</color>
1070405	1071004	Quick Tap	1070406	1	Affection <color=#C14F38>1</color>
1070406	1071004	Connection Made	1070409	2	Affection <color=#C14F38>2</color>
1070407	1071004	Excessive Online Time	1070410	3	Affection <color=#C14F38>3</color>
1070408	1071004	Idle	1070411	4	Affection <color=#C14F38>4</color>
1070409	1071004	Shake	1070412	5	Affection <color=#C14F38>5</color>
1070410	1071004	Extended Offline Time	1070413	6	Affection <color=#C14F38>6</color>
1570301	1571003	Display Pose 1	1570301	1	Affection <color=#C14F38>1</color>
1570302	1571003	Display Pose 2	1570302	1	Affection <color=#C14F38>1</color>
1570303	1571003	Display Pose 3	1570303	1	Affection <color=#C14F38>1</color>
1570304	1571003	Affection Up	1570305	1	Affection <color=#C14F38>1</color>
1570305	1571003	Quick Tap	1570306	1	Affection <color=#C14F38>1</color>
1570306	1571003	Connection Made	1570309	2	Affection <color=#C14F38>2</color>
1570307	1571003	Excessive Online Time	1570310	3	Affection <color=#C14F38>3</color>
1570308	1571003	Idle	1570311	4	Affection <color=#C14F38>4</color>
1570309	1571003	Shake	1570312	5	Affection <color=#C14F38>5</color>
1570310	1571003	Extended Offline Time	1570313	6	Affection <color=#C14F38>6</color>
1040401	1041004	Display Pose 1	1040401	1	Affection <color=#C14F38>1</color>
1040402	1041004	Display Pose 2	1040402	1	Affection <color=#C14F38>1</color>
1040403	1041004	Display Pose 3	1040403	1	Affection <color=#C14F38>1</color>
1040404	1041004	Affection Up	1040405	1	Affection <color=#C14F38>1</color>
1040405	1041004	Quick Tap	1040406	1	Affection <color=#C14F38>1</color>
1040406	1041004	Connection Made	1040409	2	Affection <color=#C14F38>2</color>
1040407	1041004	Excessive Online Time	1040410	3	Affection <color=#C14F38>3</color>
