Id	CharacterId	Type	UnlockType	UnlockPara	Title	Content	Picture	ConditionDescript	PreviewPicture
44	1031001	1	1	3	Eclipse's Secret 4	Pins special targets found on radar with cute names.		Affection <color=#C14F38>3</color>	
45	1031001	1	1	4	Eclipse's Secret 5	The heavy outfit is in imitation of Lucia's style.		Affection <color=#C14F38>4</color>	
46	1031001	1	1	4	Eclipse's Secret 6	Has spent two hours watching Lee lose his way on radar, finally heaving a sigh of relief when Lee found his way back on the right path.		Affection <color=#C14F38>4</color>	
47	1031001	1	1	5	Eclipse's Secret 7	Constantly successful at obtaining concessions when negotiating with other teams.		Affection <color=#C14F38>5</color>	
48	1031001	1	1	5	Eclipse's Secret 8	Her maintenance pod is to the left of Lucia's.		Affection <color=#C14F38>5</color>	
49	1031001	1	1	6	Eclipse's Secret 9	Thought her Inver-Device was too noticeable, but changed her mind after Lucia praised its defensive uses.		Affection <color=#C14F38>6</color>	
50	1031001	1	1	6	Eclipse's Secret 10	Her levitators would sometimes plummet from losing speed. Liv would quietly pick them up by herself.		Affection <color=#C14F38>6</color>	
1030111	1031001	1	1	7	Eclipse's Secret 11	Asks Lee and Lucia for advice on other weapon usages occasionally. Has once suggested a combat style with combination moves of gun and sword.		Affection <color=#C14F38>7</color>	
1030112	1031001	1	1	8	Eclipse's Secret 12	Monitors the commandant's three meals and cares about the nutritional balance a lot.		Affection <color=#C14F38>8</color>	
61	1041002	1	1	2	Zero's Secret 1	Her hat is tied with a hidden band and does not fall off in battle.		Affection <color=#C14F38>2</color>	
62	1041002	1	1	2	Zero's Secret 2	Karenina makes her hair.		Affection <color=#C14F38>2</color>	
63	1041002	1	1	3	Zero's Secret 3	Feels that her chest cushion is too thick, especially compared to Karenina's.		Affection <color=#C14F38>3</color>	
64	1041002	1	1	3	Zero's Secret 4	Tends to lose focus from her chest button being undone.		Affection <color=#C14F38>3</color>	
65	1041002	1	1	4	Zero's Secret 5	Sometimes slips when landing from certain height.		Affection <color=#C14F38>4</color>	
66	1041002	1	1	4	Zero's Secret 6	The pattern of her socks reflects the cultured taste of the designer of her frame.		Affection <color=#C14F38>4</color>	
67	1041002	1	1	5	Zero's Secret 7	Makes the sign of the cross to pray before battle.		Affection <color=#C14F38>5</color>	
68	1041002	1	1	5	Zero's Secret 8	Has a devastating kick attack that she is reluctant to use.		Affection <color=#C14F38>5</color>	
69	1041002	1	1	6	Zero's Secret 9	Has ranked at the top of the "Female Construct that you want to date the most" list.		Affection <color=#C14F38>6</color>	
70	1041002	1	1	6	Zero's Secret 10	She is unaware of the list, however.		Affection <color=#C14F38>6</color>	
1040211	1041002	1	1	7	Zero's Secret 11	Rarely works with other commandants. The commandant of Gray Raven is an exception.		Affection <color=#C14F38>7</color>	
1040212	1041002	1	1	8	Zero's Secret 12	In battle, will consciously avoid the vitals when first aiming at enemies.		Affection <color=#C14F38>8</color>	
81	1051001	1	1	2	Storm's Secret 1	The special materials used to build her makes her heavier than other Constructs despite her small size.		Affection <color=#C14F38>2</color>	
82	1051001	1	1	2	Storm's Secret 2	Has the smoothest hair among Constructs.		Affection <color=#C14F38>2</color>	
83	1051001	1	1	3	Storm's Secret 3	Frequently claims to have encountered strange things.		Affection <color=#C14F38>3</color>	
84	1051001	1	1	3	Storm's Secret 4	Has scanned Watanabe's bar code. Has not told anyone about the result.		Affection <color=#C14F38>3</color>	
85	1051001	1	1	4	Storm's Secret 5	Has traveled around the world.		Affection <color=#C14F38>4</color>	
86	1051001	1	1	4	Storm's Secret 6	Knows more about Constructs than even Lee.		Affection <color=#C14F38>4</color>	
87	1051001	1	1	5	Storm's Secret 7	Hates nothing more than boredom.		Affection <color=#C14F38>5</color>	
88	1051001	1	1	5	Storm's Secret 8	Why chainsaw? #1: It looks devastating.		Affection <color=#C14F38>5</color>	
89	1051001	1	1	6	Storm's Secret 9	Why chainsaw? #2: It sounds rad.		Affection <color=#C14F38>6</color>	
90	1051001	1	1	6	Storm's Secret 10	Why chainsaw? #3: Enemies seem to be in mortal pain when they get cut.		Affection <color=#C14F38>6</color>	
1050111	1051001	1	1	7	Storm's Secret 11	A strange transceiver is installed within her skirt. She sometimes acts like a spy with it.		Affection <color=#C14F38>7</color>	
1050112	1051001	1	1	8	Storm's Secret 12	Loves setting up dominoes or toy blocks, then toppling them.		Affection <color=#C14F38>8</color>	
101	1061002	1	1	2	Bastion's Secret 1	Door frames hate his horn.		Affection <color=#C14F38>2</color>	
102	1061002	1	1	2	Bastion's Secret 2	Feels like he needs to put on a little more weight to be steady on his feet when swinging his big, bulky, sword.		Affection <color=#C14F38>2</color>	
103	1061002	1	1	3	Bastion's Secret 3	Likes the term "girl friend".		Affection <color=#C14F38>3</color>	
104	1061002	1	1	3	Bastion's Secret 4	Good at video games, especially match-3 puzzles.		Affection <color=#C14F38>3</color>	
105	1061002	1	1	4	Bastion's Secret 5	Wanted video gaming functions installed into his frame, but gave it up after being informed that the monitor could only be placed on his belly.		Affection <color=#C14F38>4</color>	
106	1061002	1	1	4	Bastion's Secret 6	Thinks that the Gray Raven commandant is interesting.		Affection <color=#C14F38>4</color>	
107	1061002	1	1	5	Bastion's Secret 7	Felt that Lucia looked familiar the first time he saw her, but did not tell her that because it would look like he was hitting on her.		Affection <color=#C14F38>5</color>	
108	1061002	1	1	5	Bastion's Secret 8	The Strike Hawk squad members are not a tight-knit group, so Kamui often has to play the messenger to bring people together.		Affection <color=#C14F38>5</color>	
109	1061002	1	1	6	Bastion's Secret 9	Wants to have an Inver-Device like Chrome's that won't keep hitting and breaking things so easily.		Affection <color=#C14F38>6</color>	
110	1061002	1	1	6	Bastion's Secret 10	Has destroyed a Corrupted's logic circuit with an Inver-Device.		Affection <color=#C14F38>6</color>	
1060211	1061002	1	1	7	Bastion's Secret 11	Is actually capable of dual-wielding greatswords. Chrome denied it for being too absurd.		Affection <color=#C14F38>7</color>	
1060212	1061002	1	1	8	Bastion's Secret 12	When playing games with Gray Raven's commandant, Kamui will occasionally concede for unknown reasons.		Affection <color=#C14F38>8</color>	
121	1071002	1	1	2	Blast's Secret 1	Certified Cosmos Industries building demolisher.		Affection <color=#C14F38>2</color>	
122	1071002	1	1	2	Blast's Secret 2	Goes crazy if she hears Lucia's name.		Affection <color=#C14F38>2</color>	
123	1071002	1	1	3	Blast's Secret 3	After she is done being angry, words of praise are what she wants to hear the most.		Affection <color=#C14F38>3</color>	
124	1071002	1	1	3	Blast's Secret 4	Surprisingly open to reason, especially if it comes from Bianca.		Affection <color=#C14F38>3</color>	
125	1071002	1	1	4	Blast's Secret 5	Does things Karenina-style for happenings not covered by her orders.		Affection <color=#C14F38>4</color>	
126	1071002	1	1	4	Blast's Secret 6	Karenina in 3:\nAct 1. "LUCIA!" (Shouts)\nAct 2. "LUCIA!!!" (Attacks)\nAct 3. "LUCIA!!!!!" (Lucia parries, Karenina gets mad)		Affection <color=#C14F38>4</color>	
127	1071002	1	1	5	Blast's Secret 7	Knows about Nanami's strength, and looks forward to fighting with her someday.		Affection <color=#C14F38>5</color>	
128	1071002	1	1	5	Blast's Secret 8	Does not like it when the commandant interferes in battle.		Affection <color=#C14F38>5</color>	
129	1071002	1	1	6	Blast's Secret 9	Likes big Inver-Devices because they look powerful.		Affection <color=#C14F38>6</color>	
130	1071002	1	1	6	Blast's Secret 10	Which is why she made a hood that can hold large Inver-Devices.		Affection <color=#C14F38>6</color>	
1070211	1071002	1	1	7	Blast's Secret 11	Will use her horns to poke the commandant when she is angry.		Affection <color=#C14F38>7</color>	
1070212	1071002	1	1	8	Blast's Secret 12	Has tried firing a plethora of objects in her cannon. Even certain people...		Affection <color=#C14F38>8</color>	
141	1081002	1	1	2	Nightblade's Secret 1	There was a time when he would tirelessly tell anyone he came across that he is not old, not their pops, nor an ol' geezer.		Affection <color=#C14F38>2</color>	
142	1081002	1	1	2	Nightblade's Secret 2	Likes cats, but has never told anyone about it.		Affection <color=#C14F38>2</color>	
143	1081002	1	1	3	Nightblade's Secret 3	His heterochromia is a result of a manufacturing defect.		Affection <color=#C14F38>3</color>	
144	1081002	1	1	3	Nightblade's Secret 4	Regularly tests the limits of his frame.		Affection <color=#C14F38>3</color>	
145	1081002	1	1	4	Nightblade's Secret 5	Often loses his hairband.		Affection <color=#C14F38>4</color>	
146	1081002	1	1	4	Nightblade's Secret 6	Knows how to make human food. Has commonly taken shifts at the Forsaken HQ's kitchen.		Affection <color=#C14F38>4</color>	
147	1081002	1	1	5	Nightblade's Secret 7	When discussing family with Forsaken humans, Liv is the first thing that comes to his mind when the word "daughter" comes up.		Affection <color=#C14F38>5</color>	
148	1081002	1	1	5	Nightblade's Secret 8	Feels that it would be a headache to have a daughter like Nanami. Not that he is in a position to have children.		Affection <color=#C14F38>5</color>	
149	1081002	1	1	6	Nightblade's Secret 9	Good at recycling resources. Able to recite the price of most things on the open market.		Affection <color=#C14F38>6</color>	
150	1081002	1	1	6	Nightblade's Secret 10	Apparently has his own apron and oven mitt.		Affection <color=#C14F38>6</color>	
1080211	1081002	1	1	7	Nightblade's Secret 11	Will leave marks on his room to record time.		Affection <color=#C14F38>7</color>	
1080212	1081002	1	1	8	Nightblade's Secret 12	For the entertainment and spiritual needs of the Forsaken, Watanabe has uploaded audio files of his performance in the Forsaken HQ before.		Affection <color=#C14F38>8</color>	
161	1021002	1	1	2	Dawn's Secret 1	Has complained about her hairstyle.		Affection <color=#C14F38>2</color>	
162	1021002	1	1	2	Dawn's Secret 2	Her weapon can be hidden in her left arm.		Affection <color=#C14F38>2</color>	
163	1021002	1	1	3	Dawn's Secret 3	The floating weapons that appear in burst mode are 3D printed on the spot.		Affection <color=#C14F38>3</color>	
164	1021002	1	1	3	Dawn's Secret 4	Energy consumption is twice that of the Lotus model.		Affection <color=#C14F38>3</color>	
165	1021002	1	1	4	Dawn's Secret 5	Despite being an early model, its maintenance is the highest among the three.		Affection <color=#C14F38>4</color>	
166	1021002	1	1	4	Dawn's Secret 6	Sometimes has thoughts about changing up the style of the Inver-Device a little.		Affection <color=#C14F38>4</color>	
167	1021002	1	1	5	Dawn's Secret 7	Treats Liv as her own sister because of a familiar feeling that Liv gives her.		Affection <color=#C14F38>5</color>	
168	1021002	1	1	5	Dawn's Secret 8	Did extensive research on frogs to understand why she likes frog plushies, and ended up liking frog plushies even more.		Affection <color=#C14F38>5</color>	
169	1021002	1	1	6	Dawn's Secret 9	Has looked at her own reflection on her blade.		Affection <color=#C14F38>6</color>	
170	1021002	1	1	6	Dawn's Secret 10	Believes that everything the Commandant says is right and has a deeper meaning behind it.		Affection <color=#C14F38>6</color>	
1020211	1021002	1	1	7	Dawn's Secret 11	Can actually stay temporarily airborne through the levitational capabilities of her blades.		Affection <color=#C14F38>7</color>	
1020212	1021002	1	1	8	Dawn's Secret 12	Has once stormed through an entire war zone area while carrying the commandant.		Affection <color=#C14F38>8</color>	
181	1031002	1	1	2	Lux's Secret 1	Sometimes practices cool-looking shooting poses while holding a levitator.		Affection <color=#C14F38>2</color>	
182	1031002	1	1	2	Lux's Secret 2	The hand-waving motion when attacking is purely cosmetic.		Affection <color=#C14F38>2</color>	
183	1031002	1	1	3	Lux's Secret 3	Wants to know how it feels to eat.		Affection <color=#C14F38>3</color>	
184	1031002	1	1	3	Lux's Secret 4	Sometimes feels that Lee is more childish than her.		Affection <color=#C14F38>3</color>	
185	1031002	1	1	4	Lux's Secret 5	Quietly turns on sound-cancelling when Kamui is making a ruckus.		Affection <color=#C14F38>4</color>	
186	1031002	1	1	4	Lux's Secret 6	The levitator is equipped with a supplemental camera and sensors.		Affection <color=#C14F38>4</color>	
187	1031002	1	1	5	Lux's Secret 7	Responsible for the team's logistics management and provision reports.		Affection <color=#C14F38>5</color>	
188	1031002	1	1	5	Lux's Secret 8	Aimed her Levi-Gun once at Karenina when Karenina tried to provoke Lucia.		Affection <color=#C14F38>5</color>	
189	1031002	1	1	6	Lux's Secret 9	Admires Watanabe's mature attitude.		Affection <color=#C14F38>6</color>	
190	1031002	1	1	6	Lux's Secret 10	Sometimes wishes she could stand alongside Lucia on the frontlines.		Affection <color=#C14F38>6</color>	
1030211	1031002	1	1	7	Lux's Secret 11	The signal orb skills of this frame were named by Liv herself.		Affection <color=#C14F38>7</color>	
1030212	1031002	1	1	8	Lux's Secret 12	Believes that the fewer the coating and equipment, the more mobile she is. To Liv, Lux is a frame for speed and rough terrain.		Affection <color=#C14F38>8</color>	
201	1071003	1	1	2	Ember's Secret 1	Does not get along with the other members of the Purifying Force.		Affection <color=#C14F38>2</color>	
202	1071003	1	1	2	Ember's Secret 2	This new frame is much better at jumping than her last.		Affection <color=#C14F38>2</color>	
203	1071003	1	1	3	Ember's Secret 3	Bianca's lap is her best pillow.		Affection <color=#C14F38>3</color>	
204	1071003	1	1	3	Ember's Secret 4	Likes to make Bianca's hair.		Affection <color=#C14F38>3</color>	
205	1071003	1	1	4	Ember's Secret 5	Is happy to be assigned to the Purifying Force.		Affection <color=#C14F38>4</color>	
206	1071003	1	1	4	Ember's Secret 6	What Karenina expresses the most annoyance for on the surface is likely something she truly likes.		Affection <color=#C14F38>4</color>	
207	1071003	1	1	5	Ember's Secret 7	Spun around in circles once after she switched into a new frame.		Affection <color=#C14F38>5</color>	
208	1071003	1	1	5	Ember's Secret 8	Bianca saw her spinning.		Affection <color=#C14F38>5</color>	
209	1071003	1	1	6	Ember's Secret 9	Her weapon will hurt even herself if its full power is unleashed.		Affection <color=#C14F38>6</color>	
210	1071003	1	1	6	Ember's Secret 10	There are 32 holes in the ground in front of Gray Raven HQ, all made by Karenina. There will be a new one any day now.		Affection <color=#C14F38>6</color>	
1070311	1071003	1	1	7	Ember's Secret 11	Has once stepped on one of the accessories on her own frame and tripped. She still likes this frame, though.		Affection <color=#C14F38>7</color>	
1070312	1071003	1	1	8	Ember's Secret 12	Has once checked the whereabouts of the Gray Raven squad through the Purifying Force positioning system.		Affection <color=#C14F38>8</color>	
221	1031003	1	1	2	Luminance's Secret 1	Many Constructs have professed their love for her.		Affection <color=#C14F38>2</color>	
222	1031003	1	1	2	Luminance's Secret 2	Sometimes loses her sense of direction when floating in battle.		Affection <color=#C14F38>2</color>	
223	1031003	1	1	3	Luminance's Secret 3	Unconsciously swishes her hair around sometimes as if it were still long.		Affection <color=#C14F38>3</color>	
224	1031003	1	1	3	Luminance's Secret 4	Has searched for information and explanations on human families.		Affection <color=#C14F38>3</color>	
225	1031003	1	1	4	Luminance's Secret 5	Has said that Luminance is her favorite loadout.		Affection <color=#C14F38>4</color>	
226	1031003	1	1	4	Luminance's Secret 6	Will quietly clean up the mess that others make in HQ.		Affection <color=#C14F38>4</color>	
227	1031003	1	1	5	Luminance's Secret 7	Has gotten uneasy about talking with members from other squads after her frame change.		Affection <color=#C14F38>5</color>	
228	1031003	1	1	5	Luminance's Secret 8	Adjusted her maintenance pod to help her get used to her new frame.		Affection <color=#C14F38>5</color>	
229	1031003	1	1	6	Luminance's Secret 9	Likes to take care of plants.		Affection <color=#C14F38>6</color>	
230	1031003	1	1	6	Luminance's Secret 10	Has imagined about her life after the war.		Affection <color=#C14F38>6</color>	
1030311	1031003	1	1	7	Luminance's Secret 11	Celica forces her to yell her skill names out sometimes.		Affection <color=#C14F38>7</color>	
1030312	1031003	1	1	8	Luminance's Secret 12	Feels embarrassed about walking beside the commandant in this frame.		Affection <color=#C14F38>8</color>	
241	1061003	1	1	2	Tenebrion's Secret 1	Once jumped into a pond to catch fish.		Affection <color=#C14F38>2</color>	
242	1061003	1	1	2	Tenebrion's Secret 2	Somewhat concerned about his own change.		Affection <color=#C14F38>2</color>	
243	1061003	1	1	3	Tenebrion's Secret 3	Considers Lee and the commandant to be close comrades.		Affection <color=#C14F38>3</color>	
244	1061003	1	1	3	Tenebrion's Secret 4	Has a knack for getting on Lee's nerves.		Affection <color=#C14F38>3</color>	
245	1061003	1	1	4	Tenebrion's Secret 5	Likes anything that starts with "Every"... like "Everyone".		Affection <color=#C14F38>4</color>	
246	1061003	1	1	4	Tenebrion's Secret 6	Cares a lot for his comrades.		Affection <color=#C14F38>4</color>	
247	1061003	1	1	5	Tenebrion's Secret 7	Very bad at lying. He shows obvious fluctuations in his M.I.N.D. when he lies.		Affection <color=#C14F38>5</color>	
248	1061003	1	1	5	Tenebrion's Secret 8	Has wondered who he really is—Kamui or Camu?		Affection <color=#C14F38>5</color>	
249	1061003	1	1	6	Tenebrion's Secret 9	Reaction with Tenebrion has changed his vital fluid color.		Affection <color=#C14F38>6</color>	
250	1061003	1	1	6	Tenebrion's Secret 10	Suspected that his memory module might be damaged, but soon forgot about the matter.		Affection <color=#C14F38>6</color>	
1060311	1061003	1	1	7	Tenebrion's Secret 11	Will stab his greatsword into the ground and lean on it when resting.		Affection <color=#C14F38>7</color>	
1060312	1061003	1	1	8	Tenebrion's Secret 12	Lost a bet with Wanshi and had to give up his maintenance capsule usage rights for a while. Used the Gray Raven's spare maintenance capsules in their HQ during so.		Affection <color=#C14F38>8</color>	
261	1011003	1	1	2	Entropy's Secret 1	Very conscious of numbers.		Affection <color=#C14F38>2</color>	
262	1011003	1	1	2	Entropy's Secret 2	Claims that there is a problem with the heat circulation system, but never got it fixed.		Affection <color=#C14F38>2</color>	
263	1011003	1	1	3	Entropy's Secret 3	Has a 50% win rate in verbal spats with Kamui.		Affection <color=#C14F38>3</color>	
264	1011003	1	1	3	Entropy's Secret 4	Likes the color blue, which is also the color of his vital fluid.		Affection <color=#C14F38>3</color>	
265	1011003	1	1	4	Entropy's Secret 5	His hair is stiffer than the other Constructs'.		Affection <color=#C14F38>4</color>	
266	1011003	1	1	4	Entropy's Secret 6	Has had more human females than Construct females ask him for his number, but he has turned down every request.		Affection <color=#C14F38>4</color>	
267	1011003	1	1	5	Entropy's Secret 7	Understands more about the internal workings of things than their external appearance.		Affection <color=#C14F38>5</color>	
268	1011003	1	1	5	Entropy's Secret 8	Has had objective and logical discourses on the functionality of various Construct parts with the commandant—including Bianca's chest cushion.		Affection <color=#C14F38>5</color>	
269	1011003	1	1	6	Entropy's Secret 9	Has studied Kamui's vocal module and tried to shut it off.		Affection <color=#C14F38>6</color>	
270	1011003	1	1	6	Entropy's Secret 10	Developed a mini Inver-Device for his botlets.		Affection <color=#C14F38>6</color>	
1010311	1011003	1	1	7	Entropy's Secret 11	After a certain incident, Kamui and a few others tried to "trap" Lee, but his intellect saved him from an untimely demise.		Affection <color=#C14F38>7</color>	
1010312	1011003	1	1	8	Entropy's Secret 12	After acquiring the commandant's consent, Lee has digitized and archived data obtained through commandant observation.		Affection <color=#C14F38>8</color>	
271	1051003	1	1	2	Pulse's Secret 1	Able to perform a perfect three-and-a-half axel.		Affection <color=#C14F38>2</color>	
272	1051003	1	1	2	Pulse's Secret 2	Her digital diary holds the secrets of the world.		Affection <color=#C14F38>2</color>	
273	1051003	1	1	3	Pulse's Secret 3	Her Corrupted friends recorded and numbered in her digital diary are in the triple digits.		Affection <color=#C14F38>3</color>	
274	1051003	1	1	3	Pulse's Secret 4	However, the friend numbers are not assigned in order.		Affection <color=#C14F38>3</color>	
275	1051003	1	1	4	Pulse's Secret 5	Able to run on walls with her propulsion wheels.		Affection <color=#C14F38>4</color>	
276	1051003	1	1	4	Pulse's Secret 6	As good with her hands as Lee is.		Affection <color=#C14F38>4</color>	
277	1051003	1	1	5	Pulse's Secret 7	Her favorite human festival is Halloween.		Affection <color=#C14F38>5</color>	
278	1051003	1	1	5	Pulse's Secret 8	Thinks that older Constructs suffer from hair loss. Once tried to pull Watanabe's hair to confirm her theory.		Affection <color=#C14F38>5</color>	
279	1051003	1	1	6	Pulse's Secret 9	Curious about the concept of dating.		Affection <color=#C14F38>6</color>	
280	1051003	1	1	6	Pulse's Secret 10	Has thought about kidnapping the commandant.		Affection <color=#C14F38>6</color>	
1050311	1051003	1	1	7	Pulse's Secret 11	She screams the name of her moves to warn the enemies.		Affection <color=#C14F38>7</color>	
1050312	1051003	1	1	8	Pulse's Secret 12	Once rallied up to a hundred mechanoids as her soldiers for LARPing, screaming and demanding for Babylonia to hand her the Gray Raven Commandant. This incident was classified as a Level 2 Hazard by Babylonia's mission assignment system.		Affection <color=#C14F38>8</color>	
281	1021003	1	1	2	Crimson Abyss' Secret 1	Wants to travel around the world to see the sights.		Affection <color=#C14F38>2</color>	
282	1021003	1	1	2	Crimson Abyss' Secret 2	Likes to collect powerful pets and challenge powerful opponents.		Affection <color=#C14F38>2</color>	
283	1021003	1	1	3	Crimson Abyss' Secret 3	Some patches on her jacket are cosmetic.		Affection <color=#C14F38>3</color>	
284	1021003	1	1	3	Crimson Abyss' Secret 4	Obsessed with modifying motorcycles.		Affection <color=#C14F38>3</color>	
285	1021003	1	1	4	Crimson Abyss' Secret 5	The way she ties her shoes changes with her mood.		Affection <color=#C14F38>4</color>	
286	1021003	1	1	4	Crimson Abyss' Secret 6	Likes to read standing up.		Affection <color=#C14F38>4</color>	
287	1021003	1	1	5	Crimson Abyss' Secret 7	Does not want people to see her left eye.		Affection <color=#C14F38>5</color>	
288	1021003	1	1	5	Crimson Abyss' Secret 8	Has some fishing bait in her belt pocket.		Affection <color=#C14F38>5</color>	
289	1021003	1	1	6	Crimson Abyss' Secret 9	Luna is the only one that is allowed to maintain her frame.		Affection <color=#C14F38>6</color>	
290	1021003	1	1	6	Crimson Abyss' Secret 10	Quieter than she used to be, but she smiles more now.		Affection <color=#C14F38>6</color>	
1020311	1021003	1	1	7	Crimson Abyss' Secret 11	Cares about the Gray Raven squad's movements.		Affection <color=#C14F38>7</color>	
1020312	1021003	1	1	8	Crimson Abyss' Secret 12	Likes standing in tall places.		Affection <color=#C14F38>8</color>	
291	1081003	1	1	2	Astral's Secret 1	Watanabe can assess Babylonia from an objective perspective, but when it comes to a personal one...		Affection <color=#C14F38>2</color>	
292	1081003	1	1	2	Astral's Secret 2	He regards the commandant of Gray Raven as the only person from Babylonia he can communicate with.		Affection <color=#C14F38>2</color>	
293	1081003	1	1	3	Astral's Secret 3	Bianca ranks No.1 among the Constructs he is bad at handling. Nanami is a close 2nd, and even overtakes Bianca sometimes.		Affection <color=#C14F38>3</color>	
294	1081003	1	1	3	Astral's Secret 4	Will put on a coat sometimes because he is feeling phantom chills.		Affection <color=#C14F38>3</color>	
295	1081003	1	1	4	Astral's Secret 5	He is skilled at price negotiation.		Affection <color=#C14F38>4</color>	
296	1081003	1	1	4	Astral's Secret 6	There are many spare hair ties in his waist bag.		Affection <color=#C14F38>4</color>	
297	1081003	1	1	5	Astral's Secret 7	Has once cut food with his hand-blades, and he cut through it perfectly.		Affection <color=#C14F38>5</color>	
298	1081003	1	1	5	Astral's Secret 8	This frame can be customized to store different items, including but not limited to shoulder-fired weapons and cooking utensils.		Affection <color=#C14F38>5</color>	
299	1081003	1	1	6	Astral's Secret 9	He believes it is unfair to use this frame against Bianca. But no one knows how such a fight would turn out.		Affection <color=#C14F38>6</color>	
300	1081003	1	1	6	Astral's Secret 10	The frame is equipped with a sound suppressor and stealth technology, enabling him to sneak into the commandant's room at midnight without being noticed.		Affection <color=#C14F38>6</color>	
1080311	1081003	1	1	7	Astral's Secret 11	Tried cultivating different plants in the desert.		Affection <color=#C14F38>7</color>	
1080312	1081003	1	1	8	Astral's Secret 12	The Gray Raven Commandant has seen him playing a guitar.		Affection <color=#C14F38>8</color>	
301	1091002	1	1	2	Brilliance's Secret 1	Closely followed Gray Raven news from the very beginning.		Affection <color=#C14F38>2</color>	
302	1091002	1	1	2	Brilliance's Secret 2	The beret is an additional piece of equipment requested by Ayla. There are a total of 103 styles available for her selection.		Affection <color=#C14F38>2</color>	
303	1091002	1	1	3	Brilliance's Secret 3	Believes that the scythe, as a weapon, can be an instrument of art. Wielding a scythe compels her to create pieces of work that match the weapon.		Affection <color=#C14F38>3</color>	
304	1091002	1	1	3	Brilliance's Secret 4	"All open books for Ayla". She is good at seeing through people's minds.		Affection <color=#C14F38>3</color>	
305	1091002	1	1	4	Brilliance's Secret 5	She has a sizable fan club in Babylonia.		Affection <color=#C14F38>4</color>	
306	1091002	1	1	4	Brilliance's Secret 6	A painting of hers was once purchased by an anonymous person with a surprising amount of Black Card credits.		Affection <color=#C14F38>4</color>	
