Id	Name	Sort	Difficulty[1]	Difficulty[2]	Difficulty[3]	SingleDiff[1]	BgIcon	NameIcon	SingleSwitch	EnduranceCost	ConditionDesc	ActiveBuffId	BottomCount	ShowDropId	ShowBottomId	SkillTitle[1]	SkillDesc[1]	SkillTitle[2]	SkillDesc[2]	SkillTitle[3]	SkillDesc[3]	SkillTitle[4]	SkillDesc[4]	EventId[1]	EventId[2]	EventId[3]	EventId[4]	EventId[5]	EventId[6]	EventId[7]	EventId[8]	EventId[9]	EventId[10]
20010014	TSZ-02	2	2010104	2010204	2010304	2011104	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140100	140100	Boss:	Envoy, Gardener, Ronin IV, Bio-Salamander							760243	760251	760133	760343	760353	760303	760293			
20010104	TSZ-03	3	3010104	3010204	3010304	3011104	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140100	140100	Assistance:	A buff is dropped each time an enemy wave is defeated. Pick up to activate the buff.	Wave 1: 	Healing: Teammates within the range gain HP over time.	Wave 2: 	Radiation: Enemies within the range lose HP over time.	Wave 3: 	Booster: Personal attack bonus.	760253	760262	760243	760343	760133	760283	760293	760373		
20010005	TFZ-01	1	1020101	1020201	1020301	1021101	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140101	140101	Boss:	Musashi IX							760413	760283	760273							
20010015	TFZ-02	2	2020101	2020201	2020301	2021101	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140101	140101	Boss:	Hetero Deconstruct Unit, Hetero Repair Unit, Hetero Fire Unit, Hetero Explore Unit							760133	760343	760333	760263	760293	760202	760313	760253	760353	760283
20010105	TFZ-03	3	3020101	3020201	3020301	3021101	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140101	140101	Split:	There are two roads leading to the Boss.	Gather:	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter:	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour:	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
20010006	TSZ-01	1	1020102	1020202	1020302	1021102	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140101	140101	Boss:	Iron Maiden							760293	760373	760133	760253	760201	760281	760243			
20010016	TSZ-02	2	2020102	2020202	2020302	2021102	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140101	140101	Enemies:	Blubber VI, Kemuri I							760353	760343	760373	760293	760263	760253				
20010107	TSZ-03	3	3020102	3020202	3020302	3021102	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140101	140101	Split:	There are two roads leading to the Boss.	Gather:	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter:	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour:	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
20010007	TFZ-01	1	1020103	1020203	1020303	1021103	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140101	140101	Boss:	Osiris							760411	760133								
20010017	TFZ-02	2	2020103	2020203	2020303	2021103	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140101	140101	Enemies:	Executor, Ronin IV, Excavator, Explorer							760243	760253	760133	760303	760343	760353				
20010106	TFZ-03	3	3020103	3020203	3020303	3021103	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk01.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140101	140101	Assistance:	A buff is dropped each time an enemy wave is defeated. Pick up to activate the buff.	Wave 1: 	Healing: Teammates within the range gain HP over time.	Wave 2: 	Radiation: Enemies within the range lose HP over time.	Wave 3: 	Booster: Personal attack bonus.	760253	760262	760243	760343	760133	760283	760293	760373		
20010008	TSZ-01	1	1020104	1020204	1020304	1021104	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140101	140101	Boss:	Sister							760291	760251								
20010018	TSZ-02	2	2020104	2020204	2020304	2021104	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140101	140101	Enemies:	Envoy, Gardener, Ronin IV, Bio-Salamander							760243	760251	760133	760343	760353	760303	760293			
20010108	TSZ-03	3	3020104	3020204	3020304	3021104	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk02.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140101	140101	Assistance:	A buff is dropped each time an enemy wave is defeated. Pick up to activate the buff.	Wave 1: 	Healing: Teammates within the range gain HP over time.	Wave 2: 	Radiation: Enemies within the range lose HP over time.	Wave 3: 	Booster: Personal attack bonus.	760253	760262	760243	760343	760133	760283	760293	760373		
31001	TFZ-01	1	1010105	1010205	1010305		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	0	1	Defeat the final Boss	1	12	140100	140100	Boss: 	Huaxu							760343	760303								
31002	TFZ-02	2	2010105	2010205	2010305		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	0	1	Defeat all enemies	1	12	140100	140100	Blaze: 	The flames will appear occasionally and deal damage in the stage.	Flux: 	The enemies are different every time you enter the stage.	Possible enemies: 	Nozzle, Musashi IX, Royal guard, and Explorer			760303	760343	760453	760283	760221	760353	760253			
31003	TFZ-03	3	3010105	3010205	3010305		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	0	1	Defeat the final Boss	1	12	140100	140100	Obstacles: 	Follow the instructions to break through the obstacles and defeat the final boss.							760253	760133	760343	760351	760201	760303	760453	760293		
32001	TSZ-01	1	1010106	1010206	1010306		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	0	1	Defeat the final Boss	1	12	140100	140100	Boss: 	Gabriel							760281									
32002	TSZ-02	2	2010106	2010206	2010306		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	0	1	Defeat all enemies	1	12	140100	140100	Blaze: 	The flames will appear occasionally and deal damage in the stage.	Flux: 	The enemies are different every time you enter the stage.	Possible enemies: 	Nozzle, Musashi IX, Royal guard, and Explorer			760303	760343	760453	760283	760221	760353	760253			
32003	TSZ-03	3	3010106	3010206	3010306		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	0	1	Defeat the final Boss	1	12	140100	140100	Obstacles: 	Follow the instructions to break through the obstacles and defeat the final boss.							760253	760133	760343	760351	760201	760303	760453	760293		
41001	TFZ-01	1	1010107	1010207	1010307	1011107	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140100	140100	Boss: 	Rosetta							760341	760601								
41002	TFZ-02	2	2010107	2010207	2010307	2011107	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140100	140100	Blaze: 	The flames will appear occasionally and deal damage in the stage.	Flux: 	The enemies are different every time you enter the stage.	Possible enemies: 	Blubber, Ballwheel, Hanged Man, Phecda, Prime, and Explore Unit			760411	760303	760373	760133	760453	760383	760293	760433		
41003	TFZ-03	3	3010107	3010207	3010307	3011107	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140100	140100	Split: 	There are two roads leading to the Boss.	Gather: 	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter: 	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour: 	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
42001	TSZ-01	1	1010108	1010208	1010308	1011108	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140100	140100	Boss: 	Gabriel							760281									
42002	TSZ-02	2	2010108	2010208	2010308	2011108	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140100	140100	Blaze: 	The flames will appear occasionally and deal damage in the stage.	Flux: 	The enemies are different every time you enter the stage.	Possible enemies: 	Blubber, Ballwheel, Hanged Man, Phecda, Prime, and Explore Unit			760411	760303	760373	760133	760453	760383	760293	760433		
42003	TSZ-03	3	3010108	3010208	3010308	3011108	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140100	140100	Split: 	There are two roads leading to the Boss.	Gather: 	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter: 	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour: 	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
31101	TFZ-01	1	1020105	1020205	1020305		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	0	1	Defeat the final Boss	1	12	140101	140101	Boss: 	Huaxu							760343	760303								
31102	TFZ-02	2	2020105	2020205	2020305		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	0	1	Defeat all enemies	1	12	140101	140101	Blaze: 	The flames will appear occasionally and deal damage in the stage.	Flux: 	The enemies are different every time you enter the stage.	Possible enemies: 	Nozzle, Musashi IX, Royal guard, and Explorer			760303	760343	760453	760283	760221	760353	760253			
31103	TFZ-03	3	3020105	3020205	3020305		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	0	1	Defeat the final Boss	1	12	140101	140101	Obstacles: 	Follow the instructions to break through the obstacles and defeat the final boss.							760253	760133	760343	760351	760201	760303	760453	760293		
32101	TSZ-01	1	1020106	1020206	1020306		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	0	1	Defeat the final Boss	1	12	140101	140101	Boss: 	Gabriel							760281									
32102	TSZ-02	2	2020106	2020206	2020306		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	0	1	Defeat all enemies	1	12	140101	140101	Blaze: 	The flames will appear occasionally and deal damage in the stage.	Flux: 	The enemies are different every time you enter the stage.	Possible enemies: 	Nozzle, Musashi IX, Royal guard, and Explorer			760303	760343	760453	760283	760221	760353	760253			
32103	TSZ-03	3	3020106	3020206	3020306		Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	0	1	Defeat the final Boss	1	12	140101	140101	Obstacles: 	Follow the instructions to break through the obstacles and defeat the final boss.							760253	760133	760343	760351	760201	760303	760453	760293		
41101	TFZ-01	1	1020107	1020207	1020307	1021107	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140101	140101	Boss: 	Rosetta							760341	760601								
41102	TFZ-02	2	2020107	2020207	2020307	2021107	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140101	140101	Blaze: 	The flames will appear occasionally and deal damage in the stage.	Flux: 	The enemies are different every time you enter the stage.	Possible enemies: 	Blubber, Ballwheel, Hanged Man, Phecda, Prime, and Explore Unit			760411	760303	760373	760133	760453	760383	760293	760433		
41103	TFZ-03	3	3020107	3020207	3020307	3021107	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk03.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140101	140101	Split: 	There are two roads leading to the Boss.	Gather: 	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter: 	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour: 	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
42101	TSZ-01	1	1020108	1020208	1020308	1021108	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz01.png	1	1	Defeat the final Boss	1	12	140101	140101	Boss: 	Gabriel							760281									
42102	TSZ-02	2	2020108	2020208	2020308	2021108	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz02.png	1	1	Defeat all enemies	1	12	140101	140101	Blaze: 	The flames will appear occasionally and deal damage in the stage.	Flux: 	The enemies are different every time you enter the stage.	Possible enemies: 	Blubber, Ballwheel, Hanged Man, Phecda, Prime, and Explore Unit			760411	760303	760373	760133	760453	760383	760293	760433		
42103	TSZ-03	3	3020108	3020208	3020308	3021108	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineFubenGk04.png	Assets/Product/Texture/Image/UiArenaOnline/ArenaOnlineSz03.png	1	1	Defeat the final Boss	1	12	140101	140101	Split: 	There are two roads leading to the Boss.	Gather: 	All members take the same path. Defeat all enemies on the path to reach the Boss.	Scatter: 	If you decide to split up, you can only reach the Boss after defeating all the enemies, except the case when all the members on one of the paths have fallen.	Devour: 	The Boss will devour all the remaining enemies to enhance itself.	760253	760133	760242	760353						
