Id	ActivityId	StageId	PreStage	CostCount	ColPictures[1]	ColPictures[2]	ColPictures[3]	ScrollPictures[1]	ScrollPictures[2]	ScrollPictures[3]	ScrollPictures[4]	ScrollPictures[5]	ScrollPictures[6]	ScrollPictures[7]	ScrollPictures[8]	ScrollPictures[9]	ScrollPictures[10]	ScrollPictures[11]	ScrollPictures[12]	Desc	QuestionDescs[1]	QuestionDescs[2]	QuestionDescs[3]	SuspectIcon	PassDesc	OpenBanner	FinishBanner	WinnerQIcon
13	2	1	0	3	40	0	0	1	46	7	8	9	40							Based on the <color=#cc0a0a>text</color> hint, form the target character <color=#cc0a0a>in the first position</color> on the right.	Egret	Gray Raven		Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects6.png	I've seen the efforts you made, Commandant... I have to work harder as well!	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel1.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ6.png
14	2	1	0	3	41	0	0	47	19	41	18	12	20															
15	2	1	0	3	42	0	0	29	48	23	42	30	31															
16	2	2	1	3	46	0	0	9	5	8	10	4	6	7	46					Based on the <color=#cc0a0a>text and silhouette</color> hints, form the target character <color=#cc0a0a>in the first position</color> on the right.	Engineering Force	Dark		Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects8.png	Hmph, I'll let you pass this time! Find me faster next time. You understand me?	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed2.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel2.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ8.png
17	2	2	1	3	47	0	0	18	21	15	16	17	20	19	47													
18	2	2	1	3	48	0	0	29	32	31	28	27	26	30	48													
19	2	3	2	3	43	0	0	4	46	10	43	9	2	6	5	11				Based on the <color=#cc0a0a>text and silhouette</color> hints, form the target character <color=#cc0a0a>in the first position</color> on the right.	Purifying Force	Witch		Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects7.png	I'm impressed, Commandant. You can always see through the mist. I can relax with you leading us during the journey ahead.	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed3.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel3.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ7.png
20	2	3	2	3	44	0	0	15	17	16	22	13	44	47	21	20												
21	2	3	2	3	45	0	0	24	27	48	32	33	28	26	45	31												
22	2	4	3	3	37	40	5	6	9	2	7	11	1	34	37	40	5	10	4	Based on the <color=#cc0a0a>text and silhouette</color> hints, form the target character <color=#cc0a0a>in the first position</color> on the right.	Egret	Puppet		Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameSuspects5.png	Mission complete? Can Bambinata move? Thank you.	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevelUncustomed4.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameLevel4.png	Assets/Product/Texture/Image/UiBodyCombineGame/UiBodyCombineGameQ5.png
23	2	4	3	3	38	41	16	15	17	35	38	41	16	12	13	18	21	22	20									
24	2	4	3	3	39	42	27	28	23	26	29	36	39	42	27	31	24	33	32									
