Id	Name	Type	BuffIds[1]	BuffIds[2]	BuffIds[3]	BuffIds[4]	BuffIds[5]	BuffIds[6]	BuffIds[7]	BuffIds[8]	BuffIds[9]	LowerLimit	UpperLimit	ScoreFactor	AddEnergyType	AddEnergyCount	EnergyCost	SkillParam	Desc	Icon	ScreenMaskType	ControlType	ShowCountdown	HintText
42	Change the falling Orbs	14	91	92	93	94											30		Change 20 of the falling Orbs to the specified color	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	6		1	Change 20 of the falling Orbs to the specified color. <color=#fb9048>Cooldown: 8 turns</color>
43	Energy Boost	7													1	15			Gain 15 Energy.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	4		1	Gain 15 Energy. <color=#fb9048>Cooldown: 8 turns</color>
101	Obliterate All	18												4			24		All orbs on the board will be dissolved with 400% DMG.	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon03.png	2	1	1	Tap the board to perform the skill to <color=#fb9048>dissolve all orbs with 400% DMG</color> on the board. 3-turn cooldown.
102	Attacking Matrix	6	3001	3002	3003												24		All orbs deal 70% more DMG for 2 turns.	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon05.png	3		1	Tap to trigger Attacking Matrix. <color=#fb9048>All orbs deal 70% more DMG in this turn.</color> Lasts 2 turns. 2-turn cooldown.
103	Serendipity	21										5	10	6			18		After selecting a number from 5 to 10, that corresponding number of orbs will be randomly dissolved with 600% DMG.	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon06.png	2	1	1	Tap the board to perform the skill to dissolve a random number of orbs, <color=#fb9048>dealing 600% DMG</color>. 2-turn cooldown.
104	Big Bombs	19												6			20	4	Creates 4 random bombs. Upon explosion, they will dissolve the orbs within their corresponding range with 600% DMG.	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon02.png	2	1	1	Tap the board to perform the skill to randomly create bombs, <color=#fb9048>dealing 600% DMG</color>. 2-turn cooldown.
105	Ailment Removal	20															18		Removes all negative effects on the board.	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon01.png	3		1	Tap to remove <color=#fb9048>all buffs the boss has this turn</color> and thus, all the negative effects on the board. 1-turn cooldown.
106	Cooldown Reset	9															30	100	Resets all subskills' cooldown.	Assets/Product/Texture/Image/UiSameColorGame/SameColorIcon04.png	5		1	Tap to <color=#fb9048>reset all subskills' cooldown</color>. 5-turn cooldown.
107	Enhanced Red	6	3010																Red Orbs deal 50% more DMG for 2 turns. 6-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconWeihong2.png	3		1	Tap to increase Red Orb's DMG by 50% for 2 turns. <color=#fb9048>6-turn cooldown.</color>
108	Enhanced Blue	6	3011																Blue Orbs deal 50% more DMG for 2 turns. 6-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconWeilan2.png	3		1	Tap to increase Blue Orb's DMG by 50% for 2 turns. <color=#fb9048>6-turn cooldown.</color>
109	Enhanced Yellow	6	3012																Yellow Orbs deal 50% more DMG for 2 turns. 6-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuang2.png	3		1	Tap to increase Yellow Orb's DMG by 50% for 2 turns. <color=#fb9048>6-turn cooldown.</color>
110	Enhanced Basic Attack	6	3013																Basic Attack Orbs deal 50% more DMG for 2 turns. 6-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong2.png	3		1	Tap to increase Basic Attack Orb's DMG by 50% for 2 turns. <color=#fb9048>6-turn cooldown.</color>
111	Targeted Enhancement	8	3020	3021	3022	3023													A type of orb can be selected to increase its DMG by 50% for 1 turn. 3-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	6		1	Select a type of orb to increase its DMG by 50% for 1 turn. <color=#fb9048>3-turn cooldown.</color>
112	Cross Slash	11																	Dissolves all the orbs in a row and column the selected orb belongs to. 6-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconXuruo2.png	2	1	1	Select an orb to dissolve all the orbs in the row and column it belongs to. <color=#fb9048>6-turn cooldown.</color>
113	Color Eliminator	3																	Dissolves all orbs of a designated color. 7-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconKangyuansu2.png	2	1	1	Select a color to dissolve. <color=#fb9048>7-turn cooldown.</color>
114	Shapeshift	4																	Changes the color of a type of orb. 8-turn cooldown.	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	2	2	1	Select a color to change. <color=#fb9048>8-turn cooldown.</color>
115	Space Manipulation	5																	Swaps 2 orbs. 6-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconBihuan2.png	2	3	1	Select 2 orbs to swap. <color=#fb9048>6-turn cooldown.</color>
116	Extra Endeavor	6	3030																Able to act one more time. 6-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	1		1	Tap to act one more time. <color=#fb9048>6-turn cooldown.</color>
117	Pinpoint Shot	17																	Dissolves an orb. 2-turn cooldown.	Assets/Product/Texture/Image/IconAffix/AffixIconZhadan2.png	2	1	1	Tap to dissolve an orb. <color=#fb9048>2-turn cooldown.</color>
