Name	Prefab	Size	Area	Position	PathArea	PathPosition	PathLink	UseFootStepEffect
Scene00203d	Assets/Product/Scene/ScenePrefab/Scene00203d.prefab	Share/Fight/Map/Info/Scene00203d/Size.tab	Share/Fight/Map/Info/Scene00203d/Area.tab	Share/Fight/Map/Info/Scene00203d/Position.tab				0
Scene00301a	Assets/Product/Scene/ScenePrefab/Scene00301a.prefab	Share/Fight/Map/Info/Scene00301a/Size.tab	Share/Fight/Map/Info/Scene00301a/Area.tab	Share/Fight/Map/Info/Scene00301a/Position.tab				0
Scene00301d	Assets/Product/Scene/ScenePrefab/Scene00301d.prefab	Share/Fight/Map/Info/Scene00301d/Size.tab	Share/Fight/Map/Info/Scene00301d/Area.tab	Share/Fight/Map/Info/Scene00301d/Position.tab				0
Scene00302a	Assets/Product/Scene/ScenePrefab/Scene00302a.prefab	Share/Fight/Map/Info/Scene00302a/Size.tab	Share/Fight/Map/Info/Scene00302a/Area.tab	Share/Fight/Map/Info/Scene00302a/Position.tab				0
Scene00302c	Assets/Product/Scene/ScenePrefab/Scene00302c.prefab	Share/Fight/Map/Info/Scene00302c/Size.tab	Share/Fight/Map/Info/Scene00302c/Area.tab	Share/Fight/Map/Info/Scene00302c/Position.tab				0
Scene00302d	Assets/Product/Scene/ScenePrefab/Scene00302d.prefab	Share/Fight/Map/Info/Scene00302d/Size.tab	Share/Fight/Map/Info/Scene00302d/Area.tab	Share/Fight/Map/Info/Scene00302d/Position.tab				0
Scene00303a	Assets/Product/Scene/ScenePrefab/Scene00303a.prefab	Share/Fight/Map/Info/Scene00303a/Size.tab	Share/Fight/Map/Info/Scene00303a/Area.tab	Share/Fight/Map/Info/Scene00303a/Position.tab				0
Scene00304a	Assets/Product/Scene/ScenePrefab/Scene00304a.prefab	Share/Fight/Map/Info/Scene00304a/Size.tab	Share/Fight/Map/Info/Scene00304a/Area.tab	Share/Fight/Map/Info/Scene00304a/Position.tab				0
Scene00304d	Assets/Product/Scene/ScenePrefab/Scene00304d.prefab	Share/Fight/Map/Info/Scene00304d/Size.tab	Share/Fight/Map/Info/Scene00304d/Area.tab	Share/Fight/Map/Info/Scene00304d/Position.tab				0
Scene00305a	Assets/Product/Scene/ScenePrefab/Scene00305a.prefab	Share/Fight/Map/Info/Scene00305a/Size.tab	Share/Fight/Map/Info/Scene00305a/Area.tab	Share/Fight/Map/Info/Scene00305a/Position.tab				0
Scene00305d	Assets/Product/Scene/ScenePrefab/Scene00305d.prefab	Share/Fight/Map/Info/Scene00305d/Size.tab	Share/Fight/Map/Info/Scene00305d/Area.tab	Share/Fight/Map/Info/Scene00305d/Position.tab				0
Scene00306a	Assets/Product/Scene/ScenePrefab/Scene00306a.prefab	Share/Fight/Map/Info/Scene00306a/Size.tab	Share/Fight/Map/Info/Scene00306a/Area.tab	Share/Fight/Map/Info/Scene00306a/Position.tab				0
Scene00306d	Assets/Product/Scene/ScenePrefab/Scene00306d.prefab	Share/Fight/Map/Info/Scene00306d/Size.tab	Share/Fight/Map/Info/Scene00306d/Area.tab	Share/Fight/Map/Info/Scene00306d/Position.tab				0
Scene00307a	Assets/Product/Scene/ScenePrefab/Scene00307a.prefab	Share/Fight/Map/Info/Scene00307a/Size.tab	Share/Fight/Map/Info/Scene00307a/Area.tab	Share/Fight/Map/Info/Scene00307a/Position.tab				0
Scene00308a	Assets/Product/Scene/ScenePrefab/Scene00308a.prefab	Share/Fight/Map/Info/Scene00308a/Size.tab	Share/Fight/Map/Info/Scene00308a/Area.tab	Share/Fight/Map/Info/Scene00308a/Position.tab				0
Scene00308d	Assets/Product/Scene/ScenePrefab/Scene00308d.prefab	Share/Fight/Map/Info/Scene00308d/Size.tab	Share/Fight/Map/Info/Scene00308d/Area.tab	Share/Fight/Map/Info/Scene00308d/Position.tab				0
Scene00310d	Assets/Product/Scene/ScenePrefab/Scene00310d.prefab	Share/Fight/Map/Info/Scene00310d/Size.tab	Share/Fight/Map/Info/Scene00310d/Area.tab	Share/Fight/Map/Info/Scene00310d/Position.tab				0
Scene00311d	Assets/Product/Scene/ScenePrefab/Scene00311d.prefab	Share/Fight/Map/Info/Scene00311d/Size.tab	Share/Fight/Map/Info/Scene00311d/Area.tab	Share/Fight/Map/Info/Scene00311d/Position.tab				0
Scene00401a	Assets/Product/Scene/ScenePrefab/Scene00401a.prefab	Share/Fight/Map/Info/Scene00401a/Size.tab	Share/Fight/Map/Info/Scene00401a/Area.tab	Share/Fight/Map/Info/Scene00401a/Position.tab				0
Scene00401d	Assets/Product/Scene/ScenePrefab/Scene00401d.prefab	Share/Fight/Map/Info/Scene00401d/Size.tab	Share/Fight/Map/Info/Scene00401d/Area.tab	Share/Fight/Map/Info/Scene00401d/Position.tab				0
Scene00402a	Assets/Product/Scene/ScenePrefab/Scene00402a.prefab	Share/Fight/Map/Info/Scene00402a/Size.tab	Share/Fight/Map/Info/Scene00402a/Area.tab	Share/Fight/Map/Info/Scene00402a/Position.tab				0
Scene00402b	Assets/Product/Scene/ScenePrefab/Scene00402b.prefab	Share/Fight/Map/Info/Scene00402b/Size.tab	Share/Fight/Map/Info/Scene00402b/Area.tab	Share/Fight/Map/Info/Scene00402b/Position.tab				0
Scene00402e	Assets/Product/Scene/ScenePrefab/Scene00402e.prefab	Share/Fight/Map/Info/Scene00402e/Size.tab	Share/Fight/Map/Info/Scene00402e/Area.tab	Share/Fight/Map/Info/Scene00402e/Position.tab				0
Scene00402f	Assets/Product/Scene/ScenePrefab/Scene00402f.prefab	Share/Fight/Map/Info/Scene00402f/Size.tab	Share/Fight/Map/Info/Scene00402f/Area.tab	Share/Fight/Map/Info/Scene00402f/Position.tab				0
Scene00403a	Assets/Product/Scene/ScenePrefab/Scene00403a.prefab	Share/Fight/Map/Info/Scene00403a/Size.tab	Share/Fight/Map/Info/Scene00403a/Area.tab	Share/Fight/Map/Info/Scene00403a/Position.tab				0
Scene00403b	Assets/Product/Scene/ScenePrefab/Scene00403b.prefab	Share/Fight/Map/Info/Scene00403b/Size.tab	Share/Fight/Map/Info/Scene00403b/Area.tab	Share/Fight/Map/Info/Scene00403b/Position.tab				0
Scene00403d	Assets/Product/Scene/ScenePrefab/Scene00403d.prefab	Share/Fight/Map/Info/Scene00403d/Size.tab	Share/Fight/Map/Info/Scene00403d/Area.tab	Share/Fight/Map/Info/Scene00403d/Position.tab				0
Scene00404a	Assets/Product/Scene/ScenePrefab/Scene00404a.prefab	Share/Fight/Map/Info/Scene00404a/Size.tab	Share/Fight/Map/Info/Scene00404a/Area.tab	Share/Fight/Map/Info/Scene00404a/Position.tab				0
Scene00404b	Assets/Product/Scene/ScenePrefab/Scene00404b.prefab	Share/Fight/Map/Info/Scene00404b/Size.tab	Share/Fight/Map/Info/Scene00404b/Area.tab	Share/Fight/Map/Info/Scene00404b/Position.tab				0
Scene00501a	Assets/Product/Scene/ScenePrefab/Scene00501a.prefab	Share/Fight/Map/Info/Scene00501a/Size.tab	Share/Fight/Map/Info/Scene00501a/Area.tab	Share/Fight/Map/Info/Scene00501a/Position.tab				0
Scene00501b	Assets/Product/Scene/ScenePrefab/Scene00501b.prefab	Share/Fight/Map/Info/Scene00501b/Size.tab	Share/Fight/Map/Info/Scene00501b/Area.tab	Share/Fight/Map/Info/Scene00501b/Position.tab				0
Scene00501d	Assets/Product/Scene/ScenePrefab/Scene00501d.prefab	Share/Fight/Map/Info/Scene00501d/Size.tab	Share/Fight/Map/Info/Scene00501d/Area.tab	Share/Fight/Map/Info/Scene00501d/Position.tab				0
Scene00502b	Assets/Product/Scene/ScenePrefab/Scene00502b.prefab	Share/Fight/Map/Info/Scene00502b/Size.tab	Share/Fight/Map/Info/Scene00502b/Area.tab	Share/Fight/Map/Info/Scene00502b/Position.tab				0
Scene00502d	Assets/Product/Scene/ScenePrefab/Scene00502d.prefab	Share/Fight/Map/Info/Scene00502d/Size.tab	Share/Fight/Map/Info/Scene00502d/Area.tab	Share/Fight/Map/Info/Scene00502d/Position.tab				0
Scene00503b	Assets/Product/Scene/ScenePrefab/Scene00503b.prefab	Share/Fight/Map/Info/Scene00503b/Size.tab	Share/Fight/Map/Info/Scene00503b/Area.tab	Share/Fight/Map/Info/Scene00503b/Position.tab				0
Scene00503d	Assets/Product/Scene/ScenePrefab/Scene00503d.prefab	Share/Fight/Map/Info/Scene00503d/Size.tab	Share/Fight/Map/Info/Scene00503d/Area.tab	Share/Fight/Map/Info/Scene00503d/Position.tab				0
Scene00504a	Assets/Product/Scene/ScenePrefab/Scene00504a.prefab	Share/Fight/Map/Info/Scene00504a/Size.tab	Share/Fight/Map/Info/Scene00504a/Area.tab	Share/Fight/Map/Info/Scene00504a/Position.tab				0
Scene00504b	Assets/Product/Scene/ScenePrefab/Scene00504b.prefab	Share/Fight/Map/Info/Scene00504b/Size.tab	Share/Fight/Map/Info/Scene00504b/Area.tab	Share/Fight/Map/Info/Scene00504b/Position.tab				0
Scene00601a	Assets/Product/Scene/ScenePrefab/Scene00601a.prefab	Share/Fight/Map/Info/Scene00601a/Size.tab	Share/Fight/Map/Info/Scene00601a/Area.tab	Share/Fight/Map/Info/Scene00601a/Position.tab				0
Scene00901a	Assets/Product/Scene/ScenePrefab/Scene00901a.prefab	Share/Fight/Map/Info/Scene00901a/Size.tab	Share/Fight/Map/Info/Scene00901a/Area.tab	Share/Fight/Map/Info/Scene00901a/Position.tab				0
Scene00903a	Assets/Product/Scene/ScenePrefab/Scene00903a.prefab	Share/Fight/Map/Info/Scene00903a/Size.tab	Share/Fight/Map/Info/Scene00903a/Area.tab	Share/Fight/Map/Info/Scene00903a/Position.tab				0
Scene00903pingtai	Assets/Product/Scene/ScenePrefab/SubScenePrefab/Scene00903pingtai.prefab	Share/Fight/Map/Info/Scene00903pingtai/Size.tab	Share/Fight/Map/Info/Scene00903pingtai/Area.tab	Share/Fight/Map/Info/Scene00903pingtai/Position.tab				0
Scene00904a	Assets/Product/Scene/ScenePrefab/Scene00904a.prefab	Share/Fight/Map/Info/Scene00904a/Size.tab	Share/Fight/Map/Info/Scene00904a/Area.tab	Share/Fight/Map/Info/Scene00904a/Position.tab				0
Scene00905a	Assets/Product/Scene/ScenePrefab/Scene00905a.prefab	Share/Fight/Map/Info/Scene00905a/Size.tab	Share/Fight/Map/Info/Scene00905a/Area.tab	Share/Fight/Map/Info/Scene00905a/Position.tab				0
Scene00906a	Assets/Product/Scene/ScenePrefab/Scene00906a.prefab	Share/Fight/Map/Info/Scene00906a/Size.tab	Share/Fight/Map/Info/Scene00906a/Area.tab	Share/Fight/Map/Info/Scene00906a/Position.tab				0
Scene00907a	Assets/Product/Scene/ScenePrefab/Scene00907a.prefab	Share/Fight/Map/Info/Scene00907a/Size.tab	Share/Fight/Map/Info/Scene00907a/Area.tab	Share/Fight/Map/Info/Scene00907a/Position.tab				0
Scene07000	Assets/Product/Scene/ScenePrefab/Scene07000.prefab	Share/Fight/Map/Info/Scene07000/Size.tab	Share/Fight/Map/Info/Scene07000/Area.tab	Share/Fight/Map/Info/Scene07000/Position.tab				0
Scene07000a	Assets/Product/Scene/ScenePrefab/Scene07000a.prefab	Share/Fight/Map/Info/Scene07000a/Size.tab	Share/Fight/Map/Info/Scene07000a/Area.tab	Share/Fight/Map/Info/Scene07000a/Position.tab				0
Scene07001	Assets/Product/Scene/ScenePrefab/Scene07001.prefab	Share/Fight/Map/Info/Scene07001/Size.tab	Share/Fight/Map/Info/Scene07001/Area.tab	Share/Fight/Map/Info/Scene07001/Position.tab				0
Scene07002	Assets/Product/Scene/ScenePrefab/Scene07002.prefab	Share/Fight/Map/Info/Scene07002/Size.tab	Share/Fight/Map/Info/Scene07002/Area.tab	Share/Fight/Map/Info/Scene07002/Position.tab				0
Scene07003	Assets/Product/Scene/ScenePrefab/Scene07003.prefab	Share/Fight/Map/Info/Scene07003/Size.tab	Share/Fight/Map/Info/Scene07003/Area.tab	Share/Fight/Map/Info/Scene07003/Position.tab				0
Scene07004	Assets/Product/Scene/ScenePrefab/Scene07004.prefab	Share/Fight/Map/Info/Scene07004/Size.tab	Share/Fight/Map/Info/Scene07004/Area.tab	Share/Fight/Map/Info/Scene07004/Position.tab				0
Scene07004CH1	Assets/Product/Scene/ScenePrefab/Scene07004CH1.prefab	Share/Fight/Map/Info/Scene07004CH1/Size.tab	Share/Fight/Map/Info/Scene07004CH1/Area.tab	Share/Fight/Map/Info/Scene07004CH1/Position.tab				0
Scene07005	Assets/Product/Scene/ScenePrefab/Scene07005.prefab	Share/Fight/Map/Info/Scene07005/Size.tab	Share/Fight/Map/Info/Scene07005/Area.tab	Share/Fight/Map/Info/Scene07005/Position.tab				0
Scene07005test	Assets/Product/Scene/ScenePrefab/Scene07005test.prefab	Share/Fight/Map/Info/Scene07005test/Size.tab	Share/Fight/Map/Info/Scene07005test/Area.tab	Share/Fight/Map/Info/Scene07005test/Position.tab				0
Scene07101b	Assets/Product/Scene/ScenePrefab/Scene07101b.prefab	Share/Fight/Map/Info/Scene07101b/Size.tab	Share/Fight/Map/Info/Scene07101b/Area.tab	Share/Fight/Map/Info/Scene07101b/Position.tab				0
Scene10001	Assets/Product/Scene/ScenePrefab/Scene10001.prefab	Share/Fight/Map/Info/Scene10001/Size.tab	Share/Fight/Map/Info/Scene10001/Area.tab	Share/Fight/Map/Info/Scene10001/Position.tab				0
Scene10002	Assets/Product/Scene/ScenePrefab/Scene10002.prefab	Share/Fight/Map/Info/Scene10002/Size.tab	Share/Fight/Map/Info/Scene10002/Area.tab	Share/Fight/Map/Info/Scene10002/Position.tab				0
Scene10003	Assets/Product/Scene/ScenePrefab/Scene10003.prefab	Share/Fight/Map/Info/Scene10003/Size.tab	Share/Fight/Map/Info/Scene10003/Area.tab	Share/Fight/Map/Info/Scene10003/Position.tab				0
Scene50101a	Assets/Product/Scene/ScenePrefab/Scene50101a.prefab	Share/Fight/Map/Info/Scene50101a/Size.tab	Share/Fight/Map/Info/Scene50101a/Area.tab	Share/Fight/Map/Info/Scene50101a/Position.tab				0
Scene50101b	Assets/Product/Scene/ScenePrefab/Scene50101b.prefab	Share/Fight/Map/Info/Scene50101b/Size.tab	Share/Fight/Map/Info/Scene50101b/Area.tab	Share/Fight/Map/Info/Scene50101b/Position.tab				0
Scene50101c	Assets/Product/Scene/ScenePrefab/Scene50101c.prefab	Share/Fight/Map/Info/Scene50101c/Size.tab	Share/Fight/Map/Info/Scene50101c/Area.tab	Share/Fight/Map/Info/Scene50101c/Position.tab				0
Scene90101	Assets/Product/Scene/ScenePrefab/Scene90101.prefab	Share/Fight/Map/Info/Scene90101/Size.tab	Share/Fight/Map/Info/Scene90101/Area.tab	Share/Fight/Map/Info/Scene90101/Position.tab				0
Scene90102	Assets/Product/Scene/ScenePrefab/Scene90102.prefab	Share/Fight/Map/Info/Scene90102/Size.tab	Share/Fight/Map/Info/Scene90102/Area.tab	Share/Fight/Map/Info/Scene90102/Position.tab				0
Scene90103	Assets/Product/Scene/ScenePrefab/Scene90103.prefab	Share/Fight/Map/Info/Scene90103/Size.tab	Share/Fight/Map/Info/Scene90103/Area.tab	Share/Fight/Map/Info/Scene90103/Position.tab				0
Scene90104	Assets/Product/Scene/ScenePrefab/Scene90104.prefab	Share/Fight/Map/Info/Scene90104/Size.tab	Share/Fight/Map/Info/Scene90104/Area.tab	Share/Fight/Map/Info/Scene90104/Position.tab				0
Scene90105a	Assets/Product/Scene/ScenePrefab/Scene90105a.prefab	Share/Fight/Map/Info/Scene90105a/Size.tab	Share/Fight/Map/Info/Scene90105a/Area.tab	Share/Fight/Map/Info/Scene90105a/Position.tab				0
Scene91101	Assets/Product/Scene/ScenePrefab/Scene91101.prefab	Share/Fight/Map/Info/Scene91101/Size.tab	Share/Fight/Map/Info/Scene91101/Area.tab	Share/Fight/Map/Info/Scene91101/Position.tab				0
Scene91103	Assets/Product/Scene/ScenePrefab/Scene91103.prefab	Share/Fight/Map/Info/Scene91103/Size.tab	Share/Fight/Map/Info/Scene91103/Area.tab	Share/Fight/Map/Info/Scene91103/Position.tab				0
Scene91105	Assets/Product/Scene/ScenePrefab/Scene91105.prefab	Share/Fight/Map/Info/Scene91105/Size.tab	Share/Fight/Map/Info/Scene91105/Area.tab	Share/Fight/Map/Info/Scene91105/Position.tab				0
Scene92101	Assets/Product/Scene/ScenePrefab/Scene92101.prefab	Share/Fight/Map/Info/Scene92101/Size.tab	Share/Fight/Map/Info/Scene92101/Area.tab	Share/Fight/Map/Info/Scene92101/Position.tab				0
Scene92101a	Assets/Product/Scene/ScenePrefab/Scene92101a.prefab	Share/Fight/Map/Info/Scene92101a/Size.tab	Share/Fight/Map/Info/Scene92101a/Area.tab	Share/Fight/Map/Info/Scene92101a/Position.tab				0
Scene92105	Assets/Product/Scene/ScenePrefab/Scene92105.prefab	Share/Fight/Map/Info/Scene92105/Size.tab	Share/Fight/Map/Info/Scene92105/Area.tab	Share/Fight/Map/Info/Scene92105/Position.tab				0
SceneCHtest00001	Assets/Product/Scene/ScenePrefab/SceneCHtest00001.prefab	Share/Fight/Map/Info/SceneCHtest00001/Size.tab	Share/Fight/Map/Info/SceneCHtest00001/Area.tab	Share/Fight/Map/Info/SceneCHtest00001/Position.tab				0
SceneEX00101d	Assets/Product/Scene/ScenePrefab/SceneEX00101d.prefab	Share/Fight/Map/Info/SceneEX00101d/Size.tab	Share/Fight/Map/Info/SceneEX00101d/Area.tab	Share/Fight/Map/Info/SceneEX00101d/Position.tab				0
SceneEX00102ts	Assets/Product/Scene/ScenePrefab/SceneEX00102ts.prefab	Share/Fight/Map/Info/SceneEX00102ts/Size.tab	Share/Fight/Map/Info/SceneEX00102ts/Area.tab	Share/Fight/Map/Info/SceneEX00102ts/Position.tab				0
SceneEX00103ts	Assets/Product/Scene/ScenePrefab/SceneEX00103ts.prefab	Share/Fight/Map/Info/SceneEX00103ts/Size.tab	Share/Fight/Map/Info/SceneEX00103ts/Area.tab	Share/Fight/Map/Info/SceneEX00103ts/Position.tab				0
SceneEX00201a	Assets/Product/Scene/ScenePrefab/SceneEX00201a.prefab	Share/Fight/Map/Info/SceneEX00201a/Size.tab	Share/Fight/Map/Info/SceneEX00201a/Area.tab	Share/Fight/Map/Info/SceneEX00201a/Position.tab				0
Sceneice00101	Assets/Product/Scene/ScenePrefab/Sceneice00101.prefab	Share/Fight/Map/Info/Sceneice00101/Size.tab	Share/Fight/Map/Info/Sceneice00101/Area.tab	Share/Fight/Map/Info/Sceneice00101/Position.tab				0
Sceneice00102	Assets/Product/Scene/ScenePrefab/Sceneice00102.prefab	Share/Fight/Map/Info/Sceneice00102/Size.tab	Share/Fight/Map/Info/Sceneice00102/Area.tab	Share/Fight/Map/Info/Sceneice00102/Position.tab				0
Sceneice00103	Assets/Product/Scene/ScenePrefab/Sceneice00103.prefab	Share/Fight/Map/Info/Sceneice00103/Size.tab	Share/Fight/Map/Info/Sceneice00103/Area.tab	Share/Fight/Map/Info/Sceneice00103/Position.tab				0
Sceneice00104	Assets/Product/Scene/ScenePrefab/Sceneice00104.prefab	Share/Fight/Map/Info/Sceneice00104/Size.tab	Share/Fight/Map/Info/Sceneice00104/Area.tab	Share/Fight/Map/Info/Sceneice00104/Position.tab				0
Sceneice00105	Assets/Product/Scene/ScenePrefab/Sceneice00105.prefab	Share/Fight/Map/Info/Sceneice00105/Size.tab	Share/Fight/Map/Info/Sceneice00105/Area.tab	Share/Fight/Map/Info/Sceneice00105/Position.tab				0
