Id	Type	Param[1]	Param[2]
107022	5		
107023	1	30170494	30170496
107031	2	3101	
107032	2	3101	
107033	5		
107041	1	30170493	30170495
107042	5		
107043	1	30170494	30170496
107051	1	30170493	30170495
107052	1	30170493	30170495
107053	2	3101	
107061	1	30170493	30170495
107062	5		
107063	1	30170494	30170496
107064	5		
107071	4	220001	
107072	4	220001	
107081	1	30170497	30170499
107082	3	10001	
107083	1	30170494	30170496
107084	5		
107091	2	3101	
107092	2	3101	
107093	2	3101	
107101	5		
107102	1	30170493	30170495
107111	1	30170493	30170495
107112	5		
107113	5		
107114	5		
107121	1	30170497	30170499
107122	1	30170493	30170495
107123	3	10001	
107131	5		
107132	4	220002	
107141	4	220002	
107142	1	30170493	30170495
107143	2	3101	
107151	3	10002	
107152	3	10002	
107153	3	10002	
107161	1	30170481	
108011	1	30170501	30170503
108012	1	30170501	30170503
108013	1	30170502	30170504
108021	1	30170501	30170503
108022	1	30170501	30170503
108023	2	3101	
108031	5		
108032	1	30170501	30170503
108033	5		
108034	1	30170506	30170508
108041	1	30170505	30170507
108042	5		
108043	5		
108051	5		
108052	1	30170501	30170503
108053	5		
108054	1	30170502	30170504
108055	4	230001	
108061	3	10001	
108062	2	3101	
108063	1	30170502	30170504
108071	1	30170501	30170503
108072	5		
108073	4	230001	
108074	5		
108081	1	30170505	30170507
108082	5		
108083	1	30170502	30170504
108091	2	3101	
108092	2	3101	
108093	2	3101	
108094	2	3101	
108101	1	30170505	30170507
108102	1	30170501	30170503
108103	3	10001	
108104	5		
108111	2	3101	
108112	5		
108113	1	30170502	30170504
108121	4	230001	
108122	5		
108123	4	230001	
108124	5		
108131	1	30170505	30170507
108132	5		
108133	1	30170502	30170504
108141	1	30170501	30170503
108142	1	30170505	30170507
108143	1	30170506	30170508
108144	5		
108151	3	10002	
108152	3	10002	
108161	1	30170482	
109011	1	30170509	30170511
109012	1	30170509	30170511
109013	1	30170510	30170512
109014	1	30170510	30170512
109021	1	30170509	30170511
109022	5		
109023	1	30170510	30170512
109024	5		
109031	4	240001	
109032	1	30170513	30170515
109033	2	3101	
109041	1	30170513	30170515
109042	5		
109043	4	240001	
109051	2	3101	
109052	3	10001	
109053	1	30170510	30170512
109061	1	30170509	30170511
109062	3	10001	
109063	1	30170510	30170512
109064	5		
109071	3	10001	
109072	5		
109073	1	30170510	30170512
109074	2	3101	
109081	1	30170513	30170515
109082	1	30170513	30170515
109083	1	30170510	30170512
109084	5		
109091	2	3101	
109092	2	3101	
109093	2	3101	
109101	1	30170513	30170515
109102	1	30170509	30170511
109103	1	30170514	30170516
109104	1	30170510	30170512
109105	4	240001	
109111	2	3101	
109112	1	30170509	30170511
109113	1	30170514	30170516
109114	3	10001	
109121	4	240001	
109122	5		
109123	2	3101	
109131	1	30170513	30170515
109132	5		
109133	1	30170510	30170512
109141	2	3101	
109142	1	30170509	30170511
109143	5		
109151	3	10002	
109152	3	10002	
109161	1	30170483	
110011	1	30170517	30170519
110021	4	250001	
110031	5		
110041	1	30170517	30170519
110042	1	30170522	30170524
110051	2	3101	
110061	5		
110062	1	30170522	30170524
110071	2	3101	
110081	1	30170517	30170519
110082	5		
110083	1	30170522	30170524
110091	2	3101	
110101	5		
110102	1	30170518	30170520
110103	3	10001	
110111	1	30170521	30170523
110121	5		
110131	1	30170517	30170519
110141	5		
110142	4	250001	
110151	4	250001	
110152	3	10002	
110161	1	30170484	
