Id	Type	CustomType	FightEvent	Percent	ItemId	Discount	IntensifyId	CostItemId	CostItemCount
600044	1	115	190152				600045	60301	840
600045	1	115	190153						
600046	1	116	190161				600047	60301	590
600047	1	116	190162				600048	60301	840
600048	1	116	190163						
600049	1	117	190171				600050	60301	590
600050	1	117	190172				600051	60301	840
600051	1	117	190173						
600052	1	118	190181				600053	60301	590
600053	1	118	190182				600054	60301	840
600054	1	118	190183						
600055	1	119	190191				600056	60301	590
600056	1	119	190192				600057	60301	840
600057	1	119	190193						
600058	1	120	190201				600059	60300	110
600059	1	120	190202				600060	60300	140
600060	1	120	190203						
600061	1	121	190211				600062	60300	110
600062	1	121	190212				600063	60300	140
600063	1	121	190213						
600064	1	122	190221				600065	60300	110
600065	1	122	190222				600066	60300	140
600066	1	122	190223						
600067	1	123	190231				600068	60300	110
600068	1	123	190232				600069	60300	140
600069	1	123	190233						
600070	1	124	190241				600071	60300	110
600071	1	124	190242				600072	60300	140
600072	1	124	190243						
600073	1	125	190251				600074	60300	110
600074	1	125	190252				600075	60300	140
600075	1	125	190253						
600076	1	126	190261				600077	60300	85
600077	1	126	190262				600078	60300	105
600078	1	126	190263						
600079	1	127	190271				600080	60300	85
600080	1	127	190272				600081	60300	105
600081	1	127	190273						
600082	1	128	190281				600083	60300	85
600083	1	128	190282				600084	60300	105
600084	1	128	190283						
600085	1	129	190291				600086	60300	85
600086	1	129	190292				600087	60300	105
600087	1	129	190293						
600088	1	130	190301				600089	60300	85
600089	1	130	190302				600090	60300	105
600090	1	130	190303						
600091	1	131	190311				600092	60300	85
600092	1	131	190312				600093	60300	105
600093	1	131	190313						
600094	1	132	190321				600095	60300	85
600095	1	132	190322				600096	60300	105
600096	1	132	190323						
600097	1	133	190331				600098	60300	85
600098	1	133	190332				600099	60300	105
600099	1	133	190333						
600100	1	134	190341				600101	60300	85
600101	1	134	190342				600102	60300	105
600102	1	134	190343						
