Id	LimitCount	ShopItemId[1]	BuyCount[1]	ShopItemId[2]	BuyCount[2]	ShopItemId[3]	BuyCount[3]	ShopItemId[4]	BuyCount[4]	ShopItemId[5]	BuyCount[5]	ShopItemId[6]	BuyCount[6]	ShopItemId[7]	BuyCount[7]	ShopItemId[8]	BuyCount[8]	ShopItemId[9]	BuyCount[9]	ShopItemId[10]	BuyCount[10]	ShopItemId[11]	BuyCount[11]	ShopItemId[12]	BuyCount[12]	ShopItemId[13]	BuyCount[13]	ShopItemId[14]	BuyCount[14]	ShopItemId[15]	BuyCount[15]	ShopItemId[16]	BuyCount[16]	ShopItemId[17]	BuyCount[17]	ShopItemId[18]	BuyCount[18]	ShopItemId[19]	BuyCount[19]	ShopItemId[20]	BuyCount[20]	ShopItemId[21]	BuyCount[21]	ShopItemId[22]	BuyCount[22]	ShopItemId[23]	BuyCount[23]	ShopItemId[24]	BuyCount[24]	ShopItemId[25]	BuyCount[25]	ShopItemId[26]	BuyCount[26]	ShopItemId[27]	BuyCount[27]	ShopItemId[28]	BuyCount[28]	ShopItemId[29]	BuyCount[29]	ShopItemId[30]	BuyCount[30]	ShopItemId[31]	BuyCount[31]	ShopItemId[32]	BuyCount[32]	ShopItemId[33]	BuyCount[33]	ShopItemId[34]	BuyCount[34]	ShopItemId[35]	BuyCount[35]	ShopItemId[36]	BuyCount[36]	ShopItemId[37]	BuyCount[37]	ShopItemId[38]	BuyCount[38]	ShopItemId[39]	BuyCount[39]	ShopItemId[40]	BuyCount[40]	ShopItemId[41]	BuyCount[41]	ShopItemId[42]	BuyCount[42]	ShopItemId[43]	BuyCount[43]	ShopItemId[44]	BuyCount[44]	ShopItemId[45]	BuyCount[45]	ShopItemId[46]	BuyCount[46]	ShopItemId[47]	BuyCount[47]
30010	10	1001	1	1002	1	1003	1	1004	1	1005	1	1006	1	1007	1	1008	1	1009	1	1010	1	1011	1	1012	1	1013	1	1014	1	1015	1	1016	1	1017	1	1018	1	1019	1	1101	1	1102	1	1103	1	1104	1	1105	1	1106	1	1107	1	1108	1																																								
40001	10	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40002	10	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40003	10	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40004	10	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40005	10	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40006	10	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40007	12	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40008	12	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40009	12	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40010	12	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40011	12	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40012	12	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40013	12	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
40014	12	2001	1	2002	1	2003	1	2004	1	2005	1	2006	1	2007	1	2008	1	2009	1	2010	1	2011	1	2012	1	2013	1	2014	1	2015	1	2016	1	2017	1	2018	1	2019	1	2020	1	2021	1	2101	1	2102	1	2103	1	2104	1	2105	1	2106	1	2107	1	2108	1																																				
50001	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50002	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50003	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50004	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50005	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50006	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50007	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50008	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50009	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50010	12	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50011	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50012	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50013	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50014	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50015	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50016	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50017	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50018	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50019	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50020	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
50021	15	3001	1	3002	1	3003	1	3004	1	3005	1	3006	1	3007	1	3008	1	3009	1	3010	1	3011	1	3012	1	3013	1	3014	1	3015	1	3016	1	3017	1	3018	1	3019	1	3020	1	3021	1	3022	1	3023	1	3024	1	3025	1	3026	1	3027	1	3101	1	3102	1	3103	1	3104	1	3105	1	3106	1	3107	1	3108	1																								
110001	8	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	10020	1	10021	1	10022	1	10023	1	10024	1	10025	1	10026	1	10027	1	10028	1	10029	1	10030	1	10031	1	10032	1	10033	1	10034	1	11001	1	11002	1	11003	1	11004	1	11005	1	11006	1																																								
120001	8	10006	1	10007	1	10008	1	10009	1	10010	1	10011	1	10012	1	10013	1	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	11001	1	11002	1	11003	1	11004	1	11005	1	11006	1																																																						
130001	8	10001	1	10002	1	10003	1	10004	1	10005	1	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	10006	1	10007	1	10008	1	10009	1	10010	1	10011	1	10012	1	10013	1	10020	1	10021	1	10022	1	10023	1	10024	1	10025	1	10026	1	10027	1	10028	1	10029	1	10030	1	10031	1	10032	1	10033	1	10034	1	11001	1	11002	1	11003	1	11004	1	11005	1	11006	1														
140001	8	10001	1	10002	1	10003	1	10004	1	10005	1	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	10006	1	10007	1	10008	1	10009	1	10010	1	10011	1	10012	1	10013	1	10020	1	10021	1	10022	1	10023	1	10024	1	10025	1	10026	1	10027	1	10028	1	10029	1	10030	1	10031	1	10032	1	10033	1	10034	1	11001	1	11002	1	11003	1	11004	1	11005	1	11006	1														
150001	8	10001	1	10002	1	10003	1	10004	1	10005	1	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	10006	1	10007	1	10008	1	10009	1	10010	1	10011	1	10012	1	10013	1	10020	1	10021	1	10022	1	10023	1	10024	1	10025	1	10026	1	10027	1	10028	1	10029	1	10030	1	10031	1	10032	1	10033	1	10034	1	11001	1	11002	1	11003	1	11004	1	11005	1	11006	1														
210001	8	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	10020	1	10021	1	10022	1	10023	1	10024	1	10025	1	10026	1	10027	1	10028	1	10029	1	10030	1	10031	1	10032	1	10033	1	10034	1																																																				
220001	5	10001	1	10002	1	10003	1	10004	1	10005	1																																																																																				
220002	8	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	10006	1	10007	1	10008	1	10009	1	10010	1	10011	1	10012	1	10013	1	10020	1	10021	1	10022	1	10023	1	10024	1	10025	1	10026	1	10027	1	10028	1	10029	1	10030	1	10031	1	10032	1	10033	1	10034	1																																				
230001	8	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	10006	1	10007	1	10008	1	10009	1	10010	1	10011	1	10012	1	10013	1	10020	1	10021	1	10022	1	10023	1	10024	1	10025	1	10026	1	10027	1	10028	1	10029	1	10030	1	10031	1	10032	1	10033	1	10034	1																																				
240001	8	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	10006	1	10007	1	10008	1	10009	1	10010	1	10011	1	10012	1	10013	1	10020	1	10021	1	10022	1	10023	1	10024	1	10025	1	10026	1	10027	1	10028	1	10029	1	10030	1	10031	1	10032	1	10033	1	10034	1																																				
250001	8	10014	1	10015	1	10016	1	10017	1	10018	1	10019	1	10006	1	10007	1	10008	1	10009	1	10010	1	10011	1	10012	1	10013	1	10020	1	10021	1	10022	1	10023	1	10024	1	10025	1	10026	1	10027	1	10028	1	10029	1	10030	1	10031	1	10032	1	10033	1	10034	1																																				
