Id	Type	Group	Param[1]	Param[2]	Param[3]	Param[4]	Param[5]	Param[6]	Param[7]	Param[8]	Param[9]	Param[10]	Param[11]	Param[12]
1609	2	6	25	26	27									
1610	2	6	28	29	30									
1611	2	6	31	32	33									
1612	2	6	34	35	36									
1613	2	6	37	38	39									
1614	2	6	40	41	42									
1615	2	6	43	44	45									
1616	2	6	46	47	48									
1617	2	6	49	50	51									
1618	2	6	52	53	54									
1619	2	6	55	56	57									
1620	2	6	58	59	60									
1621	2	6	61	62	63	64								
1622	2	6	65	66	67									
1623	2	6	68	69	70									
1624	2	6	71	72	73									
1625	2	6	74	75	76									
1626	2	6	77	78	79									
1627	2	6	80	81	82									
1628	2	6	83	84	85									
1629	2	6	86	87	88									
1630	2	6	89	90	91									
1631	2	6	92	93	94									
1632	2	6	95	96	97									
1633	2	6	98	99	100									
1634	2	6	101	102										
1635	2	6	103	104										
1636	2	6	105	106										
1637	2	6	107	108										
1638	2	6	109	110	111	112								
1639	2	6	113	114	115	116								
1701	2	7	1	2	3									
1702	2	7	4	5	6									
1703	2	7	7	8	9									
1704	2	7	10	11	12									
1705	2	7	13	14	15									
1706	2	7	16	17	18									
1707	2	7	19	20	21									
1708	2	7	22	23	24									
1709	2	7	25	26	27									
1710	2	7	28	29	30									
1711	2	7	31	32	33									
1712	2	7	34	35	36									
1713	2	7	37	38	39									
1714	2	7	40	41	42									
1715	2	7	43	44	45									
1716	2	7	46	47	48									
1717	2	7	49	50	51									
1718	2	7	52	53	54									
1719	2	7	55	56	57									
1720	2	7	58	59	60									
1721	2	7	61	62	63	64								
1722	2	7	65	66	67									
1723	2	7	68	69	70									
1724	2	7	71	72	73									
1725	2	7	74	75	76									
1726	2	7	77	78	79									
1727	2	7	80	81	82									
1728	2	7	83	84	85									
1729	2	7	86	87	88									
1730	2	7	89	90	91									
1731	2	7	92	93	94									
1732	2	7	95	96	97									
1733	2	7	98	99	100									
1734	2	7	101	102										
1735	2	7	103	104										
1736	2	7	105	106										
1737	2	7	107	108										
1738	2	7	109	110	111	112								
1739	2	7	113	114	115	116								
1801	2	8	1	2	3									
1802	2	8	4	5	6									
1803	2	8	7	8	9									
1804	2	8	10	11	12									
1805	2	8	13	14	15									
1806	2	8	16	17	18									
1807	2	8	19	20	21									
1808	2	8	22	23	24									
1809	2	8	25	26	27									
1810	2	8	28	29	30									
1811	2	8	31	32	33									
1812	2	8	34	35	36									
1813	2	8	37	38	39									
1814	2	8	40	41	42									
1815	2	8	43	44	45									
1816	2	8	46	47	48									
1817	2	8	49	50	51									
1818	2	8	52	53	54									
1819	2	8	55	56	57									
1820	2	8	58	59	60									
1821	2	8	61	62	63	64								
1822	2	8	65	66	67									
1823	2	8	68	69	70									
1824	2	8	71	72	73									
1825	2	8	74	75	76									
1826	2	8	77	78	79									
1827	2	8	80	81	82									
1828	2	8	83	84	85									
1829	2	8	86	87	88									
1830	2	8	89	90	91									
1831	2	8	92	93	94									
1832	2	8	95	96	97									
1833	2	8	98	99	100									
1834	2	8	101	102										
1835	2	8	103	104										
1836	2	8	105	106										
1837	2	8	107	108										
1838	2	8	109	110	111	112								
1839	2	8	113	114	115	116								
1901	2	9	1	2	3									
1902	2	9	4	5	6									
1903	2	9	7	8	9									
1904	2	9	10	11	12									
1905	2	9	13	14	15									
1906	2	9	16	17	18									
1907	2	9	19	20	21									
1908	2	9	22	23	24									
1909	2	9	25	26	27									
1910	2	9	28	29	30									
1911	2	9	31	32	33									
1912	2	9	34	35	36									
1913	2	9	37	38	39									
1914	2	9	40	41	42									
1915	2	9	43	44	45									
1916	2	9	46	47	48									
1917	2	9	49	50	51									
1918	2	9	52	53	54									
1919	2	9	55	56	57									
1920	2	9	58	59	60									
1921	2	9	61	62	63	64								
1922	2	9	65	66	67									
1923	2	9	68	69	70									
1924	2	9	71	72	73									
1925	2	9	74	75	76									
1926	2	9	77	78	79									
1927	2	9	80	81	82									
1928	2	9	83	84	85									
1929	2	9	86	87	88									
1930	2	9	89	90	91									
1931	2	9	92	93	94									
1932	2	9	95	96	97									
1933	2	9	98	99	100									
1934	2	9	101	102										
1935	2	9	103	104										
1936	2	9	105	106										
1937	2	9	107	108										
1938	2	9	109	110	111	112								
1939	2	9	113	114	115	116								
2001	2	10	1	2	3									
2002	2	10	4	5	6									
2003	2	10	7	8	9									
2004	2	10	10	11	12									
2005	2	10	13	14	15									
2006	2	10	16	17	18									
2007	2	10	19	20	21									
2008	2	10	22	23	24									
2009	2	10	25	26	27									
2010	2	10	28	29	30									
2011	2	10	31	32	33									
2012	2	10	34	35	36									
2013	2	10	37	38	39									
2014	2	10	40	41	42									
2015	2	10	43	44	45									
2016	2	10	46	47	48									
2017	2	10	49	50	51									
2018	2	10	52	53	54									
2019	2	10	55	56	57									
2020	2	10	58	59	60									
2021	2	10	61	62	63	64								
2022	2	10	65	66	67									
2023	2	10	68	69	70									
2024	2	10	71	72	73									
2025	2	10	74	75	76									
2026	2	10	77	78	79									
2027	2	10	80	81	82									
2028	2	10	83	84	85									
2029	2	10	86	87	88									
2030	2	10	89	90	91									
2031	2	10	92	93	94									
2032	2	10	95	96	97									
2033	2	10	98	99	100									
2034	2	10	101	102										
2035	2	10	103	104										
2036	2	10	105	106										
2037	2	10	107	108										
2038	2	10	109	110	111	112								
2039	2	10	113	114	115	116								
