Id	Tier	Group	NodeId[1]	FatherNode[1]	NodeId[2]	FatherNode[2]	NodeId[3]	FatherNode[3]	NodeId[4]	FatherNode[4]	NodeId[5]	FatherNode[5]	NodeId[6]	FatherNode[6]	NodeId[7]	FatherNode[7]
135	135	9	109071	109061	109072	109061	109073	109062|109063	109074	109064						
136	136	9	109081	109071	109082	109072	109083	109073	109084	109073|109074						
137	137	9	109091	109081|109082	109092	109083	109093	109084								
138	138	9	109101	109091	109102	109091	109103	109092	109104	109093	109105	109093				
139	139	9	109111	109101	109112	109102|109103	109113	109104	109114	109105						
140	140	9	109121	109111|109112	109122	109112	109123	109113|109114								
141	141	9	109131	109121	109132	109121	109133	109122|109123								
142	142	9	109141	109131	109142	109132	109143	109133								
143	143	9	109151	109141|109142	109152	109143										
144	144	9	109161	109151|109152												
145	145	10	110011													
146	146	10	110021	110011												
147	147	10	110031	110021												
148	148	10	110041	110031	110042	110031										
149	149	10	110051	110041|110042												
150	150	10	110061	110051	110062	110051										
151	151	10	110071	110061|110062												
152	152	10	110081	110071	110082	110071	110083	110071								
153	153	10	110091	110081|110082|110083												
154	154	10	110101	110091	110102	110091	110103	110091								
155	155	10	110111	110101|110102|110103												
156	156	10	110121	110111												
157	157	10	110131	110121												
158	158	10	110141	110131	110142	110131										
159	159	10	110151	110141	110152	110142										
160	160	10	110161	110151|110152												
