MapId	HintTitle	StartRowAndCol	StartGridPercent	NextRowAndCol[1]	NextGridPercent[1]	NextRowAndCol[2]	NextGridPercent[2]	NextRowAndCol[3]	NextGridPercent[3]	NextRowAndCol[4]	NextGridPercent[4]	NextRowAndCol[5]	NextGridPercent[5]	NextRowAndCol[6]	NextGridPercent[6]	NextRowAndCol[7]	NextGridPercent[7]	NextRowAndCol[8]	NextGridPercent[8]	NextRowAndCol[9]	NextGridPercent[9]	NextRowAndCol[10]	NextGridPercent[10]	NextRowAndCol[11]	NextGridPercent[11]	NextRowAndCol[12]	NextGridPercent[12]	NextRowAndCol[13]	NextGridPercent[13]	NextRowAndCol[14]	NextGridPercent[14]	NextRowAndCol[15]	NextGridPercent[15]	NextRowAndCol[16]	NextGridPercent[16]	NextRowAndCol[17]	NextGridPercent[17]	NextRowAndCol[18]	NextGridPercent[18]	NextRowAndCol[19]	NextGridPercent[19]	NextRowAndCol[20]	NextGridPercent[20]	NextRowAndCol[21]	NextGridPercent[21]	NextRowAndCol[22]	NextGridPercent[22]	NextRowAndCol[23]	NextGridPercent[23]	NextRowAndCol[24]	NextGridPercent[24]
1204	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	2|6	0.5|0	3|6	0.5|0.33	3|7	0.5|0.33	3|7	0.5|0.66	3|2	0.5|0.66	7|2	0.5|0.5	7|1	0.5|0.5	6|1	0.5|0.5	6|7	0.5|0.5	4|7	0.5|0.5	4|8	0.5|0.5	1|8	0.5|0.5																										
1205	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|3	0.33|0	5|3	0.33|0.66	5|7	0.5|0.66	5|7	0.5|0.33	5|3	0.66|0.33	1|3	0.66|0.33	1|2	0.33|0.33	2|2	0.33|0.66	2|5	0.5|0.66	2|5	0.5|0.33	2|2	0.66|0.33	1|2	0.66|0.66	1|4	0.5|0.66	4|4	0.5|0.5																						
1206	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|7	0|0.5	3|8	0.5|0.5	4|8	0.5|0.5	4|1	0.5|0.5	7|1	0.5|0.5	7|5	0.5|0.5	1|5	0.5|0.5	1|4	0.5|0.5	3|4	0.5|0.5	3|1	0.5|0.5																														
1207	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|3	0|0.5	6|4	0.5|0.5	4|4	0.5|0.5	4|1	0.66|0.5	6|1	0.66|0.5	6|1	0.33|0.5	2|1	0.33|0.5	2|7	0.5|0.5	6|7	0.5|0.5	6|8	0.5|0.5																														
1208	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|6	0.5|0	5|6	0.5|0.5	5|4	0.5|0.5	2|4	0.5|0.66	2|2	0.5|0.66	8|2	0.5|0.5	8|3	0.5|0.5	2|3	0.5|0.33	2|2	0.5|0.33	1|2	0.5|0.5	1|7	0.5|0.5	5|7	0.5|0.5	5|8	0.5|0.5																								
1209	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|1	0.5|0	6|1	0.5|0.5	6|3	0.5|0.5	3|3	0.5|0.66	3|6	0.5|0.66	3|6	0.5|0.33	3|1	0.5|0.33	1|1	0.5|0.5	1|4	0.5|0.5	5|4	0.5|0.5	5|8	0.5|0.5																												
1210	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|4	0|0.5	3|8	0.5|0.5	1|8	0.5|0.5	1|1	0.5|0.5	4|1	0.5|0.25	4|8	0.5|0.25	4|8	0.5|0.5	4|1	0.5|0.5	4|1	0.5|0.75	4|6	0.5|0.75	7|6	0.5|0.5																												
1301	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|2	0.5|1	6|2	0.5|0.66	6|7	0.5|0.66	2|7	0.5|0.5	2|5	0.5|0.5	6|5	0.5|0.33																																						
1302	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	2|2	0|0.5	2|5	0.5|0.5	1|5	0.5|0.5	1|6	0.5|0.5	7|6	0.5|0.5	7|2	0.5|0.5	5|2	0.5|0.5	5|3	0.5|0.5	3|3	0.5|0.5																																
1303	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	7|2	0.5|1	5|2	0.5|0.5	2|2	0.5|0.5	2|4	0.33|0.5	7|4	0.33|0.5	7|4	0.66|0.5	5|4	0.66|0.5	5|7	0.5|0.5	6|7	0.5|0.5	6|5	0.5|0.5																														
1304	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|1	0.5|1	3|1	0.5|0.66	3|7	0.33|0.66	3|7	0.33|0.33	3|5	0.66|0.33	1|5	0.66|0.5	1|5	0.33|0.5	6|5	0.33|0.5	6|8	0.5|0.5	2|8	0.66|0.5	2|2	0.5|0.5	5|2	0.5|0.5	5|4	0.5|0.5																								
1305	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	7|2	0.5|0	7|2	0.5|0.5	7|7	0.5|0.5	6|7	0.5|0.5	6|4	0.5|0.5	5|4	0.5|0.5	5|5	0.5|0.5																																				
1306	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	2|2	0|0.5	2|2	0.5|0.5	6|2	0.5|0.5	6|3	0.5|0.5	2|3	0.5|0.5	2|7	0.5|0.5	4|7	0.5|0.5	4|8	0.33|0.5	5|8	0.33|0.5	5|8	0.66|0.5	3|8	0.66|0.5																												
1307	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|7	1|0.66	6|7	0.5|0.33	6|8	0.5|0.33	5|8	0.5|0.5	5|3	0.5|0.5	1|3	0.5|0.5	1|2	0.5|0.5	8|2	0.5|0.5	8|3	0.5|0.5	6|3	0.5|0.5	6|6	0.5|0.5	1|6	0.5|0.66	1|8	0.33|0.6	2|8	0.33|0.5	2|8	0.66|0.5	1|8	0.66|0.33	1|4	0.5|0.33	7|4	0.5|0.5	7|8	0.5|0.5												
1308	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|8	0.33|0	4|8	0.33|0.5	4|8	0.66|0.5	1|8	0.66|0.5	1|6	0.5|0.5	3|6	0.5|0.5	3|4	0.5|0.5	8|4	0.5|0.5	8|4	0.75|0.5	7|4	0.75|0.66	7|5	0.5|0.66	7|5	0.5|0.33	7|3	0.5|0.33	6|3	0.5|0.5	6|4	0.25|0.5																				
1309	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|5	1|0.5	4|3	0.5|0.5	4|2	0.5|0.5	6|2	0.5|0.5	6|6	0.5|0.5	3|6	0.5|0.5	3|4	0.5|0.5																																				
1310	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|4	0.5|1	3|4	0.5|0.5	2|4	0.5|0.66	2|2	0.5|0.66	2|2	0.5|0.33	2|7	0.5|0.33	1|7	0.5|0.5	1|6	0.5|0.5	6|6	0.5|0.5	6|4	0.5|0.5	8|4	0.5|0.5																												
1401	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|2	0.5|1	4|2	0.5|0.5	4|5	0.5|0.5	7|5	0.5|0.33	7|4	0.5|0.33	7|4	0.5|0.66	7|7	0.5|0.66																																				
1402	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|2	0|0.5	6|5	0.5|0.5	3|5	0.5|0.5	3|8	0.5|0.5	5|8	0.5|0.5	5|3	0.5|0.5	3|3	0.5|0.5	3|2	0.5|0.5																																		
1403	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|3	0|0.5	4|4	0.33|0.5	7|4	0.33|0.5	7|4	0.66|0.5	4|4	0.66|0.5	4|5	0.5|0.5	2|5	0.5|0.66	2|3	0.5|0.66	2|3	0.5|0.33	2|6	0.5|0.33																														
1404	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	2|6	1|0.33	2|5	0.5|0.33	2|1	0.5|0.33	2|1	0.5|0.66	2|2	0.5|0.66	2|5	0.5|0.66	5|5	0.5|0.33	5|7	0.5|0.33	5|7	0.5|0.66	5|3	0.5|0.66	3|3	0.5|0.5	3|8	0.5|0.5	2|8	0.5|0.66	2|6	0.5|0.66	7|6	0.5|0.5	7|2	0.5|0.5	3|2	0.5|0.5																
1405	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	5|3	0|0.5	5|4	0.33|0.5	7|4	0.33|0.66	7|7	0.5|0.66	7|7	0.5|0.33	7|4	0.66|0.33	1|4	0.66|0.5	1|6	0.5|0.5	3|6	0.5|0.5	3|8	0.5|0.5	2|8	0.5|0.5	2|4	0.33|0.5	4|4	0.33|0.5	4|2	0.5|0.5	2|2	0.5|0.5																				
1406	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	2|2	0|0.5	2|3	0.5|0.5	4|3	0.5|0.33	4|4	0.5|0.33	4|4	0.5|0.66	4|3	0.5|0.66																																						
1407	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	7|3	0|0.5	7|4	0.5|0.5	4|4	0.5|0.5	4|1	0.66|0.5	3|1	0.66|0.5	3|1	0.33|0.5	5|1	0.33|0.5																																				
1408	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	8|3	1|0.5	8|3	0.5|0.5	6|3	0.5|0.5	6|2	0.5|0.5	7|2	0.5|0.5	7|6	0.5|0.5	1|6	0.5|0.5	1|7	0.5|0.5	4|7	0.5|0.5	4|5	0.66|0.5	1|5	0.66|0.5	1|2	0.5|0.5	3|2	0.5|0.5	3|1	0.5|0.5	2|1	0.5|0.5	2|5	0.33|0.5	4|5	0.33|0.5																
1409	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|3	0.5|0	7|3	0.5|0.5	7|2	0.5|0.5	3|2	0.5|0.5	3|8	0.5|0.5	1|8	0.5|0.5	1|7	0.5|0.5	6|7	0.5|0.5	6|6	0.5|0.5	8|6	0.5|0.5	8|1	0.5|0.5	5|1	0.5|0.5	5|3	0.5|0.5	1|3	0.5|0.5	1|1	0.5|0.5																				
1410	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|4	0|0.66	6|5	0.33|0.66	3|5	0.33|0.5	3|4	0.66|0.5	2|4	0.66|0.33	2|2	0.5|0.33	2|2	0.5|0.66	2|4	0.33|0.66	4|4	0.33|0.33	4|3	0.33|0.33	6|3	0.33|0.5	6|3	0.66|0.5	4|3	0.66|0.66	4|5	0.66|0.66	7|5	0.66|0.5	7|8	0.5|0.5																		
1501	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|2	0.5|1	2|2	0.5|0.5	7|7	0.66|0.5	2|7	0.66|0.33	2|6	0.5|0.33	2|6	0.5|0.66	2|7	0.33|0.66	5|7	0.33|0.5																																		
1502	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	8|5	1|0.5	8|1	0.5|0.5	1|4	0.5|0.5	1|1	0.5|0.5	4|1	0.5|0.5	4|4	0.5|0.5	1|4	0.5|0.5	8|1	0.5|0.5	6|1	0.5|0.5	6|7	0.5|0.5	4|7	0.5|0.5																												
1503	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|5	0.5|1	3|5	0.5|0.5	3|3	0.5|0.5	7|3	0.5|0.5	1|6	0.5|0.5	6|6	0.5|0.5	6|2	0.5|0.5	2|2	0.5|0.5	2|4	0.5|0.5																																
1504	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	8|3	1|0.5	8|1	0.66|0.5	1|8	0.33|0.5	1|1	0.33|0.5	6|6	0.66|0.5	6|3	0.5|0.5	3|3	0.5|0.5	3|6	0.33|0.5	6|6	0.33|0.5	1|1	0.33|0.5	8|1	0.33|0.5	1|8	0.66|0.5	5|8	0.66|0.5	5|4	0.5|0.5																						
1505	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	5|4	1|0.5	5|2	0.5|0.5	4|7	0.5|0.5	4|5	0.5|0.5	2|5	0.5|0.5	2|4	0.5|0.5	7|5	0.5|0.5	7|2	0.5|0.5																																		
1506	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|5	0.5|0	7|5	0.5|0.5	7|4	0.5|0.5	2|4	0.5|0.5	2|7	0.5|0.5	6|7	0.5|0.5	6|6	0.5|0.5	4|6	0.5|0.5																																		
1507	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|4	0.5|0	5|4	0.5|0.5	3|2	0.5|0.5	6|2	0.5|0.5	3|6	0.5|0.5	6|6	0.5|0.5	6|8	0.5|0.5	5|8	0.5|0.5	5|5	0.5|0.5	4|5	0.5|0.5																														
1508	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|8	0|0.66	3|8	0.33|0.66	8|8	0.33|0.33	1|3	0.33|0.66	4|3	0.33|0.5	4|3	0.66|0.5	1|3	0.66|0.33	8|8	0.66|0.33	3|8	0.66|0.33	3|2	0.5|0.33	8|2	0.5|0.66	8|8	0.5|0.66	1|3	0.5|0.33	1|7	0.5|0.33	7|7	0.5|0.5	7|4	0.5|0.5	2|4	0.5|0.5	2|6	0.5|0.5	6|6	0.5|0.5	6|1	0.5|0.5										
1509	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|4	0.5|1	2|4	0.5|0.5	4|1	0.5|0.5	1|1	0.5|0.66	1|6	0.5|0.66	5|5	0|0	8|6	0.5|0.33	8|8	0.5|0.33	1|8	0.5|0.33	1|6	0.5|0.33	5|5	0|0	8|6	0.5|0.66	8|1	0.5|0.66	5|1	0.5|0.5	5|4	0.5|0.5	1|1	0|0	7|4	0.5|0.5	7|5	0.5|0.5	4|5	0.5|0.5												
1510	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	7|7	0.66|0	8|7	0.66|0.66	8|6	0.33|0.66	4|6	0.33|0.5	8|2	0.66|0.5	4|2	0.66|0.33	4|1	0.33|0.33	7|1	0.33|0.66	7|4	0.5|0.66	7|4	0.5|0.33	7|1	0.66|0.33	4|1	0.66|0.66	4|2	0.33|0.66	8|2	0.33|0.5	4|6	0.66|0.5	8|6	0.66|0.33	8|7	0.33|0.33	5|7	0.33|0.5	5|3	0.5|0.5	3|7	0.5|0.5	3|5	0.5|0.5	2|5	0.5|0.5	2|6	0.5|0.5				
2101	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	5|2	0.5|1	3|2	0.5|0.5	3|7	0.5|0.5	6|7	0.5|0.5																																										
2102	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	3|1	0.5|0	8|1	0.5|0.5	4|4	0.5|0.5	4|6	0.5|0.5	1|6	0.5|0.5	1|2	0.5|0.5	2|2	0.5|0.5																																				
2103	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	7|3	0|0.5	7|4	0.5|0.5	6|4	0.5|0.5	3|4	0.5|0.5	3|6	0.5|0.5	5|6	0.5|0.5	5|3	0.5|0.5																																				
2104	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|4	0.5|0	4|4	0.5|0.5	4|1	0.5|0.5	6|1	0.5|0.5	7|1	0.5|0.5	7|6	0.5|0.5	3|6	0.5|0.5																																				
2105	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	2|3	1|0.5	2|2	0.5|0.5	1|1	0.5|0.5	4|1	0.5|0.5	4|3	0.5|0.5	4|6	0.5|0.5	2|6	0.5|0.5																																				
2106	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	6|5	1|0.5	6|3	0.5|0.5	7|8	0.5|0.5	4|8	0.5|0.5	4|2	0.5|0.5	2|2	0.5|0.5	2|3	0.5|0.5	1|3	0.5|0.5																																		
2107	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	5|1	0.5|0	7|1	0.5|0.5	7|4	0.5|0.5	2|4	0.5|0.5	2|6	0.5|0.5	6|6	0.5|0.5																																						
2108	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	3|4	0|0	3|4	0|0	7|7	0.5|0.5	7|5	0.5|0.5	1|5	0.5|0.5	1|1	0.5|0.5	5|1	0.5|0.5	5|2	0.5|0.5	7|2	0.5|0.5																																
2109	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|8	0.5|1	4|8	0.5|0.5	4|5	0.5|0.5	1|5	0.5|0.5	1|7	0.5|0.5	8|7	0.5|0.5	8|6	0.5|0.5	2|6	0.5|0.5	2|2	0.5|0.5	7|2	0.5|0.5																														
2110	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	2|2	0|0.5	2|3	0.5|0.5	1|3	0.5|0.5	1|4	0.5|0.5	8|4	0.5|0.5	8|7	0.5|0.5	5|7	0.5|0.66	5|8	0.5|0.66	5|8	0.5|0.33	5|3	0.5|0.33	6|3	0.5|0.5	6|2	0.5|0.5	7|2	0.5|0.5																								
2201	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|2	0.5|1	5|2	0.5|0.5	5|6	0.5|0.5	4|6	0.5|0.5	4|4	0.5|0.5																																								
2202	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	5|2	0.5|1	5|2	0.5|0.5	5|6	0.5|0.5	7|6	0.5|0.5	7|3	0.5|0.5	3|3	0.5|0.5	3|5	0.5|0.5																																				
2203	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	7|2	0.33|1	4|2	0.33|0.5	1|1	0|0	4|2	0.66|0.5	4|8	0.5|0.5	1|8	0.5|0.5	1|2	0.5|0.5	2|2	0.5|0.5																																		
2204	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|3	1|0.5	4|2	0.5|0.5	6|2	0.5|0.5	6|1	0.5|0.5	7|1	0.5|0.5	7|7	0.5|0.5	2|7	0.5|0.5	2|4	0.5|0.5																																		
2205	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	2|2	0|0.5	2|3	0.5|0.5	1|3	0.5|0.5	1|4	0.5|0.5	6|4	0.5|0.5	6|8	0.5|0.5	1|8	0.5|0.5	1|6	0.5|0.5	5|6	0.5|0.5	5|7	0.5|0.5	3|7	0.5|0.5																												
2206	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|1	0.5|1	6|1	0.5|0.5	6|3	0.5|0.5	4|3	0.5|0.5	4|1	0.5|0.5	2|1	0.5|0.5	2|5	0.5|0.5	1|5	0.5|0.5	1|8	0.5|0.5	3|8	0.5|0.5	3|6	0.5|0.5	7|6	0.5|0.5	7|7	0.5|0.5	5|7	0.5|0.5																						
2207	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	2|8	0.5|1	1|8	0.5|0.5	8|3	0.5|0.5	7|3	0.5|0.5	7|1	0.5|0.5	4|1	0.5|0.5	4|6	0.5|0.5																																				
2208	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	8|1	1|0.66	8|1	0.33|0.66	6|1	0.33|0.5	6|1	0.66|0.5	8|1	0.66|0.33	8|6	0.5|0.33	3|6	0.5|0.5	2|5	0.5|0.5	2|3	0.5|0.5	1|3	0.5|0.5	1|1	0.5|0.5	2|1	0.5|0.5	2|2	0.5|0.5	8|2	0.5|0.66	8|5	0.5|0.66	7|5	0.5|0.5																		
2209	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|2	0|0.5	4|3	0.5|0.5	6|3	0.5|0.5	6|6	0.5|0.5	7|6	0.5|0.5	7|2	0.5|0.5	1|2	0.5|0.5	1|5	0.5|0.5	3|5	0.5|0.5																																
2210	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	2|6	0|0.5	2|7	0.33|0.5	1|5	0.5|0.5	8|5	0.5|0.33	4|3	0.5|0.5	4|1	0.66|0.5	7|1	0.66|0.5	7|1	0.33|0.5	2|1	0.33|0.5	2|2	0.5|0.5																														
2301	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	3|3	0|0.5	3|4	0.33|0.5	2|4	0.33|0.5	2|4	0.66|0.5	5|4	0.66|0.5	5|6	0.33|0.5	2|6	0.33|0.5	2|6	0.66|0.5	6|6	0.66|0.5	6|7	0.5|0.5																														
2302	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|3	0.5|1	5|3	0.5|0.66	5|2	0.5|0.66	5|2	0.5|0.33	5|5	0.5|0.33	7|5	0.5|0.5	7|7	0.5|0.5	2|7	0.5|0.5	2|4	0.5|0.5																																
2303	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	2|3	1|0.5	2|3	0.5|0.5	1|3	0.5|0.5	1|8	0.5|0.5	5|8	0.5|0.5	5|2	0.5|0.5	8|2	0.5|0.5	8|5	0.5|0.5	4|5	0.5|0.5	4|6	0.5|0.5	6|6	0.5|0.5	6|7	0.5|0.5	2|7	0.5|0.5																								
2304	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	5|3	0.66|1	4|3	0.66|0.5	4|3	0.33|0.5	6|3	0.33|0.5	6|2	0.5|0.5	3|2	0.5|0.66	3|6	0.33|0.66	3|6	0.33|0.33	3|1	0.5|0.33	7|1	0.5|0.5	7|7	0.5|0.5	2|7	0.5|0.5	2|6	0.66|0.5	5|6	0.66|0.5	5|4	0.5|0.5																				
2305	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	5|6	0.5|0	6|6	0.5|0.5	2|3	0.25|0.33	2|5	0.5|0.33	5|5	0.5|0.5	5|2	0.5|0.5	7|2	0.5|0.5	7|1	0.5|0.5																																		
2306	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	5|7	0|0.66	5|8	0.5|0.66	2|2	0|0	1|8	0.66|0.33	1|2	0.5|0.33	2|2	0.5|0.5	2|5	0.5|0.5	5|5	0.5|0.66	5|4	0.5|0.66																																
2307	Celica: Route record damaged. Restoration of key routes maximized. Please explore to complete the record.	3|5	0.5|1	2|5	0.5|0.66	2|7	0.5|0.66	1|4	0.5|0.5	1|2	0.5|0.5	8|2	0.5|0.5	1|1	0|0	8|4	0.5|0.5	2|4	0.5|0.33	2|5	0.5|0.33																														
2308	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	6|5	0|0.5	6|7	0.5|0.5	7|7	0.5|0.5	7|3	0.5|0.5	2|3	0.5|0.5	2|6	0.5|0.5	3|6	0.5|0.5	3|2	0.5|0.5	5|2	0.5|0.5																																
2309	Celica: Rest assured, Commandant. The complete route record of this stage has been loaded for you.	4|1	1|0.5	4|1	0.66|0.5	6|1	0.66|0.33	6|4	0.5|0.33	2|4	0.5|0.5	2|3	0.5|0.5	6|3	0.5|0.66	6|1	0.33|0.66	4|1	0.33|0.5																																
