StageId	Text	BackCount	ResetCount	TotalLoseCount
2306	Turn off the switch before using the Kuroro as stepping stones, otherwise, they will be eliminated by the Electro-Walls.	3	3	3
2307	We have to find a stepping stone to reach the endpoint after eliminating the Kuroro in the upper-left corner...	3	3	3
2308	Don't be scared by the Electro-Walls, Commandant. Those are just paper tigers.	3	3	3
2309	Try to finish the battle in the middle of the battlefield. Don't let Kuroro escape to the right side.	3	3	3
2310	Sometimes you need to move more than once to get Kuroro to the place where it needs to be.	3	3	3
2401	I know it's hard but please keep me safe, Commandant.	3	3	3
2402	Watch out for the trap hole on the right. Even I don't want to fall into it.	3	3	3
2403	Try to kill Shark-speare first.	3	3	3
2404	Get the Kuroro above down and use it as a stepping stone, not me.	3	3	3
2405	Sometimes you have to take the longer path to make the best use of your stepping stone, Commandant.	3	3	3
2406	You want to evacuate people who shouldn't be there before starting a hunt.	3	3	3
2407	Don't fight Kuroro the second you enter the battle. Take a walk around it first.	3	3	3
2408	You only have a few ways to reach the key Kuroro. Moving from left to right could be a good idea.	3	3	3
2409	You could use the help of Celica when necessary, Commandant.	3	3	3
2410	...I can also be your assistant if necessary, Commandant.	3	3	3
2501	After spotting an abnormal occurrence in its sight, the Roseblade will move to where it took place in the next round.	3	3	3
2502	Distract the Roseblade and don't look back no matter what is blocking your way.	3	3	3
2503	You could use the help of your allies, including me, when necessary, Commandant.	3	3	3
2504	Enemies that will only move under certain conditions are just moving stepping stones.	3	3	3
2505	You have to stop the Kuroro on the left to reach the Kuroro on the right.	3	3	3
2506	Use the Roseblade as your stepping stone, Commandant.	3	3	3
2507	You can never have too many stepping stones. Get yourself two stepping stones if one is not enough.	3	3	3
2508	Places that are hard to reach won't be a big deal when you have the help of the stepping stones.	3	3	3
2509	I've seen a complete letter S. You are on its tail, Commandant.	3	3	3
2510	The Roseblade here won't stay very long. You need to make him stay somewhere.	3	3	3
3101	Keep going forward—looks like this is our only option.	3	3	3
3102	Think about it... If Kuroro on the left wasn't there...	3	3	3
3103	Changing your direction immediately after you stop doesn't seem to work here.	3	3	3
3104	I see... A Kukuro will run in the opposite direction whenever a Construct shows up near it.	3	3	3
3105	It's a bit far... But there must be a way to approach the Kuroro up top.	3	3	3
3106	The Kuroro on the right cannot be eliminated directly, but if you use that...	3	3	3
3107	Make good use of your enemies, Commandant.	3	3	3
3108	Instead of eliminating each enemy, maybe you can use them to your advantage.	3	3	3
3201	Watch out, Commandant. That red circle shows Shark-speare's detection range.	3	3	3
3202	The area outside the red circle is Shark-speare's blind spot. Time to strike now!	3	3	3
3203	The enemies on the top side are impossible to break through... Why not turn to the ones on the bottom?	3	3	3
3204	"Move along a fixed route in each turn"... Indeed, the more regular of a routine, the easier it is to spot a fatal flaw.	3	3	3
3205	Sometimes it's not bad to take a detour...	3	3	3
3206	Only if you can lure the Kuroro to the bottom left corner... But how?	3	3	3
3207	That patrolman was just bluffing. Don't let him get away, Commandant!	3	3	3
3208	There are two Kuroro... You have to think carefully about which one should be dealt with first.	3	3	3
3301	There's only one way for sure, right, Commandant?	3	3	3
3302	Let's ignore the Kuroro on your left for now.	3	3	3
3303	Looks like they're going in different directions. If we choose the right one...	3	3	3
3304	If you're finding it difficult... Why not take a look at the Kuroro on the right?	3	3	3
3305	It's not difficult to predict their next move based on their movement pattern. Go right first, Commandant.	3	3	3
3306	The patrolman and stone gate are in line with each other. If we can trap him...	3	3	3
3307	Looks like... Now's the time to take down all the enemies at once.	3	3	3
3308	The Kuroro up top can't be taken out from here, but if you can use that...	3	3	3
3401	...I'm sure you're aware that you've only got one choice.	3	3	3
3402	Please keep in mind that a new path might form when the terrain changes, Commandant.	3	3	3
3403	...It's a dead end? Well then, we'll just have to make them clear the way!	3	3	3
3404	The top one seems to be a decoy... Wanna know how I know that? My intuition!	3	3	3
3405	Let's eliminate the enemies on the bottom first, Commandant.	3	3	3
3406	It's fine to let your enemies run for a while... And please remember to count your steps.	3	3	3
3407	The terrain toward the top is complicated. Don't let your enemies get there, Commandant.	3	3	3
3408	It's not always bad to take a detour... Hmm? Is that an infinity symbol?	3	3	3
