Id	SkillId[0]	SkillId[1]	SkillId[2]
1092240	109224		
1092250	109225		
1092260	109226		
1092270	109227		
1112010	111201		
1112060	111206		
1112110	111211		
1112160	111216		
1112170	111217		
1112180	111218		
1112210	111221		
1112220	111222		
1112230	111223		
1112240	111224		
1112250	111225		
1112260	111226		
1112270	111227		
1122010	112201		
1122060	112206		
1122110	112211		
1122160	112216		
1122170	112217		
1122180	112218		
1122210	112221		
1122220	112222		
1122230	112223		
1122240	112224		
1122250	112225		
1122260	112226		
1122270	112227		
1132010	113201		
1132060	113206		
1132110	113211		
1132160	113216		
1132170	113217		
1132180	113218		
1132210	113221		
1132220	113222		
1132230	113223		
1132240	113224		
1132250	113225		
1132260	113226		
1132270	113227		
1143010	114301		
1143060	114306		
1143110	114311		
1143160	114316		
1143170	114317		
1143180	114318		
1143210	114321		
1143220	114322		
1143230	114323		
1143240	114324		
1143250	114325		
1143260	114326		
1143270	114327		
1152010	115201		
1152060	115206		
1152110	115211		
1152160	115216		
1152170	115217		
1152180	115218		
1152210	115221		
1152220	115222		
1152230	115223		
1152240	115224		
1152250	115225		
1152260	115226		
1152270	115227		
1162010	116201		
1162060	116206		
1162110	116211		
1162160	116216		
1162170	116217		
1162180	116218		
1162210	116221		
1162220	116222		
1162230	116223		
1162240	116224		
1162250	116225		
1162260	116226		
1162270	116227		
1173010	117301		
1173060	117306		
1173110	117311		
1173160	117316		
1173170	117317		
1173180	117318		
1173210	117321		
1173220	117322		
1173230	117323		
1173240	117324		
1173250	117325		
1173260	117326		
1173270	117327		
1183010	118301		
1183060	118306		
1183110	118311		
1183160	118316		
1183170	118317		
1183180	118318		
1183210	118321		
1183220	118322		
1183230	118323		
1183240	118324		
1183250	118325		
1183260	118326		
1183270	118327		
1193010	119301		
1193060	119306		
1193110	119311		
1193160	119316		
1193170	119317	119318	
1193180	119321		
1193210	119322		
1193220	119323		
1193230	119327		
1193240	119325		
1193250	119326		
1193260	119329		
1193270	119324		
1203010	120301		
1203060	120306		
1203110	120311		
1203160	120316		
1203170	120317		
1203180	120318		
1203210	120321		
1203220	120322		
1203230	120323		
1203240	120324		
1203250	120325		
1203260	120326		
1203270	120327		
1523010	152301		
1523060	152306		
1523110	152311		
1523160	152316		
1523170	152317		
1523180	152318		
1523210	152321		
1523220	152322		
1523230	152323		
1523240	152324		
1523250	152325		
1523260	152326		
1523270	152327		
1212010	121201		
1212060	121206		
1212110	121211		
1212160	121216		
1212170	121217		
1212180	121218		
1212210	121221		
1212220	121222		
1212230	121223		
1212240	121224		
1212250	121225		
1212260	121226		
1212270	121227		
1533010	153301		
1533060	153306		
1533110	153311		
1533160	153316		
1533170	153317		
1533180	153318		
1533210	153321		
1533220	153322		
1533230	153323		
1533240	153324		
1533250	153325		
1533260	153326		
1533270	153327		
1123010	112301		
1123060	112306		
1123110	112311		
1123160	112316		
1123170	112317		
1123180	112318		
1123210	112321		
1123220	112322		
1123230	112323		
1123240	112324		
1123250	112325		
1123260	112326		
1123270	112327		
1222010	122201		
1222060	122206		
1222110	122211		
1222160	122216		
1222170	122217		
1222180	122218		
1222210	122221		
1222220	122222		
1222230	122223		
1222240	122224		
1222250	122225		
1222260	122226		
1222270	122227		
1133010	113301		
1133060	113306		
1133110	113311		
1133160	113316		
1133170	113317		
1133180	113318		
1133210	113321		
1133220	113322		
1133230	113323		
1133240	113324		
1133250	113325		
1133260	113326		
1133270	113327		
1543010	154301		
1543060	154306		
1543110	154311		
1543160	154316		
1543170	154317		
1543180	154318		
1543210	154321		
1543220	154322		
1543230	154323		
1543240	154324		
1543250	154325		
1543260	154326		
1543270	154327		
1034010	103401		
1034060	103406		
1034110	103411		
1034160	103416		
1034170	103417		
1034180	103418		
1034210	103421	103428	
1034220	103422		
1034230	103423		
1034240	103424		
1034250	103425		
1034260	103426		
1034270	103427		
1534010	153401	153428	
1534060	153406	153429	
1534110	153411		
1534160	153416		
1534170	153417		
1534180	153418		
1534210	153421		
1534220	153422		
1534230	153423		
1534240	153424		
1534250	153425		
1534260	153426		
1534270	153427		
1553010	155301		
1553060	155306		
1553110	155311		
1553160	155316		
1553170	155317		
1553180	155318		
1553210	155321		
1553220	155322		
1553230	155323		
1553240	155324		
1553250	155325		
1553260	155326		
1553270	155327		
1054010	105401		
1054060	105406		
1054110	105411		
1054160	105416		
1054170	105417		
1054180	105418		
1054210	105421		
1054220	105422		
1054230	105423		
1054240	105424		
1054250	105425		
1054260	105426		
1054270	105427		
1563010	156301		
1563060	156306		
1563110	156311		
1563160	156316		
1563170	156317		
1563180	156318		
1563210	156321		
1563220	156322		
1563230	156323		
1563240	156324		
1563250	156325		
1563260	156326		
1563270	156327		
1074010	107401		
1074060	107406		
1074110	107411		
1074160	107416		
1074170	107417		
1074180	107418		
1074210	107421		
1074220	107422		
1074230	107423		
1074240	107424		
1074250	107425		
1074260	107426		
1074270	107427		
1573010	157301		
1573060	157306		
1573110	157311		
1573160	157316		
1573170	157317		
1573180	157318		
1573210	157321		
1573220	157322		
1573230	157323		
1573240	157324		
1573250	157325		
1573260	157326		
1573270	157327		
1044010	104401		
1044060	104406		
1044110	104411		
1044160	104416		
1044170	104417		
1044180	104418		
1044210	104421		
1044220	104422		
1044230	104423		
1044240	104424		
1044250	104425		
1044260	104426		
1044270	104427		
