Id	Type
121224	11
121225	12
121226	13
153301	1
153306	2
153311	3
153316	4
153317	5
153318	6
153321	7
153322	8
153323	9
153327	10
153324	11
153325	12
153326	13
112301	1
112306	2
112311	3
112316	4
112317	5
112318	6
112321	7
112322	8
112323	9
112327	10
112324	11
112325	12
112326	13
122201	1
122206	2
122211	3
122216	4
122217	5
122218	6
122221	7
122222	8
122223	9
122227	10
122224	11
122225	12
122226	13
113301	1
113306	2
113311	3
113316	4
113317	5
113318	6
113321	7
113322	8
113323	9
113327	10
113324	11
113325	12
113326	13
154301	1
154306	2
154311	3
154316	4
154317	5
154318	6
154321	7
154322	8
154323	9
154327	10
154324	11
154325	12
154326	13
103401	1
103406	2
103411	3
103416	4
103417	5
103418	6
103421	7
103428	7
103422	8
103423	9
103427	10
103424	11
103425	12
103426	13
153401	1
153428	1
153406	2
153429	2
153411	3
153416	4
153417	5
153418	6
153421	7
153422	8
153423	9
153427	10
153424	11
153425	12
153426	13
155301	1
155306	2
155311	3
155316	4
155317	5
155318	6
155321	7
155322	8
155323	9
155327	10
155324	11
155325	12
155326	13
105401	1
105406	2
105411	3
105416	4
105417	5
105418	6
105421	7
105422	8
105423	9
105427	10
105424	11
105425	12
105426	13
156301	1
156306	2
156311	3
156316	4
156317	5
156318	6
156321	7
156322	8
156323	9
156327	10
156324	11
156325	12
156326	13
107401	1
107406	2
107411	3
107416	4
107417	5
107418	6
107421	7
107422	8
107423	9
107427	10
107424	11
107425	12
107426	13
157301	1
157306	2
157311	3
157316	4
157317	5
157318	6
157321	7
157322	8
157323	9
157327	10
157324	11
157325	12
157326	13
104401	1
104406	2
104411	3
104416	4
104417	5
104418	6
104421	7
104422	8
104423	9
104427	10
104424	11
104425	12
104426	13
123201	1
123206	2
123211	3
123216	4
123217	5
123218	6
123221	7
123222	8
123223	9
123227	10
123224	11
123225	12
123226	13
101401	1
101406	2
101411	3
101416	4
101417	5
101418	6
101421	7
101422	8
101423	9
101427	10
101424	11
101425	12
101426	13
109301	1
109306	2
109311	3
109316	4
109317	5
109318	6
109321	7
109322	8
109323	9
109327	10
109324	11
109325	12
109326	13
