Id	Model	Shape	ShapeParams[1]	ShapeParams[2]	Lifetime	Destructible	Type	BlockNpc	NpcTargetType	BlockMissile	MissileKind	MissileTargetType	MissileInteractType	MissileInteractParams
300615603	QR0ShaojiejipaoMd010011	2	300615601		0	0	2	1	7	0	3	1	1	1
300615604	Churchceiling003	2	300615601		0	0	2	1	7	0	3	1	1	1
300615605	HalloweenCeiling002	2	300615601		0	0	2	1	7	0	3	1	1	1
300615606	TheaterCeiling002	2	300615601		0	0	2	1	7	0	3	1	1	1
300615607	HakamaStool001	2	300615601		0	0	2	1	7	0	3	1	1	1
300615608	ForestChair002	2	300615601		0	0	2	1	7	0	3	1	1	1
300615609	Teahousebench001	2	300615601		0	0	2	1	7	0	3	1	1	1
300615610	SceneRunway_39Kapian	2	300615601		0	0	2	1	7	0	3	1	1	1
300615613	Shengdangift001	2	300615601		0	0	2	1	7	0	3	1	1	1
300615614	Qudaodan001	2	300615601		0	0	2	1	7	0	3	1	1	1
300615690	Shengdantree001	2	300615601		0	0	2	1	7	0	3	1	1	1
300615691	Shengdangift001	2	300615601		0	0	2	1	7	0	3	1	1	1
300615692	SummerWater001	2	300615601		0	0	2	1	7	0	3	1	1	1
300615693	RestaurantPlasticstools001	2	300615601		0	0	2	1	7	0	3	1	1	1
300615694	ForestFlowerpot001	2	300615601		0	0	2	1	7	0	3	1	1	1
999198010		1	6		6	100	3	1	1	0	3	7	3	1
127		2	127		0	0	2	1	1	1	3	1	1	1
128		2	128		0	0	2	1	1	1	3	1	1	1
129		1	3		0	0	2	1	1	1	3	1	1	1
749236		2	749236		0	0	3	1	7	0	3	1	1	1
716361		5	3	5	0	0	3	1	7	1	3	1	1	1
716362		5	3	5	0	0	3	1	7	1	3	1	1	1
