StageId	DifficuIocn	Name	BgIconSmall	BgIconBig	MarkId
30080206	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	3
30080207	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	3
30080208	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	1
30080209	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	2
30080210	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	1
30080211	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	2
30080212	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	1
30080213	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	2
30080214	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	1
30080215	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab004.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab004.png	2
30080301	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	1
30080302	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	2
30080303	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	3
30080304	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	3
30080305	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	3
30080306	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	3
30080307	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	3
30080308	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	1
30080309	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	2
30080310	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	1
30080311	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	2
30080312	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	1
30080313	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	2
30080314	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	1
30080315	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab002.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab002.png	2
30080401	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	1
30080402	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	2
30080403	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	3
30080404	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	3
30080405	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	3
30080406	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	3
30080407	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	3
30080408	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	1
30080409	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	2
30080410	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	1
30080411	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	2
30080412	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	1
30080413	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	2
30080414	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	1
30080415	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab003.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab003.png	2
30080501	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	1
30080502	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	2
30080503	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	3
30080504	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	3
30080505	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	3
30080506	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	3
30080507	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	3
30080508	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	1
30080509	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	2
30080510	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	1
30080511	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	2
30080512	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	1
30080513	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	2
30080514	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	1
30080515	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab005.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab005.png	2
30080601	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	1
30080602	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	2
30080603	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	3
30080604	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	3
30080605	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	3
30080606	Assets/Product/Texture/Image/IconType/IconTypeFortress2.png	Area 3	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	3
30080607	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	1
30080608	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	2
30080609	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	1
30080610	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	2
30080611	Assets/Product/Texture/Image/IconType/IconTypeNormal1.png	Area 1	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	1
30080612	Assets/Product/Texture/Image/IconType/IconTypeHard2.png	Area 2	Assets/Product/Texture/Image/UiArena/UiArenaGqxzTab006.png	Assets/Product/Texture/Image/UiArena/UiArenaGqxqTab006.png	2
