Id	StageLibId	StageId	GridIndex	GridName	GridIcon	SupplyEnergyLevelReward	IsScoreStage	MutexLockCharacter	IsLockCharacterStage	AffixIds[1]	AffixIds[2]	AffixIds[3]	AffixIds[4]	AffixIds[5]	AffixIds[6]	Tips[1]	Tips[2]	Tips[3]	Tips[4]	Tips[5]	Tips[6]	Efficiency[1]	Efficiency[2]
11	404	30062404	1	DG-01		1	0		0	761194						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Dark Resistance by 40%</color> for <color=#0F70BC>10s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of different colors twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
12	404	30062405	2	DG-02		1	0		0	761194						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Dark Resistance by 40%</color> for <color=#0F70BC>10s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of different colors twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
13	404	30062406	3	DG-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnShadow.png	1	0		1	761194						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Dark Resistance by 40%</color> for <color=#0F70BC>10s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of different colors twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
14	405	30062407	1	FC-01		1	0		0	761193						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Ice Resistance by 40%</color> for <color=#0F70BC>10s</color>.						When <color=#0F70BC>Uniframes</color> <color=#0F70BC>Freeze</color> and then attack the targets,<color=#0F70BC>the Finisher Gauge will decrease 200% faster</color> (does not apply to Speed Attacks and Parries).	
15	405	30062408	2	FC-02		1	0		0	761193						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Ice Resistance by 40%</color> for <color=#0F70BC>10s</color>.						When <color=#0F70BC>Uniframes</color> <color=#0F70BC>Freeze</color> and then attack the targets,<color=#0F70BC>the Finisher Gauge will decrease 200% faster</color> (does not apply to Speed Attacks and Parries).	
16	405	30062409	3	FC-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnIce.png	1	0		1	761193						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Ice Resistance by 40%</color> for <color=#0F70BC>10s</color>.						When <color=#0F70BC>Uniframes</color> <color=#0F70BC>Freeze</color> and then attack the targets,<color=#0F70BC>the Finisher Gauge will decrease 200% faster</color> (does not apply to Speed Attacks and Parries).	
17	411	30062358	1	EC-00		0	0	1	0							No environmental effects in the area.						Uniframe Mechanism Tutorial Stage	
18	411	30062410	2	EC-01		1	0		0	761192						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>decrease the target's Lightning Resistance by 40%</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>Lightning DMG</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
19	411	30062411	3	EC-02		1	0		0	761192						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>decrease the target's Lightning Resistance by 40%</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>Lightning DMG</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
20	411	30062412	4	EC-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnThunder.png	1	0		1	761192						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>decrease the target's Lightning Resistance by 40%</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>Lightning DMG</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
21	412	30062413	1	PL-01		1	0		0	761190						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>the target's Physical Resistance will be decreased by 40%</color> for <color=#0F70BC>8s</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>CRIT DMG</color> with a <color=#0F70BC>3-Ping</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
22	412	30062414	2	PL-02		1	0		0	761190						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>the target's Physical Resistance will be decreased by 40%</color> for <color=#0F70BC>8s</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>CRIT DMG</color> with a <color=#0F70BC>3-Ping</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
23	412	30062415	3	PL-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnPhysical.png	1	0		1	761190						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>the target's Physical Resistance will be decreased by 40%</color> for <color=#0F70BC>8s</color>.						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>CRIT DMG</color> with a <color=#0F70BC>3-Ping</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
24	413	30062416	1	FR-01		1	0		0	761191						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Fire Resistance by 40%</color> for <color=#0F70BC>8s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of the same color twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
25	413	30062417	2	FR-02		1	0		0	761191						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Fire Resistance by 40%</color> for <color=#0F70BC>8s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of the same color twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
26	413	30062418	3	FR-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnfire.png	1	0		1	761191						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Fire Resistance by 40%</color> for <color=#0F70BC>8s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of the same color twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
27	414	30062419	1	DG-01		1	0		0	761194						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Dark Resistance by 40%</color> for <color=#0F70BC>10s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of different colors twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
28	414	30062420	2	DG-02		1	0		0	761194						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Dark Resistance by 40%</color> for <color=#0F70BC>10s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of different colors twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
29	414	30062421	3	DG-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnShadow.png	1	0		1	761194						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Dark Resistance by 40%</color> for <color=#0F70BC>10s</color>.						Upon continuously pinging <color=#0F70BC>Signal Orbs of different colors twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).	
30	415	30062422	1	FC-01		1	0		0	761193						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Ice Resistance by 40%</color> for <color=#0F70BC>10s</color>.						When <color=#0F70BC>Uniframes</color> <color=#0F70BC>Freeze</color> and then attack the targets,<color=#0F70BC>the Finisher Gauge will decrease 200% faster</color> (does not apply to Speed Attacks and Parries).	
31	415	30062423	2	FC-02		1	0		0	761193						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Ice Resistance by 40%</color> for <color=#0F70BC>10s</color>.						When <color=#0F70BC>Uniframes</color> <color=#0F70BC>Freeze</color> and then attack the targets,<color=#0F70BC>the Finisher Gauge will decrease 200% faster</color> (does not apply to Speed Attacks and Parries).	
32	415	30062424	3	FC-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnIce.png	1	0		1	761193						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Ice Resistance by 40%</color> for <color=#0F70BC>10s</color>.						When <color=#0F70BC>Uniframes</color> <color=#0F70BC>Freeze</color> and then attack the targets,<color=#0F70BC>the Finisher Gauge will decrease 200% faster</color> (does not apply to Speed Attacks and Parries).	
33	4001	30062425	1	EC-CR		0	1		0	761192						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>Lightning DMG</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>decrease the target's Lightning Resistance by 40%</color>.	
34	4002	30062426	1	DG-CR		0	1		0	761194						Upon continuously pinging <color=#0F70BC>Signal Orbs of different colors twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Dark Resistance by 40%</color> for <color=#0F70BC>10s</color>.	
35	4011	30062427	1	EC-CR		0	1		0	761192						When <color=#0F70BC>Uniframes</color> deal <color=#0F70BC>Lightning DMG</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>decrease the target's Lightning Resistance by 40%</color>.	
36	4012	30062428	1	DG-CR		0	1		0	761194						Upon continuously pinging <color=#0F70BC>Signal Orbs of different colors twice</color>,<color=#0F70BC>the Finisher Gauge will decrease 100% faster</color> for <color=#0F70BC>3s</color> (does not apply to Speed Attacks and Parries).						When the <color=#0F70BC>Dynamic Rating</color> reaches <color=#0F70BC>B</color> or above, <color=#0F70BC>Uniframes</color> dealing DMG will <color=#0F70BC>additionally</color><color=#0F70BC>Uniframes</color> will <color=#0F70BC>decrease the target's Dark Resistance by 40%</color> for <color=#0F70BC>10s</color>.	
