Id	Name	Desc	ConsumeId	ConsumeCount	RewardId	MailId	MailCount	DailyRewardId	DailyRewardCount	PrePurchaseId	ConditionId[1]	ConditionId[2]	TimeToEffectStr	TimeToInvalidStr	ShelvesType	ShelvesDays	BuyLimitTimes	BuyLimitType	BuyLimitParam	Icon	FashionLabel	IsSellOutShow	Tag	UiType	Priority	LogType	NormalDiscountStr	DiscountShowStr	DiscountItemId[1]	DiscountItemCount[1]	DiscountValue[1]	DiscountBeginTimeStr[1]	DiscountEndTimeStr[1]	DiscountItemId[2]	DiscountItemCount[2]	DiscountValue[2]	DiscountBeginTimeStr[2]	DiscountEndTimeStr[2]	SignInId	ConvertSwitch	CanMultiply	PayKeySuffix
45	クリスマスの約束‐リーフ·闇蝕	リーフ·闇蝕塗装‐クリスマスの約束	5	68	6310107								2018/12/24 10:00	2018/12/24 10:00			1	0		UioPifu45			14	7	30140	3																
46	冒険家-アイラ·極彩	アイラ·極彩塗装-冒険家	5	98	6910104								2020/2/6 10:00	2020/3/5 9:59			1	0		UioPifu46			14	7	20215	3																
47	パープルラビット-アイラ·極彩	アイラ·極彩塗装-パープルラビット	5	126	6910105								2020/2/6 10:00	2020/3/5 9:59			1	0		UioPifu47			14	7	20216	3																
48	サバイバルゲーム-ワタナベ·景星	ワタナベ·景星塗装‐サバイバルゲーム	5	98	6810304								2020/2/6 10:00	2020/3/5 9:59			1	0		UioPifu48			14	7	20217	3																
49	エグゾスケルトン‐ワタナベ·景星	ワタナベ·景星塗装‐エグゾスケルトン	5	126	6810305								2020/2/6 10:00	2020/3/5 9:59			1	0		UioPifu49			14	7	20219	3																
50	爆裂新年‐カレニーナ·爆裂	カレニーナ·爆裂塗装‐爆裂新年	5	68	6710105								2020/1/20 10:00	2020/1/31 9:59			1	0		UioPifu50			14	7	20219	3																
51	暗闇の先兵‐カムイ·暗力	カムイ·暗力塗装‐暗闇の先兵	5	98	6610305								2020/2/6 10:00	2020/3/5 9:59			1	0		UioPifu51			14	7	20220	3																
52	デイリー血清補給パック	デイリー血清補給パック			90091								2020/9/4 5:00				1	1	10000	UioDay		1	10	6	5000	3																
1000	極地特別構造体開発券	極地特別構造体開発券	5	128	90030								2020/1/1 10:00	2020/1/31 9:59			1	0		UioCDMouth2			1	5	10550	3																
1001	クリスマス家具補給パック	クリスマス家具補給パック	5	98	90031								2019/12/24 11:00	2020/1/31 9:59			1	0		UioJiaju46			14	7	30170	3																
1002	新春セット大パック	新春セット大パック	5	328	90032								2020/1/20 10:00	2020/1/31 9:59			1	0		UiChujie01			1	5	30220	3																
1003	新春武器セットパック	新春武器セットパック	5	98	90033								2020/1/20 10:00	2020/1/31 9:59			1	0		UiChujie02			1	5	30230	3																
1004	茶館の家具図面	茶館の家具図面パック	5	20	90034								2020/2/6 10:00	2020/3/16 9:59						Uiojiaju47			14	7	30240	3																
1005	茶館家具大パック	茶館家具大パック	5	68	90035								2020/2/6 10:00	2020/3/16 9:59			1	0		Uiojiaju48			14	7	30250	3																
1006	黒星基本構造体開発券	黒星基本構造体開発券	5	58	90036								2020/2/6 10:00	2020/3/5 9:59			4	0		UiYanfa01			1	5	30260	3																
1007	新春武器欠片補給パック	新春武器欠片補給パック	5	68	90037								2020/1/20 10:00	2020/1/31 9:59			3	0		UiChujie03			1	5	30221	3																
1008	新春血清補給パック	新春血清補給パック	5	6	90038								2020/1/20 10:00	2020/1/31 9:59			3	0		UiChujie04			1	5	30222	3																
1009	新春選択Aクラス構造体	新春選択Aクラス構造体	5	30	90039								2020/1/20 10:00	2020/1/31 9:59			1	0		UiChujie05			1	5	30225	3																
1010	新春選択Bクラス補給パック	新春選択Bクラス補給パック	5	68	90040								2020/1/20 10:00	2020/1/31 9:59			3	0		UiChujie06			1	5	30226	3																
1011	ヴァレンティヌス祝福パック	ヴァレンティヌス祝福パック	5	14	90041								2020/2/14 10:00	2020/2/21 9:59			13	0		UioPifu52			14	7	10000	3																
1012	零時の契約‐ビアンカ·真理	ビアンカ·真理塗装‐零時の契約	5	98	6410304								2020/3/19 10:00	2020/4/2 9:59			1	0		UioPifu53			14	7	20220	3																
1013	専属技師‐ソフィア·銀牙	ソフィア·銀牙塗装‐専属技師	5	98	6000104								2020/4/2 10:00	2020/4/17 9:59			1	0		UioPifu54			14	7	20221	3																
1014	砂上の星空‐ソフィア·銀牙	ソフィア·銀牙塗装‐砂上の星空	5	98	6000105								2020/4/2 10:00	2020/4/17 9:59			1	0		UioPifu55			14	7	20222	3																
1015	列車特別開発券	列車特別開発券	5	128	90042								2020/3/19 10:00	2020/4/2 9:59			1	0		UiLieche01			1	5	30170	3																
1016	列車基本開発券	列車基本開発券	5	128	90043								2020/4/2 10:00	2020/4/16 9:59			1	0		UiLieche02			1	5	30171	3																
1017	雪国風家具図面	雪国風家具図面パック	5	20	90044								2020/3/19 10:00	2020/4/27 9:59						UiLieche03			14	7	30240	3																
1018	雪国風家具大パック	雪国風家具大パック	5	68	90046								2020/3/19 10:00	2020/4/27 9:59			1	0		UiLieche04			14	7	30250	3																
1019	スイートシュガーの約束	スイートシュガーの約束	5	38	90047								2020/3/14 10:00	2020/3/28 9:59			3	0		UiQingrenjie01			1	5	10110	3																
1020	ホワイトローズの約束	ホワイトローズの約束	5	38	90048								2020/3/14 10:00	2020/3/28 9:59			3	0		UiQingrenjie02			1	5	10120	3																
1021	エデンの休日‐ルシア·黎明	ルシア·黎明塗装-エデンの休日	5	58	6210206								2020/3/14 10:00	2020/3/21 9:59			1	0		UioPifu56			14	7	20119	3																
1022	月間星6意識パック	月間星6意識パック	5	38	90049								2008/12/1 5:00	2009/12/1 5:00			3	1	10004	UiLieche05		1	1	5	10500	3																
1023	黒パス×血清補給	1日1セット支給×30日間	5	68	90050	90051	30						2008/12/1 5:00	2009/12/1 5:00			1	1	10004	UiLieche06		1	1	5	10500	3																
1024	エイプリルフールイベント構造体開発券パック	エイプリルフールイベント構造体開発券パック	5	45	90051								2020/4/1 10:00	2020/4/8 9:59			2	0		UiYurenjie01			1	5	9000	3																
1025	エイプリルフール指定武器開発券パック	エイプリルフール指定武器開発券パック	5	50	90052								2020/4/1 10:00	2020/4/8 9:59			2	0		UiYurenjie02			1	5	9001	3																
1026	朧の死神-クロム·弧光	クロム·弧光塗装-朧の死神	5	68	6000204								2020/4/29 10:00	2020/5/28 9:59			1	0		UioPifu57			14	7	20119	3																
1029	[限定特效]幽趣佳境-真理パック	ビアンカ·真理的塗装-幽趣佳境パック	5	168	90066								2020/5/1 10:00	2020/5/31 9:59			1	0		UioPifu58			14	7	20118	3																
1030	九龍夜航基本構造体開発券	九龍夜航基本構造体開発券	5	58	90055								2020/4/29 10:00	2020/5/14 9:59			2	0		UioZhong03			1	5	8000	3																
1031	[メーデー限定]栄光の礼	[メーデー限定]栄光の礼	5	98	90056								2020/4/29 10:00	2020/5/14 9:59			2	0		UioZhong04			1	5	8001	3																
1032	[メーデー限定]栄光の鷹	[メーデー限定]栄光の鷹	5	28	90057								2020/4/29 10:00	2020/5/14 9:59			3	0		UioZhong01			1	5	8002	3																
1033	[メーデー限定]攻撃モデル	[メーデー限定]攻撃モデル	5	98	90058								2020/4/29 10:00	2020/5/14 9:59			3	0		UioZhong02			1	5	8003	3																
1034	Aクラス育成選択パック	Aクラス育成選択パック	5	38	90062								2020/5/20 10:00	2020/6/4 9:59			3	0		UioZhong05			1	5	8004	3																
1035	Bランク育成選択パック	Bランク育成選択パック	5	68	90063								2020/5/20 10:00	2020/6/4 9:59			3	0		UioZhong06			1	5	8005	3																
1036	そよ風の放課後塗装パック	そよ風の放課後塗装パック	5	68	90064								2020/5/20 10:00	2020/6/18 9:59			1	0		UioZhong07			14	7	8006	3																
1037	終わりの旅路‐ルシア·深淵ノ紅	ルシア·深淵ノ紅塗装‐終わりの旅路	5	154	6210305								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu44			14	7	30996	3																
1038	灰羽‐ルシア·深淵ノ紅	ルシア·深淵ノ紅塗装‐灰羽	5	154	6210304								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu43			14	7	30995	3																
1039	綺羅星‐ナナミ·波動	ナナミ·波動塗装‐綺羅星	5	154	6510305								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu31			14	7	30994	3																
1040	灰羽‐ナナミ·波動	ナナミ·波動塗装‐灰羽	5	154	6510304								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu32			14	7	30993	3																
1041	鬼装神機‐カレニーナ·灼熱	カレニーナ·灼熱塗装‐鬼装神機	5	126	6710305								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu40			14	7	30992	3																
1042	灰羽‐カレニーナ·灼熱	カレニーナ·灼熱塗装‐灰羽	5	126	6710304								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu41			14	7	30991	3																
1043	終焉の灰燼‐リー·乱数	リー·乱数塗装‐終焉の灰燼	5	154	6110305								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu35			14	7	30990	3																
1044	灰羽‐リー·乱数	リー·乱数塗装‐灰羽	5	98	6110304								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu36			14	7	30989	3																
1045	暗闇の先兵-カムイ·暗力	カムイ·暗力塗装‐暗闇の先兵	5	98	6610305								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu51			14	7	30988	3																
1046	灰羽-カムイ·暗力	カムイ·暗力塗装-灰羽	5	98	6610304								2020/5/20 10:00	2020/6/4 9:59			1	0		UioPifu59			14	7	30987	3																
1047	520開発共鳴パック	520開発共鳴パック	5	228	90065								2020/5/20 10:00	2020/6/4 9:59			1	0		UioZhong08			1	5	7999	3																
1048	61豪華パック	61豪華パック	5	61	90067								2020/5/28 10:00	2020/6/11 9:59			1	0		UioZhong09			1	5	7998	3																
1049	九龍環城イベント開発券パック	九龍環城イベント開発券パック	5	128	90068								2020/6/10 10:00	2020/7/9 9:59			1	0		UICheng01			14	5	7993	3																
1050	夢見草-武器塗装	夢見草-武器塗装	5	28	90069								2020/6/10 10:00	2020/7/9 9:59			1	0		UICheng02			14	7	7994	3																
1051	朱鷺色雲塗装パック	ルシア·鴉羽塗装-朱鷺色雲	5	168	90070								2020/6/10 10:00	2020/7/9 9:59			1	0		UICheng03			14	7	7995	3																
1052	ボードゲーム風家具図面パック	ボードゲーム風家具図面パック	5	20	90071								2020/6/10 10:00	2020/7/20 9:59						UICheng04			14	7	7996	3																
1053	ボードゲーム風家具セットパック	ボードゲーム風家具セットパック	5	68	90072								2020/6/10 10:00	2020/7/20 9:59			1	0		UICheng05			14	7	7997	3																
1054	端午の記憶パック	端午の記憶パック	5	98	90073								2020/6/25 10:00	2020/7/23 9:59			1	0		UICheng06			14	5	7992	3																
1055	深海少女塗装パック	深海少女塗装パック	5	168	90074								2020/6/9 10:00	2020/8/6 9:59			1	0		UICheng07			14	7	7991	3																
1056	真夏の夜の夢パック	真夏の夜の夢パック	5	6	90075								2020/6/9 10:00	2020/7/23 9:59			3	0		UICheng08			14	5	7989	3																
1057	真夏の夜の夢特典パック	真夏の夜の夢特典パック	5	98	90076								2020/6/9 10:00	2020/7/23 9:59			3	0		UICheng09			14	5	7990	3																
1058	リゾート風家具図面パック	リゾート風家具図面パック	5	20	90077								2020/7/23 10:00	2020/8/31 9:59						UIAquatic01			14	7	7987	3																
1059	リゾート風家具セットパック	リゾート風家具セットパック	5	68	90078								2020/7/23 10:00	2020/8/31 9:59			1	0		UIAquatic02			14	7	7986	3																
1060	リゾート風家具モデルセットパック	リゾート風家具モデルセットパック	5	68	90079								2020/7/23 10:00	2020/8/31 9:59			1	0		UIAquatic03			14	7	7985	3																
1061	第六天夜叉-カム·狂犬	カム·狂犬塗装-第六天夜叉	5	68	90081								2020/7/23 10:00	2020/9/3 9:59			1	0		UIAquatic04			14	7	7988	3																
1062	グランブルーイベント開発券パック	グランブルーイベント開発券パック	5	128	90082								2020/7/23 10:00	2020/8/20 9:59			1	0		UIAquatic05			14	5	7984	3																
1063	グランブルー基本開発券パック	グランブルー基本開発券パック	5	58	90083								2020/7/23 10:00	2020/8/20 9:59			2	0		UIAquatic06			14	5	7983	3																
1064	サマー武器開発パック	サマー武器開発パック	5	198	90084								2020/8/6 10:00	2020/8/20 9:59			1	0		UIAquatic07			14	5	7982	3																
1065	サマー基本開発パック	サマー基本開発パック	5	98	90085								2020/8/6 10:00	2020/8/20 9:59			1	0		UIAquatic08			14	5	7981	3																
1066	師団作戦補給パック	師団作戦補給パック	5	68	90086								2020/8/13 10:00	2020/8/27 9:59			3	0		UIAquatic09			14	5	7980	3																
1067	常夏人魚姫塗装パック	常夏人魚姫塗装パック	5	168	90087								2020/8/14 10:00	2020/9/11 9:59			1	0		UIAquatic10			14	7	7979	3																
1068	パープルヴェール塗装パック	パープルヴェール塗装パック	5	168	90088								2020/8/19 10:00	2020/9/16 9:59			1	0		UIAquatic11			14	7	7978	3																
1069	七夕魁星パック	七夕魁星パック	5	98	90089								2020/8/25 10:00	2020/9/1 9:59			3	0		UIAquatic12			14	5	7977	3																
1070	七夕織姫パック	七夕織姫パック	5	128	90090								2020/8/25 10:00	2020/9/1 9:59			1	0		UIAquatic13			14	5	7976	3																
1071	雪山山荘家具図面パック	雪山山荘家具図面パック	5	20	90092								2020/9/4 10:00	2020/10/19 9:59						UIPolarnight1			14	7	7975	3																
1072	雪山山荘家具セットパック	雪山山荘家具セットパック	5	68	90093								2020/9/4 10:00	2020/10/19 9:59			1	0		UIPolarnight2			14	7	7974	3																
1073	雪山山荘家具モデルセットパック	雪山山荘家具モデルセットパック	5	68	90094								2020/9/4 10:00	2020/10/19 9:59			1	0		UIPolarnight3			14	7	7973	3																
1074	灰の騎士‐ロゼッタ·凛烈	ロゼッタ·凛烈塗装‐灰の騎士	5	68	90096								2020/9/4 10:00	2020/10/8 9:59			1	0		UIPolarnight4			14	7	7972	3																
1075	極夜再臨イベント開発券パック	極夜再臨イベント開発券パック	5	128	90097								2020/9/4 10:00	2020/10/8 9:59			1	0		UIPolarnight5			14	5	7971	3																
1076	永夜·深寒パック	永夜·深寒パック	5	98	90098								2020/9/11 10:00	2020/9/25 9:59			1	0		UIPolarnight6			14	5	7970	3																
1077	白夜·消融パック	白夜·消融パック	5	128	90099								2020/9/24 10:00	2020/10/8 9:59			1	0		UIPolarnight7			14	5	7969	3																
1078	虹の思い出パック	虹の思い出パック	5	128	90100								2020/10/8 10:00	2020/10/22 9:59			1	0		UIPolarnight8			14	7	7968	3																
1079	慶事記念パック	慶事記念パック	5	98	90101								2020/10/1 10:00	2020/10/15 9:59			2	0		UIPolarnight9			14	5	7967	3																
1080	過ぎし日の記憶塗装パック	過ぎし日の記憶塗装パック	5	240	90102								2020/9/28 10:00	2020/10/25 9:59			1	0		UIPolarnight10			15	7	7965	3	1#2840	2.9														
1081	潮汐セーラー塗装パック	潮汐セーラー塗装パック	5	240	90103								2020/10/1 10:00	2020/10/29 9:59			1	0		UIPolarnight11			15	7	7966	3	1#7000	7														
1082	極夜再臨特典パック	極夜再臨特典パック	5	98	90076								2020/9/17 10:00	2020/9/24 9:59			3	0		UICheng09			14	5	7964	3																
1083	血清週間カードセット	1日1セット支給×7日間	5	28	90104	90052	7						2020/9/30 10:00	2020/10/8 9:59			1	0		UIPolarnight12			14	5	7963	3																
1084	瑕なき旋律-曲·燕雀	曲·燕雀塗装-瑕なき旋律	5	98	90105								2020/10/23 10:00	2020/11/19 9:59			1	0		UIAncientInscription1			15	7	7962	3	1#7000	7														
1085	雪狼-常羽·遊麟	常羽·遊麟の塗装-雪狼	5	98	90106								2020/11/5 10:00	2020/12/3 9:59			1	0		UIAncientInscription2			15	7	7961	3	1#7000	7														
1086	初級支援計画開発黒箱	いにしえの碑文Ver	5	38	90107								2020/10/23 10:00	2020/11/19 9:59			2	0		UIAncientInscription3			14	5	7957	3																
1087	中級支援計画開発黒箱	いにしえの碑文Ver	5	128	90108								2020/10/23 10:00	2020/11/19 9:59			1	0		UIAncientInscription4			14	5	7958	3																
1088	上級支援計画開発黒箱	いにしえの碑文Ver	5	328	90109								2020/10/23 10:00	2020/11/19 9:59			1	0		UIAncientInscription5			14	5	7959	3																
1089	武器開発共鳴支援パック	いにしえの碑文Ver	5	328	90110								2020/10/23 10:00	2020/11/19 9:59			1	0		UIAncientInscription6			14	5	7960	3																
1090	占星術館家具図面パック	占星術館家具図面パック	5	20	90111								2020/10/23 10:00	2020/11/23 9:59						UIAncientInscription7			14	7	7956	3																
1091	占星術館家具セットパック	占星術館家具セットパック	5	68	90112								2020/10/23 10:00	2020/11/23 9:59			1	0		UIAncientInscription8			14	7	7955	3																
1092	占星術館家具モデルセットパック	占星術館家具モデルセットパック	5	68	90113								2020/10/23 10:00	2020/11/23 9:59			1	0		UIAncientInscription9			14	7	7954	3																
1093	在りし日の残照基本開発パック	在りし日の残照基本開発パック	5	58	90115								2020/11/5 10:00	2020/12/3 9:59			2	0		UIAncientInscription10			14	5	7953	3																
1094	在りし日の残照イベント開発パック	在りし日の残照イベント開発パック	5	168	90116								2020/11/19 10:00	2020/11/26 9:59			1	0		UIAncientInscription11			14	5	7952	3																
1095	ゴーストパレード塗装パック	ゴーストパレード塗装パック	5	168	90117								2020/10/29 10:00	2020/11/19 9:59			1	0		UIAncientInscription12			14	7	7951	3																
1096	ミスキの剣-武器塗装	ミスキの剣-武器塗装	5	28	90118								2020/10/29 10:00	2020/11/19 9:59			1	0		UIAncientInscription13			14	7	7950	3																
1097	在りし日の残照武器開発パック	在りし日の残照武器開発パック	5	98	90119								2020/11/12 10:00	2020/11/26 9:59			1	0		UIAncientInscription14			14	5	7948	3																
1098	在りし日の残照イベント支援パック	在りし日の残照イベント支援パック	5	328	90120								2020/11/19 10:00	2020/11/26 9:59			1	0		UIAncientInscription15			14	5	7949	3																
1099	初級支援計画開発黒箱	終焉の福音Ver	5	38	90107								2020/11/27 10:00	2020/12/24 9:59			2	0		UIAncientInscription3			14	5	7957	3																
1100	中級支援計画開発黒箱	終焉の福音Ver	5	128	90108								2020/11/27 10:00	2020/12/24 9:59			1	0		UIAncientInscription4			14	5	7958	3																
1101	上級支援計画開発黒箱	終焉の福音Ver	5	328	90109								2020/11/27 10:00	2020/12/24 9:59			1	0		UIAncientInscription5			14	5	7959	3																
1102	武器開発共鳴支援パック	終焉の福音Ver	5	328	90110								2020/11/27 10:00	2020/12/24 9:59			1	0		UIAncientInscription6			14	5	7960	3																
1103	お菓子工房家具図面パック	お菓子工房家具図面パック	5	20	90121								2020/11/27 10:00	2021/1/4 9:59						UIFakeAscension1			14	7	7956	3																
1104	お菓子工房家具セットパック	お菓子工房家具セットパック	5	68	90122								2020/11/27 10:00	2021/1/4 9:59			1	0		UIFakeAscension2			14	7	7955	3																
1105	お菓子工房家具モデルセットパック	お菓子工房家具モデルセットパック	5	68	90123								2020/11/27 10:00	2021/1/4 9:59			1	0		UIFakeAscension3			14	7	7954	3																
1106	荊冠の天使塗装パック	荊冠の天使塗装パック	5	168	90125								2020/11/27 10:00	2020/12/24 9:59			1	0		UIFakeAscension4			14	7	7953	3																
1107	茨の詠嘆-武器塗装	茨の詠嘆-武器塗装	5	28	90126								2020/11/27 10:00	2020/12/24 9:59			1	0		UIFakeAscension5			14	7	7952	3																
1108	天賜恩寵塗装パック	天賜恩寵塗装パック	5	168	90127								2008/12/1 5:00	2009/12/1 5:00			1	0		UIFakeAscension6			14	7	7951	3																
1109	サクリファイス-武器塗装	サクリファイス-武器塗装	5	28	90128								2008/12/1 5:00	2009/12/1 5:00			1	0		UIFakeAscension7			14	7	7950	3																
1110	終焉の福音特典開発パック	終焉の福音特典開発パック	5	168	90129								2020/12/5 10:00	2021/1/2 9:59			2	0		UIFakeAscension8			14	5	7949	3																
