Id	StageId	Level	RecommendAblity	Name	Desc	ScoreRatio	FightEventId[1]	FightEventId[2]	LockBuffId[1]	LockBuffId[2]	LockBuffId[3]	LockBuffId[4]	LockBuffId[5]	LockBuffId[6]	LockBuffId[7]	LockBuffId[8]	LockBuffId[9]	LockBuffId[10]	LockBuffId[11]	LockBuffId[12]	LockBuffId[13]	LockBuffId[14]	LockBuffId[15]	LockBuffId[16]	LockBuffId[17]	LockBuffId[18]	LockBuffId[19]	LockBuffId[20]	LockBuffId[21]	LockBuffId[22]	LockBuffId[23]	LockBuffId[24]	LockBuffId[25]	UnlockCondLevel	ScoreTitleUnlockDesc
24	30150239	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		32113	33231	32131	33341	11041	11042	11043	11044	11045																	0	
25	30150239	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
26	30150240	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		32031	32032	32033	33231	32121	11002	11003	33361	11041	11042	11043	11044	11045													0	
27	30150240	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.3	1.3	14002		32031	32032	32033	33231	32121	11003	33361	11041	11042	11043	11044	11045														0	
28	30150240	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		32032	32033	33361	11041	11042	11043	11044	11045																		0	
29	30150240	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		32033	11041	11042	11043	11044	11045																				0	
30	30150240	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
31	30150241	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		11041	11042	11043	11044	11045	33491	32022	32023	32032	32033	11001	11002	11003													0	
32	30150241	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.3	1.3	14002		11041	11042	11043	11044	11045	33491	32022	32023																		0	
33	30150241	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		11041	11042	11043	11044	11045	33491	32023																			0	
34	30150241	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		11041	11042	11043	11044	11045	33491																				0	
35	30150241	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
36	30150242	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		11041	11042	11043	11044	11045	33441	33401	32131	11001	11002	11003	32032	32033	32001	11011	11012	11013									0	
37	30150242	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.3	1.3	14002		11041	11042	11043	11044	11045	33441	33401																			0	
38	30150242	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		11041	11042	11043	11044	11045	33441																				0	
39	30150242	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		11041	11042	11043	11044	11045	33441																				0	
40	30150242	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
41	30150243	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		11041	11042	11043	11044	11045	33461	11001	11002	11003	32032	32033	32001														0	
42	30150243	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.3	1.3	14002		11041	11042	11043	11044	11045	33461																				0	
43	30150243	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		11041	11042	11043	11044	11045	33461																				0	
44	30150243	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		11041	11042	11043	11044	11045	33461																				0	
45	30150243	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
46	30150244	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		11041	11042	11043	11044	11045	33671	32112	32113	11002	11003	32032	32033	32041	33001	32001											0	
47	30150244	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.3	1.3	14002		11041	11042	11043	11044	11045	33671																				0	
48	30150244	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		11041	11042	11043	11044	11045	33671																				0	
49	30150244	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		11041	11042	11043	11044	11045																					0	
50	30150244	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
51	30150245	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		11041	11042	11043	11044	11045	33611	33621	12132	12133	32032	32033	11002	11003	33231	31071											0	
52	30150245	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.3	1.3	14002		11041	11042	11043	11044	11045	33611	33621																			0	
53	30150245	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		11041	11042	11043	11044	11045	33611	33621																			0	
54	30150245	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		11041	11042	11043	11044	11045																					0	
55	30150245	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
56	30150246	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		11041	11042	11043	11044	11045	33541	33551	11002	11003	32032	32033	32112	32113	32151	32041											0	
57	30150246	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.3	1.3	14002		11041	11042	11043	11044	11045	33541	33551																			0	
58	30150246	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		11041	11042	11043	11044	11045	33541	33551																			0	
59	30150246	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		11041	11042	11043	11044	11045																					0	
60	30150246	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
61	30150247	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		11041	11042	11043	11044	11045																					0	
62	30150247	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.2	1.2	14002		11041	11042	11043	11044	11045																					0	
63	30150247	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		11041	11042	11043	11044	11045																					0	
64	30150247	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		11041	11042	11043	11044	11045																					0	
65	30150247	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
66	30150248	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		11041	11042	11043	11044	11045	33681	33691																			0	
67	30150248	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.2	1.2	14002		11041	11042	11043	11044	11045	33681	33691																			0	
68	30150248	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		11041	11042	11043	11044	11045	33681	33691																			0	
69	30150248	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		11041	11042	11043	11044	11045	33681	33691																			0	
70	30150248	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											0	
71	30150249	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1	1	14001		11041	11042	11043	11044	11045																					0	
72	30150249	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.2	1.2	14002		11041	11042	11043	11044	11045																					0	
73	30150249	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.5	1.5	14003		11041	11042	11043	11044	11045																					10	
74	30150249	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *1.8	1.8	14004		11041	11042	11043	11044	11045																					30	
75	30150249	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2	2	14005																											50	
76	30150260	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1.3	1.3	14001																											0	
77	30150260	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.6	1.6	14002																											0	
78	30150260	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.9	1.9	14003																											0	
79	30150260	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *2.2	2.2	14004																											0	
80	30150260	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2.5	2.5	14005																											0	
81	30150261	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1.3	1.3	14001																											0	
82	30150261	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.6	1.6	14002																											0	
83	30150261	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.9	1.9	14003																											0	
84	30150261	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *2.2	2.2	14004																											0	
85	30150261	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2.5	2.5	14005																											0	
86	30150262	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1.3	1.3	14001																											0	
87	30150262	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.6	1.6	14002																											0	
88	30150262	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.9	1.9	14003																											0	
89	30150262	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *2.2	2.2	14004																											0	
90	30150262	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2.5	2.5	14005																											0	
91	30150263	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1.3	1.3	14001																											0	
92	30150263	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.6	1.6	14002																											0	
93	30150263	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.9	1.9	14003																											0	
94	30150263	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *2.2	2.2	14004																											0	
95	30150263	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2.5	2.5	14005																											0	
96	30150264	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. *1.3	1.3	14001																											0	
97	30150264	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. *1.6	1.6	14002																											0	
98	30150264	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. *1.9	1.9	14003																											0	
99	30150264	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. *2.2	2.2	14004																											0	
100	30150264	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. *2.5	2.5	14005																											0	
101	30150265	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. x1.3	1.3	14001		11041	11042	11043	11044	11045	33901	33871	33881																			
102	30150265	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. x1.6	1.6	14002		11041	11042	11043	11044	11045	33901	33871	33881																			
103	30150265	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. x1.9	1.9	14003		11041	11042	11043	11044	11045	33901	33871	33881																			
104	30150265	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. x2.2	2.2	14004		11041	11042	11043	11044	11045	33871	33881																			18	
105	30150265	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. x2.5	2.5	14005																											30	
106	30150266	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. x1.3	1.3	14001		11041	11042	11043	11044	11045	33961	33981	33991																			
107	30150266	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. x1.6	1.6	14002		11041	11042	11043	11044	11045	33961	33981	33991																			
108	30150266	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. x1.9	1.9	14003		11041	11042	11043	11044	11045	33961	33981	33991																			
109	30150266	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. x2.2	2.2	14004		11041	11042	11043	11044	11045	33961	33991																			25	
110	30150266	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. x2.5	2.5	14005																											40	
111	30150267	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. x1.3	1.3	14001		11041	11042	11043	11044	11045	34071	34081	34101	12151																		
112	30150267	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. x1.6	1.6	14002		11041	11042	11043	11044	11045	34071	34081	34101	12151																		
113	30150267	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. x1.9	1.9	14003		11041	11042	11043	11044	11045	34071	34081	34101	12151																		
114	30150267	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. x2.2	2.2	14004		11041	11042	11043	11044	11045	34071	34081	12151																		10	
115	30150267	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. x2.5	2.5	14005																											20	
116	30150268	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. x1.3	1.3	14001																												
117	30150268	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. x1.6	1.6	14002																												
118	30150268	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. x1.9	1.9	14003																												
119	30150268	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. x2.2	2.2	14004																												
120	30150268	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. x2.5	2.5	14005																												
121	30150269	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. x1.3	1.3	14001																												
122	30150269	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. x1.6	1.6	14002																												
123	30150269	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. x1.9	1.9	14003																												
124	30150269	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. x2.2	2.2	14004																												
125	30150269	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. x2.5	2.5	14005																												
126	30150270	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. x1.3	1.3	14001																												
127	30150270	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. x1.6	1.6	14002																												
128	30150270	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. x1.9	1.9	14003																												
129	30150270	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. x2.2	2.2	14004																												
130	30150270	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. x2.5	2.5	14005																												
131	30150271	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. x1.3	1.3	14001																												
132	30150271	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. x1.6	1.6	14002																												
133	30150271	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. x1.9	1.9	14003																												
134	30150271	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. x2.2	2.2	14004																												
135	30150271	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. x2.5	2.5	14005																												
136	30150272	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Lv. x1.3	1.3	14001																												
137	30150272	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Lv. x1.6	1.6	14002																												
138	30150272	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Lv. x1.9	1.9	14003																												
139	30150272	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Lv. x2.2	2.2	14004																												
140	30150272	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Lv. x2.5	2.5	14005																												
141	30150273	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Level ×1.3	1.3	14001																												
142	30150273	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Level ×1.6	1.6	14002																												
143	30150273	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Level ×1.9	1.9	14003																												
144	30150273	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Level ×2.2	2.2	14004																												
145	30150273	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Level ×2.5	2.5	14005																												
146	30150274	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Level ×1.3	1.3	14001																												
147	30150274	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Level ×1.6	1.6	14002																												
148	30150274	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Level ×1.9	1.9	14003																												
149	30150274	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Level ×2.2	2.2	14004																												
150	30150274	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Level ×2.5	2.5	14005																												
151	30150275	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Level ×1.3	1.3	14001																												
152	30150275	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Level ×1.6	1.6	14002																												
153	30150275	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Level ×1.9	1.9	14003																												
154	30150275	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Level ×2.2	2.2	14004																												
155	30150275	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Level ×2.5	2.5	14005																												
156	30150276	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Level ×1.3	1.3	14001																												
157	30150276	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Level ×1.6	1.6	14002																												
158	30150276	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Level ×1.9	1.9	14003																												
159	30150276	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Level ×2.2	2.2	14004																												
160	30150276	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Level ×2.5	2.5	14005																												
161	30150277	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Level ×1.3	1.3	14001		11041	11042	11043	11044	11045	34191	34201	34211																			
162	30150277	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Level ×1.6	1.6	14002		11041	11042	11043	11044	11045	34191	34201	34211																			
163	30150277	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Level ×1.9	1.9	14003		11041	11042	11043	11044	11045	34191	34201	34211																			
164	30150277	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Level ×2.2	2.2	14004		11041	11042	11043	11044	11045	34201	34211																			14	
165	30150277	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Level ×2.5	2.5	14005																											20	
166	30150278	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Level ×1.3	1.3	14001		11041	11042	11043	11044	11045	34231	34241	34251																			
167	30150278	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Level ×1.6	1.6	14002		11041	11042	11043	11044	11045	34231	34241	34251																			
168	30150278	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Level ×1.9	1.9	14003		11041	11042	11043	11044	11045	34231	34241	34251																			
169	30150278	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Level ×2.2	2.2	14004		11041	11042	11043	11044	11045	34241	34251																			14	
170	30150278	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Level ×2.5	2.5	14005																											20	
171	30150279	1	4500	<color=#FFFFFFFF>Stable</color>	Final Strategic Level ×1.3	1.3	14001		11041	11042	11043	11044	11045	34271	34281	34291																			
172	30150279	2	5300	<color=#c4ff67FF>Overload</color>	Final Strategic Level ×1.6	1.6	14002		11041	11042	11043	11044	11045	34271	34281	34291																			
173	30150279	3	6000	<color=#67fdffFF>Haywire</color>	Final Strategic Level ×1.9	1.9	14003		11041	11042	11043	11044	11045	34271	34281	34291																			
174	30150279	4	6500	<color=#fffc00FF>Berserk</color>	Final Strategic Level ×2.2	2.2	14004		11041	11042	11043	11044	11045	34281	34291																			14	
175	30150279	5	7000	<color=#ff003cFF>Overclock</color>	Final Strategic Level ×2.5	2.5	14005																											19	
