Id	ChapterId	StageId	StageDes	PreStageType	PreStageIds[1]	PreStageIds[2]	PreStageIds[3]	OrderId	TierId	StageType	Difficulty	PassDrawTimesReward	DrawTimesReward	BossStageCover	RecommentStar	WarningStarCap	DangerStarCap	StageWords[1]	StageWords[2]	StageWords[3]	StageWords[4]	StagePrefab
23	2	30210371	Alert Zone	1	30210354					2			5		22	18	20					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
24	2	30210372	Alert Zone	1	30210362					2			5		22	18	20					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
25	2	30210364	Buffer Zone	1	30210363					2			5		22	18	20					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
26	2	30210373	Alert Zone	1	30210371					2			5		22	18	20					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
27	2	30210381	Critical Point	1	30210372					2			7	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageBoss08.png	27	20	24					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage05.prefab
28	2	30210374	Alert Zone	1	30210364					2			5		24	20	22					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
29	2	30210355	Rest Point	1	30210373					2			5		1	1	1					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
30	2	30210375	Alert Zone	2	30210381	30210374				2			5		27	20	24					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
31	2	30210376	Alert Zone	2	30210374	30210355				2			5		27	20	24					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
32	2	30210377	Alert Zone	1	30210376					2			5		27	20	24					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage04.prefab
33	2	30210383	Unknown Zone	1	30210355					2			5	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageBoss06.png	27	20	24					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage05.prefab
34	2	30210382	Critical Point	1	30210375					2			7	Assets/Product/Texture/Image/UiExpedition/UiExpeditionStageBoss05.png	27	20	24					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage05.prefab
35	2	30210386	Training Field	2	30210382	30210377	30210383			3					27	20	24					Assets/Product/Ui/ComponentPrefab/FubenExpedition/FubenExpeditionStage06.prefab
