Id	TimeId	Type	StageId	NpcId[1]	NpcLevel[1]	StageName[1]	StageBuffId[1]	NpcId[2]	NpcLevel[2]	StageName[2]	StageBuffId[2]	NpcId[3]	NpcLevel[3]	StageName[3]	StageBuffId[3]	PeriodBuffId[1]	PeriodBuffId[2]	PeriodBuffId[3]	DefaultAtkLevel	DefaultHpLevel	SortId	GroupId	StageRatioCe[1]	StageRatioCe[2]	StageRatioCe[3]	StageBasicCe[1]	StageBasicCe[2]	StageBasicCe[3]
2001	201	2	30161351	92250	170	EASY	750976	91250	205	NORMAL	750977	90250	250	HARD	750978				2	2	2	8	100	130	150	10	11	12
2002	201	2	30161352	92260	220	EASY	750976	91260	345	NORMAL	750977	90260	420	HARD	750978				2	2	2	8	100	130	150	10	11	12
2003	201	2	30161353	92330	240	EASY	750976	91330	285	NORMAL	750977	90330	345	HARD	750978				2	2	2	8	100	130	150	10	11	12
2004	201	2	30161354	92350	830	EASY	750976	91350	1070	NORMAL	750977	90350	1580	HARD	750978				2	2	2	8	100	130	150	10	11	12
2005	201	2	30161355	92360	290	EASY	750976	91360	345	NORMAL	750977	90360	415	HARD	750978				2	2	2	8	100	130	150	10	11	12
2006	201	2	30161356	92370	220	EASY	750976	91370	345	NORMAL	750977	90370	415	HARD	750978				2	2	2	8	100	130	150	10	11	12
2007	201	2	30161357	92220	160	EASY	750976	91220	190	NORMAL	750977	90222	230	HARD	750978				2	2	2	8	100	130	150	10	11	12
2008	201	2	30161358	92390	150	EASY	750976	91390	195	NORMAL	750977	90390	235	HARD	750978				2	2	2	8	100	130	150	10	11	12
2009	201	2	30161359	92400	200	EASY	750976	91400	240	NORMAL	750977	90400	290	HARD	750978				2	2	2	8	100	130	150	10	11	12
2010	201	2	30161360	92410	144	EASY	750976	91410	220	NORMAL	750977	90410	295	HARD	750978				2	2	2	8	100	130	150	10	11	12
2011	201	2	30161361	92440	220	EASY	750976	91440	340	NORMAL	750977	90440	405	HARD	750978				2	2	2	8	100	130	150	10	11	12
2012	201	2	30161362	92340	240	EASY	750976	91340	275	NORMAL	750977	90340	330	HARD	750978				2	2	2	8	100	130	150	10	11	12
2013	201	2	30161363	92380	250	EASY	750976	91382	385	NORMAL	750977	90380	465	HARD	750978				2	2	2	8	100	130	150	10	11	12
2014	201	2	30161364	92420	165	EASY	750976	91420	250	NORMAL	750977	90420	305	HARD	750978				2	2	2	8	100	130	150	10	11	12
2015	201	2	30161365	92450	240	EASY	750976	91450	280	NORMAL	750977	90450	335	HARD	750978				2	2	2	8	100	130	150	10	11	12
2016	201	2	30161366	92630	395	EASY	750976	91630	455	NORMAL	750977	90630	550	HARD	750978				2	2	2	8	100	130	150	10	11	12
2018	201	2	30161367	92680	235	EASY	750976	91680	270	NORMAL	750977	90680	600	HARD	750978				2	2	2	6	100	130	150	10	11	12
2019	201	2	30161368	90700	380	EASY	750976	90700	485	NORMAL	750977	90700	580	HARD	750978				2	2	2	6	100	130	150	10	11	12
2020	201	2	30161369	92740	430	EASY	750976	91740	440	NORMAL	750977	90740	595	HARD	750978				2	2	2	8	100	130	150	10	11	12
2021	201	2	30161370	92780	630	EASY	750976	91780	650	NORMAL	750977	90780	880	HARD	750978				2	2	2	8	100	130	150	10	11	12
2022	201	2	30161371	92790	440	EASY	750976	91790	455	NORMAL	750977	90790	615	HARD	750978				2	2	2	8	100	130	150	10	11	12
2023	201	2	30161372	92800	385	EASY	750976	91800	395	NORMAL	750977	90800	585	HARD	750978				2	2	2	8	100	130	150	10	11	12
2024	201	2	30161373	92870	272	EASY	750976	91870	346	NORMAL	750977	90870	415	HARD	750978				2	2	2	8	100	130	150	10	11	12
2025	201	2	30161374	92910	310	EASY	750976	91910	394	NORMAL	750977	90910	474	HARD	750978				2	2	2	8	100	130	150	10	11	12
2026	201	2	30161375	92950	220	EASY	750976	91950	280	NORMAL	750977	90950	336	HARD	750978				2	2	2	8	100	130	150	10	11	12
2027	201	2	30161376	92980	311	EASY	750976	91980	395	NORMAL	750977	90980	475	HARD	750978				2	2	2	8	100	130	150	10	11	12
2028	201	2	30161377	92990	318	EASY	750976	91990	404	NORMAL	750977	90990	486	HARD	750978				2	2	2	8	100	130	150	10	11	12
2029	201	2	30161378	93072	288	EASY	750976	93071	366	NORMAL	750977	93070	440	HARD	750978				2	2	2	8	100	130	150	10	11	12
2033	201	2	30161379	93122	308	EASY	750976	93121	391	NORMAL	750977	93120	470	HARD	750978				2	2	2	6	100	130	150	10	11	12
2031	201	2	30161380	93142	308	EASY	750976	93141	391	NORMAL	750977	93140	470	HARD	750978				2	2	2	6	100	130	150	10	11	12
2032	201	2	30161381	93132	308	EASY	750976	93131	391	NORMAL	750977	93130	470	HARD	750978				2	2	2	6	100	130	150	10	11	12
