Id	TimeId	PlayerCondition[1]	Duration	TaskId[1]	TaskId[2]	TaskId[3]	TaskId[4]	TaskId[5]	TaskId[6]	TaskId[7]	TaskId[8]	TaskId[9]	TaskId[10]	TaskId[11]	TaskId[12]	TaskId[13]	TaskId[14]	TaskId[15]	TaskId[16]	TaskId[17]	TaskId[18]	TaskId[19]	TaskId[20]	TaskId[21]	TaskId[22]	TaskId[23]	TaskId[24]	TaskId[25]	TaskId[26]	TaskId[27]	TaskId[28]	TaskId[29]	TaskId[30]	TaskId[31]	TaskId[32]	TaskId[33]	TaskId[34]	TaskId[35]	TaskId[36]	TaskId[37]	TaskId[38]	TaskId[39]	TaskId[40]	TaskId[41]	TaskId[42]	TaskId[43]	TaskId[44]	TaskId[45]	TaskId[46]	TaskId[47]	TaskId[48]	TaskId[49]	TaskId[50]	TaskId[51]	TaskId[52]	TaskId[53]	TaskId[54]	TaskId[55]	TaskId[56]	TaskId[57]	TaskId[58]	TaskId[59]	TaskId[60]	TaskId[61]	TaskId[62]	TaskId[63]	DayTaskId[1]	DayTaskId[2]	DayTaskId[3]	DayTaskId[4]	DayTaskId[5]	DayTaskId[6]	DayTaskId[7]	WeekTaskId[1]
13				11701	11702	11703	11704	11705	11706	11707	11708	11709	11710	11711	11712	11713	11714	11715	11716	11717	11718	11719	11720																																																			
14																																																																			37000	37001	37002	37003	37004	37005		
15																																																																			33000	33001	33002	33003				
16				11721	11722	11723	11724	11725	11726	11727	11728	11729	11730	11731	11732	11733																																																										
17																																																																			37006	37007						
18				38000	38001	38002	38003	38004	38005	38006	38007	38008	38009																																																													
19				11821	11822	11823	11824	11825	11826	11827	11828	11829	11830	11831	11832	11833	11834	11835	11836	11837																																																						
20				38101	38102	38103	38104	38105	38106	38107	38108																																																															
21				11901	11902	11903	11904	11905	11906	11907																																																																
22																																																																			11921	11922	11923	11924				
23				12021	12022	12023	12024	12025	12026	12027	12028	12029	12030	12031	12032	12033	12034																																																									
24																																																																			12041	12042	12043					
25																																																																			12041	12042	12043					
26																																																																			12041	12042	12043					
27																																																																			12041	12042	12043					
28																																																																			12041	12042	12043					
29	99	845001	604800	11640																																																																						
30				39301	39302	39303	39304	39305	39306	39307																																																																
31		845020		40503	40504	40505	40506	40507	40508	40509	40510	40511	40512																																																													
32																																																																			11941	11942	11943					
33																																																																			11951	11952	11953					
34				12051	12052	12053	12054																																																																			
35				12055																																																																						
36				12056																																																																						
37				12057																																																																						
38				12060	12061	12062	12065	12063	12064	99900																																																																
39				11939																																																																						
40																																																																			11961	11962	11963					
41				12066	12067	12068	12069	12070	12082																																																																	
42				13531	13532	13533	13534	13535	13536	13537	13538	13539																																																														
43				12071	12072	12073	12074	12075	12076	12077	12078	12079																																																														
44																																																																			11964	11965	11966					
45				12080																																																																						
46				12081																																																																						
47																																																																			12083	12084						
48				12085	12086	12087	12088	12089																																																																		
49				13531	13532	13533	13534	13535	13536	13537	13538	13539	13540	13541	13542	13543	13544	13545	13546																																																							
50				39308	39309																																																																					
51				12107																																																																						
52				12094	12095	12096	12097	12098	12099	12100	12101	12102	12103	12104	12105	12106																																																										
53																																																																			11972	11973	11974					
54				12115	12116	12117	12118																																																																			
55				12108	12109	12110	12111	12112																																																																		
56				12114																																																																						
57				12113																																																																						
58																																																																			12123	12124	12125					
59																																																																			12126	12127	12128					
60				12121	12122																																																														12119	12120						
61				12132	12133	12134	12135	12136	12137	12138	12139	12140	12141	12142	12143	12144	12145																																																									
62																																																																			12129	12130	12131					
63				74001	74002	74003	74004	74005	74006	74007	74008	74009	74010	74011	74012	74013																																																										
64				12146																																																																						
65				12147																																																																						
66				12217	12218	12219	12220	12221	12222	12223	12224																																																															
67				12159	12160	12161	12162																																																																			
68				12163																																																																						
69				12165																																																																						
70				12164																																																																						
71				12146																																																																						
72																																																																			12148	12149	12150					
73																																																																			76000	76001	76002	76003	76004	76005		
74				76006	76007	76008	76009	76010	76011	76012	76013	76014	76015	76016	76017	76018	76019	76020	76021	76022	76023	76024	76025	76026	76027	76028	76029	76030	76031	76032	76033	76034	76035	76036	76037	76038	76039	76040	76041	76042	76043	76044	76045	76046	76047																													
75				12172	12173	12174	12175	12176	12177	12178	12179	12180																																																														
76																																																																			12166	12167	12168					
77																																																																			12123	12124	12125					
78				74101	74102	74103	74104	74105	74106	74107	74108	74109	74110	74111	74112	74113	74114	74115	74116																																																							
79				12197																																																																						
80				12198	12199	12200																																																																				
81				12201	12202	12203																																																																				
82																																																																			12214	12215	12216					
83																																																																			18101	18102	18103	18104				
84				18105	18106	18107	18108	18109	18110																																																																	
85				19101	19102	19103	19104	19105	19106	19107	19108																																																															
86																																																																			19201	19202	19203	19204	19205			
87				19301	19302	19303	19304	19305	19306	19307	19308	19309	19310	19311	19312																																																											
88				12225	12226	12227	12228																																																																			
89				12229																																																																						
90																																																																			12230	12231	12232					
91				12233	12234	12235	12236	12237	12238																																																																	
92				12239																																																																						
93				12240	12241	12242																																																																				
94	2160160			12245																																																																						
95																																																																			76048	76049	76050	76051	76052	76053	76054	
96				76055	76056	76057	76058	76059	76060	76061	76062	76063	76064	76065	76066	76067	76068	76069	76070	76071	76072	76073	76074	76075	76076	76077	76078	76079	76080	76081	76082	76083	76084	76085	76086	76087	76088	76089	76090	76091	76092	76093	76094	76095	76096																													
97	2160206			12254	12255																																																														12248	12249	12250					
98																																																																			12251	12252	12253					
99	6006																																																																		18121	18122	18123	18124				
100	6006			18125	18126	18127	18128	18129																																																																		
101				12261	12262	12263	12264	12265	12266																																																																	
102				12267																																																																						
103				12268	12269	12270																																																																				
104																																																																			12271	12272	12273					
105																																																																			18131	18132	18133					
106				18134	18135	18136	18137	18138																																																																		
107				23101	23102	23103	23104	23105	23106	23107	23108	23109	23110	23111	23112	23113	23114	23115	23116	23117	23118																																																					
108																																																																			12274							
109				12275	12276	12277	12278	12279																																																																		
110				12281																																																																						
111				12282																																																																						
112				12283	12284	12285	12286																																																																			
113				74201	74202	74203	74204	74205	74206	74207	74208	74209	74210	74211	74212	74213	74214	74215	74216																																																							
114				23119	23120	23121	23122	23123	23124	23125	23126	23127	23128	23129	23130	23131	23132	23133	23134	23135	23136																																																					
115				23002	23201	23202	23203	23204	23205	23206	23207	23208	23301	23302	23303																																																											
116				23001																																																																						
117				12287																																																																						
118																																																																			12288	12289	12290					
119				20101	20102	20103	20104	20105	20106	20107	20108	20109	20110	20111	20112	20113	20114	20115	20116	20117	20118	20119	20120	20121	20122	20123	20124	20125	20126																																													
120				86101	86102	86103	86104	86105	86106	86107	86108	86109																																																														
121				86110	86111	86112	86113	86114	86115																																																																	
122				86116	86117	86118	86119	86120	86121	86122	86123	86124	86125	86126	86127																																																											
123				86128	86129	86130																																																																				
124				120001	120002	120003	120004	120005	120006																																																																	
125				120007	120008	120009	120010																																																																			
126				120011																																																																						
127																																																																			12291	12292	12293					
128				15501	15502	15503																																																																				
129				15511	15512	15513																																																																				
130				15521	15522	15523																																																																				
131				15531	15532	15533																																																																				
132				12294	12295	12296																																																																				
133																																																																			18141	18142	18143					
134				18144	18145	18146	18147	18148																																																																		
3000				2120014	2120015	2120016	2120017	2120018	2120019																																																																	
135				86131	86132	86133	86134	86135	86136																																																																	
136				120012	120013	120018	120019	120020	120021																																																																	
137				120014	120015	120016	120017																																																																			
138				120022																																																																						
139				87010	87011	87012	87013	87014	87015	87016	87017	87018	87019	87020	87021	87022	87023	87024	87025																																																							
140																																																																			12297	12298	12299					
141				86137																																																																						
142				120023	120024	120028	120029	120030	120031	120032																																																																
143				120025	120026	120027																																																																				
144				120033																																																																						
145				120034																																																																						
146	11101																																																																		12400	12401	12402					
147	11102																																																																		18150	18151	18152					
148	11102			18153	18154	18155	18156	18157	18158	18159	18160	18161	18162																																																													
3001	2160186			3000231	3000232	3000233	3000234	3000235	3000236	3000237	3000238	3000239	3000240																																																						3000241							
149	11912			91001	91002	91003	91004	91005																																																																		
150	11401			120035	120036	120044	120045	120046	120047	120049																																																																
151	11906			120037	120038	120039																																																																				
152	11908			120040																																																																						
153	11905			120041																																																																						
154	11904			120042																																																																						
155	11903			120043																																																																						
156	11401			120050																																																																						
157	12001																																																																		12408	12409	12410					
158	12101																																																																		76097	76098	76099	76100	76101	76102		
159	12101			76103	76104	76105	76106	76107	76108	76109	76110	76111	76112	76113	76114	76115	76116	76117	76118	76119	76120	76121	76122	76123	76124	76125	76126	76127	76128	76129	76130	76131	76132	76133	76134	76135	76136	76137	76138	76139	76140	76141	76142	76143	76144																													
160	11913			91006	91007	91008																																																																				
161	12002			120051	120052	120057	120058	120059																																																																		
162	12505			120053	120054	120055																																																																				
163	12502			120056																																																																						
164	13201																																																																		18163	18164	18165					
165	13201			18166	18167	18168	18169	18170	18171	18172	18173	18174	18175																																																													
166	13103			1001110																																																																						
167	13104			1002110																																																																						
168	13001																																																																		12411	12412	12413					
169	11914			91009	91010	91011																																																																				
170	14001																																																																		12414	12415	12416					
171	13301																																																																		94001	94002	94003					
172	13301			94004	94005	94006	94007	94008	94009																																																																	
173	14002			18166	18167	18168	18169	18170	18171																																																																	
174	14002			94004	94005	94006	94007	94008	94009																																																																	
175	13105			120060	120061	120068	120069	120070	120071	120072																																																																
176	13805			120062	120063	120064																																																																				
177	13802			120065																																																																						
178	13803			120066																																																																						
179	13806			120067																																																																						
180	14002			94101	94102	94103	94104	94105	94106	94107	94108	94109	94110																																																													
181	14601			96001	96002	96003	96004	96005	96006	96007	96008	96009	96010	96011	96012	96013	96014	96015	96016	96017	96018	96019	96020	96021																																																		
182	11916			91012	91013	91014																																																																				
183	14902			120085																																																																						
184	14701			120073	120074	120082	120083	120084																																																																		
185	14301			120075	120076	120077																																																																				
186	14701			120078																																																																						
187	14303			120079																																																																						
188	14304			120080																																																																						
189	14302			120081																																																																						
500				2120002	2120003	2120004	2120005	2120006	2120007	2120008	2120009	2120010	2120011	2120012	2120013																																																											
501	100003			2120014	2120015	2120016	2120017	2120018	2120019																																																																	
1003	10030			2120021	2120022	2120023	2120024	2120025	2120026	2120027	2120028	2120029	2120030																																																						2120020							
10001	1400005																																																																		3000001	3000002	3000003	3000004	3000005			
10002	1400005			3000006	3000007																																																																					
10003	1400006																																																																		3000010	3000011						
10004	1400006			3000012	3000013	3000014	3000015	3000016	3000017	3000018	3000019	3000020	3000021	3000022	3000023																																																											
10005	1400012			2120031	2120032	2120033	2120034	2120035																																																																		
10006	1400013			2120040	2120041	2120042																																																													2120043	2120044	2120045	2120046	2120047
1001																																																																										
1002				3000006	3000007																																																																					
3000100				3000103	3000104																																																																					
3000110				3000110	3000111	3000112	3000113	3000114																																																																		
3000120																																																																										
3000130				3000126	3000127	3000128	3000129	3000130																																																																		
3000150				3000150	3000151	3000152	3000153	3000154	3000155																																																																	
3000160	2160000			3000161	3000162	3000163																																																																				
3000170	2160001																																																																									
3000171	2160001			3000173	3000174	3000175																																																																				
3000180	2160113																																																																		3000190	3000191	3000192	3000193	3000194	3000195		
3000181	2160113			3000196	3000197	3000198	3000199	3000200																																																																		
3000190	2160132			3000210	3000211	3000212																																																													3000213	3000214	3000215	3000216	3000217
