Id	Name	Desc	Condition	StageId	StoryId	TRPGRewardId	PrefabName	Icon	DialogIcon
33007	Question	Can you really put that blade of yours in Luna's heart?	601000	10130163			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa03a.png
39003	Fury of the Agent	If these weaklings are your "final plan," I must say I'm quite disappointed.	601000	10130164			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa04.png
31008	Master of Ceremony	Miss Luna, this is my answer to your question—	601000		ZX01634BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31009	Cross the Bridge	Whether in sight or out of sight, the Support Sorce are always working.	601000		ZX01635BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31010	Huaxu's Projection	What does the appearance of Huaxu's projection here really mean?	601000		ZX01636BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31011	Visitor	Be careful of that Lucia.	601000		ZX91637BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31012	Crimson Resolve	Lucia... Quickly! Commandant's going to...	601000		ZX01638BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39004	Divergence Point	I will accept your everything—your pain, your choices.	601000		ZX01639BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39005	Sealed Past	Don't worry, you'll be the next.	601000		ZX01640BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31013	Shards of Remorse	Before falling into complete silence, Lucia clutches the nameplate in her hand...	601000		ZX01641BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39006	Chaotic Memories	The shards of each other's memories cross the boundary between them, like fragments of glass pouring down after it breaks, scattering in front of their eyes.	601000		ZX01642BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39007	Lost Heart	Running your mouth when you're so lost and miserable. Is that who you are now?	601000		ZX01643BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31015	Lucia	This is your reward for facing your past.	601000	10130166			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa05.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa05.png
31016	To the Future	Welcome back, Lucia.	601000		ZX01645BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
40000	Polyphage Abyss	Underneath this behemoth is a lake composed of the Red Tide, shimmering in its fearsome scarlet glow.	601000		ZX01646BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41001	A Perfect Disguise?	If it was not Murray, who is it?	601000		ZX01646BB		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41003	Audio Analysis	It is impossible to find Lamia by blindly searching, so this is the time to check the tips.	601000		ZX01647BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41803	Mermaid's Gift	Hee hee, take it—it's Lamia's petty concern.	601000		ZX91648BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41004	Mermaid Caught Up	Lamia has nowhere to run.	601000		ZX91649BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41005	Horrifying Marks	Only cracked and shattered rocks remain when you arrive at the epicenter.	601000		ZX91650BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
43006	Cannibalism	Miss Luna... Please serve your final duty as an agent...	601000	10130167			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa01.png
41007	Resolve	Besides, Gray Raven is at its best when we are together, right?	601000		ZX91652BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41009	Mermaid's Purpose	"Go, complete your task."	601000		ZX91653BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
43011	Huge Threat	Battle is the only option against the roaring Polyphage.	601000	10130168			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa02.png
41812	Confession	This time, I'm choosing to believe in "myself."	601000		ZX01655BA		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
43012	Race Against Time	Despite the many enemies ahead of her, Lucia knows the bullets and beams coming from her teammates will clear her way.	601000	10130169			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa03.png
43013	Awake and Destroy	The end... is nigh!	601000	10130170			Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa04.png
211001	Invader	Well then, let's get working.	621101		FZ01601BA	211001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
211002	Multi-line Operation	A sudden icy hint travels up Murray's spine.	621102		FZ01601BB		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
211003	Paradox	Bridge console, combat info center, then the database, huh...	621103		FZ01601BC	211003	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
211004	Earth's Fulcrum	But, since I've said yes to your dirty work, you can expect it to be executed perfectly.	621104		FZ01601BD		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
211005	Rough Marks	This must be what the old folks are after.	621105		FZ01601BE		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
211006	Cat & Mouse	When an infiltration devolves into a game of cat and mouse, the one at a disadvantage is always the one with fewer preparations.	621106		FZ01601BF	211006	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
212001	Scarab	Valeria was lost in thoughts looking at the remains Murray left.	621201		FZ01603BA	212001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
212002	Clamber	Valeria took another route in the end.	621202		FZ01603BB		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
212003	"Bad Boy"	The "Bad Boy" boldly walked on the street.	621203		FZ01603BC	212003	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
212004	Bait	To go after a bait or become one, this is a question.	621204		FZ01603BD		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
212005	Question	Both had their own plans. Both managed to get away safely.	621205		FZ01603BE	212005	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
213001	Traveler	Three silhouettes are walking in the dust.	621301		FZ01602BA	213001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
213002	"Great Antenna"	It was a mess. The travelers only found out their destination in the end.	621302		FZ01602BB		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
213003	Conversation	The conversation was short and straight forward. Neither wanted to give up on their idea.	621303		FZ01602BC	213003	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
213004	Journey Continued	As the conversation ended, the travelers embarked on their journey once again.	621304		FZ01602BD	213004	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
231001	Ruolin	She's probably looking for their commandant where the Red Tide has passed. Look for her in the ruins.	623101		FZ01608BA	231001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
231002	Final Gift	This may sound selfish of me, but I hope to always have you right by my side during my mortal life.	623102		FZ01608BB	231002	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
231003	Echoing Memories	She stood right in the center of the tide, embraced by the sound of the flute named "memory."	623103		FZ01608BC	231003	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
232001	Spread	This isn't a game. Focus on your mission.	623201		FZ01607BA	232001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
232002	Rising Tide	A crimson line appeared between the gray buildings. It was getting close.	623202		FZ01607BB	232002	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
232003	Prey	The only "living" thing nearby was Camu on the rooftop.	623203		FZ01607BC		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
232004	Outside the Curtain	Unless you want to dive underwater and open the door?	623204		FZ01607BD	232004	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
221001	"Material"	You know very well what it means to lose that job now.	622101		FZ01605BA	221001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBb01.png
221002	Blood Well	She opened her arms, following the sound of flute named "bloodline"—	622102		FZ01605BB	221003	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBb01.png
222001	Unknown Heaven	It seems that even the planet is crying bloody tears.	622201		FZ01606BA	222001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBc01.png
222002	Bandwagon Effect	Despair is spreading like a plague.	622202		FZ01606BB	222002	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBc01.png
222003	Burn it All	Let me explore the unknown.	622203		FZ01606BC		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBc01.png
222004	Voiceless Self	The one who was not lured by the "flute" sound, walked toward a future that was already known.	622204		FZ01606BD	222004	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBc01.png
241001	Against the Light	"I saw stars in the abyss."	624101		FZ01610BA	241001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDb01.png
241002	Gnawing-Away	When Gabriel's entire right hand was decomposed, he rose again, looking at the volatile tide.	624102		FZ01610BB	241002	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDb01.png
242001	Deal	There is no secret here.	624201		FZ01609BA	242001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDc01.png
242002	Requirement	The player is placing the chess pieces on the board.	624202		FZ01609BB	242002	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDc01.png
243001	"Good News"	Don't worry, the God will send his angels and help us survive.	624301		FZ01611BA	243001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDd01.png
243002	Pray	The God will grant us happiness.	624302		FZ01611BB	243002	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDd01.png
243003	Faith Praises	As the prayer slowly collapsed, the flute sound of "faith" spread with the roaring tides.	624303		FZ01611BC	243003	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDd01.png
244001	Behind the Scenes	I'm referring to your actual user—that is, Huaxu's master.	624401		FZ01604BA	244001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDe01.png
244002	Stratagem	Luna must be eliminated no matter how Tabula Akasha evolves.	624402		FZ01604BB	244002	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDe01.png
