Id	IsRandom	BaseScore	NormalBallClickKeyCount	MinNormalBallClickKeyTypeCount	MaxNormalBallClickKeyTypeCount	NormalBallClickKey[1]	NormalBallClickKey[2]	NormalBallClickKey[3]	NormalBallClickKey[4]	NormalBallClickKey[5]	NormalBallClickKey[6]	NormalBallClickKey[7]	NormalBallClickKey[8]	BigBallClickKey[1]	BigBallClickKey[2]
79	1	90	8	5	5	1	2	3	4	5				5	6
80	1	90	8	5	5	1	2	3	4	5				5	6
81	1	90	8	4	6	1	2	3	4	5	6			5	6
82	1	90	8	5	6	1	2	3	4	5	6			5	6
83	1	90	8	5	6	1	2	3	4	5	6			5	6
84	1	90	8	6	6	1	2	3	4	5	6			5	6
85	0	90				1	2	3	4	1	2	3	4	6	
86	0	90				4	3	2	1	4	3	2	1	6	
87	0	90				1	1	2	2	3	3	4	4	6	
88	0	90				1	2	3	1	2	3	4	4	6	
89	0	90				1	2	3	4	1	2	3	5	6	
90	0	90				4	4	3	3	2	1	2	1	6	
91	0	90				4	3	2	1	5	5	6	6	6	
92	0	90				1	1	1	6	2	2	2	5	6	
93	0	90				1	1	5	5	4	2	4	2	6	
94	0	90				4	4	3	3	2	2	1	1	6	
95	0	90				5	6	5	6	5	6	5	6	5	
96	0	90				6	5	6	5	6	5	6	5	6	
97	0	40				1	2	3						5	
98	0	50				1	2	3	4					5	
99	0	60				1	2	3	4	5				6	
100	0	70				1	1	2	2	3	3			6	
101	0	80				1	2	3	1	2	3	4		6	
102	0	80				1	2	3	4	3	2	1		6	
103	0	90				1	2	3	4	1	2	3	4	6	
104	0	90				1	1	2	2	3	3	4	4	6	
105	0	90				2	3	4	5	2	3	4	5	6	
106	0	90				3	4	5	6	3	4	5	6	6	
107	0	90				4	4	3	3	2	2	1	1	6	
108	0	90				2	3	1	4	2	3	1	4	6	
109	0	90				3	2	1	4	3	2	1	4	6	
110	0	90				1	1	1	2	2	2	3	4	6	
111	0	90				3	4	2	1	3	4	2	1	6	
112	0	90				4	4	3	3	2	2	1	1	6	
113	0	90				2	2	3	3	4	4	1	1	6	
114	0	90				5	5	4	4	3	3	6	6	6	
115	0	90				1	1	1	1	2	2	2	2	6	
116	0	90				2	2	2	3	3	3	1	1	6	
117	1	90	8	4	4	1	2	3	4					5	
118	1	90	8	4	5	1	2	3	4	5				5	
119	1	90	8	4	5	1	2	3	4	5				5	
120	1	90	8	4	5	1	2	3	4	5				5	
121	1	90	8	5	5	1	2	3	4	5				5	
122	1	90	8	5	5	1	2	3	4	5				5	
123	1	90	8	4	6	1	2	3	4	5	6		1	5	
124	1	90	8	5	6	1	2	3	4	5	6		3	5	
125	1	90	8	5	6	1	2	3	4	5	6			5	
126	1	90	8	6	6	1	2	3	4	5	6			5	
127	0	90				5	6	5	6	5	6	5	6	5	
128	0	90				6	5	6	5	6	5	6	5	6	
