Id	Level	CharacterId	UpExp	FightEventId	Ability	AttributeId[1]	AttributeValue[1]	AttributeId[2]	AttributeValue[2]	AttributeId[3]	AttributeValue[3]	AttributeId[4]	AttributeValue[4]
113	13	1061002	1000	220013	4493	1	8490	11	1615	23	630	44	275
114	14	1061002	1400	220014	4920	1	9300	11	1770	23	690	44	300
115	15	1061002	1900	220015	5347	1	10110	11	1925	23	750	44	325
116	16	1061002	2500	220016	5990	1	11325	11	2155	23	840	44	365
117	17	1061002	3000	220017	6633	1	12540	11	2385	23	930	44	405
118	18	1061002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
119	19	1061002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
120	20	1061002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
121	1	1071002	0	220001	321	1	606	11	115	23	45	44	20
122	2	1071002	100	220002	642	1	1212	11	230	23	90	44	40
123	3	1071002	120	220003	964	1	1818	11	345	23	135	44	60
124	4	1071002	150	220004	1285	1	2424	11	460	23	180	44	80
125	5	1071002	180	220005	1606	1	3030	11	575	23	225	44	100
126	6	1071002	120	220006	1927	1	3636	11	690	23	270	44	120
127	7	1071002	260	220007	2248	1	4242	11	805	23	315	44	140
128	8	1071002	300	220008	2570	1	4848	11	920	23	360	44	160
129	9	1071002	350	220009	2891	1	5454	11	1035	23	405	44	180
130	10	1071002	420	220010	3212	1	6060	11	1150	23	450	44	200
131	11	1071002	500	220011	3639	1	6870	11	1305	23	510	44	225
132	12	1071002	700	220012	4066	1	7680	11	1460	23	570	44	250
133	13	1071002	1000	220013	4493	1	8490	11	1615	23	630	44	275
134	14	1071002	1400	220014	4920	1	9300	11	1770	23	690	44	300
135	15	1071002	1900	220015	5347	1	10110	11	1925	23	750	44	325
136	16	1071002	2500	220016	5990	1	11325	11	2155	23	840	44	365
137	17	1071002	3000	220017	6633	1	12540	11	2385	23	930	44	405
138	18	1071002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
139	19	1071002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
140	20	1071002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
141	1	1081002	0	220001	321	1	606	11	115	23	45	44	20
142	2	1081002	100	220002	642	1	1212	11	230	23	90	44	40
143	3	1081002	120	220003	964	1	1818	11	345	23	135	44	60
144	4	1081002	150	220004	1285	1	2424	11	460	23	180	44	80
145	5	1081002	180	220005	1606	1	3030	11	575	23	225	44	100
146	6	1081002	120	220006	1927	1	3636	11	690	23	270	44	120
147	7	1081002	260	220007	2248	1	4242	11	805	23	315	44	140
148	8	1081002	300	220008	2570	1	4848	11	920	23	360	44	160
149	9	1081002	350	220009	2891	1	5454	11	1035	23	405	44	180
150	10	1081002	420	220010	3212	1	6060	11	1150	23	450	44	200
151	11	1081002	500	220011	3639	1	6870	11	1305	23	510	44	225
152	12	1081002	700	220012	4066	1	7680	11	1460	23	570	44	250
153	13	1081002	1000	220013	4493	1	8490	11	1615	23	630	44	275
154	14	1081002	1400	220014	4920	1	9300	11	1770	23	690	44	300
155	15	1081002	1900	220015	5347	1	10110	11	1925	23	750	44	325
156	16	1081002	2500	220016	5990	1	11325	11	2155	23	840	44	365
157	17	1081002	3000	220017	6633	1	12540	11	2385	23	930	44	405
158	18	1081002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
159	19	1081002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
160	20	1081002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
161	1	1021002	0	220001	321	1	606	11	115	23	45	44	20
162	2	1021002	100	220002	642	1	1212	11	230	23	90	44	40
163	3	1021002	120	220003	964	1	1818	11	345	23	135	44	60
164	4	1021002	150	220004	1285	1	2424	11	460	23	180	44	80
165	5	1021002	180	220005	1606	1	3030	11	575	23	225	44	100
166	6	1021002	120	220006	1927	1	3636	11	690	23	270	44	120
167	7	1021002	260	220007	2248	1	4242	11	805	23	315	44	140
168	8	1021002	300	220008	2570	1	4848	11	920	23	360	44	160
169	9	1021002	350	220009	2891	1	5454	11	1035	23	405	44	180
170	10	1021002	420	220010	3212	1	6060	11	1150	23	450	44	200
171	11	1021002	500	220011	3639	1	6870	11	1305	23	510	44	225
172	12	1021002	700	220012	4066	1	7680	11	1460	23	570	44	250
173	13	1021002	1000	220013	4493	1	8490	11	1615	23	630	44	275
174	14	1021002	1400	220014	4920	1	9300	11	1770	23	690	44	300
175	15	1021002	1900	220015	5347	1	10110	11	1925	23	750	44	325
176	16	1021002	2500	220016	5990	1	11325	11	2155	23	840	44	365
177	17	1021002	3000	220017	6633	1	12540	11	2385	23	930	44	405
178	18	1021002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
179	19	1021002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
180	20	1021002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
181	1	1031002	0	220001	321	1	606	11	115	23	45	44	20
182	2	1031002	100	220002	642	1	1212	11	230	23	90	44	40
183	3	1031002	120	220003	964	1	1818	11	345	23	135	44	60
184	4	1031002	150	220004	1285	1	2424	11	460	23	180	44	80
185	5	1031002	180	220005	1606	1	3030	11	575	23	225	44	100
186	6	1031002	120	220006	1927	1	3636	11	690	23	270	44	120
187	7	1031002	260	220007	2248	1	4242	11	805	23	315	44	140
188	8	1031002	300	220008	2570	1	4848	11	920	23	360	44	160
189	9	1031002	350	220009	2891	1	5454	11	1035	23	405	44	180
190	10	1031002	420	220010	3212	1	6060	11	1150	23	450	44	200
191	11	1031002	500	220011	3639	1	6870	11	1305	23	510	44	225
192	12	1031002	700	220012	4066	1	7680	11	1460	23	570	44	250
193	13	1031002	1000	220013	4493	1	8490	11	1615	23	630	44	275
194	14	1031002	1400	220014	4920	1	9300	11	1770	23	690	44	300
195	15	1031002	1900	220015	5347	1	10110	11	1925	23	750	44	325
196	16	1031002	2500	220016	5990	1	11325	11	2155	23	840	44	365
197	17	1031002	3000	220017	6633	1	12540	11	2385	23	930	44	405
198	18	1031002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
199	19	1031002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
200	20	1031002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
201	1	1011003	0	220001	321	1	606	11	115	23	45	44	20
202	2	1011003	100	220002	642	1	1212	11	230	23	90	44	40
203	3	1011003	120	220003	964	1	1818	11	345	23	135	44	60
204	4	1011003	150	220004	1285	1	2424	11	460	23	180	44	80
205	5	1011003	180	220005	1606	1	3030	11	575	23	225	44	100
206	6	1011003	120	220006	1927	1	3636	11	690	23	270	44	120
207	7	1011003	260	220007	2248	1	4242	11	805	23	315	44	140
208	8	1011003	300	220008	2570	1	4848	11	920	23	360	44	160
209	9	1011003	350	220009	2891	1	5454	11	1035	23	405	44	180
210	10	1011003	420	220010	3212	1	6060	11	1150	23	450	44	200
211	11	1011003	500	220011	3639	1	6870	11	1305	23	510	44	225
212	12	1011003	700	220012	4066	1	7680	11	1460	23	570	44	250
213	13	1011003	1000	220013	4493	1	8490	11	1615	23	630	44	275
214	14	1011003	1400	220014	4920	1	9300	11	1770	23	690	44	300
215	15	1011003	1900	220015	5347	1	10110	11	1925	23	750	44	325
216	16	1011003	2500	220016	5990	1	11325	11	2155	23	840	44	365
217	17	1011003	3000	220017	6633	1	12540	11	2385	23	930	44	405
218	18	1011003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
219	19	1011003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
220	20	1011003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
221	1	1031003	0	220001	321	1	606	11	115	23	45	44	20
222	2	1031003	100	220002	642	1	1212	11	230	23	90	44	40
223	3	1031003	120	220003	964	1	1818	11	345	23	135	44	60
224	4	1031003	150	220004	1285	1	2424	11	460	23	180	44	80
225	5	1031003	180	220005	1606	1	3030	11	575	23	225	44	100
226	6	1031003	120	220006	1927	1	3636	11	690	23	270	44	120
227	7	1031003	260	220007	2248	1	4242	11	805	23	315	44	140
228	8	1031003	300	220008	2570	1	4848	11	920	23	360	44	160
229	9	1031003	350	220009	2891	1	5454	11	1035	23	405	44	180
230	10	1031003	420	220010	3212	1	6060	11	1150	23	450	44	200
231	11	1031003	500	220011	3639	1	6870	11	1305	23	510	44	225
232	12	1031003	700	220012	4066	1	7680	11	1460	23	570	44	250
233	13	1031003	1000	220013	4493	1	8490	11	1615	23	630	44	275
234	14	1031003	1400	220014	4920	1	9300	11	1770	23	690	44	300
235	15	1031003	1900	220015	5347	1	10110	11	1925	23	750	44	325
236	16	1031003	2500	220016	5990	1	11325	11	2155	23	840	44	365
237	17	1031003	3000	220017	6633	1	12540	11	2385	23	930	44	405
238	18	1031003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
239	19	1031003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
240	20	1031003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
241	1	1061003	0	220001	321	1	606	11	115	23	45	44	20
242	2	1061003	100	220002	642	1	1212	11	230	23	90	44	40
243	3	1061003	120	220003	964	1	1818	11	345	23	135	44	60
244	4	1061003	150	220004	1285	1	2424	11	460	23	180	44	80
245	5	1061003	180	220005	1606	1	3030	11	575	23	225	44	100
246	6	1061003	120	220006	1927	1	3636	11	690	23	270	44	120
247	7	1061003	260	220007	2248	1	4242	11	805	23	315	44	140
248	8	1061003	300	220008	2570	1	4848	11	920	23	360	44	160
249	9	1061003	350	220009	2891	1	5454	11	1035	23	405	44	180
250	10	1061003	420	220010	3212	1	6060	11	1150	23	450	44	200
251	11	1061003	500	220011	3639	1	6870	11	1305	23	510	44	225
252	12	1061003	700	220012	4066	1	7680	11	1460	23	570	44	250
253	13	1061003	1000	220013	4493	1	8490	11	1615	23	630	44	275
254	14	1061003	1400	220014	4920	1	9300	11	1770	23	690	44	300
255	15	1061003	1900	220015	5347	1	10110	11	1925	23	750	44	325
256	16	1061003	2500	220016	5990	1	11325	11	2155	23	840	44	365
257	17	1061003	3000	220017	6633	1	12540	11	2385	23	930	44	405
258	18	1061003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
259	19	1061003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
260	20	1061003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
261	1	1071003	0	220001	321	1	606	11	115	23	45	44	20
262	2	1071003	100	220002	642	1	1212	11	230	23	90	44	40
263	3	1071003	120	220003	964	1	1818	11	345	23	135	44	60
264	4	1071003	150	220004	1285	1	2424	11	460	23	180	44	80
265	5	1071003	180	220005	1606	1	3030	11	575	23	225	44	100
266	6	1071003	120	220006	1927	1	3636	11	690	23	270	44	120
267	7	1071003	260	220007	2248	1	4242	11	805	23	315	44	140
268	8	1071003	300	220008	2570	1	4848	11	920	23	360	44	160
269	9	1071003	350	220009	2891	1	5454	11	1035	23	405	44	180
270	10	1071003	420	220010	3212	1	6060	11	1150	23	450	44	200
271	11	1071003	500	220011	3639	1	6870	11	1305	23	510	44	225
272	12	1071003	700	220012	4066	1	7680	11	1460	23	570	44	250
273	13	1071003	1000	220013	4493	1	8490	11	1615	23	630	44	275
274	14	1071003	1400	220014	4920	1	9300	11	1770	23	690	44	300
275	15	1071003	1900	220015	5347	1	10110	11	1925	23	750	44	325
276	16	1071003	2500	220016	5990	1	11325	11	2155	23	840	44	365
277	17	1071003	3000	220017	6633	1	12540	11	2385	23	930	44	405
278	18	1071003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
279	19	1071003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
280	20	1071003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
281	1	1051003	0	220001	321	1	606	11	115	23	45	44	20
282	2	1051003	100	220002	642	1	1212	11	230	23	90	44	40
283	3	1051003	120	220003	964	1	1818	11	345	23	135	44	60
284	4	1051003	150	220004	1285	1	2424	11	460	23	180	44	80
285	5	1051003	180	220005	1606	1	3030	11	575	23	225	44	100
286	6	1051003	120	220006	1927	1	3636	11	690	23	270	44	120
287	7	1051003	260	220007	2248	1	4242	11	805	23	315	44	140
288	8	1051003	300	220008	2570	1	4848	11	920	23	360	44	160
289	9	1051003	350	220009	2891	1	5454	11	1035	23	405	44	180
290	10	1051003	420	220010	3212	1	6060	11	1150	23	450	44	200
291	11	1051003	500	220011	3639	1	6870	11	1305	23	510	44	225
292	12	1051003	700	220012	4066	1	7680	11	1460	23	570	44	250
293	13	1051003	1000	220013	4493	1	8490	11	1615	23	630	44	275
294	14	1051003	1400	220014	4920	1	9300	11	1770	23	690	44	300
295	15	1051003	1900	220015	5347	1	10110	11	1925	23	750	44	325
296	16	1051003	2500	220016	5990	1	11325	11	2155	23	840	44	365
297	17	1051003	3000	220017	6633	1	12540	11	2385	23	930	44	405
298	18	1051003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
299	19	1051003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
300	20	1051003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
301	1	1021003	0	220001	321	1	606	11	115	23	45	44	20
302	2	1021003	100	220002	642	1	1212	11	230	23	90	44	40
303	3	1021003	120	220003	964	1	1818	11	345	23	135	44	60
304	4	1021003	150	220004	1285	1	2424	11	460	23	180	44	80
305	5	1021003	180	220005	1606	1	3030	11	575	23	225	44	100
306	6	1021003	120	220006	1927	1	3636	11	690	23	270	44	120
307	7	1021003	260	220007	2248	1	4242	11	805	23	315	44	140
308	8	1021003	300	220008	2570	1	4848	11	920	23	360	44	160
309	9	1021003	350	220009	2891	1	5454	11	1035	23	405	44	180
310	10	1021003	420	220010	3212	1	6060	11	1150	23	450	44	200
311	11	1021003	500	220011	3639	1	6870	11	1305	23	510	44	225
312	12	1021003	700	220012	4066	1	7680	11	1460	23	570	44	250
313	13	1021003	1000	220013	4493	1	8490	11	1615	23	630	44	275
314	14	1021003	1400	220014	4920	1	9300	11	1770	23	690	44	300
315	15	1021003	1900	220015	5347	1	10110	11	1925	23	750	44	325
316	16	1021003	2500	220016	5990	1	11325	11	2155	23	840	44	365
317	17	1021003	3000	220017	6633	1	12540	11	2385	23	930	44	405
318	18	1021003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
319	19	1021003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
320	20	1021003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
321	1	1081003	0	220001	321	1	606	11	115	23	45	44	20
322	2	1081003	100	220002	642	1	1212	11	230	23	90	44	40
323	3	1081003	120	220003	964	1	1818	11	345	23	135	44	60
324	4	1081003	150	220004	1285	1	2424	11	460	23	180	44	80
325	5	1081003	180	220005	1606	1	3030	11	575	23	225	44	100
326	6	1081003	120	220006	1927	1	3636	11	690	23	270	44	120
327	7	1081003	260	220007	2248	1	4242	11	805	23	315	44	140
328	8	1081003	300	220008	2570	1	4848	11	920	23	360	44	160
329	9	1081003	350	220009	2891	1	5454	11	1035	23	405	44	180
330	10	1081003	420	220010	3212	1	6060	11	1150	23	450	44	200
331	11	1081003	500	220011	3639	1	6870	11	1305	23	510	44	225
332	12	1081003	700	220012	4066	1	7680	11	1460	23	570	44	250
333	13	1081003	1000	220013	4493	1	8490	11	1615	23	630	44	275
334	14	1081003	1400	220014	4920	1	9300	11	1770	23	690	44	300
335	15	1081003	1900	220015	5347	1	10110	11	1925	23	750	44	325
336	16	1081003	2500	220016	5990	1	11325	11	2155	23	840	44	365
337	17	1081003	3000	220017	6633	1	12540	11	2385	23	930	44	405
338	18	1081003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
339	19	1081003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
340	20	1081003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
341	1	1091002	0	220001	321	1	606	11	115	23	45	44	20
342	2	1091002	100	220002	642	1	1212	11	230	23	90	44	40
343	3	1091002	120	220003	964	1	1818	11	345	23	135	44	60
344	4	1091002	150	220004	1285	1	2424	11	460	23	180	44	80
345	5	1091002	180	220005	1606	1	3030	11	575	23	225	44	100
346	6	1091002	120	220006	1927	1	3636	11	690	23	270	44	120
347	7	1091002	260	220007	2248	1	4242	11	805	23	315	44	140
348	8	1091002	300	220008	2570	1	4848	11	920	23	360	44	160
349	9	1091002	350	220009	2891	1	5454	11	1035	23	405	44	180
350	10	1091002	420	220010	3212	1	6060	11	1150	23	450	44	200
351	11	1091002	500	220011	3639	1	6870	11	1305	23	510	44	225
352	12	1091002	700	220012	4066	1	7680	11	1460	23	570	44	250
353	13	1091002	1000	220013	4493	1	8490	11	1615	23	630	44	275
354	14	1091002	1400	220014	4920	1	9300	11	1770	23	690	44	300
355	15	1091002	1900	220015	5347	1	10110	11	1925	23	750	44	325
356	16	1091002	2500	220016	5990	1	11325	11	2155	23	840	44	365
357	17	1091002	3000	220017	6633	1	12540	11	2385	23	930	44	405
358	18	1091002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
359	19	1091002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
360	20	1091002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
361	1	1041003	0	220001	321	1	606	11	115	23	45	44	20
362	2	1041003	100	220002	642	1	1212	11	230	23	90	44	40
363	3	1041003	120	220003	964	1	1818	11	345	23	135	44	60
364	4	1041003	150	220004	1285	1	2424	11	460	23	180	44	80
365	5	1041003	180	220005	1606	1	3030	11	575	23	225	44	100
366	6	1041003	120	220006	1927	1	3636	11	690	23	270	44	120
367	7	1041003	260	220007	2248	1	4242	11	805	23	315	44	140
368	8	1041003	300	220008	2570	1	4848	11	920	23	360	44	160
369	9	1041003	350	220009	2891	1	5454	11	1035	23	405	44	180
370	10	1041003	420	220010	3212	1	6060	11	1150	23	450	44	200
371	11	1041003	500	220011	3639	1	6870	11	1305	23	510	44	225
372	12	1041003	700	220012	4066	1	7680	11	1460	23	570	44	250
373	13	1041003	1000	220013	4493	1	8490	11	1615	23	630	44	275
374	14	1041003	1400	220014	4920	1	9300	11	1770	23	690	44	300
375	15	1041003	1900	220015	5347	1	10110	11	1925	23	750	44	325
376	16	1041003	2500	220016	5990	1	11325	11	2155	23	840	44	365
377	17	1041003	3000	220017	6633	1	12540	11	2385	23	930	44	405
378	18	1041003	3500	220018	7276	1	13755	11	2615	23	1020	44	445
379	19	1041003	4000	220019	7919	1	14970	11	2845	23	1110	44	485
380	20	1041003	4500	220020	8562	1	16185	11	3075	23	1200	44	525
381	1	1111002	0	220001	321	1	606	11	115	23	45	44	20
382	2	1111002	100	220002	642	1	1212	11	230	23	90	44	40
383	3	1111002	120	220003	964	1	1818	11	345	23	135	44	60
384	4	1111002	150	220004	1285	1	2424	11	460	23	180	44	80
385	5	1111002	180	220005	1606	1	3030	11	575	23	225	44	100
386	6	1111002	120	220006	1927	1	3636	11	690	23	270	44	120
387	7	1111002	260	220007	2248	1	4242	11	805	23	315	44	140
388	8	1111002	300	220008	2570	1	4848	11	920	23	360	44	160
389	9	1111002	350	220009	2891	1	5454	11	1035	23	405	44	180
390	10	1111002	420	220010	3212	1	6060	11	1150	23	450	44	200
391	11	1111002	500	220011	3639	1	6870	11	1305	23	510	44	225
392	12	1111002	700	220012	4066	1	7680	11	1460	23	570	44	250
393	13	1111002	1000	220013	4493	1	8490	11	1615	23	630	44	275
394	14	1111002	1400	220014	4920	1	9300	11	1770	23	690	44	300
395	15	1111002	1900	220015	5347	1	10110	11	1925	23	750	44	325
396	16	1111002	2500	220016	5990	1	11325	11	2155	23	840	44	365
397	17	1111002	3000	220017	6633	1	12540	11	2385	23	930	44	405
398	18	1111002	3500	220018	7276	1	13755	11	2615	23	1020	44	445
399	19	1111002	4000	220019	7919	1	14970	11	2845	23	1110	44	485
400	20	1111002	4500	220020	8562	1	16185	11	3075	23	1200	44	525
401	1	1121002	0	220001	321	1	606	11	115	23	45	44	20
402	2	1121002	100	220002	642	1	1212	11	230	23	90	44	40
403	3	1121002	120	220003	964	1	1818	11	345	23	135	44	60
404	4	1121002	150	220004	1285	1	2424	11	460	23	180	44	80
405	5	1121002	180	220005	1606	1	3030	11	575	23	225	44	100
406	6	1121002	120	220006	1927	1	3636	11	690	23	270	44	120
