Id	UseItemId[1]	UseItemId[2]	Sale[1]	Sale[2]	UseItemCount[1]	UseItemCount[2]	UseItemImg[1]	UseItemImg[2]	TargetItemCount	TargetItemImg
40	50003	50005			3150	3150	Assets/Product/Texture/Image/UiLotto/UiLottoCardWuqi.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHuodong.png	3150	Assets/Product/Texture/Image/UiLotto/UiLottoCardQicheng2.png
41	3	5		80%OFF	50	1	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	50	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
42	3	5		70%OFF	100	3	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	100	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
43	3	5		68%OFF	250	8	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	250	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
44	3	5		67%OFF	400	13	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	400	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
45	3	5		68%OFF	600	19	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	600	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
46	3	5		67%OFF	800	26	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	800	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
47	3	5		67%OFF	1200	39	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	1200	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
48	3	5		67%OFF	1700	56	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	1700	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
49	3	5		66%OFF	2200	73	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	2200	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
50	3	5		66%OFF	2700	90	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	2700	Assets/Product/Texture/Image/UiLotto/UiLottoCardEv23.png
110001	3	5		80% Off	50	1	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	50	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
110002	3	5		70% Off	100	3	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	100	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
110003	3	5		68% Off	250	8	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	250	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
110004	3	5		67% Off	400	13	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	400	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
110005	3	5		68% Off	600	19	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	600	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
110006	3	5		67% Off	800	26	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	800	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
110007	3	5		67% Off	1200	39	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	1200	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
110008	3	5		67% Off	1700	56	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	1700	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
110009	3	5		66% Off	2200	73	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	2200	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
110010	3	5		66% Off	2700	90	Assets/Product/Texture/Image/UiLotto/UiLottoCardHeika.png	Assets/Product/Texture/Image/UiLotto/UiLottoCardHongka.png	2700	Assets/Product/Texture/Image/UiLotto/UiLottoCardNewyear.png
