Id	Name	Desc	Condition[1]	Condition[2]	StageId	TRPGRewardId	PrefabName	Icon	DialogIcon
21026	Continue Forward	Carefully, Liv opens the faded cover, and a white petal falls out onto her hand.	100830	602034	10130214		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21032	Full of Thorns	There are more traps ahead, so be careful.	100831	602034	10130215		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23033	We Were Here	I would still have some foolish hope had that never happened.	100832	602034	10130177		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa04.png
21034	Shattered Shards	It's up to you to decide when to let Lucia get that memory back.	100833	602034	10130216	21034	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
31000	City of Fakes	It's not that it was abandoned... It was never even occupied.	100834	602034	10130217	30000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31001	Red Tide's Guidance	Go back to the source—to the abyss.	100835	603016	10130218		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
33003	Welcoming Ceremony	The broken remains remind you of "corpses."	100836	603016	10130178		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa01.png
39001	Curtain	Since our guests have arrived at the door, there is no reason not to entertain them.	100837	603016	10130219		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31005	Unexpected Support	Then, let me be your mission support from now on.	100838	603016	10130220		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
33006	Ascension Secrets	A blindfolded queen, an advisor, and a beast.	100839	603016	10130179	31006	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa02.png
39002	Test	Or is this another "test" of yours?	100840	603016	10130221		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
33007	Question	Can you really put that blade of yours in Luna's heart?	100841	603016	10130180		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa03a.png
39003	Fury of the Agent	If these weaklings are your "final plan," I must say I'm quite disappointed.	100842	603016	10130181		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa04.png
31008	Master of Ceremony	Miss Luna, this is my answer to your question—	100843	603016	10130222		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31009	Cross the Bridge	Whether in sight or out of sight, the Support Force are always working.	100844	603016	10130223		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31010	Huaxu's Projection	What does the appearance of Huaxu's projection here really mean?	100845	603016	10130224	31010	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31011	Visitor	Be careful of that Lucia.	100846	603016	10130225		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31012	Crimson Resolve	Lucia... Quickly! Commandant's going to...	100847	603016	10130226		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39004	Divergence Point	I will accept your everything—your pain, your choices.	100848	603016	10130227		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39005	Sealed Past	Don't worry, you'll be the next.	100849	603016	10130228		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31013	Shards of Remorse	Before falling into complete silence, Lucia clutches the nameplate in her hand...	100850	603016	10130229		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39006	Chaotic Memories	The shards of their memories cross the boundary between them, like fragments of glass pouring down after it breaks, scattering in front of their eyes.	100851	603016	10130230		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39007	Lost Heart	Running your mouth when you're so lost and miserable. Is that who you are now?	100852	603016	10130231		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31015	Lucia	This is your reward for facing your past.	100853	603016	10130182		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa05.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa05.png
31016	To the Future	Welcome back, Lucia.	100854	603016	10130232	31016	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
40000	Polyphage Abyss	Underneath this behemoth is a lake composed of the Red Tide, shimmering in its fearsome scarlet glow.	100855	603016	10130233	40000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41001	A Perfect Disguise?	If it was not Murray, who is it?	100856	604013	10130234		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41003	Audio Analysis	It is impossible to find Lamia by blindly searching, so this is the time to check the tips.	100857	604013	10130235		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41803	Mermaid's Gift	Heehee, take it—it's Lamia's petty concern.	100858	604013	10130236		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41004	Mermaid Caught Up	Lamia has nowhere to run.	100859	604013	10130237		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41005	Horrifying Marks	Only cracked and shattered rocks remain when you arrive at the epicenter.	100860	604013	10130238		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
43006	Cannibalism	Miss Luna... Please serve your final duty as an agent...	100861	604013	10130183		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa01.png
41007	Resolve	Besides, Gray Raven is at its best when we are together, right?	100862	604013	10130239		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41009	Mermaid's Purpose	"Go, complete your task."	100863	604013	10130240		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
43011	Huge Threat	Battle is the only option against the roaring Polyphage.	100864	604013	10130184	43011	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa02.png
41812	Confession	This time, I'm choosing to believe in "myself."	100865	604013	10130241		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
43012	Race Against Time	Despite the many enemies ahead of her, Lucia knows the bullets and beams coming from her teammates will clear her way.	100866	604013	10130185	43012	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa03.png
43013	Awake and Destroy	The end... is nigh!	100867	604013	10130186	43013	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa04.png
