Id	Name	Priority	Hint	Condition[1]	Condition[2]	Condition[3]	Type
10350	Ultimate Brawl	59	0	84601800			1
10351	Memory Rescue	53	0	601000			1
10352	Floating Record	124	0	30406			1
10401	Resource Mission	33	0	772800			1
10402	Resource - N/A 1	34	0	772500			1
10403	Resource - N/A 2	36	0	772600			1
10404	Resource - N/A 3	37	0	772700			1
10405	Golden Vortex	54	1	774300			1
10406	Resources-Special Training	38	1	772800			1
10407	Resource - Combat Supply	39	1	772800			1
10408	Resource - Military Hardware	40	1	772800			1
10409	Resource - Logistics Maintenance	41	1	772800			1
10410	Resource - Cogs Galore	42	1	772800			1
10411	Resource - Battle Exercise	46	1	772800			1
10412	Resource - Combat Unit Booster Add-on	47	1	8006			1
10413	3-Ping	47	0	774800	771000		1
10414	Racing Minigame	74	0	774800			1
10415	Dice Minigame	75	0	774800			1
10416	Corrupted Battlefront	76	0	774800			1
10417	Lottery Minigame	77	0	774800			1
10418	Warm-Up Whac-a-Mole Minigame	78	0	774800			1
10419	Warm-Up Guess-Who-I-AM Puzzle	79	0	774800			1
10450	Resource Shop	106	1	9503			1
109001	Special Training RS-2	81	1	9501			2
109002	Special Training RS-3	82	1	9502			2
109003	Special Training RS-4	83	1	9503			2
109101	Combat Supply AE-2	84	1	9501			2
109102	Combat Supply AE-3	85	1	9502			2
109103	Combat Supply AE-4	86	1	9503			2
109201	Military Hardware AB-2	87	1	9501			2
109202	Military Hardware AB-3	88	1	9502			2
109203	Military Hardware AB-4	89	1	9503			2
109301	Logistics Maintenance LM-2	90	1	9501			2
109302	Logistics Maintenance LM-3	91	1	9502			2
109303	Logistics Maintenance LM-4	92	1	9503			2
109401	Cogs Galore NF-2	93	1	9501			2
109402	Cogs Galore NF-3	94	1	9502			2
109403	Cogs Galore NF-4	95	1	9503			2
109501	Battle Exercise BE-2	96	1	9501			2
109502	Battle Exercise BE-3	97	1	9502			2
109503	Battle Exercise BE-4	98	1	9503			2
10420	Recitativo Di Fantasia	70	1	1002036			1
10421	Doomsday Mode	71	0	30406			1
10422	SP Central Area Battle	72	0	84601800			1
10423	Battle Royale	73	0	30406			1
10424	Tower Defense	66	0	30406			1
10425	Guild Expedition	74	0				1
10426	Gold Miner	80	0	774800			1
10428	Weekly Challenge Mission	81	0	774800			1
10430	Taiko Drum Master	81	0	8005			1
10427	Extremis Collaboration	73	0	30406			1
10431	Inner World (Yin-Yang Tower)	70	0	8005			1
10432	[Slumberland] Event Research	16	0	770402			1
10433	Alternative Interpretation - Cursed Waves	70	1	1005045			1
10434	Summer Thoughts	123	0	30404			1
10435	For Beginning Player	1	1	770100			1
10353	Weekly Mission	56	0	30406			1
