Id	Name	GroupId	SortId	TimeId	ShowBeginTime	ShowEndTime	ActivityType	ActivityBgType	ActivityBg	ActivityTitle	ActivityDes	ActivityPrefabPath	Params[0]	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	ConditionId
104	Tactical Assessment Manual	36	11	12700			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBPV131.png	The Hidden Thread File	Requirements: Commandant Lv.40\n\nEvent Info\n1. Accumulate Intel Value by completing the Rate Missions of the Daily, Weekly, and current Intel Manual.\n2. Raise the Rating Level by reaching the required Intel Value.\n3. You will obtain the corresponding reward upon reaching the required Rating Level.\n4. You can also purchase additional Intel to get better rewards.\n		20168							
105	Dialogues with an Existentialist	37	1	12505			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTryBBNTV131.png	Dialogues with an Existentialist	Requirements: Clear Normal Story Mission 2-4		162	20071						
106	Rigor: Niki US1000	38	1	12502			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTryLuoziNikkiV131.png	Rigor: Niki US1000	New Coating:\nOmniframe [Rosetta: Rigor] Coating [Niki US1000]		163	10035						
1001	Oath of Purity	21	1	100004			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBgEnKr03.png	Oath of Purity	Mission Info: Use a certain quantity of Serum to complete the mission and obtain the reward.		3000							
1011	Scarlet Summers	29	1	2160186			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseJpSummer2023.png	Scarlet Summers	5★ Event Memory [Vera: Scarlet Summers] will be rewarded once you have spent a certain amount of Serum during the event.		3001							
107	Tactical Assessment Manual	30	14	11010			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBPV130.png	Tactical Assessment Manual - The Sea Foam File	Requirements: Commandant Lv.40\n\nEvent Info\n1. Accumulate Intel Value by completing the Rate Missions of the Daily, Weekly, and current Intel Manual.\n2. Raise the Rating Level by reaching the required Intel Value.\n3. You will obtain the corresponding reward upon reaching the required Rating Level.\n4. You can also purchase additional Intel to get better rewards.\n		20162							
108	Reborn Resolve	31	1	11906			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTryBiankaV130.png	Reborn Resolve	Requirements: Clear Normal Story 2-4		151	20071						
109	Adaptation Fitting: Shimmer	32	1	11908			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTryPetV130.png	Adaptation Fitting: Shimmer	Requirements: Commandant Lv.61		152	7114						8007
110	Empyrea: Dreamcatcher	33	1	11905			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTryLivV130.png	Empyrea: Dreamcatcher	New Coating:\nOmniframe [Liv: Empyrea] Coating [Dreamcatcher]		153	20161						
111	Garnet: Wavebender	34	1	11904			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTryVelaV130.png	Garnet: Wavebender	New Coating:\nOmniframe [Vera: Garnet] Coating [Wavebender]		154	10035						
112	Stigmata: Exorcist	35	1	11903			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTryBansV130.png	Stigmata: Exorcist	New Coating:\nOmniframe [Bianca: Stigmata] Coating [Exorcist]		155	10035						
113	Rigor: Leap Tutorial	13	1	11401			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png	Rigor Leap Tutorial	Instructions: Experience the new powers brought about by Leap in the tutorial stage.		156	20141						
1012	Summer Breeze	30	15	11003			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBTV130.png	Summer Breeze	Coating: Rerun:\nOmniframe [Liv: Luminance] Coating: [Puella Subnautica]\nOmniframe [Lee: Entropy] Coating: [Oceanic Blues]\nOmniframe [Lucia: Crimson Abyss] Coating: [Seaside Sunbath]\nOmniframe [Nanami: Pulse] Coating: [Beach Frolics]\nOmniframe [Karenina: Ember] Coating: [Tulle Redbud]\nOmniframe [Watanabe: Astral] Coating: [Captain Hook]\nUniframe [Selena: Tempest] Coating: [Aria of Nymph]\n\nThe Coatings above will be on sale in Rerun Shop "Summer Breeze" during the event.		20160							
114	Pulao: Dreamweaver	28	1	10110			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTryIdolV129.png	Pulao: Dreamweaver	New Coating: Uniframe [Pulao: Dragontoll] Coating: [Dreamweaver]		144	10035						
115	Astral: Leap Tutorial	13	1	10114			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png	Astral Leap Tutorial	Instructions: Experience the new powers brought about by Leap in the tutorial stage.		145							
116	Guild Expedition	25	1	10901			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseA7Gonghui.png	Guild Expedition	Requirements: Join a Command Bureau\n\nEvent Info:\n1. Guild Expedition will come with the next update. Be prepared!\n2. Join a Command Bureau and defeat the final boss to clear the event.\n3. The duo-formed Shark-speare will appear at the final stage and take turns to disrupt you in battle.\n4. The Dangerous Cliff has been buffed. Break it in time, or it will threaten your base.		141	20126						
117	Operation Uniframe	26	6	8001			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseWhiteValentine.png	Operation Uniframe	Requirements: Commandant Lv.52\n\nEvent Info: \n1. This event has 2 phases that are independent of each other.\n2. Each phase consists of 3 Combat Area and 1 Central Area.\n3. A large number of enemies with new features will be introduced in the stages. Tap into the features of different zones to cope.\n4. Clearing the stages in a Combat Area increase its Energy Supply Level.\n5. Each Area grants additional points to the Central Area based on its Energy Supply Level.		20133							
201	Roamer Records	1	16	7008			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseA13Kuanggong.png	Roamer Records	Requirements: Clear Normal Story Mission 2-4		20122							
118	New Decor	1	17	1400022			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBasefurniture.png	New Decor	Decor Set:\n1. Memory Lane Decor Blueprint at 20 Rainbow Cards.\n※Contains: 1 of each Decor Blueprint in the Set for a total of 19.\n2. Decor Set at 68 Rainbow Cards.\n※Contains: Set Blueprint Bundle x3, Finished Decor, and Set Decor Self Select Blueprint x20.\n3. Decor Template Set at 68 Rainbow Cards.\n※Contains: Template Dormitory - all A-Rank Decor set that has 40 pieces of Decors.		20060							
601	Deed of Snow Leopard	9	1	6602			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseA6SKaliePf.png	Deed of Snow Leopard	New Coating: Omniframe [Karenina: Ember]: [Deed of Snow Leopard]		102	10035						
220	Egg Hawker	20	1	2160132			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBgEnEasterDay02.png	Egg Hawker	A mysterious hawker is selling Easter eggs. \nWhat? Commandant can get R&D Tickets from the eggs?!\n But how many tickets will you get? Let's find out!\n\n1. During the event, complete event mission [Easter Egg Hunter] to get event coins.\n2. Exchange [Egg Coins] for various Easter eggs. \nUse Easter eggs to get random rewards.\n3. Exchange [Bunny Coins] for Bunny Pots. Use Bunny Pots to get Decors.\n4. All event-related items will be recycled once expired, please use them in time. Coins will expire at UTC 06:59, 4/15 ;\n 3 types of Easter Eggs and Bunny Clay Pot will expire at UTC 06:59, 4/22\n\n(Tap Go to get to Exchange Shop)\n		2019							
221	Egg Hunter	20	2	2160132			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBgEnEasterDay01.png	Egg Hunter	Event Info: Complete following missions to collect [Egg Coin] and [Bunny Coin], then exchange items in [Easter Hawker] Shop.		3000190							
222	Azure Apocalypse	21	1	2160134			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseA10ChaShiwan5.png	Coating Trial	Instructions: Experience the special Coating [Azure Apocalypse].		45	10035						
223	New Coating - Azure Apocalypse	2	12	2160134			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBRole04Pf.png	New Coating	New Coating:\nOmniframe [Lucia: Crimson Abyss] New Special Effect Coating: [Azure Apocalypse]\n\n1. During this event, [Azure Apocalypse] can be obtained in\n"Research - Secret Pact" for a limited time.\n2. [Azure Apocalypse] is guaranteed in 10 pulls.\n3. After the event, the corresponding coating will be taken off the shelf.		1300251							
120	Coating Rerun - Veritas	1	14	2160145			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseRoleBiankaPf.png	Limited-time Coating Rerun	Coating Rerun:\nCoating of Construct [Bianca: Veritas]: [Ink-Lit Hermit]\n\nInfo:\n[Ink-Lit Hermit] will be on a limited sale at "30% off" in\n"Purchase — Coating Supply Pack" during the event.\nAfter the event, the corresponding coating will be taken off the shelf.		20020							
200	Nosferatu	25	1	2160160			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseA6SKutuzhuang.png	Nosferatu	New Coating: Omniframe [Chrome: Glory] Coating: [Nosferatu]		94	10035						
202	New Coating - Chrome	22	11	2160160			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseA6SKutuzhuang.png	New Coating:Omniframe [Chrome: Glory] 	Coating: [Nosferatu]\n\nInfo:\n[Nosferatu] will be on sale at "30% off"\n in "Top-up - Coating Supply Pack"during the event.		20020							
203	Norman Revival Plan	22	13	2160167			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseA6SuperJudian.png	Norman Revival Plan	Requirements: Commandant Lv.60.\n\nEvent Info:\n1. Each phase lasts 14 days, and you will enter the Battle phase when any stage is cleared in the first 4 days (or automatically enter the Battle phase after the first 4 days). The Battle phase lasts 10 days.\n2. During the preparation phase, Lv.60-84 players will automatically enter the "qualifying battle", while players of Lv.85 and above can choose between "ordinary battle" and "pioneer battle".\n3. "Ordinary battle" and "pioneer battle" are of the same difficulty. Ordinary battle gives more electricity but fewer rewards, while pioneer battle gives less electricity but more rewards.\n4. The Cover Tactic will be unlocked on the third day of the Battle phase. Clear the stage to obtain Electricity and item rewards.\n5. A battle will be conducted in form of multiple teams playing at the same time, and the characters involved shall be selected in accordance with the battle environment.\n6. Electricity is supplied by the Power Station. You may consume electricity on the Team page to increase your team's Battle Power.\n7. After clearing a stage, you can obtain Autonomous Miners and Tantalum Ore. At the end of each day, the miners will also produce Tantalum Ore and grow by 50% of the current number of miners.\n8. Tantalum Ore can be exchanged for rewards in the shop.		70001							
