Id	Name	SortId	Bg
23	Nuclear Darkness	102	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryKaLieV128.png
24	Adaptation Fitting: Moonhopper	103	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg53.png
25	Guild Expedition III	104	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableGonghuiV200.png
26	Cinder Burns	56	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableMainLineV129.png
27	A Sinner's Confession	57	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryNuoAnV129.png
28	Pulao: Dreamweaver	58	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryIdolV129.png
29	Scarlet Summers	65	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTableBgJpSummer2023.png
30	Across the Ruined Sea	59	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableMainLineV130.png
31	Reborn Resolve	60	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryBiankaV130.png
32	Adaptation Fitting: Shimmer	61	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryPetV130.png
33	Empyrea: Dreamcatcher	62	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryLivV130.png
34	Garnet: Wavebender	63	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryVelaV130.png
35	Stigmata: Exorcist	64	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryBansV130.png
36	Left Unsaid	65	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableMainLineV131.png
37	Dialogues with an Existentialist	66	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryBBNTV131.png
38	Rigor: Niki US1	67	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryLuoziNikkiV131.png
39	Spiral of Chronos	68	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableMainLineV132.png
40	However Improbable	70	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryLeeV132.png
41	Adaptation Fitting: Punchy	71	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryPetV132.png
42	Glory: Radiant Respite	72	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryIvyV132.png
43	Endless Summer Blue	73	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableTryRenYuV132.png
44	Renaissance du Fantastique	74	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLineV200.png
45	Age of Creators	75	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelTryAilaV200.png
46	Adaptation Fitting: Rainbow	76	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelTryPetV200.png
47	Laurel: Fiery Moon	77	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelLunaEffectCoatingTryV200.png
48	Capriccio: Vox Solaris	78	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelSailinnaEffectCoatingTryV200.png
99	Happy New Year	2	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTableBg02.png
1001	Liftoff Project	1001	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTableBgRisingstar.png
1000	Energy Recovery Operation	1000	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTableBgSlotmachine.png
1002	Energy Recovery Operation EX	1002	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTableBgSlotmachine.png
49	Starry Conversations	79	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMainLineV200.png
50	Fortune of Spring	80	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBgnewyearsluck.png
