Id	FightEventId	Type	Icon	Name	Image	Desc
20	50619	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	Perpetual Motion		Character deals more damage but <color=#34aff9>cannot cast the Signature Move</color>.
21	50620	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	Collaborative Plan		Character swap cooldown and <color=#34aff9>QTE</color> cooldown will be shorter, but the character will <color=#34aff9>lose ATK</color> over time when on the battlefield. The effect will be reset upon character swap.
22	50621	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21121.png	Iron Shield		<color=#34aff9>Unable to switch characters</color> or use Signal Orbs to activate QTE, but the characters on the battlefield will have more ATK over time and one free QTE at the beginning of the battle.
23	50622	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21081.png	Signal Absorption		The Basic Attack <color=#34aff9>will not grant Signal Orbs</color>, but Energy will be restored at a higher rate.
24	50623	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	Signal Concentration		<color=#34aff9>Unable to gain Energy</color>. Every time when the Basic Attack grants Signal Orb(s), 1 bonus random Signal Orb will be granted.
25	50624	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11051.png	Fairy		Character restores Dodge Gauge value at a higher rate but will receive more damage for <color=#34aff9>6</color>s after each dodge.
26	50625	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	Heavy as Stone		Character <color=#34aff9>gains DMG Reduction</color> but will lose <color=#34aff9>all Dodge Gauge value</color> when dodges.
27	50626	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21111.png	Splitting		Enemies will summon a clone for every <color=#34aff9>30</color>s they survive. Clones will <color=#34aff9>lose HP over time</color>.
28	50627	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	Phantom		Enemies will summon 2 clones <color=#34aff9>upon death</color>. Clones will <color=#34aff9>lose HP over time</color>.
29	50628	1	Assets/Product/Texture/Image/IconAffix/AffixIconFushe2.png	Infiltration		<color=#34aff9>All characters'</color> max HP will decrease over time until 10 HP.
30	50629	1	Assets/Product/Texture/Image/IconAffix/AffixIconShexian2.png	Dominator		Enemies will be immune to Matrix effects.
31	50630	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12001.png	Attack Upon Death		Upon the death of an enemy, the characters on the battlefield will lose <color=#34aff9>10% HP</color>.
32	50631	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png	Twins		At the beginning of the battle, summons a clone of the enemy <color=#34aff9>with the highest HP</color> on the battlefield.
33	50632	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33021.png	Signal Disruption		Upon the <color=#34aff9>death</color> of an enemy, all characters will lose 1 Signal Orb.
34	50633	2	Assets/Product/Texture/Image/IconAffix/AffixIconFusu2.png	Dynamic Calibration		Enemies will restore HP over time but will restore HP at a lower speed after taking damage.
35	50634	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	Final Struggle		<color=#34aff9>Upon death</color>, enemies will grant massive DMG Reduction to other characters for <color=#34aff9>6</color>s.
36	50635	1	Assets/Product/Texture/Image/IconAffix/AffixIconGangti2.png	Rigid Body		Enemies takes 1 DMG only from incoming attacks. This effect is removed after taking DMG 12 times, and is resumed 8s later.
37	50636	1	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	Flash		Enemies will teleport to the character at intervals.
38	50637	1	Assets/Product/Texture/Image/IconAffix/AffixIconZhuanyi2.png	Teleport		Enemies will pull away from the character at intervals.
39	50638	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	Solo Fight		The fewer enemies left on the battlefield, the higher their ATK.
40	50639	2	Assets/Product/Texture/Image/IconAffix/AffixIconTongling2.png	Commander		The more enemies left on the battlefield, the higher their ATK.
41	50640	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12131.png	Precise Planning		Character's Dodge Gauge recovery speed decreases.
42	50641	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12051.png	Gravity Adaptation		Character movement speed decreases.
43	50642	1	Assets/Product/Texture/Image/IconAffix/AffixIconZhuanyi2.png	Physical Resistance -25%		Enemies will pull away from the character at intervals.
44	50643	1	Assets/Product/Texture/Image/IconAffix/AffixIconDudou2.png	Fire Resistance -25%		The fewer enemies left on the battlefield, the higher their ATK.
45	50644	2	Assets/Product/Texture/Image/IconAffix/AffixIconTongling2.png	Lightning Resistance -25%		The more enemies left on the battlefield, the higher their ATK.
46	50645	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12131.png	Ice Resistance -25%		Character's Dodge Gauge recovery speed decreases.
47	50646	2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12051.png	Dark Resistance -25%		Character movement speed decreases.
