Id	BossLoseHp[1]	BossLoseHpScore[1]	BossTotalHp[1]	LeftTime[1]	LeftTimeScore[1]	CharLeftHp[1]	CharLeftHpSocre[1]	BossLoseHp[2]	BossLoseHpScore[2]	BossTotalHp[2]	LeftTime[2]	LeftTimeScore[2]	CharLeftHp[2]	CharLeftHpSocre[2]	BossLoseHp[3]	BossLoseHpScore[3]	BossTotalHp[3]	LeftTime[3]	LeftTimeScore[3]	CharLeftHp[3]	CharLeftHpSocre[3]	BossLoseHp[4]	BossLoseHpScore[4]	BossTotalHp[4]	LeftTime[4]	LeftTimeScore[4]	CharLeftHp[4]	CharLeftHpSocre[4]
30000906	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	0	0.01	360
30000401	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30000402	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30000403	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30000404	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30000405	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30000411	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	0	0.01	360
30000801	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30000802	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30000803	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30000804	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30000805	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30000811	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	0	0.01	15
30000907	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	75	0	1	0.125	0.01	22.5
30000908	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	150	0	1	0.25	0.01	45
30000909	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	300	0	1	0.5	0.01	90
30000910	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	600	0	1	1	0.01	180
30000911	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	1200	0	1	2	0.01	360
30000912	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	0	0.01	30
30000913	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	75	0	1	0.125	0.01	22.5
30000914	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	150	0	1	0.25	0.01	45
30000915	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	300	0	1	0.5	0.01	90
30000916	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	600	4000000	1	1	0.01	180
30000917	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	2	0.01	360
30000918	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	0	0.01	240
30001001	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30001002	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30001003	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30001004	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30001005	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30001011	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240
30001201	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30001202	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30001203	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30001204	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30001205	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30001211	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240
30001301	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30001302	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30001303	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30001304	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30001305	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30001311	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240
30300101	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30300102	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30300103	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30300104	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30300105	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30300201	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30300202	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30300203	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30300204	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30300205	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30300301	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30300302	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30300303	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30300304	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30300305	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30300601	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30300602	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30300603	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30300604	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30300605	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30300501	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30300502	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30300503	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30300504	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30300505	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30300701	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30300702	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30300703	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30300704	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30300705	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30300401	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30300402	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30300403	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30300404	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30300405	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30300801	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30300802	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30300803	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30300804	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30300805	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30301001	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30301002	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30301003	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30301004	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30301005	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30301201	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30301202	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30301203	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30301204	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30301205	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30301301	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30301302	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30301303	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30301304	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30301305	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30301401	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30301402	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30301403	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30301404	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30301405	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30301501	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30301502	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30301503	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30301504	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30301505	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30301601	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30301602	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30301603	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30301604	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30301605	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30301701	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30301702	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30301703	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30301704	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30301705	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30301801	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30301802	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30301803	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30301804	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30301805	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30301901	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30301902	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30301903	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30301904	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30301905	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30302001	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
