Id	CvId	Msec	A	I	U	E	O
86	104001	1433	0.419499	0.02	0	0	0
87	104001	1450	0.31977	0.02	0	0	0
88	104001	1466	0.119984	0.02	0	0	0
89	104001	1483	0	0	0	0	0
90	104001	1500	0	0	0	0	0
91	104001	1516	0	0	0	0	0
92	104001	1533	0.04	0.04	0	0	0
93	104001	1550	0.06	0.06	0	0	0
94	104001	1566	0.03	0.259962	0	0	0
95	104001	1583	0.03	0.459955	0	0	0
96	104001	1600	0.03	0.559942	0	0	0
97	104001	1616	0.03002	0.754555	0	0	0
98	104001	1633	0	0.729064	0	0.066131	0
99	104001	1650	0	0.709424	0	0.089182	0
100	104001	1666	0	0.509474	0	0.129833	0
101	104001	1683	0	0.309481	0	0.129839	0
102	104001	1700	0	0.104747	0	0.259679	0
103	104001	1716	0.049996	0	0	0.259686	0
104	104001	1733	0.299913	0	0	0.063744	0
105	104001	1750	0.399522	0	0	0.040727	0
106	104001	1766	0.419522	0.02	0	0	0
107	104001	1783	0.459522	0.06	0	0	0
108	104001	1800	0.459639	0	0.04986	0	0
109	104001	1816	0.399648	0	0.099719	0	0
110	104001	1833	0.239725	0	0.099719	0	0
111	104001	1850	0.160117	0	0.099719	0	0
112	104001	1866	0.180117	0	0.099719	0	0
113	104001	1883	0.180117	0	0.099719	0	0
114	104001	1900	0.2	0.02	0	0	0
115	104001	1916	0.359999	0.01	0	0	0
116	104001	1933	0.519995	0.01	0	0	0
117	104001	1950	0.59999	0.01	0	0	0
118	104001	1966	0.759953	0.01	0	0	0
119	104001	1983	0.919683	0.01	0	0	0
120	104001	2000	0.899683	0	0	0	0
121	104001	2016	0.719683	0.02	0	0	0
122	104001	2033	0.559687	0.06	0	0	0
123	104001	2050	0.459692	0.06	0	0	0
124	104001	2066	0.259729	0.06	0	0	0
125	104001	2083	0.06	0.06	0	0	0
126	104001	2100	0.06	0.06	0	0	0
127	104001	2116	0.04	0.04	0	0	0
128	104001	2133	0	0	0	0	0
129	104001	2150	0	0	0	0	0
130	104001	2166	0	0	0	0	0
131	104001	2183	0	0	0	0	0
132	104001	2200	0	0	0	0	0
133	104001	2216	0	0	0	0	0
134	104001	2233	0	0	0	0	0
135	104001	2250	0	0	0	0	0
136	104001	2266	0	0	0	0	0
137	104001	2283	0	0	0	0	0
138	104001	2300	0	0	0	0	0
139	104001	2316	0	0	0	0	0
140	104001	2333	0	0	0	0	0
141	104001	2350	0	0	0	0	0
142	104001	2366	0	0	0	0	0
143	104001	2383	0	0	0	0	0
144	104001	2400	0	0	0	0	0
145	104001	2416	0	0	0	0	0
146	104001	2433	0	0	0	0	0
147	104001	2450	0	0	0	0	0
148	104001	2466	0	0	0	0	0
149	104001	2483	0	0	0	0	0
150	104001	2500	0	0	0	0	0
151	104001	2516	0	0	0	0	0
152	104001	2533	0	0	0	0	0
153	104001	2550	0	0	0	0	0
154	104001	2566	0	0	0	0	0
155	104001	2583	0	0	0	0	0
156	104001	2600	0	0	0	0	0
157	104001	2616	0	0	0	0	0
158	104001	2633	0	0	0	0	0
159	104001	2650	0	0	0	0	0
160	104001	2666	0	0	0	0	0
161	104001	2683	0	0	0	0	0
162	104001	2700	0	0	0	0	0
163	104001	2716	0	0	0	0	0
164	104001	2733	0	0	0	0	0
165	104001	2750	0	0	0	0	0
166	104001	2766	0	0	0	0	0
167	104001	2783	0	0	0	0	0
168	104001	2800	0.02	0.02	0	0	0
169	104001	2816	0.06	0.06	0	0	0
170	104001	2833	0.1	0.1	0	0	0
171	104001	2850	0.12	0.12	0	0	0
172	104001	2866	0.16	0.16	0	0	0
173	104001	2883	0.2	0.2	0	0	0
174	104001	2900	0.2	0.2	0	0	0
175	104001	2916	0.080004	0.334316	0	0	0
176	104001	2933	0.060007	0.306866	0	0	0
177	104001	2950	0.050012	0.292945	0	0	0
178	104001	2966	0.100024	0.292945	0	0	0
179	104001	2983	0.100024	0.292945	0	0	0
180	104001	3000	0.100024	0.292945	0	0	0
181	104001	3016	0.060011	0.148303	0	0	0
182	104001	3033	0.060324	0.135816	0	0	0
183	104001	3050	0.061709	0.12974	0	0	0
184	104001	3066	0.042698	0.090032	0	0	0
185	104001	3083	0	0.075519	0.08604	0	0
186	104001	3100	0	0.075519	0.08604	0	0
187	104001	3116	0	0.085845	0.08604	0	0
188	104001	3133	0	0.125783	0.08604	0	0
189	104001	3150	0	0.21753	0.04496	0	0
190	104001	3166	0	0.217264	0.094411	0	0
191	104001	3183	0	0.191776	0.051814	0	0
192	104001	3200	0	0.171777	0.051817	0	0
193	104001	3216	0	0.131782	0.051824	0	0
194	104001	3233	0	0.047064	0.112832	0	0
195	104001	3250	0	0.040199	0.111446	0	0
196	104001	3266	0.02	0.120372	0	0	0
197	104001	3283	0.06	0.160372	0	0	0
198	104001	3300	0.08	0.180372	0	0	0
199	104001	3316	0.12	0.220367	0	0	0
200	104001	3333	0.16	0.258021	0	0	0
201	104001	3350	0.18	0.2	0	0	0
202	104001	3366	0.2	0.2	0	0	0
203	104001	3383	0.2	0.2	0	0	0
204	104001	3400	0.09	0.279999	0	0	0
205	104001	3416	0.07	0.439743	0	0	0
206	104001	3433	0.05	0.598769	0	0	0
207	104001	3450	0.03	0.756126	0	0	0
208	104001	3466	0.02	0.835405	0	0	0
209	104001	3483	0	0.995028	0.000032	0	0
210	104001	3500	0	0.994645	0.000206	0	0
211	104001	3516	0	0.994634	0.000335	0	0
212	104001	3533	0	0.995481	0.000397	0	0
213	104001	3550	0	0.997415	0.000402	0	0
214	104001	3566	0	0.998823	0.000406	0	0
215	104001	3583	0	0.999074	0.000396	0	0
216	104001	3600	0	0.971044	0.013402	0	0
217	104001	3616	0	0.789345	0.102882	0	0
218	104001	3633	0	0.609477	0.274315	0	0
219	104001	3650	0	0.509489	0.137351	0	0
220	104001	3666	0	0.3095	0.274694	0	0
221	104001	3683	0	0.109626	0.274651	0	0
222	104001	3700	0	0.038039	0.24829	0	0
223	104001	3716	0	0.060006	0.069072	0	0
224	104001	3733	0	0	0.026029	0	0.122262
225	104001	3750	0	0	0.048767	0	0.176308
226	104001	3766	0	0	0.074189	0	0.322778
227	104001	3783	0	0	0.077254	0	0.460313
228	104001	3800	0	0	0.077591	0	0.466665
229	104001	3816	0	0	0.078045	0	0.466864
230	104001	3833	0	0	0.105419	0	0.344646
231	104001	3850	0	0	0	0.025003	0.285318
232	104001	3866	0	0	0	0.049966	0.219276
233	104001	3883	0.049513	0	0	0.109073	0
234	104001	3900	0.198794	0	0	0.054647	0
235	104001	3916	0.396509	0	0	0.055765	0
236	104001	3933	0.538274	0	0	0.084651	0
237	104001	3950	0.551767	0	0	0.127632	0
238	104001	3966	0.574668	0	0	0.192724	0
239	104001	3983	0.515642	0	0	0.183583	0
240	104001	4000	0.435874	0	0	0.183362	0
241	104001	4016	0.278159	0	0	0.181126	0
242	104001	4033	0.176394	0	0	0.123354	0
243	104001	4050	0.163074	0	0.045332	0	0
244	104001	4066	0.082767	0	0.173884	0	0
245	104001	4083	0.245502	0	0.086942	0	0
246	104001	4100	0.405354	0	0.086942	0	0
247	104001	4116	0.484667	0	0.086942	0	0
248	104001	4133	0.639202	0	0.08701	0	0
249	104001	4150	0.646175	0	0	0	0.044833
250	104001	4166	0.628269	0	0	0	0.123643
251	104001	4183	0.508301	0	0	0	0.123643
252	104001	4200	0.42839	0	0	0	0.123643
253	104001	4216	0.249232	0	0	0	0.061824
254	104001	4233	0.027362	0	0	0	0.124003
255	104001	4250	0.02008	0.174343	0	0	0
256	104001	4266	0.020087	0.26603	0	0	0
257	104001	4283	0.020089	0.449394	0	0	0
258	104001	4300	0.010089	0.548577	0	0	0
259	104001	4316	0	0.748252	0	0	0.000305
260	104001	4333	0	0.948112	0	0	0.000174
261	104001	4350	0	0.973766	0	0	0.000175
262	104001	4366	0	0.982077	0	0	0.000175
263	104001	4383	0	0.798713	0	0	0.00035
264	104001	4400	0	0.69953	0	0	0.00035
265	104001	4416	0.02	0.519855	0	0	0
266	104001	4433	0.01	0.519994	0	0	0
267	104001	4450	0.01	0.519994	0	0	0
268	104001	4466	0.01	0.51999	0	0	0
269	104001	4483	0.01	0.719976	0	0	0
270	104001	4500	0.01	0.919943	0	0	0
271	104001	4516	0	0.899943	0	0	0
272	104001	4533	0	0.699944	0	0	0
273	104001	4550	0	0.599947	0	0	0
274	104001	4566	0	0.399953	0	0	0
275	104001	4583	0	0.211917	0.054349	0	0
276	104001	4600	0	0.131919	0.108698	0	0
277	104001	4616	0	0	0.185847	0	0.037758
278	104001	4633	0	0	0.218732	0	0.071067
279	104001	4650	0	0	0.127489	0	0.300261
280	104001	4666	0	0	0.254978	0	0.300261
281	104001	4683	0	0	0.14628	0	0.300261
282	104001	4700	0	0	0.14628	0	0.300261
283	104001	4716	0	0	0.069131	0	0.224745
284	104001	4733	0	0	0.036246	0	0.158127
285	104001	4750	0.04	0.02	0	0	0
286	104001	4766	0.06	0.04	0	0	0
287	104001	4783	0.1	0.08	0	0	0
288	104001	4800	0.05	0.179996	0	0	0
289	104001	4816	0.050002	0.281435	0	0	0
290	104001	4833	0.120033	0.301526	0	0	0
291	104001	4850	0.100033	0.301526	0	0	0
292	104001	4866	0.060033	0.261526	0	0	0
293	104001	4883	0.020033	0.221526	0	0	0
294	104001	4900	0.020033	0.021599	0	0	0
295	104001	4916	0.040028	0.040091	0	0	0
296	104001	4933	0.023935	0	0.055391	0	0
297	104001	4950	0.032003	0	0	0	0.075975
298	104001	4966	0.193776	0	0	0	0.073023
299	104001	4983	0.313551	0	0	0	0.113116
300	104001	5000	0.325353	0	0	0	0.314407
301	104001	5016	0.305353	0	0	0	0.314407
302	104001	5033	0.277482	0	0	0	0.314407
303	104001	5050	0.206881	0	0	0	0.193022
304	104001	5066	0.131577	0	0	0	0.168361
305	104001	5083	0.011802	0	0	0	0.088176
306	104001	5100	0	0	0	0	0
307	104001	5116	0	0	0	0	0
308	104001	5133	0	0	0	0	0
309	104001	5150	0	0	0	0	0
310	104001	5166	0	0	0	0	0
311	104001	5183	0	0	0	0	0
312	104001	5200	0	0	0	0	0
313	104001	5216	0	0	0	0	0
314	104001	5233	0	0	0	0	0
315	104001	5250	0	0	0	0	0
316	104001	5266	0	0	0	0	0
317	104001	5283	0	0	0	0	0
318	104001	5300	0	0	0	0	0
319	104001	5316	0	0	0	0	0
320	104001	5333	0	0	0	0	0
321	104001	5350	0	0	0	0	0
322	104001	5366	0	0	0	0	0
323	104001	5383	0	0	0	0	0
324	104001	5400	0	0	0	0	0
325	104001	5416	0	0	0	0	0
326	104001	5433	0	0	0	0	0
327	104001	5450	0	0	0	0	0
328	104001	5466	0	0	0	0	0
329	104001	5483	0	0	0	0	0
330	104001	5500	0	0	0	0	0
331	104001	5516	0	0	0	0	0
332	104001	5533	0	0	0	0	0
333	104001	5550	0	0	0	0	0
334	106023	0	0	0	0	0	0
335	106023	16	0	0	0	0	0
336	106023	33	0	0	0	0	0
337	106023	50	0	0	0	0	0
338	106023	66	0	0	0	0	0
339	106023	83	0.04	0.04	0	0	0
340	106023	100	0.021061	0	0	0	0.092575
341	106023	116	0.021411	0	0	0	0.291707
342	106023	133	0.021424	0	0	0	0.491592
343	106023	150	0.021467	0	0	0	0.591505
344	106023	166	0.021818	0	0	0	0.790803
345	106023	183	0.001994	0	0	0	0.99045
346	106023	200	0.00096	0	0	0	0.997821
347	106023	216	0.010621	0	0	0	0.898666
348	106023	233	0.010622	0	0	0	0.898739
349	106023	250	0.010584	0	0	0	0.898796
350	106023	266	0.015747	0	0	0	0.874949
351	106023	283	0.031142	0	0	0	0.675301
352	106023	300	0.051088	0	0	0	0.575355
353	106023	316	0.071065	0	0	0	0.475379
354	106023	333	0.111038	0	0	0	0.27542
355	106023	350	0.131028	0	0	0	0.17545
356	106023	366	0.140867	0	0.049147	0	0
357	106023	383	0.082302	0	0.265283	0	0
358	106023	400	0.164604	0	0.265283	0	0
359	106023	416	0.164604	0	0.265283	0	0
360	106023	433	0.164604	0	0.265283	0	0
361	106023	450	0.073692	0	0.361891	0	0
362	106023	466	0.126517	0	0.263597	0	0
363	106023	483	0.052689	0	0.293925	0	0
364	106023	500	0.043232	0	0.392745	0	0
365	106023	516	0	0	0.518547	0	0.03626
366	106023	533	0	0	0.518742	0	0.136088
367	106023	550	0	0	0.422157	0	0.186056
368	106023	566	0	0	0.217331	0	0.558856
369	106023	583	0	0	0.195086	0	0.605806
370	106023	600	0	0	0.193163	0	0.610605
371	106023	616	0	0	0.13688	0	0.538098
372	106023	633	0	0	0.136823	0	0.338443
373	106023	650	0	0	0.273625	0	0.119253
374	106023	666	0	0.049999	0.261132	0	0
375	106023	683	0	0.299973	0.054165	0	0
376	106023	700	0	0.399939	0.006694	0	0
377	106023	716	0	0.599891	0.0001	0	0
378	106023	733	0	0.798645	0.000591	0	0
379	106023	750	0	0.798645	0.001178	0	0
380	106023	766	0	0.698647	0.001167	0	0
381	106023	783	0	0.498672	0.001142	0	0
382	106023	800	0	0.398705	0.001109	0	0
383	106023	816	0	0.198754	0.001061	0	0
384	106023	833	0	0	0	0	0
385	106023	850	0.02	0.02	0	0	0
386	106023	866	0.02028	0.118388	0	0	0
387	106023	883	0.080559	0.158388	0	0	0
388	106023	900	0.080559	0.158388	0	0	0
389	106023	916	0.080559	0.158388	0	0	0
390	106023	933	0.080559	0.158388	0	0	0
391	106023	950	0.060559	0.138388	0	0	0
392	106023	966	0.04	0.04	0	0	0
393	106023	983	0	0	0	0	0
394	106023	1000	0	0	0	0	0
395	106023	1016	0	0	0	0	0
396	106023	1033	0	0	0	0	0
397	106023	1050	0	0	0	0	0
398	106023	1066	0	0	0	0	0
399	106023	1083	0	0	0	0	0
400	106023	1100	0	0	0	0	0
401	106023	1116	0.02	0.02	0	0	0
402	106023	1133	0.06	0.06	0	0	0
403	106023	1150	0.031353	0	0	0	0.097293
404	106023	1166	0.102706	0	0	0	0.097293
405	106023	1183	0.126212	0	0	0	0.193788
406	106023	1200	0.146212	0	0	0	0.193788
407	106023	1216	0.126212	0	0	0	0.193788
408	106023	1233	0.086212	0	0	0	0.193788
409	106023	1250	0.083505	0	0	0	0.096494
410	106023	1266	0.043505	0	0	0	0.096494
411	106023	1283	0.02	0	0	0	0
412	106023	1300	0	0	0	0	0
413	106023	1316	0	0	0	0	0
414	106023	1333	0	0	0	0	0
415	106023	1350	0	0	0	0	0
416	106023	1366	0	0	0	0	0
417	106023	1383	0	0	0	0	0
418	106023	1400	0	0	0	0	0
419	106023	1416	0	0	0	0	0
420	106023	1433	0	0	0	0	0
421	106023	1450	0	0	0	0	0
422	106023	1466	0	0	0	0	0
423	106023	1483	0	0	0	0	0
424	106023	1500	0	0	0	0	0
425	106023	1516	0	0	0	0	0
426	106023	1533	0	0	0	0	0
427	106023	1550	0	0	0	0	0
428	106023	1566	0	0	0	0	0
429	106023	1583	0	0	0	0	0
430	106023	1600	0	0	0	0	0
431	106023	1616	0	0	0	0	0
432	106023	1633	0	0	0	0	0
433	106023	1650	0	0	0	0	0
434	106023	1666	0	0	0	0	0
435	106023	1683	0	0	0	0	0
436	106023	1700	0	0	0	0	0
437	106023	1716	0	0	0	0	0
438	106023	1733	0	0	0	0	0
439	106023	1750	0	0	0	0	0
440	106023	1766	0	0	0	0	0
441	106023	1783	0	0	0	0	0
442	106023	1800	0	0	0	0	0
443	106023	1816	0	0	0	0	0
444	106023	1833	0	0	0	0	0
445	106023	1850	0	0	0	0	0
446	106023	1866	0	0	0	0	0
447	106023	1883	0	0	0	0	0
448	106023	1900	0	0	0	0	0
449	106023	1916	0	0	0	0	0
450	106023	1933	0	0	0	0	0
451	106023	1950	0	0	0	0	0
452	106023	1966	0	0	0	0	0
453	106023	1983	0	0	0	0	0
454	106023	2000	0	0	0	0	0
455	106023	2016	0	0	0	0	0
456	106023	2033	0	0	0	0	0
457	106023	2050	0	0	0	0	0
458	106023	2066	0	0	0	0	0
459	106023	2083	0	0	0	0	0
460	106023	2100	0	0	0	0	0
461	106023	2116	0	0	0	0	0
462	106023	2133	0	0	0	0	0
463	106023	2150	0	0	0	0	0
464	106023	2166	0.04	0.04	0	0	0
465	106023	2183	0.08	0.08	0	0	0
466	106023	2200	0.1	0.1	0	0	0
467	106023	2216	0.120189	0.06	0	0	0
468	106023	2233	0.120509	0.06	0	0	0
469	106023	2250	0.12081	0.06	0	0	0
470	106023	2266	0.113503	0.1	0	0	0
471	106023	2283	0.268284	0.03	0	0	0
472	106023	2300	0.348206	0.02	0	0	0
473	106023	2316	0.44779	0.02	0	0	0
474	106023	2333	0.647023	0.02	0	0	0
475	106023	2350	0.746376	0.02	0	0	0
476	106023	2366	0.813642	0.02	0	0	0
477	106023	2383	0.618861	0.02	0	0	0
478	106023	2400	0.518939	0.02	0	0	0
479	106023	2416	0.399166	0	0	0	0
480	106023	2433	0.199613	0	0	0	0
481	106023	2450	0.09996	0	0	0	0
482	106023	2466	0	0	0	0	0
483	106023	2483	0	0	0	0	0
484	106023	2500	0	0	0	0	0
485	106023	2516	0	0	0	0	0
486	106023	2533	0	0	0	0	0
487	106023	2550	0	0	0	0	0
488	106023	2566	0	0	0	0	0
489	106023	2583	0	0	0	0	0
490	106023	2600	0	0	0	0	0
491	106023	2616	0	0	0	0	0
492	106023	2633	0	0	0	0	0
493	106023	2650	0	0	0	0	0
494	106023	2666	0	0	0	0	0
495	106023	2683	0	0	0	0	0
496	106023	2700	0	0	0	0	0
497	106023	2716	0	0	0	0	0
498	106023	2733	0	0	0	0	0
499	106023	2750	0	0	0	0	0
500	106023	2766	0	0	0	0	0
501	106023	2783	0	0	0	0	0
502	106023	2800	0	0	0	0	0
503	106023	2816	0	0	0	0	0
504	106023	2833	0	0	0	0	0
505	106023	2850	0	0	0	0	0
506	106023	2866	0	0	0	0	0
507	106023	2883	0	0	0	0	0
508	106023	2900	0	0	0	0	0
509	106023	2916	0	0	0	0	0
510	106023	2933	0	0	0	0	0
511	106023	2950	0	0	0	0	0
512	106023	2966	0	0	0	0	0
513	106023	2983	0	0	0	0	0
514	106023	3000	0	0	0	0	0
515	106023	3016	0	0	0	0	0
516	106023	3033	0	0	0	0	0
517	106023	3050	0.02	0.02	0	0	0
518	106023	3066	0	0.02021	0.079449	0	0
519	106023	3083	0	0.071557	0.176563	0	0
520	106023	3100	0	0.214237	0.102695	0	0
521	106023	3116	0	0.406364	0.106622	0	0
522	106023	3133	0	0.605124	0.107223	0	0
523	106023	3150	0	0.685101	0.107229	0	0
524	106023	3166	0	0.784516	0.135156	0	0
525	106023	3183	0	0.721823	0.038042	0	0
526	106023	3200	0.02	0.670699	0	0	0
527	106023	3216	0	0.499192	0.049936	0	0
528	106023	3233	0	0.339293	0.126771	0	0
529	106023	3250	0	0.313137	0.138963	0	0
530	106023	3266	0	0.381214	0.144918	0	0
531	106023	3283	0	0.381214	0.289835	0	0
532	106023	3300	0	0.381214	0.289835	0	0
533	106023	3316	0	0.400595	0.191325	0	0
534	106023	3333	0	0.401733	0.036453	0	0
535	106023	3350	0.02	0.347912	0	0	0
536	106023	3366	0.06	0.2	0	0	0
537	106023	3383	0.08	0.18	0	0	0
538	106023	3400	0.08	0.16	0	0	0
539	106023	3416	0	0.062356	0.147736	0	0
540	106023	3433	0.18455	0	0.09144	0	0
541	106023	3450	0.0949	0	0.308398	0	0
542	106023	3466	0.108549	0	0.357275	0	0
543	106023	3483	0.280026	0	0.379804	0	0
544	106023	3500	0.300026	0	0.379804	0	0
545	106023	3516	0.340026	0	0.232068	0	0
546	106023	3533	0.275475	0	0.196924	0	0
547	106023	3550	0.117786	0	0.258438	0	0
548	106023	3566	0.257845	0	0.103554	0	0
549	106023	3583	0.368467	0	0.092303	0	0
550	106023	3600	0.443981	0	0.092707	0	0
551	106023	3616	0.499466	0	0.125098	0	0
552	106023	3633	0.487549	0	0.322329	0	0
553	106023	3650	0.505488	0	0.225722	0	0
554	106023	3666	0.472632	0	0.13775	0	0
555	106023	3683	0.319082	0	0.137723	0	0
556	106023	3700	0.243568	0	0.136914	0	0
557	106023	3716	0.168083	0	0.082257	0	0
558	106023	3733	0.07	0	0.292162	0	0
559	106023	3750	0.06	0	0.392155	0	0
560	106023	3766	0.04	0	0.592011	0	0
561	106023	3783	0.060001	0	0.666898	0	0
562	106023	3800	0.060001	0	0.666898	0	0
563	106023	3816	0.080001	0	0.574516	0	0
564	106023	3833	0.120001	0	0.374735	0	0
565	106023	3850	0.160001	0	0.174745	0	0
566	106023	3866	0.180001	0	0.074887	0	0
567	106023	3883	0.18	0	0.069649	0	0
568	106023	3900	0.08	0	0.169639	0	0
569	106023	3916	0.060053	0	0.369008	0	0
570	106023	3933	0.120105	0	0.369008	0	0
571	106023	3950	0.120105	0	0.369008	0	0
572	106023	3966	0.120105	0	0.369008	0	0
573	106023	3983	0.056167	0	0.48333	0	0
574	106023	4000	0.132334	0	0.383339	0	0
575	106023	4016	0.06626	0	0.38357	0	0
576	106023	4033	0.046348	0	0.569379	0	0
577	106023	4050	0.092696	0	0.569379	0	0
578	106023	4066	0.092696	0	0.569379	0	0
579	106023	4083	0.120467	0	0.385409	0	0
580	106023	4100	0.0626	0	0.379412	0	0
581	106023	4116	0.086091	0	0.322366	0	0
582	106023	4133	0.366492	0	0.068381	0	0
583	106023	4150	0.431944	0	0.068915	0	0
584	106023	4166	0.526666	0	0.069613	0	0
585	106023	4183	0.577013	0	0.089168	0	0
586	106023	4200	0.57254	0	0.114215	0	0
587	106023	4216	0.560536	0	0.091872	0	0
588	106023	4233	0.406049	0	0.091667	0	0
589	106023	4250	0.294285	0	0.089493	0	0
590	106023	4266	0.245875	0	0.089204	0	0
591	106023	4283	0.077775	0	0.161228	0	0
592	106023	4300	0.140039	0	0.055588	0	0
593	106023	4316	0.05002	0	0.111178	0	0
594	106023	4333	0	0	0.055589	0	0.199996
595	106023	4350	0	0	0.055589	0	0.399797
596	106023	4366	0	0	0.055589	0	0.498813
597	106023	4383	0.005326	0	0	0	0.685917
598	106023	4400	0.023545	0	0	0	0.749462
599	106023	4416	0.116888	0	0	0	0.762773
600	106023	4433	0.216851	0	0	0	0.562853
601	106023	4450	0.533697	0	0	0	0.231438
602	106023	4466	0.533697	0	0	0	0.26404
603	106023	4483	0.523063	0	0	0	0.076935
604	106023	4500	0.399341	0	0	0	0.000659
605	106023	4516	0.299921	0	0	0	0.000079
606	106023	4533	0.099996	0	0	0	0.000004
607	106023	4550	0	0	0	0	0
608	106023	4566	0	0	0	0	0
609	106023	4583	0	0	0	0	0
610	106023	4600	0	0	0	0	0
611	106023	4616	0	0	0	0	0
612	106023	4633	0	0	0	0	0
613	106023	4650	0	0	0	0	0
614	106023	4666	0	0	0	0	0
615	106023	4683	0	0	0	0	0
616	106023	4700	0	0	0	0	0
617	106023	4716	0	0	0	0	0
618	106023	4733	0	0	0	0	0
619	106023	4750	0	0	0	0	0
620	106023	4766	0	0	0.016431	0	0.057743
621	106023	4783	0	0	0.016447	0	0.257711
622	106023	4800	0	0	0.016448	0	0.357709
623	106023	4816	0	0	0.038082	0	0.514031
624	106023	4833	0	0	0.119676	0	0.545133
625	106023	4850	0	0	0.239352	0	0.545133
626	106023	4866	0	0	0.20649	0	0.48739
627	106023	4883	0	0	0.206458	0	0.287423
628	106023	4900	0	0	0.203928	0	0.089956
629	106023	4916	0	0	0.163188	0	0.031103
630	106023	4933	0.04	0.02	0	0	0
631	106023	4950	0.06	0.04	0	0	0
632	106023	4966	0.1	0.08	0	0	0
633	106023	4983	0.14	0.12	0	0	0
634	106023	5000	0.182748	0.070279	0	0	0
635	106023	5016	0.282688	0.070279	0	0	0
636	106023	5033	0.282688	0.160557	0	0	0
637	106023	5050	0.442679	0.060279	0	0	0
638	106023	5066	0.522434	0.050279	0	0	0
639	106023	5083	0.602399	0.080557	0	0	0
640	106023	5100	0.602399	0.080557	0	0	0
641	106023	5116	0.519711	0.12	0	0	0
