Id	Type	Negative	Name	Param	Children[1]	Children[2]	Children[3]	Children[4]	Children[5]	Children[6]	Children[7]	Children[8]	Children[9]	Children[10]	Children[11]	Children[12]	Children[13]	Children[14]	Children[15]	Children[16]	Children[17]	Children[18]	Children[19]	Children[20]	Children[21]	Children[22]	Children[23]	Children[24]	Children[25]	Children[26]	Children[27]	Children[28]	Children[29]	Children[30]	Children[31]	Children[32]	Children[33]	Children[34]	Children[35]	Children[36]	Children[37]	Children[38]	Children[39]	Children[40]	Children[41]	Children[42]	Children[43]	Children[44]	Children[45]	Children[46]	Children[47]	Children[48]	Children[49]	Children[50]	Children[51]	Children[52]	Children[53]	Children[54]	Children[55]	Children[56]	Children[57]	Children[58]	Children[59]	Children[60]	Children[61]	Children[62]	Children[63]	Children[64]	Children[65]	Children[66]	Children[67]	Children[68]	Children[69]	Children[70]	Children[71]	Children[72]	Children[73]	Children[74]	Children[75]	Children[76]	Children[77]	Children[78]	Children[79]	Children[80]	Children[81]	Children[82]	Children[83]	Children[84]	Children[85]	Children[86]	Children[87]	Children[88]	Children[89]	Children[90]	Children[91]	Children[92]	Children[93]	Children[94]	Children[95]	Children[96]	Children[97]	Children[98]	Children[99]	Children[100]	Children[101]	Children[102]	Children[103]	Children[104]	Children[105]	Children[106]	Children[107]	Children[108]	Children[109]	Children[110]	Children[111]	Children[112]	Children[113]	Children[114]	Children[115]	Children[116]	Children[117]	Children[118]	Children[119]	Children[120]	Children[121]	Children[122]	Children[123]	Children[124]	Children[125]	Children[126]	Children[127]	Children[128]	Children[129]	Children[130]	Children[131]	Children[132]	Children[133]	Children[134]	Children[135]	Children[136]	Children[137]	Children[138]	Children[139]	Children[140]	Children[141]	Children[142]	Children[143]	Children[144]	Children[145]	Children[146]	Children[147]	Children[148]	Children[149]	Children[150]	Children[151]	Children[152]	Children[153]	Children[154]	Children[155]	Children[156]	Children[157]	Children[158]	Children[159]	Children[160]	Children[161]	Children[162]	Children[163]	Children[164]	Children[165]	Children[166]	Children[167]	Children[168]	Children[169]	Children[170]	Children[171]	Children[172]	Children[173]	Children[174]	Children[175]	Children[176]	Children[177]	Children[178]	Children[179]	Children[180]	Children[181]	Children[182]	Children[183]	Children[184]	Children[185]	Children[186]	Children[187]	Children[188]	Children[189]	Children[190]	Children[191]	Children[192]	Children[193]	Children[194]	Children[195]	Children[196]	Children[197]	Children[198]	Children[199]	Children[200]	Children[201]	Children[202]	Children[203]	Children[204]	Children[205]	Children[206]	Children[207]	Children[208]	Children[209]	Children[210]	Children[211]	Children[212]	Children[213]	Children[214]	Children[215]	Children[216]	Children[217]	Children[218]	Children[219]	Children[220]	Children[221]	Children[222]	Children[223]	Children[224]	Children[225]	Children[226]	Children[227]	Children[228]	Children[229]	Children[230]	Children[231]	Children[232]	Children[233]	Children[234]	Children[235]	Children[236]	Children[237]	Children[238]	Children[239]	Children[240]	Children[241]	Children[242]	Children[243]	Children[244]	Children[245]	Children[246]	Children[247]	Children[248]	Children[249]	Children[250]
870000078	0		DoGetObstacleDistance	1#1307|1#2001|1#1305																																																																																																																																																																																																																																																										
870000079	0		CheckIntCompareInt	1#1307|1#1306|2																																																																																																																																																																																																																																																										
870000080	0	1	DoGetObstacleDistance	1#1307|1#2001|1#1305																																																																																																																																																																																																																																																										
870000081	1				870000082	870000085																																																																																																																																																																																																																																																								
870000082	2				870000083	870000084																																																																																																																																																																																																																																																								
870000083	0		CheckNpc	4#2006																																																																																																																																																																																																																																																										
870000084	0		DoAddMissileEx	4#2006|0|1#1301|1#1302|1#1303|1#1304|1#1400|1																																																																																																																																																																																																																																																										
870000085	0		DoAddMissileEx	1#2001|0|1#1301|1#1302|1#1303|1#1304|1#1400|1																																																																																																																																																																																																																																																										
870000086	0		DoMagic	1#2001|1#2001|0|100002																																																																																																																																																																																																																																																										
870000087	2				870000088	870000089	870000090	870000272																																																																																																																																																																																																																																																						
870000088	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000089	0		DoSetInt	1#1200|0																																																																																																																																																																																																																																																										
870000090	0		DoSetInt	1#1201|0																																																																																																																																																																																																																																																										
870000272	0		DoMagic	1#2001|1#2001|0|800002																																																																																																																																																																																																																																																										
870000091	2				870000092	870000093																																																																																																																																																																																																																																																								
870000092	0		DoGetDamageBehaviorContext	1#1001|1#1002|1#1003|1#1004|1#1005|1#1006|1#1007|1#1008																																																																																																																																																																																																																																																										
870000093	1				870000094	870000101																																																																																																																																																																																																																																																								
870000094	2				870000103	870000095	870000096	870000097	870000098	870000099	870000100	870000274	870000275																																																																																																																																																																																																																																																	
870000103	0		CheckExistBuffByKind	1#2001|8000020																																																																																																																																																																																																																																																										
870000095	0		CheckInt	1#1002|1#2001|1																																																																																																																																																																																																																																																										
870000096	0		DoAddInt	1#1200|1#1200|1																																																																																																																																																																																																																																																										
870000097	0		CheckInt	1#1200|3|3																																																																																																																																																																																																																																																										
870000098	0		DoRemoveBuffByKind	1#2001|8000020|0																																																																																																																																																																																																																																																										
870000099	0		DoGetTime	1#1201|12																																																																																																																																																																																																																																																										
870000100	0		DoSetInt	1#1200|0																																																																																																																																																																																																																																																										
870000274	0		CheckNpc	2#2002																																																																																																																																																																																																																																																										
870000275	0		DoAddMissile	2#2002|1#2001|0|0|0|0|80000001|1																																																																																																																																																																																																																																																										
870000101	2				870000273	870000102	870000276	870000104																																																																																																																																																																																																																																																						
870000273	0	1	CheckExistBuffByKind	1#2001|8000020																																																																																																																																																																																																																																																										
870000102	0		CheckPassTime	1#1201|0																																																																																																																																																																																																																																																										
870000276	0		DoAbortBeHit	1#2001																																																																																																																																																																																																																																																										
870000104	0		DoMagic	1#2001|1#2001|0|800002																																																																																																																																																																																																																																																										
870000105	2				870000106																																																																																																																																																																																																																																																									
870000106	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000107	2				870000108	870000109	870000110																																																																																																																																																																																																																																																							
870000108	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000109	0	1	DoGetMoveOperation	1#2001|1#1000|1#1303|1#1304																																																																																																																																																																																																																																																										
870000110	3				900003	870000112																																																																																																																																																																																																																																																								
870000112	2																																																																																																																																																																																																																																																													
870000277	2				870000278	870000279																																																																																																																																																																																																																																																								
870000278	0		DoGetRoleActivateNpc	1#2002|1																																																																																																																																																																																																																																																										
870000279	3				870000280	870000283	870000286																																																																																																																																																																																																																																																							
870000280	2				870000281	870000282																																																																																																																																																																																																																																																								
870000281	0	1	CheckExistBuffByKind	1#2002|8000370																																																																																																																																																																																																																																																										
870000282	0		DoMagic	1#2002|1#2002|0|800037																																																																																																																																																																																																																																																										
870000283	2				870000284	870000285																																																																																																																																																																																																																																																								
870000284	0	1	CheckExistBuffByKind	1#2002|8000380																																																																																																																																																																																																																																																										
870000285	0		DoMagic	1#2002|1#2002|0|800038																																																																																																																																																																																																																																																										
870000286	2				870000287	870000288																																																																																																																																																																																																																																																								
870000287	0	1	CheckExistBuffByKind	1#2002|8000390																																																																																																																																																																																																																																																										
870000288	0		DoMagic	1#2002|1#2002|0|800039																																																																																																																																																																																																																																																										
870000113	3				900072																																																																																																																																																																																																																																																									
870000115	3				900072	900072																																																																																																																																																																																																																																																								
870000118	3				900072	900072	900072																																																																																																																																																																																																																																																							
870000122	3				900072	900072	900072	900072																																																																																																																																																																																																																																																						
870000127	3				900072	900072	900072	900072	900072																																																																																																																																																																																																																																																					
870000133	3				900072	900072	900072	900072	900072	900072																																																																																																																																																																																																																																																				
870000140	3				900072	900072	900072	900072	900072	900072																																																																																																																																																																																																																																																				
870000147	2				870000148	870000149	870000150																																																																																																																																																																																																																																																							
870000148	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000149	0		DoGetTime	1#8000000|0.5																																																																																																																																																																																																																																																										
870000150	0		DoCopyNoteByNpcNote	1#200000|1#2001|100092																																																																																																																																																																																																																																																										
870000151	2				870000152	870000153	870000154																																																																																																																																																																																																																																																							
870000152	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000153	0		CheckActivate	1#2001																																																																																																																																																																																																																																																										
870000154	1				870000155	870000160																																																																																																																																																																																																																																																								
870000155	2				870000156	870000157	870000158	870000159																																																																																																																																																																																																																																																						
870000156	0		CheckPassTime	1#8000000|0																																																																																																																																																																																																																																																										
870000157	0		DoMagic	1#2001|1#2001|0|800091																																																																																																																																																																																																																																																										
870000158	0		DoAbortSkill	1#2001|1																																																																																																																																																																																																																																																										
870000159	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000160	1				870000161	870000165																																																																																																																																																																																																																																																								
870000161	2				870000162	870000163	870000164																																																																																																																																																																																																																																																							
870000162	0		DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000163	0		CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000164	0		DoReturnTrue																																																																																																																																																																																																																																																											
870000165	2				870000166	870000170	870000171																																																																																																																																																																																																																																																							
870000166	1				870000167	870000168	870000169																																																																																																																																																																																																																																																							
870000167	0	1	DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000168	0	1	CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000169	0	1	CheckAction	1#2001|1																																																																																																																																																																																																																																																										
870000170	0		DoMagic	1#2001|1#2001|0|800092																																																																																																																																																																																																																																																										
870000171	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000172	2				870000173	870000174	870000175																																																																																																																																																																																																																																																							
870000173	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000174	0		DoGetTime	1#8000000|1																																																																																																																																																																																																																																																										
870000175	0		DoCopyNoteByNpcNote	1#200000|1#2001|100092																																																																																																																																																																																																																																																										
870000176	2				870000177	870000178	870000179																																																																																																																																																																																																																																																							
870000177	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000178	0		CheckActivate	1#2001																																																																																																																																																																																																																																																										
870000179	1				870000180	870000185																																																																																																																																																																																																																																																								
870000180	2				870000181	870000182	870000183	870000184																																																																																																																																																																																																																																																						
870000181	0		CheckPassTime	1#8000000|0																																																																																																																																																																																																																																																										
870000182	0		DoMagic	1#2001|1#2001|0|800091																																																																																																																																																																																																																																																										
870000183	0		DoAbortSkill	1#2001|1																																																																																																																																																																																																																																																										
870000184	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000185	1				870000186	870000190																																																																																																																																																																																																																																																								
870000186	2				870000187	870000188	870000189																																																																																																																																																																																																																																																							
870000187	0		DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000188	0		CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000189	0		DoReturnTrue																																																																																																																																																																																																																																																											
870000190	2				870000191	870000195	870000196																																																																																																																																																																																																																																																							
870000191	1				870000192	870000193	870000194																																																																																																																																																																																																																																																							
870000192	0	1	DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000193	0	1	CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000194	0	1	CheckAction	1#2001|1																																																																																																																																																																																																																																																										
870000195	0		DoMagic	1#2001|1#2001|0|800092																																																																																																																																																																																																																																																										
870000196	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000197	2				870000198	870000199	870000200																																																																																																																																																																																																																																																							
870000198	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000199	0		DoGetTime	1#8000000|2																																																																																																																																																																																																																																																										
870000200	0		DoCopyNoteByNpcNote	1#200000|1#2001|100092																																																																																																																																																																																																																																																										
870000201	2				870000202	870000203	870000204																																																																																																																																																																																																																																																							
870000202	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000203	0		CheckActivate	1#2001																																																																																																																																																																																																																																																										
870000204	1				870000205	870000210																																																																																																																																																																																																																																																								
870000205	2				870000206	870000207	870000208	870000209																																																																																																																																																																																																																																																						
870000206	0		CheckPassTime	1#8000000|0																																																																																																																																																																																																																																																										
870000207	0		DoMagic	1#2001|1#2001|0|800091																																																																																																																																																																																																																																																										
870000208	0		DoAbortSkill	1#2001|1																																																																																																																																																																																																																																																										
870000209	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000210	1				870000211	870000215																																																																																																																																																																																																																																																								
870000211	2				870000212	870000213	870000214																																																																																																																																																																																																																																																							
870000212	0		DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000213	0		CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000214	0		DoReturnTrue																																																																																																																																																																																																																																																											
870000215	2				870000216	870000220	870000221																																																																																																																																																																																																																																																							
870000216	1				870000217	870000218	870000219																																																																																																																																																																																																																																																							
870000217	0	1	DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000218	0	1	CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000219	0	1	CheckAction	1#2001|1																																																																																																																																																																																																																																																										
870000220	0		DoMagic	1#2001|1#2001|0|800092																																																																																																																																																																																																																																																										
870000221	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000222	2				870000223	870000224	870000225																																																																																																																																																																																																																																																							
870000223	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000224	0		DoGetTime	1#8000000|3																																																																																																																																																																																																																																																										
870000225	0		DoCopyNoteByNpcNote	1#200000|1#2001|100092																																																																																																																																																																																																																																																										
870000226	2				870000227	870000228	870000229																																																																																																																																																																																																																																																							
870000227	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000228	0		CheckActivate	1#2001																																																																																																																																																																																																																																																										
870000229	1				870000230	870000235																																																																																																																																																																																																																																																								
870000230	2				870000231	870000232	870000233	870000234																																																																																																																																																																																																																																																						
870000231	0		CheckPassTime	1#8000000|0																																																																																																																																																																																																																																																										
870000232	0		DoMagic	1#2001|1#2001|0|800091																																																																																																																																																																																																																																																										
870000233	0		DoAbortSkill	1#2001|1																																																																																																																																																																																																																																																										
870000234	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000235	1				870000236	870000240																																																																																																																																																																																																																																																								
870000236	2				870000237	870000238	870000239																																																																																																																																																																																																																																																							
870000237	0		DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000238	0		CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000239	0		DoReturnTrue																																																																																																																																																																																																																																																											
870000240	2				870000241	870000245	870000246																																																																																																																																																																																																																																																							
870000241	1				870000242	870000243	870000244																																																																																																																																																																																																																																																							
870000242	0	1	DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000243	0	1	CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000244	0	1	CheckAction	1#2001|1																																																																																																																																																																																																																																																										
870000245	0		DoMagic	1#2001|1#2001|0|800092																																																																																																																																																																																																																																																										
870000246	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000247	2				870000248	870000249	870000250																																																																																																																																																																																																																																																							
870000248	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000249	0		DoGetTime	1#8000000|5																																																																																																																																																																																																																																																										
870000250	0		DoCopyNoteByNpcNote	1#200000|1#2001|100092																																																																																																																																																																																																																																																										
870000251	2				870000252	870000253	870000254																																																																																																																																																																																																																																																							
870000252	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000253	0		CheckActivate	1#2001																																																																																																																																																																																																																																																										
870000254	1				870000255	870000260																																																																																																																																																																																																																																																								
870000255	2				870000256	870000257	870000258	870000259																																																																																																																																																																																																																																																						
870000256	0		CheckPassTime	1#8000000|0																																																																																																																																																																																																																																																										
870000257	0		DoMagic	1#2001|1#2001|0|800091																																																																																																																																																																																																																																																										
870000258	0		DoAbortSkill	1#2001|1																																																																																																																																																																																																																																																										
870000259	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000260	1				870000261	870000265																																																																																																																																																																																																																																																								
870000261	2				870000262	870000263	870000264																																																																																																																																																																																																																																																							
870000262	0		DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000263	0		CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000264	0		DoReturnTrue																																																																																																																																																																																																																																																											
870000265	2				870000266	870000270	870000271																																																																																																																																																																																																																																																							
870000266	1				870000267	870000268	870000269																																																																																																																																																																																																																																																							
870000267	0	1	DoGetCurrentSkill	1#2001|1#4|1#0																																																																																																																																																																																																																																																										
870000268	0	1	CheckIntCompareInt	1#4|1#200000|1																																																																																																																																																																																																																																																										
870000269	0	1	CheckAction	1#2001|1																																																																																																																																																																																																																																																										
870000270	0		DoMagic	1#2001|1#2001|0|800092																																																																																																																																																																																																																																																										
870000271	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
