Id	SuitId	Order	Type	Title	Text	Condition
150121	1501	1	2	Story I	Carrielynn dreamed of working in the industrial field when she was a human but eventually gave it up and joined the army due to family reasons. In the army, she showed her military talent despite her weak body. In addition, she always had bad luck. Thanks to her experienced Strategic Memory, Carrielynn always managed to turn the tables for Constructs on the battlefield.	811003
150122	1501	2	2	Story II	Now, Erwin supervises the commandant's practices in her spare time, though she will soft-heartedly and reluctantly end the practice earlier when the commandant begs her.	811006
150221	1502	1	2	Story I	When Aife was still human, she was Cottie's sniper. Always alert and trigger happy, she greets strangers with bullets instead of hellos. Her outstanding sniping techniques are of great help to Constructs on battlefields.	811003
150222	1502	2	2	Story II	Even when seeing friends, Aife has an irresistible urge to pull the trigger. This gave her a habit of forcibly holding down her firing arm even when meeting familiar faces. Though, she soon realized that without a physical form, she can no longer shoot others.	811006
150321	1503	1	2	Story I	In the middle of the Post-Pandemic Age when Ike still had his body, he belonged to a clandestine organization full of body modders. Despising full-body modification like Construct technology, they only enhanced certain parts of their bodies. Ike was one of their elites, though he might have had plans different from the others. His fighting skills though, were undoubtedly top-notch.	811003
150322	1503	2	2	Story II	Even though Ike has lost his body, he seems to be quite indifferent about it. It is worth noting that Ike and President Hassen appear to be a pair of old friends.	811006
150421	1504	1	2	Story I	When Voltaire was still human, she was a literary giant whose philosophy has enlightened many litterateurs in the Golden Age. Her works depicted the embryonic form of the World Government and provided the grounds for its formation. She could pinpoint the enemy's theoretical weaknesses in battles and guide Constructs to land effective attacks.	811003
150422	1504	2	2	Story II	It seems that Voltaire and Shakespeare do not get along. The reason behind this is unknown, even to the commandant.	811006
150521	1505	1	2	Story I	When Gloria was still human, she was an artillery officer as well as a devoted antisaccharinist. She is good at breaking the guard of enemies, which is of great help to Constructs.	811003
150522	1505	2	2	Story II	Gloria boasts a high shooting accuracy. Karenina could not agree more with her motto of "MORE DAKKA!"	811006
150621	1506	1	2	Story I	When Richelieu was still human, she was one of the cardinals in the early Golden Age. Foreseeing that religion would lose its appeal, she proposed creating bionic robots for religious services, yet it was met with the opposition of the church. Only when her predictions proved true did the churches hastily activate the batch of mechanical members created by Richelieu. It is worth noting that Richelieu's medical techniques were unmatched among all the churches.	811003
150622	1506	2	2	Story II	Richelieu was not surprised by the church's stance—she predicted that as well. Now, she has a new and gratifying mission in helping Babylonia with diplomatic relations with different factions.	811006
150721	1507	1	2	Story I	When Samantha was still human, she gravitated towards various animals since her childhood. This fact, along with her aristocratic upbringing, it was no wonder that she became the manager of the urban ecology research center.	811003
150722	1507	2	2	Story II	Now, in addition to providing medical help as a memory chip, Babylonia's ecology research center is her second home.	811006
150821	1508	1	2	Story I	When Mozart was still human, she loved collecting musical works created before the Golden Age. By combining and remixing them, she pioneered a whole new genre that changed Golden Age music. Now, Mozart's tunes, from relaxing to soul-stirring, are all classics and staples on Square Wave Radio.	811003
150822	1508	2	2	Story II	In addition to her musical contribution, Mozart is also somewhat of a gourmet. Yet, without a physical body, the sweet succulent taste of fried pork chops will never graze her taste buds again.	811006
155021	1550	1	2	Story I	The bells rang at midnight, heralding the first Christmas Liv spent with her companions. For this day, Liv has even prepared an ornate set of new clothes. Having this memory with you will make you motivated even on the battlefield.	811001
155022	1550	2	2	Story II	On this special day, Liv played a joyful ballad with her trombone. She finally came before the commandant, speaking the words that long stirred in her heart. "This is our first Christmas together, Commandant. Merry Christmas!" She continued gently, "I look forward to you being on my side next year as well!"	811001
155121	1551	1	2	Story I	Babylonia has banned fireworks, but what would a new year without people having a blast? Be a hero and save the festival!	811001
155122	1551	2	2	Story II	"Igniting, and... fire—!" "Hey, that's a holographic screen over there!" "Boom—Boom—Pow—" "...Fine, if that's how it is, let's go all out!" And so it was that the explosive welcoming of the new year blew everyone away.	811001
155221	1552	1	2	Story I	The collective memory of certain Easterners in the past, of a wish named homesickness. Dusting off her old memories, remembrance—reunion—came to a certain girl. Alight with these thoughts, the girl stands firmly once more against her enemies.	811001
155222	1552	2	2	Story II	Sorry, Commandant, I didn't see you coming in... No, I'm fine. Nothing to worry about me... By the way, today is Lantern Festival in human history. Would you like to have a bowl of Tang Yuan, Commandant?	811001
160121	1601	1	2	Story I	An introverted assassin when she still had her body. Condelina's targets were all met with a swift and painless death. Her extensive experience as an assassin helps the Constructs in various battles.	811003
160122	1601	2	2	Story II	She loves singing when being alone, but after becoming a memory chip, only a select few Constructs, like Liv, can hear her beautiful voice.	811006
160221	1602	1	2	Story I	A prolific writer with words endow'd; He seeded great minds of the Golden Age; Some WGAA thinkers see him as the trend-; -maker of mechanoid restoration; His talents unmatched, and it little fades; In heat of battle, or the fiery page.	811003
160222	1602	2	2	Story II	Though now a memory, his quill ain't still; Penning odes lovely, hateful, humanly; A chance meeting with a commandant gray; "A spark!" Says he, and vanished since that shrill.	811006
160321	1603	1	2	Story I	When Heisen was still human, she was a madly driven biologist who would even experiment on her own body for science. The human body no longer holds any secrets for her, and she has kept this treasure trove of knowledge to herself alone. Word has it that someone once tried to steal Heisen's research. That someone quickly went missing. It was only after a massive rainstorm that his burnt and thunderstruck corpse drifted out of the sewers.	811003
160322	1603	2	2	Story II	When the memory-form Heisen met the Constructs, she was exhilarated at the fruition of a completely foreign field of technology. Trying to dissect Constructs without a corporeal form herself has now become a daily quandary for her.	811006
160421	1604	1	2	Story I	The once human Darwin revolutionized the biological sciences, bringing about theories that were highly esteemed by the biologists in the Golden Age. Yet that did not satiate Darwin. It was the ultimate evolution of human beings that the scientist sought. To achieve this, innumerable experiments were carried, even on the self. In this current state, is Darwin a he, or a she? To the transhumanist, it hardly seems to matter.	811003
160422	1604	2	2	Story II	Not only a biologist, but also an inquisitive adventurer—the unflinching Darwin has been of great help for Constructs on the battlefield. Now, even without a body, Darwin still plans on leaving Babylonia and doing research on Earth.	811006
160521	1605	1	2	Story I	When Hanna was still human, she was a well-known corporate spy rumored to be the daughter of the great musician Hanson. With her mastery of disguise and stealth, she infiltrated various big companies. Every theft of hers came with a signature of "Hanna". No one, including her employers, knows anything concrete about her—the spy is always the initiator. Her expertise in espionage is of great help to Constructs in special operations.	811003
160522	1605	2	2	Story II	Now, Hanna likes appearing before others in formal outfits. Though, users of Hanna's memory chip are kindly reminded to never take her for her word.	811006
160621	1606	1	2	Story I	Cottie died at the age of 86 from diabetic complications caused by donut overdose. It is said that she passed away peacefully right after she ordered a donut delivery. Cottie's religious obsession with donuts was deemed military-grade, and so she was made into a memory chip.	811003
160622	1606	2	2	Story II	Cottie rewarded Syndicute members with donuts for their hard work, and this caused their overall blood sugar levels and weight to rise. Now, without a body, she is constantly scheming about spreading her fried dough addiction to the commandant.	811006
160721	1607	1	2	Story I	Da Vinci is deemed one of the most important advocates of the mechanoid restoration trends. To call her works masterpieces would be a disgrace for their perfection. Her heavenly crafts are now deservedly stored in the most exquisite showcases of the WGAA. A polymath, it is rumored that most of Cosmos Industries' early products are based on Da Vinci's manuscripts. Her cultural weight makes her presence alone an inspiring beacon to Constructs on the battlefield.	811003
160722	1607	2	2	Story II	Da Vinci's biggest regret for becoming a memory chip is her inability to create art by hand. To Da Vinci, relying on machines to realize her ideas is soulless. The commandant is the only one who can cheer her up in these gloomy times.	811006
160821	1608	1	2	Story I	When Catherine was still human, she was the owner of Rose Garden. The details of Rose Garden did not survive the trials of time, but according to Catherine, it was located in a valley, and the windows were covered by deep red drapes, so that people inside would not notice the flow of time. Catherine spent her whole life in the garden alone, during which only one mysterious person visited.	811003
160822	1608	2	2	Story II	Catherine is a medical professional who understands true pain and loneliness. This is why she wants to protect her friends from the suffering she felt before. When she met the commandant for the first time, it brought back some memories to her. But without a body, they seem to hardly matter anymore.	811006
160921	1609	1	2	Story I	When she was still human, she completed the fundamental theoretical framework for space colonization, taking scientific development to a whole new level. Her knowledge of material properties is also immensely helpful in battle.	811003
160922	1609	2	2	Story II	Real mad for cute lasses, even physical death could not part her from her cute-is-justice philosophy. She has been continuing with her research, but is refusing to share the results with Asimov. After all, Asimov is still quite a ways from being a cute girl.	811006
161021	1610	1	2	Story I	Philip II was born into a military family and received strict a military education since her childhood. But why make war, when you can make art? The military and industrial sectors may have been thriving during the Golden Age, but to pursue the sublime heights, and to soothe the spirits of the people, Philip II left her family at a young age to join the newly established WGAA. Her flute performance is said to be quite a feast for the ears.	811003
161022	1610	2	2	Story II	Philip II loves performing on stage. A master of various musical performance styles, she can easily comfort the minds of her audience. President Allen is currently preparing a concert for Philip II and other virtual idols.	811006
161121	1611	1	2	Story I	When Guinevere was still human, she was fond of analyzing interpersonal relationships and searching for this thing called love in them. Despite being able to get along with everyone, no one has ever truly understood her. She eventually embarked on a journey to find true love and disappeared from the face of the earth. Guinevere's movements are graceful sights that heal the mind and provide emotional support for soldiers on the battlefield.	811003
161122	1611	2	2	Story II	It seems that she might have special feelings for the commandant, but when being asked about this, she always replies with an ambiguous answer and a subtle smile.	811006
161221	1612	1	2	Story I	Frederick was a famous virtual idol during the mechanoid restoration craze. Like a ghost in the shell, she would hide in the currents of the internet and do guerilla gigs on random terminals. The origins of Frederick are a mystery, though some researchers believe that her design might have been inspired by the early Golden Age WGAA member, Philip II. Concerning this matter, President Allen has refused to provide any answers. Frederick's experience in stealth and dodging has taught many Constructs how to avoid damage in battles.	811003
161222	1612	2	2	Story II	Frederick is unaware of how she got turned into a memory chip, but it hardly matters. After all, she can still hold concerts. Ever since she joined, her morning gigs have practically decommissioned the commandant's alarm clock.	811006
161321	1613	1	2	Story I	When Bathlon was still human, she was known as a one-man army, specializing in one-against-many warfare. Despite her outstanding contributions, Bathlon shunned fame and wealth. She stayed a mere soldier until her death. She knew deep down inside that peace was not for her, and that the battlefield will be her final resting place. Bathlon's battle experience provides great strategic insight to Constructs in battle.	811003
161322	1613	2	2	Story II	Now, Bathlon is back on the battlefield in the form of a memory chip, wielding her military talents to her heart's content. She seems quite unfazed about being turned in a memory chip, in fact, she seems even a bit happy about it. After all, she no longer has to worry about her receding hairline.	811006
161421	1614	1	2	Story I	When Patton was still human, she was more a slaughterer than a soldier. She never wore an army uniform. Military discipline meant nothing to her. She did only one thing, and she was good at it—destroying all enemies on the battlefield. Patton's valiance has been an inspiring example to all Constructs.	811003
161422	1614	2	2	Story II	Before the commandant pointed it out, Patton had no idea why everyone would be scared away the second they see her. Now, Patton is dedicating time to learn how to control her facial expressions and her sword arm from lashing out.	811006
161521	1615	1	2	Story I	Chen Jiyuan was the head of KCC's Fuxi Crew when he was a human. With astronomy and arithmetic as his major fields of study, Chen Jiyuan was the first to observe FTL route beyond the Milky Way. In terms of his contribution to the field of machine making technology, he was the creator of the initial Musashi and Prime versions and developed the East-Asian mechanical style. He also came up with mechanical upgrade plans that were beyond his times, but unfortunately he "accidently" died from a liquid nitrogen leakage before he could implement them. It's said that the observation deck in the Kowloong Corp was built according to his early design scheme.	811003
161522	1615	2	2	Story II	Chen Jiyuan's Memory was later recycled by the Science Council and made into a Memory Chip. Back on Earth again, Chen Jiyuan refused to reveal the truth behind his death and would rather redirect his energy from clinging to the past to a scientific research that seemingly aimed at preventing something from happening. Due to the overwhelming amount of calculation data Chen Jiyuan produced, even Asimov found it hard to comprehend what research Chen Jiyuan was doing. The two always had fights because of the research and their old identities.	811006
141621	1416	1	2	Story I	The human Nimitz was an excellent navigator and tactician in the deep sea. She is of great help to Constructs in deep sea missions.	811003
141622	1416	2	2	Story II	Nimitz is now dealing with Port Murmansk matters with Cunningham.	811006
150921	1509	1	2	Story I	Boudica was an important figure in the mechanical restoration craze. She believes in machine sentience, thinking that machines should have the same right as human beings. She also led armed conflicts against anti-machinists.	811003
150922	1509	2	2	Story II	Boudica's memory was later recovered by the World Government. Her commanding prowess and tactical abilities have been of great help to frontline soldiers.	811006
161621	1616	1	2	Story I	An early military Construct. Support type. Carries mobile terraforming equipment, and is responsible for battlefield surveying and basic construction work. Not built for combat, Koya is more suited to providing support to his comrades before and after a battle. He is also a close friend of Kamui. During his time with Kamui, Koya has noticed some secrets of Kamui, but has decided to stay silent on the matter, and he himself does not mind them at all. In his last mission, Koya received special orders from Nikola. The mission failed and Koya lost his life.	811003
161622	1616	2	2	Story II	Using the simulated data in Babylonia's database, a Koya memory chip was created. The memory chip Koya is, however, extremely unstable. Only a few select members can receive his help.	811006
155521	1555	1	2	Story I	A collaboration memory with KFC. It's finger lickin' good.	811003
155522	1555	2	2	Story II	"Hmph, yeah yeah, just sit there and I'll get it to you."	811006
155621	1556	1	2	Story I	A collaboration memory with KFC. The best service for customers.	811003
155622	1556	2	2	Story II	"Welcome, Commandant. I thought you wouldn't come today."	811006
161721	1617	1	2	Story I	Leeuwenhoek was one of Kurono's chief technicians back when he was alive. His primary fields of study included ultra-precision military manufacturing, as well as the design and improvement of internal vital circuits after Construct Tech was introduced. As Punishing Virus continued to wreak havoc, Leeuwenhoek was deeply concerned. He wanted to leave Kurono to fight for the mankind instead. Unfortunately, Kurono would never allow him to escape. On the night that Leeuwenhoek tried to leave the lab, a bolt soaked in neurotoxin struck his back...	811003
161722	1617	2	2	Story II	Kurono retrieved Leeuwenhoek's body and made a backup of his memories before his brain activity completely stopped. The Memory Chip was then used to assist the artificial intelligence in research, but was later brought back to Babylonia by Asimov in an operation. Reborn as a Memory, Leeuwenhoek was finally able to fulfil his wish. His original Memory Chip was installed in Asimov's lab, while the authorized copies were also distributed to the Task Force to help them in tactical analysis and decision making. When Chen Jiyuan and Asimov had their arguments, Leeuwenhoek was sometimes seen mediating between them.	811006
161811	1618	1	2	Story I	His wisdom helped to frame the reign.\nWho said a scholar could not be a general? Sword and armor were his best friends.\nTwenty years of warfare, thirty ages of legacy.\nHis flesh is long gone, but his soul lives in Guiyun.	811003
161822	1618	2	2	Story II	—Why would Qu give your Memory Chip to us?\n—Times have changed. She's no longer the ruler, and I'm no longer her advisor.\n—And she knows what I want to see.	811006
161921	1619	1	2	Story I	Star of Life under the personal profile, the record of Flamel left in the Star of Life now is the name only, as if she has never existed. No one knows what she went through, but only fragmented rumors tell of her wild experiments in medicine. Some people say that Flamel's experiments allowed her to live forever in a human state with her beloved, while others say that her experiments will bring the dead back from the dark. No one knows the truth of these rumors, but only some dusty data indicate that it is not groundless, and the door of taboos has indeed been pushed open.	811003
161922	1619	2	2	Story II	"People who have passed away should pass away with dignity, instead of being resurrected by all means, so that's one of the reasons why her name is taboo. Stop tracing her trail, and this is the only advice I can leave for future generations..."	811006
162011	1620	1	2	Story I	As one of the main sponsors of WGAA, Lucrezia was supposed to have her name listed among other significant WGAA members.\nQuite to the contrary, everything related to her, even her name, had become a taboo of WGAA.\nThe publicly disclosed WGAA history had no mention of her name, even the list of sponsors was later modified and referred to her as "an old friend" instead.\nRumor had it that she accumulated her wealth via deals with Kurono. Some tabloid reporters claimed she once sponsored someone that she shouldn't...	811003
162012	1620	2	2	Story II	Lucrezia's death was as mysterious as her background.\nThere was no witness, no investigation, no agents running forensic ballistics with laser pointers. Only a few people related to her arrived at the scene, and they all agreed that the body was hers.\nThat's all we know in Babylonia.\nOn this desk right now is the Memory Chip named after her. My advice to you is to not go too far tracing its source.\nAll you have to know is that I have no intention to find out the secrets behind it, nor do I want it to slip into the hands of those who shouldn't have access to it. It's a great chip, after all. — Asimov	811006
162211	1622	1	2	Story I	Tifa, previously a Construct from the Babylonia Task Force Suzaku. Captured and rebuilt by the Ascendant Roland during a mission, she is defeated in the subsequent battle with Gray Raven.\nAfterward, the containment chamber she is in is retrieved by Babylonia personnel, and there have been no more records of her.	811003
162212	1622	2	2	Story II	I want to... see the commandant again...\nI want to... tell the commandant that I've survived...\nBut she is in no shape to see anyone ever again. Instead of hopelessly persisting, perhaps an end would be a better ending for the suffering young girl.\nThat is why when the blade Sariel pierces her chest, she does not resist.\nPerhaps the unspoken words those pale lips would have said is not a cry of pain, but a sigh of relief.	811006
155321	1553	1	2	Story I	Before the coming of the celebratory day, Babylonia are making all efforts to prepare various materials and gifts to fill up the preparation room of Gray Raven. "Wrap it up! Commandant must love it!" Although he cannot understand why he has to do such meaningless things, Lee is still packing the gifts before the commandant arrives, with the celebration costumes draped around his shoulders.	811003
155322	1553	2	2	Story II	"...Would you like one?" Lee passes you a cake made in Kowloong from the tray in his hand.\nWait, why does it look a little familiar?	811006
155323	1553	3	2	Story III	Standing in front of the snow-covered steps, he, as well as the Gray Raven, wrote down their New Year's Wishes on the Kongming Lantern.\n—May the journey of the Gray Raven last forever.\n"Although no evidence showed that a Kongming Lantern can help to fulfill one's wish, I felt happy when I wrote down my wish."	811006
162311	1623	1	2	Story I	Born in the Golden Age, he was an actor who had only ever played one role—Jack. The villain was so successful that nobody remembered his original name or nature. It was both fortunate and unfortunate for him. After the Punishing outbreak, he stood at the frontline as "Jack", just like how he protected the city he loved on the big screen. The signature grin never disappeared from his face since then.	811003
162312	1623	2	2	Story II	Jack's body was found in the ruins of his city. He was smiling until the last moment, as if death was nothing but a funny show. Babylonia eventually took him in as a Tactical Memory under the recommendation of the World Government Association of Art. The Science Council found his real name in his memory, but he insisted to be addressed as Jack.	811006
155711	1557	1	2	Story I	"Commandant, are you already here? Just one second... I made some cakes, hope you don't mind... Do you like them? Great!" The freshly baked cakes give an appetizing aroma, but there is something even sweeter than the delicious flavor.	811001
155712	1557	2	2	Story II	"Commandant, look, the moon is so beautiful tonight." Liv cheerfully wanders in front. You have not seen her so happy for a long time. The calm, brilliant moonlight shines upon her, making her look like a fairy.\n"Fairy...? I wanted to become one when I was a kid, but right now..."\nLiv takes a breath in, then turns around and smiles.\n"I want to stay here, with Commandant and everyone else."	811003
155713	1557	3	2	Story III	"Thanks, Commandant. I had a great day. Hope times like this can last forever."\nThe Earth outside the window is still blue, but it is a home too far.\n"Miss Ayla said people would return to their homeland and reunite with their family during festivals... One day, everyone will be able to go home. That's my wish, and also the wish of everyone in Babylonia."	811006
162411	1624	1	2	Story I	Just like other Star of Life medics, Elizabeth worked non-stop to treat patients from place to place.\nLater, when the war broke out, she became a military medic. She managed to create a small safe zone under fire to perform emergency surgeries for dozens of soldiers under harsh conditions. Eventually, the war to reclaim the area was victorious, and Elizabeth also helped to significantly optimize the medical condition of the battlefield. However, she was severely wounded in the war and had to live with an infusion stand for the rest of her life.\nUnder her leadership, small medical tents were put up on the desolate battlefield, covering it under the starlight of life. Her name was thus remembered by numerous patients and medics.	811003
162412	1624	2	2	Story II	People found Elizabeth's body among the bodies of dozens of medics and patients after a surprise attack.\nThere was a debate between Star of Life and Babylonia over whether or not to convert Elizabeth into a Tactical Memory. But eventually, the medics who worked with her agreed to make her a Memory for soldiers to use based on her great accomplishments. She thus became a companion for soldiers on the battlefield.	811006
155811	1558	1	2	Story	The broken marble, the dark corpses, the cold symbol of the mass death. None of these scares him.\nWhat he fears is another shadow, love, the shared future of all beings. What he doesn't dare to look at is not the shining metals or marble gravestones, but roses.\nHe works tirelessly on the complex mission on the other side of the mirror and devotes himself to creating nightmares.\n"From the other side of death..."	811001
162511	1625	1	2	Story I	Seraphine is an ordinary maid but also a talented painter. During her early years in the Golden Age, Seraphine worked diligently as a maid in households to earn a living. She could only escape for a little while from the hardship of life when she was painting alone at night. She would hum melodies to shut away the noise of the city and indulge herself in the palace of art with the goddess and the candlelight as her companions. She used the elements of eyes, feathers, and plants to produce paintings of a mysterious world. Her unique art style greatly impacted the world of art and made her an important figure in art history. However, the Punishing Virus changed everything. All the exhibitions, invitations, and collaborations were ruined by the war. Her paintings were destroyed in the chaos. Everything she had was gone. Even Seraphine herself disappeared from the public eye, leaving only a few legends for people to gossip about.	811003
162512	1625	2	2	Story II	"Are you sure that feeble woman you see is Seraphine?"\n"Sure. I interviewed her before. She still has that unique personality even though she has been away from the public eye for so long, so I'm pretty sure that she is Seraphine. She is under the tallest tree on the grassy hill."\n"But I didn't see the woman in the light blue dress when I got close. There were only flowers painted with a branch on the grassland, showing that she has been here before."\n—The last sighting of Seraphine	811006
162611	1626	1	2	Story I	Marco is the only Kowloong Crew member who is not from Kowloong. It's said that she was headhunted by Bai Gui, the leader of Chiwen Crew, from the Transatlantic Economic Community to Kowloong. After joining Kowloong, she was mainly in charge of international merchant channels and air and sea route planning. Marco plays a crucial role in making Kowloong as dominant as the Arctic Route Union in the world of logistics globally. However, according to Marco herself, she left the Transatlantic Economic Community just because she was amazed by the mysterious ancient oriental atmosphere of Kowloong. In fact, Marco also wrote a lot about her travel experience in Kowloong during her spare time, which made her a famous figure in the nonfiction literary world.	811003
162612	1626	2	2	Story II	According to records, Marco's last report was a record of her departure from a port to trade around the world on a Kua-Er (A Chinese god of strength) grade dreadnought. Following the digital signal, people eventually found the stranded huge ship and the dying Marco near the Derek Strait.\nAccording to the travel log, many mechanoids on the ship caught the Punishing Virus, which led to a riot during the voyage. The sailors tried their best to fight against the mechanoids under Marco's lead, but the ship eventually encountered abnormal sea currents and was stranded near the Derek Strait and taken over by the countless Corrupted. Marco's last wish was to be made into a Tactical Memory. Maybe she still wished to see the world connected once again with her own eyes and people satisfied by buying quality goods from great merchants.	811006
162711	1627	1	2	Story I	Ever since he was born, Unimate had been working like a perpetual motion machine to research the "unknown" territory with the tools of rationality and logic. Unable to understand Unimate's endless passion, people thought he was nothing but a crazy talent. Unimate had no complaints about it. In fact, he was pretty happy. Under the madness, electric arcs were woven into souls, the jubilance of things that were not supposed to be eliminated.\nHowever, the outbreak of the Punishing Virus launched him into the abyss. In the last few minutes of his life, Unimate touched his unfinished heart for the very last time, stepped into the fire, and destroyed himself.	811003
162712	1627	2	2	Story II	On the scorched chest, obsolete gear lies quietly in the center like a heart. Underneath is a chip that is still functioning miraculously.\nNo one knows where the Unimate Memory came from. They only know that Unimate was a short-lived talent that shouldn't have been taken away by the ridiculous virus. Someone got him out of his body and placed him into this broken machine. Who is the one behind this?	811006
162811	1628	1	2	Story I	Isabel believed the craziest fantasy derived from the sincerest heartbeats. Despite the praise and recognition she received, she still sought to break the constraint of human cognition and free the imagination. If the human body was the obstacle, then let it be gone. With her determined hope and belief, Isabel would observe and think from a new perspective and embrace a new world. She would touch, feel, and hold every heartbeat tight to let her mind reach the true vast beyond.	811003
162812	1628	2	2	Story II	Isabel died. The robot who held her was pretty sure of that. He ended her life himself and converted her into a Tactical Memory. Isabel said her death was the last lesson in the pursuit of truth. Did she break the limit? Were the machines unshackled? Will they be able to walk to true freedom after seeing what's in each other's eyes?	811006
162911	1629	1	2	Story I	Boone was a forest ranger during the Golden Age, and her parents were both explorers and zoologists. Together, they lived in the wild and helped maintain balance with the natural environment in an undeveloped area. As a hot-headed lone wolf, she lacked proper communication skills. Her first action when confronted with poachers was to fire a warning shot. But with animals, she had a unique ability to calm most animals. After the Punishing Virus outbreak, Boone was attacked by the Corrupted and left on the brink of death while escorting endangered animals to Babylonia.	811003
162912	1629	2	2	Story II	Impressed by this special forest ranger, Babylonia decided to take her in as a Tactical Memory. Boone brings significant operational efficiency upgrades to the carrier, especially in terms of thermal and blunt-force weaponry. However, her difficult personality has become an unexpected hurdle. Only a few Constructs can get along with her.	811006
163011	1630	1	2	Story I	Shelley was born at the end of the Golden Age. He witnessed the glorious past of humanity and how easily it was destroyed by the Punishing Virus. He was a member of the Diplomatic Court of Babylonia until he came across people who claimed to be "the Forsaken" during a trade with ACA. He then decided to leave Babylonia to stay on the ground and fight for justice and a future that might not exist for these forgotten ones. The leader of the Forsaken told him, "The Forsaken don't need Babylonia's cheap sympathy." But Shelley was not discouraged. Instead, he tried to work on an art form called "poetry", recording and celebrating the will and glory of them.	811003
163012	1630	2	2	Story II	The Punishing Virus destroyed everything but failed to vanish the dream and hope in the eyes of a poet. Shelley's poems spread across Babylonia through acquaintances at WGAA. His meaningful yet imaginative poems touched citizens who were completely unaware of the ongoing disaster on the ground. His pen became a more powerful weapon than bullets. Many started to travel around, trying to get in touch with the Forsaken again. And Shelley was gradually accepted by the Forsaken and became one of them. However, Shelley's life ended abruptly. An accident took his life as he took the transport craft to Babylonia as the ambassador of the Forsaken. The craft fell into the sea, and the only thing they managed to get back was his cold dead body. In memory of this comrade who fought with his pen, the Forsaken saved his memory data. Due to the accident, the relations between the Forsaken and Babylonia plumbed new depths. The tension lasted a long time until a commandant mediated between them. Shelley's memory was thus successfully transported to Babylonia and made into a Tactical Memory according to the will Shelley left long before he passed away.	811006
163111	1631	1	2	Story I	Even among the Purifying Force members who are despised for being ominous, Charlotte is a fearful name to be heard. This is not because of her cruelty or the astonishing number of traitors she killed but her persistence and tenacity. Once someone is considered a target by her, she will make sure to eliminate them while walking her elegant steps at all costs. Gentle but brutal, elegant yet dirty, she is a mixture of all these opposite elements. It's said that she was born to a famous family in Babylonia but became a Construct for unknown reasons. She even got into the intimidating Purifying Force for the sole purpose of killing someone.	811003
163112	1631	2	2	Story II	One day, Charlotte finally saw the man's name on the list of elimination, the man that she dreamed to kill. She would never forget how he stabbed the blade into her innocent parents' chests after the banquet, even though she was still little, even though he was wearing a mask showing only his eyes. However, when she found him, he stood fearlessly before her, along with his illegal Construct safeguards. She knew that it was his plan to get her out and kill her once and for all so that he could finally have a nice sleep, but she bowed elegantly holding her dress just like she would normally do. Her red lips would be the most beautiful and terrifying thing the man had ever seen in his life. The crimson blade went up and broke, but it still went through the man's chest and ended his life, which was even dirtier than his look. But Charlotte also fell like a flower that died in silence. The Memory she left was stored in Babylonia. Her life as Charlotte ended, but her soul will keep on fighting against the filthy people as part of the Purifying Force.	811006
163211	1632	1	2	Story I	Born before the Golden Age, Turing had been through the long night before mankind embraced the radiant era of Golden Age. He displayed astonishing mathematical talent from a young age. During his time in scientific research, he published multiple deeply influential papers and research findings. During the Golden Age, Turing devoted himself to the computer artificial intelligence (AI) industry and further developed the relevant conjectures he previously proposed. Every advancement in computer AI during the early days of the Golden Age could not have been accomplished without Turing, making him a global leader in the relevant fields of research.	811003
