Id	CommunicationId	CommunicationType	CommunicationIcon	GroupId	Name	Condition	UnLockTime	Order	BtnContent	NpcName	NpcHandIcon	ContentsGroupId	UiType
1032	900	2	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	1003	Children's Day Transmission - Celica	770200		32	...Alright, happy Children's Day.	Celica	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	900	2
1033	2001	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1004	White Day Transmission - Lucia: Lotus	770200		33	Sure, Lucia.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	2001	2
1034	2002	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1004	White Day Transmission - Lucia: Dawn	770200		34	The pleasure is mine.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	2002	2
1035	2003	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	1004	White Day Transmission - Lucia: Plume	770200		35	I'm sure we will.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	2003	2
1036	2004	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1004	White Day Transmission - α	770200		36	But Alpha, you...	α	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	2004	2
1037	2005	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1004	White Day Transmission - Lee: Palefire	770200		37	Okay! Got it!	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	2005	2
1038	2006	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1004	White Day Transmission - Lee: Entropy	770200		38	Thanks, and I hope we'll have many more opportunities like this in the future.	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	2006	2
1039	2007	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1004	White Day Transmission - Liv: Eclipse	770200		39	Make sure you get some rest, too.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	2007	2
1040	2008	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1004	White Day Transmission - Liv: Lux	770200		40	So will I.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	2008	2
1041	2009	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1004	White Day Transmission - Liv: Luminance	770200		41	Catch you later, Liv.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	2009	2
1042	2010	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1004	White Day Transmission - Kamui: Bastion	770200		42	As always, Kamui.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	2010	2
1043	2011	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1004	White Day Transmission - Kamui: Tenebrion	770200		43	See you tomorrow, Kamui.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	2011	2
1044	2012	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1004	White Day Transmission - Bianca: Zero	770200		44	Bianca, today is...	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	2012	2
1045	2013	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1004	White Day Transmission - Bianca: Veritas	770200		45	It was fulfilling to me, too, Bianca.	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	2013	2
1046	2014	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1004	White Day Transmission - Karenina: Blast	770200		46	Happy White Day, Karenina.	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	2014	2
1047	2015	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1004	White Day Transmission - Karenina: Ember	770200		47	I'm very glad, Karenina.	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	2015	2
1048	2016	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1004	White Day Transmission - Nanami: Storm	770200		48	I promise.	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	2016	2
1049	2017	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1004	White Day Transmission - Nanami: Pulse	770200		49	Is that so?	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	2017	2
1050	2018	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1004	White Day Transmission - Watanabe: Nightblade	770200		50	Things will get better, Watanabe.	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	2018	2
1051	2019	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1004	White Day Transmission - Watanabe: Astral	770200		51	This is not enough.	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	2019	2
1052	2020	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	1004	White Day Transmission - Chrome: Arclight	770200		52	Well, you better hurry.	Chrome	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	2020	2
1053	2021	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1004	White Day Transmission - Sophia: Silverfang	770200		53	Do something relaxing, Sophia.	Sophia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	2021	2
1054	2022	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	1004	White Day Transmission - Vera: Rozen	770200		54	What do you want then?	Vera	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	2022	2
1055	2023	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png	1004	White Day Transmission - Camu: Crocotta	770200		55	What is it?	Camu	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png	2023	2
1056	2024	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuosaita1.png	1004	White Day Transmission - Rosetta: Rigor	770200		56	Let's watch the snow together.	Rosetta	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuosaita1.png	2024	2
1057	2025	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadQu1.png	1004	White Day Transmission - Qu: Pavo	770200		57	I feel the same way.	Qu	Assets/Product/Texture/Image/RoleCharacter/RoleHeadQu1.png	2025	2
1058	2026	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadChangyu1.png	1004	White Day Transmission - Changyu: Qilin	770200		58	Your happiness is the best gift for me.	Changyu	Assets/Product/Texture/Image/RoleCharacter/RoleHeadChangyu1.png	2026	2
1059	2027	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuna1.png	1004	White Day Transmission - Luna: Laurel	770200		59	But we live in the present, Luna.	Luna	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuna1.png	2027	2
1060	2028	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1004	White Day Transmission - Ayla: Brilliance	770200		60	Thank you, Ayla.	Ayla	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	2028	2
1061	2029	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSailinna1.png	1004	White Day Transmission - Selena: Tempest	770200		61	We'll be together all summer long.	Selena	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSailinna1.png	2029	2
1062	2030	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWanshi1.png	1004	White Day Transmission - Wanshi: Hypnos	770200		62	Sweet dreams, Wanshi.	Wanshi	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWanshi1.png	2030	2
100063	2031	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Kuluomu1.png	1004	White Day Transmission - Chrome: Glory	770200		63	So will I.	Chrome	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Kuluomu1.png	2031	2
96000010	96000010	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	1001	Valentine's Message: Chrome	770200		11	Happy Valentine's Day, Chrome.	Chrome	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	96000010	2
96000011	96000011	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1001	Valentine's Message: Sophia	770200		12	Thanks. I like it a lot.	Sophia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	96000011	2
96000012	96000012	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	1001	Valentine's Message: Vera	770200		13	Will... do.	Vera	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	96000012	2
96000013	96000013	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png	1001	Valentine's Message: Camu	770200		14	Thank you.	Camu	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png	96000013	2
1011	1010	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1002	White Day Transmission - Lee: Palefire	770200		11	I got it, Lee.	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	1010	2
1012	1020	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1002	White Day Transmission - Lucia: Lotus	770200		12	Let's talk about something you enjoy.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	1020	2
1013	1030	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1002	White Day Transmission - Liv: Eclipse	770200		13	No problem. I'm glad you like it.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	1030	2
1014	1040	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1002	White Day Transmission - Bianca: Zero	770200		14	It's nice connecting with you.	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	1040	2
1015	1050	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1002	White Day Transmission - Nanami: Storm	770200		15	Thanks... Let me put on my goggles first.	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	1050	2
1016	1060	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1002	White Day Transmission - Kamui: Bastion	770200		16	I will not forget.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	1060	2
1017	1070	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1002	White Day Transmission - Karenina: Blast	770200		17	Yeah, I'm free.	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	1070	2
1018	1080	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1002	White Day Transmission - Watanabe: Nightblade	770200		18	It's a promise then.	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	1080	2
1019	1090	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1002	White Day Transmission - Lucia: Dawn	770200		19	I'll try to become the best commandant too.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	1090	2
1020	1100	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1002	White Day Transmission - Liv: Lux	770200		20	I'll be with you.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	1100	2
1021	1110	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1002	White Day Transmission - Lee: Entropy	770200		21	I like it a lot, thanks.	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	1110	2
1022	1120	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1002	White Day Transmission - Liv: Luminance	770200		22	Sure.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	1120	2
1023	1130	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1002	White Day Transmission - Kamui: Tenebrion	770200		23	I'll take good care of this.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	1130	2
1024	1140	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1002	White Day Transmission - Karenina: Ember	770200		24	What about a hug?	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	1140	2
1025	1150	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1002	White Day Transmission - Nanami: Pulse	770200		25	Thanks... Wait, what?	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	1150	2
1026	1160	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1002	White Day Transmission - α	770200		26	That's a bit difficult...	α	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	1160	2
1027	1170	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1002	White Day Transmission - Watanabe: Astral	770200		27	I want to see you too.	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	1170	2
1028	1180	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1002	White Day Transmission - Ayla: Brilliance	770200		28	I'm ready!	Ayla	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	1180	2
1029	1190	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1002	White Day Transmission - Bianca: Veritas	770200		29	Yeah, be there soon.	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	1190	2
1030	1200	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1002	White Day Transmission - Sophia: Silverfang	770200		30	Thank you, Sophia.	Sophia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	1200	2
1031	1210	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	1002	White Day Transmission - Chrome: Arclight	770200		31	Come to me.	Chrome	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	1210	2
96000021	96000021	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	1002	White Day Transmission - Lucia: Plume	770200		32	Very beautiful. Thank you, Lucia.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Luxiya1.png	60001	2
96000022	96000022	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	1002	White Day Transmission - Vera: Rozen	770200		33	I won't go anywhere.	Vera	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	60002	2
96000023	96000023	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png	1002	White Day Transmission - Camu: Crocotta	770200		34	S-so heavy... I'll take my time with them.	Camu	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png	60003	2
96000024	96000024	3	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuosaita1.png	1002	White Day Transmission - Rosetta: Rigor	770200		35	Thank you.	Rosetta	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuosaita1.png	60004	2
96000025	2032	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadTwentyone1.png	1004	White Day Transmission - No. 21: XXI	770200		64	That sounds romantic.	No. 21	Assets/Product/Texture/Image/RoleCharacter/RoleHeadTwentyone1.png	2032	2
96000026	2033	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Weila1.png	1004	White Day Transmission - Vera: Garnet	770200		65	You bet I will.	Vera	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Weila1.png	2033	2
96000027	2034	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuolan1.png	1004	White Day Transmission - Roland: Flambeau	770200		66	I was about to say the same.	Roland	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuolan1.png	2034	2
96000028	2035	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu1.png	1004	White Day Transmission - Liv: Empyrea	770200		67	Take me with you next time.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR4Lifu1.png	2035	2
96000029	2036	2	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Sailinna1.png	1004	White Day Transmission - Selena: Capriccio	770200		68	Thank you, Iris. I like them a lot.	Selena	Assets/Product/Texture/Image/RoleCharacter/RoleHeadR3Sailinna1.png	2036	2
