Id	GroupId	Order	Type	Title	Text	Condition
9249011	92490	1	1	Data I	Capable of flight with levitation wings, but the flight distance is limited due to the simplistic design. Nonetheless, one should never underestimate its explosive speed in immediate combat.	800007
9249012	92490	2	1	Data II	When inactive, it uses its claws to stabilize itself on the ground. After being corrupted, the claws have become a weapon.	800007
9249021	92490	1	2	Story I	A space monitoring robot created by Cosmos Industries. Able to patrol along designated routes. The name of Cosmos came from humanity's ambition to conquer space.	800008
9249022	92490	2	2	Story II	Now corrupted, the vital fluids are essentially oozing with the Punishing Virus. The corrupted space station has modified this machine to leak fluids wherever it goes.	800008
9247011	92470	1	1	Data I	The hydraulic system enables acrobatic movements. It also powers the entire frame.	800007
9247012	92470	2	1	Data II	With three legs and respectable jumping abilities, it can overcome nearly all terrains.	800007
9247013	92470	3	1	Data III	Open the frontal portion of the frame for a drill that can terraform the terrain for further operations.	800007
9247014	92470	4	1	Data IV	It can firmly grasp the surfaces of the space station even in a vacuum environment.	800007
9247021	92470	1	2	Story I	A space industrial jack created by Cosmos Industries. Capable of lifting heavy loads with ease, it was used in the modification and repairs of the space station. The name of Cosmos came from humanity's ambition to conquer space.	800008
9247022	92470	2	2	Story II	Now corrupted, the vital fluids are essentially oozing with the Punishing Virus. The corrupted space station has modified this machine to leak fluids wherever it goes.	800008
9260011	92600	1	1	Data I	The compact electric chainsaw can dismantle different objects and cut steel rails.	800007
9260012	92600	2	1	Data II	Its head can rotate 360°, allowing it to attack at different angles.	800007
9260021	92600	1	2	Story	A robot manufactured in an infected train carriage. Small in size and high in speed, its job is to track human civilizations and machines along the railways and transmit the findings back to the infected carriage in real-time. Originally a deconstruction module of the train, after its core became corrupted, an extra mobility module has been installed.	800008
9262011	92620	1	1	Data I	Its compact Gatling gun can riddle enemies into beehives in mere seconds.	800007
9262012	92620	2	1	Data II	Its head can rotate 360°, allowing it to attack at different angles.	800007
9262013	92620	3	1	Data III	It uses a motion sensor for aiming and fires through a command program. Below the sensor is a missile launcher.	800007
9262021	92620	1	2	Story	A robot produced in an infected train carriage. Small in size and high in speed, its job is to attack the targets designated by the train and Pursuers. Originally a firepower module of the train, after its core became corrupted, additional mobility modules have been installed.	800008
9261011	92610	1	1	Data I	The most common robot on the infected train. Its welding torch can repair vehicles and railways, as well as dismantle and assemble mechanical parts. Once the train takes damage, a host of Repair Units will swarm out to repair it.	800007
9261012	92610	2	1	Data II	Its head can rotate 360°, allowing it to attack at different angles.	800007
9261013	92610	3	1	Data III	Equipped with a laser launcher. It can shoot lasers from a small white nozzle.	800007
9261021	92610	1	2	Story	A robot produced in an infected train carriage. Small in size and high in speed, it is mainly responsible for collecting surrounding resources along the railways and welding them to the infected train. It also maintains the train and lays the tracks. Originally a repair module of the train, after its core became corrupted, additional mobility modules have been installed.	800008
9067011	90670	1	1	Data I	The hands can produce particles for prestidigitation.	800007
9067012	90670	2	1	Data II	Designed with feminine beauty in mind, Kemuri is made for theatrical performances. A specialized facial design allows a Kemuri to change into different faces. Completely exposing the facial unit will reveal the internal face-changing system as well as the gleaming muzzle for self-defense.	800007
9067021	90670	1	2	Story	A traditional performer-bot on the Nighter. A major export product in the Golden Age, it is mainly used to replace humans in high difficulty performances.	800008
9066011	90660	1	1	Data I	A Hanged Man has a delicate body structure. Inside its loose robe is a slender spine that holds its whole body.	800007
9066012	90660	2	1	Data II	Its limbs are made of lightweight hardwood to reduce its weight to the minimum.	800007
9066021	90660	1	2	Story	A traditional performer-bot on the Nighter. A major export product in the Golden Age, it is mainly used to replace humans in high difficulty performances.	800008
9064011	90640	1	1	Data I	Blubber has a pair of strong arms. The performance it gives on stage is also full of a chunky but kinetic beauty.	800007
9064012	90640	2	1	Data II	In addition to performances, Blubbers are also responsible for conveying the goods. It can transform into a ball for quick movement.	800007
9064021	90640	1	2	Story	A traditional performer-bot on the Nighter. A major export product in the Golden Age, it is mainly used to replace humans in high difficulty performances.	800008
9065011	90650	1	1	Data	The agile Ballwheel can perform a whole host of complicated tricks. Able to spin their discs right round and round, a caravan of Ballwheels together is a sight to behold.	800007
9065021	90650	1	2	Story	A traditional performer-bot on the Nighter. A major export product in the Golden Age, it is mainly used to replace humans in high difficulty performances.	800008
9069011	90690	1	1	Data I	While in the statue mode, Phecda and Prime can replenish the energy consumed in battles against enemies.	800007
9069012	90690	2	1	Data II	Some faulty Phecda and Prime units never woke up from the statue mode and became a part of the Kowloong Corp city.	800007
9069021	90690	1	2	Story	Kowloong Corp has access to the early Construct production technologies. Two mass-produced Constructs, namely "Prime" and "Phecda", form the majority of Kowloong's own defense force. These serious-looking statues will be activated when intruders are present, and transform into fierce guardians.	800008
9071011	90710	1	1	Data I	With its mastery of various musical instruments, it can switch its performance style whenever it needs to connect with the audience emotionally.	800007
9071012	90710	2	1	Data II	The speakers on its waist are connected to the Venus Splash Park's control system. Therefore, it not only plays its own music but also broadcasts different messages from the park when necessary.	800007
9071021	90710	1	2	Story I	A customer service robot produced by Universal Toys in the middle of the Golden Age. In the Venus Splash Park, it acts as a show performer and a guide in the water park.	800008
9071022	90710	2	2	Story II	Its name comes from a supporting actor in Time for Dancing, a renowned movie of the Golden Age.	800008
9072011	90720	1	1	Data I	With its multiple robotic arms, Martini can complete its work at seemingly unmatched speed. The power input for each robotic arm can be adjusted to avoid unnecessary energy consumption.	800007
9072012	90720	2	1	Data II	As its program logic is not refinedly designed, when it shakes cocktails for the visitors, it will lose its grip on the shaker and splash the cocktail on them from time to time.	800007
9072021	90720	1	2	Story I	A customer service robot produced by Universal Toys in the middle of the Golden Age. In the Venus Splash Park, it is responsible for making cocktails and cleaning up the water park.	800008
9072022	90720	2	2	Story II	Its name comes from a cocktail featured in 001: Babylonia's Secret Agent, a renowned movie of the Golden Age.	800008
9073011	90730	1	1	Data I	With a frame made out of lightweight materials and a pair of webbed feet, Mr. White is able to swim like a fish in the sea.	800007
9073012	90730	2	1	Data II	Visitors can pay Mr. White for a swimming lesson. He will never give in until one gets the hang of it.	800007
9073021	90730	1	2	Story I	A customer service robot produced by Universal Toys in the middle of the Golden Age. In the Venus Splash Park, it acts as a lifeguard as well as a security guard in water park.	800008
9073022	90730	2	2	Story II	Its name comes from a supporting actor in Springboard, a renowned movie of the Golden Age.	800008
9225011	92250	1	1	Data I	Its face is completely overtaken by rust and its internal wires are all torn and tied.	800005
9225012	92250	2	1	Data II	Its carbon-steel sword has been taken by the virus.	800005
9225021	92250	1	2	Story	Once a kendo coach of the KCC. Some Ronin models were also used in underground fight clubs. After being corrupted, its phenomenal swordsmanship has made it an extremely dangerous threat to humans.	800007
9226011	92260	1	1	Data	Strong legs and a long tail—its body structure is similar to a Tyrannosaurus.	800005
9226021	92260	1	2	Story I	During the mechanoid restoration craze, Copperfield has created a mechanical amalgam of a dinosaur and lasers. It has been stored in his Estate Museum.	800007
9226022	92260	2	2	Story II	A piece of collection, but also a guard of the Estate Museum. When an enemy enters the range of the detectors on its neck, the dinosaur head will flip open to fire lasers at the enemy.	800007
9233011	92330	1	1	Data I	The virus has eaten its body and mind, but it still keeps the worn cloak—an old companion—on itself.	800005
9233012	92330	2	1	Data II	The fickle desert weathers make ranged weapons an unreliable choice. To adapt to the environment, an Envoy is equipped with protruding blades that can retract inside its arms while in standby mode.	800005
9233013	92330	3	1	Data III	The curved knee design performs well for spontaneous movements. It is also optimal for moving fast in a sandy environment.	800005
9233021	92330	1	2	Story	A transportation robot used in the desert. The owl-like head design came from a local religion. Able to overcome the extreme conditions of the desert, it patrols and delivers messages for the human strongholds. Though categorized as a domestic robot, it is equipped with blades for self-defense to deal with the desert climate and aggressive animals.	800007
9235011	92350	1	1	Data I	The arms can transport heavy loads with ease, naturally, they function well as deadly weapons.	800005
9235012	92350	2	1	Data II	The liquid nitrogen refrigerant is not only an energy source, but also used for extinguishing fires by quickly freezing an area. Corrupted Firefighters will instead fuel themselves with flammable material. Gaze for long into an abyss, the abyss gazes also into you.	800005
9235021	92350	1	2	Story	Produced in the middle of the Golden Age. Firefighters were, namely, initially used for firefighting operations. Eventually realizing the logistic potential of the machine, more and more industries began adopting its usage on other fronts. Firefighters then became a common sight around fire scenes, factories, and ports.	800007
9236011	92360	1	1	Data I	The disassembly blades can decommission a target from different angles. The frames are usually worn from age, but the blades are still razor-sharp.	800005
9236012	92360	2	1	Data II	Easily broken because of the simplistic design. Innumerable traces of repair can be found upon it.	800005
9236013	92360	3	1	Data III	Long-term operation might cause it to overheat. The warning lights will turn on in this case. A valve will have to be opened to dissipate heat.	800005
9236021	92360	1	2	Story	Produced in the early Golden Age. It was designed to dismantle decommissioned robots and mechanical devices in the recycling factory. Large body and armed with razor-sharp cutting blades, a corrupted Deconstructor is an intimidating threat to humanity.	800007
9237011	92370	1	1	Data I	Its arrows were once used by archaeological teams to locate and detonate targets remotely. The arrowhead is tipped with explosives.	800005
9237012	92370	2	1	Data II	The cloaks are fashioned out of tents used by archaeological teams.	800005
9237021	92370	1	2	Story	Once trusty partners of archaeologists for surveying ruins. The infected mechanoids revolted, burying archaeologists with themselves in history. Archaeological units are designed with different terrains in mind. They are highly mobile, and are good climbers and leapers.	800007
9022011	90220	1	1	Data I	Their tools are highly durable. They were originally used for exploration, excavation, and soil collection. Now, it is used as a weapon.	800005
9022012	90220	2	1	Data II	Excavators fashioned simple armor out of the archaeological team's instruments.	800005
9022021	90220	1	2	Story	Once trusty partners of archaeologists for surveying ruins. The infected mechanoids revolted, burying archaeologists with themselves in history. Archaeological units are designed with different terrains in mind. They are highly mobile, and are good climbers and leapers.	800007
9239011	92390	1	1	Data I	A drivable vehicle while inactive. Includes all the basics—headlights, steering wheels, and continuous tracks.	800005
9239012	92390	2	1	Data II	The drill installed in a Harvester's left arm is used for excavation, exploration, and well drilling. The right hand can spray fertilizer and shoot flames and projectiles.	800005
9239021	92390	1	2	Story	Once large agricultural machineries used in cities, they were refitted and militarized by humans during the early days of the Punishing Virus outbreak. To avoid exposure to the virus, they were only allowed to operate inside the Central Purification Filters' range. Most were destroyed during the Great Evacuation, but Copperfield managed to secure a few.	800007
9240011	92400	1	1	Data I	Its brutish and massive horns are razor-sharp, easily splitting any objects when it charges.	800005
9240012	92400	2	1	Data II	Bio-Bulls change their posture through signals received from their antennas. The antennas also serve as enemy sensors.	800005
9240021	92400	1	2	Story	Driven by the mechanoid restoration trends, Copperfield has created a mechanically restored incarnation of a bull in his Estate Museum.	800007
9241011	92410	1	1	Data I	The antennas can receive signals from humans and also send exploration data back to them.	800005
9241012	92410	2	1	Data II	The electric spark generator detects subterranean structures and also welds metals. It was mainly used in underground city construction.	800005
9241013	92410	3	1	Data III	The acid container is an Acid Ant's energy source and also a device that can collect and filter underground toxic gases. The acid inside also serves as a weapon.	800005
9241014	92410	4	1	Data IV	With a big compound eye sensor and a neck that can rotate 360°, it can reliably navigate lightless environments.	800005
9241021	92410	1	2	Story	Acid Ants were bionic incarnations of a form of termite found in cities adjacent to Tokyo during the late Golden Age. Humans deployed Acid Ants to build and expand underground cities.	800007
9762011	97620	1	1	Data I	A human can enter a Terrapod's cockpit to pilot it. The armor protects the pilot from harm, but infected Terrapods will never allow a human inside. Rarely, human skeletons can be seen inside Terrapod cockpits.	800005
9762012	97620	2	1	Data II	The Gatling gun can rotate at any angle. It automatically reloads through the magazine below when it runs out of ammo.	800005
9762021	97620	1	2	Story	An advanced security robot created by Cosmos Industries. Able to patrol along designated routes and be piloted by humans. It locates intruders with signals from monitoring devices. It automatically shreds unidentified enemies in the city with its powerful weapons.	800007
9234011	92340	1	1	Data I	The spear can store and transfer aeolian and EM energy to nearby allies. The energy can be used for attacks too.	800005
9234012	92340	2	1	Data II	Dressed like a god's servant, sacred and archaic.	800005
9234021	92340	1	2	Story	Mechanically restored incarnations of the lost Egyptian civilization. They were once Osiris' exalted and loyal guards.	800007
9238011	92380	1	1	Data I	Standard blade, automatic pistol; close range, long range.	800005
9238012	92380	2	1	Data II	The mask is installed with an analyzer and an Inver-Device. The former scans the surrounding environment, the latter repels viral corruption.	800005
9238021	92380	1	2	Story	A normal Construct soldier of Babylonia. Standard equipment, standard performance.	800007
9242011	92420	1	1	Data I	A light hand cannon on its left and a giant rocket launcher on its right, Musashi VI is a force to be reckoned with. The projectiles shot from the launcher can also draw enemies in.	800005
9242012	92420	2	1	Data II	The armor can be taken off for routine maintenance.	800005
9242021	92420	1	2	Story	A security robot of the KCC that was originally used only in areas under the KCC's jurisdiction. As KCC began sharing its technologies for diplomatic reasons, the Musashi VI model became a much more common sight.	800007
9245011	92450	1	1	Data I	Its harpoon can hit targets at medium range and drag them back to it.	800005
9245012	92450	2	1	Data II	Its left hand can transform into a hatchet to slice its enemies in close range battles.	800005
9245013	92450	3	1	Data III	The signal receiver can be used to relay info to its companions and receive orders from humans.	800005
9245014	92450	4	1	Data IV	With its powerful thrusters, it can speed across the sea and even fly for a short period of time.	800005
9245015	92450	5	1	Data V	It can generate energy with nuclear fusion and recycle the nuclear reactant for energy regeneration. Practically a bottomless energy tank, it can even run long operations solo.	800005
9245021	92450	1	2	Story	An amphibious soldier created by Cosmos Industries for patrolling and fending off enemies in the seas. The head is a cockpit for a human pilot that is not visible from the outside. Polar Soldiers can also run on auto-pilot. After the virus outbreak, someone once pried the cockpit of a Polar Soldier open. Inside though, was something that could hardly be called human.	800007
9263011	92630	1	1	Data I	Its body can rotate 360°, allowing it to attack at different angles.	800005
9263012	92630	2	1	Data II	Equipped with different weapons, it was used for terraforming and defensive operations.	800005
9263021	92630	1	2	Story I	A robot produced in an infected train carriage. Large in size and slow in speed, it was originally an exploration module of the train. It has been given additional mobility modules after its core became corrupted. An Explore Unit is responsible for scanning the train's surrounding environment and any movements. It can also be shot out of a train's cannon to survey a faraway environment. The exploration data helps Repair Units to lay tracks.	800007
9263022	92630	2	2	Story II	The rotund frame is designed to be shot out of train cannons. Arriving at the target location, it will transform and unfold its internal exploration instruments to survey the environment. The Explore Units on the train can transform directly to scan the train's surrounding environment and relay the data back to the master control program.	800007
9050011	90500	1	1	Data I	The central processing unit can process data and also receive signals sent from the space station.	800005
9050012	90500	2	1	Data II	Its repeater can receive signals from different machines to activate various facilities in the space station. Can refuel through solar energy and also the nuclear fusion energy chamber of the space station. The energy output can also be adjusted to shoot laser beams at enemies.	800005
9050021	90500	1	2	Story	A management module responsible for the daily operations of the space station. Management modules are assigned to different areas to process data, manage facilities, and compile reports for the space station.	800007
9068011	90680	1	1	Data I	The pair of razor-sharp blades is her iconic weapon. It can fillet an enemy in a matter of seconds.	800005
9068012	90680	2	1	Data II	Yazi is especially fond of umbrellas. Even when off-duty, she enjoys wandering around the ship with an umbrella propped up. Her umbrella is also made of special materials that can help her defend against enemy attacks.	800005
9068021	90680	1	2	Story I	The Kowloong Crew is created by the leader of the Nighter. Pillars of the performance troupe, the Kowloong Crew are made up of 9 Constructs symbolizing the 9 dragon sons of the Dragon King. They present themselves as high-level performers in auctions, but they function as a team of bodyguards. They are installed with control chips, and maintaining their leader's safety is their utmost priority.	800007
9068022	90680	2	2	Story II	In addition to being a bodyguard, Yazi also assassinates dissidents for the leader.	800007
9070011	90700	1	1	Data I	Compared with Phecda, Prime has even better firepower and is more aggressive. Its chest and facial panels can open to reveal the launchers inside for a surprise attack.	800005
9070012	90700	2	1	Data II	In contrary to their heavy and bulky looks, Prime and Phecda are very flexible and have great explosive power. They could often obliterate the incoming enemies within seconds when awaking from the statue mode.	800005
9070021	90700	1	2	Story	Kowloong Corp has access to the early Construct production technologies. Two mass-produced Constructs, namely "Prime" and "Phecda", form the majority of Kowloong's own defense force. These serious-looking statues will be activated when intruders are present, and transform into fierce guardians.	800007
9274011	92740	1	1	Data	While inactive, A'Mao will compress itself into the shape of a watermelon and roll around the water park. Visitors can call upon it using a portable terminal at any time.	800005
9274021	92740	1	2	Story I	A customer service robot produced by Universal Toys in the middle of the Golden Age. Its job is to sell drinks and handheld fireworks in the Venus Splash Park.	800007
9274022	92740	2	2	Story II	It lost in the Venus Splash Park mascot competition.	800007
8110011	81100	1	1	Data	The two legs and the support pillar enable high-speed movement. The power cables are exposed.	800003
8110021	81100	1	2	Story	Once a large engineering robot for urban use. During the early outbreak of the Punishing Virus, it became refitted and militarized by humans. They were, however, only used inside of Central Purification Filters to avoid exposure to the virus.	800004
8130011	81300	1	1	Data I	The tuxedo is ragged, but Roseblade still wears it to display his commitment to humanity.	800003
8130012	81300	2	1	Data II	Roseblade's obsession with traditional swords and chivalry came from his devotion to humanity. His master may be gone, but his loyalty has yet to fade.	800003
8130021	81300	1	2	Story	Advanced Executor models refitted as butlers for the upper class. Roseblades faithfully follow their master's orders. Employing a rapier in battle, he is as graceful as he is deadly. With the addition of synthetic skin, he bears a much closer resemblance to human beings.	800004
8140011	81400	1	1	Data I	The corrupted Sister model can harness the power of the virus in a way similar to Ascendants. She absorbs the energy within the virus, then releases it to attack enemies.	800003
8140012	81400	2	1	Data II	Her attacks symbolize the joining of the punishing virus with divine retribution.	800003
8140021	81400	1	2	Story	The age of technological explosion weakened the appeal of faith. The church required bionic evangelists that could carry out their orders with unwavering faith. The Sister model was one of them.	800004
8141011	81410	1	1	Data	Usually only appears from the summons of a Sister model.	800003
8141021	81410	1	2	Story	Bots that died at the corrupted Sister's hands and became reconstructed as loyal pets.	800004
8120011	81200	1	1	Data	Rockets—Empty. Roadblock—Blade. Rebar—Handle. Weapon found.	800003
8120021	81200	1	2	Story I	A riot control unit in areas under the KCC's jurisdiction. Damaged when the cities fell, so it was re-tasked into covering the rear.	800004
8120022	81200	2	2	Story II	Once clumsily bandaged by a girl. The bandage is useless and is still clinging onto its head.	800004
8120023	81200	3	2	Story III	Musashi IX has been wandering around after being corrupted. It is generally not hostile, but once it engages in combat, it will go berserk and attack everything in sight.	800004
8150011	81500	1	1	Data I	This Nozzle model has an inconceivable amount of paint inside its body. It can mix the ideal paint color and texture anytime.	800003
8150012	81500	2	1	Data II	There are two high-quality speakers installed on its chest. The designer believed that painting and music have great chemistry.	800003
8150013	81500	3	1	Data III	It can use its right hand to spray paint and draw in ways that are impossible for humans.	800003
8150021	81500	1	2	Story I	Originally designed to spray paint. Able to mix paint inside its body. It will clumsily fend off those who impede its artistic process.	800004
8150022	81500	2	2	Story II	Corruption has given Nozzle a different artistic turn. A new type of material made of Construct vital fluids, fluorescent agents, and mixed coolants is now Nozzle's primary choice of paint. This paint can be directly shot out, pressurized into freeze bombs, or even nebulized to disrupt radar detection.	800004
8170011	81700	1	1	Data I	Inside the armor is a modified Construct whose limbs show signs of severe infection.	800003
8170012	81700	2	1	Data II	The spikes are not just for attacking or self-defense, they are also torture devices that can destroy the exterior armor of Constructs to amplify the effects of Punishing infection.	800003
8170013	81700	3	1	Data III	The virus-contaminated cables can be used to bind enemies and corrupt humans and bio-machines.	800003
8170021	81700	1	2	Story I	Originally fighting to protect humanity, Tifa is now completely obsessed with power. The spikes are not only weapons, but also a torture device for herself.	800004
8170022	81700	2	2	Story II	She can cause M.I.N.D. deviation in weak-willed Constructs merely with her ghastly appearance.	800004
8180011	81800	1	1	Data I	Usually found burrowing beneath the sand. Its head is hard enough to endure nearly all attacks.	800003
8180012	81800	2	1	Data II	Vassago's body is not fully covered by its armor, which is its biggest weakness in battle.	800003
8180013	81800	3	1	Data III	Its body contains virus-contaminated black fluids, a product left when sandstone melts.	800003
8180021	81800	1	2	Story	A restored incarnation of the guardians of a lost desert civilization. Vassagos are able to move swiftly in sand, tearing apart creatures that enter the desert without permission.	800004
8190011	81900	1	1	Data	A Construct of unknown origin, wielding a katana just like Lucia, but far more experienced and skilled at it. Every swing seems to tear apart the fabric of reality.	800003
8190021	81900	1	2	Story	Appears to be connected to Lucia. No further information.	800004
8215011	82150	1	1	Data	Armed to the teeth. Extremely deadly.	800003
8215021	82150	1	2	Story	A ball-shaped military robot fully equipped with heavy firearms. Known for its high efficiency in cleaning up battlefields. Now corrupted, it became humanity's worst nightmare.	800004
