Id	ChapterId	Order	Name	SubName	Icon	DescTitle	Desc	Condition	UnLockTime	StoryId[0]	StoryId[1]
100211	1002	11	The Proud	2_11			What a fool. With Ascendant's power, I will fulfill the last wish of my commandant...	84100211		ZX00211BA	
100212	1002	12	End of Torture	2_12			—and shot a bullet into her point-blank.	84100212		ZX00212BA	ZX00212EA
100301	1003	1	Seeds	3_1			Among those hypocritical and disorganized humans, I'll find an appropriate... one to be the... seed...	84100301		ZX00301BA	
100302	1003	2	Terminal	3_2			This is the Museum Estate. The Ascendant traces ended here.	84100302		ZX00302BA	
100303	1003	3	Driven by Instinct	3_3			A colossal blade whirls past—Then I'm going in! Hiya—	84100303		ZX00303BA	
100304	1003	4	Good Samaritan	3_4			Helping people makes me feel good!	84100304		ZX00304BA	
100305	1003	5	Trespassing	3_5			Even though we encountered a little trouble, we managed to get into the Estate.	84100305		ZX00305BA	
100306	1003	6	Traps	3_6			What secrets is the Estate hiding? And what exactly is the inheritance?	84100306		ZX00306BA	
100307	1003	7	Final Warning	3_7			That must be the Ascendant.	84100307		ZX00307BA	
100308	1003	8	Take Caution	3_8			A new variant, along with many Corrupted reinforcements, suddenly appeared in the Estate. Pass through this courtyard ASAP.	84100308		ZX00308BA	
100309	1003	9	Special Mission	3_9			Only Lucia can soundlessly destroy enemies.	84100309		ZX00309BA	
100310	1003	10	Twisted Modification	3_10			We'd better be mentally prepared for... whatever's coming.	84100310		ZX00310BA	
100311	1003	11	Each Loyal to Their Own	3_11			I thought you were... a good guy.	84100311		ZX00311BA	
100312	1003	12	A New Seed	3_12			Is that what you think... Did you not notice that my target was you from the start?	84100312		ZX00312BA	ZX00312EA
100401	1004	1	Night Escape	4_1			After Kamui regains consciousness, the remaining task for Gray Raven is how to escape from here.	84100401		ZX00401BA	ZX00401EA
100402	1004	2	Deduction	4_2			The calculation result is... there are no routes...	84100402		ZX00402BA	ZX00402EA
100403	1004	3	Beneficiary	4_3			Take cover! Baby's gonna blow!	84100403		ZX00403BA	ZX00403EA
100404	1004	4	Breaking Through	4_4			The heavy agriculture machine falls to the ground with a thud, its speaker keeps repeating something, as if calling out for someone.	84100404		ZX00404BA	ZX00404EA
100405	1004	5	Lurking Sand	4_5			There's Punishing Virus reaction beneath the sand!	84100405		ZX00405BA	ZX00405EA
100406	1004	6	Panic Dive	4_6			Vassago, a kind of aggressive bionic Sand Worm.	84100406		ZX00406BA	ZX00406EA
100407	1004	7	Forsaken	4_7			Identity... deserter?	84100407		ZX00407BA	ZX00407EA
100408	1004	8	Negotiation	4_8			Next time we meet, we'll be enemies.	84100408		ZX00408BA	ZX00408EA
100409	1004	9	Left Behind	4_9			When Gray Raven almost escaped, Liv was captured by the Forsaken.	84100409		ZX00409BA	ZX00409EA
100410	1004	10	Kidnapping	4_10			You kidnapped me. For this, you face the risk of warfare with Babylonia.	84100410		ZX00410BA	
100411	1004	11	Noises	4_11			In order to take Liv back, Gray Raven decided to split up.	84100411		ZX00411BA	
100412	1004	12	Bloody Truth	4_12			That gift—the box of wild mint.	84100412		ZX00412BA	ZX00412EA
100501	1005	1	Traces	5_1			Without Liv, Gray Raven can only stay in place and wait for Kamui's results.	84100501		ZX00501BA	
100502	1005	2	Blind Fight	5_2			This doesn't look like a biosphere... It's more like the... M.I.N.D.	84100502		ZX00502BA	ZX00502EA
100503	1005	3	Dispelling Illusions	5_3			As the Gray Raven has figured out how the EM projectors function, it is time to find and disable them.	84100503		ZX00503BA	
100504	1005	4	A Smart Path	5_4			This is a souvenir Murray gave me, a mini graviton detector.	84100504		ZX00504BA	
100505	1005	5	True Form	5_5			As turning the devices off by hand is too inefficient, Lucia has proposed adopting Strike Hawk's method.	84100505		ZX00505BA	ZX00505EA
100506	1005	6	Suppressed Illusions	5_6			With my help, projector breaking's gonna be twice as fast!	84100506		ZX00506BA	ZX00506EA
100507	1005	7	Humanoid	5_7			The Corrupted are doing an organized retreat suddenly. Gray Raven has realized that they might be controlled by someone else.	84100507		ZX00507BA	ZX00507EA
100508	1005	8	Supervisor	5_8			Who do these imprisoned consciousnesses in the M.I.N.D. Test Area belong to?	84100508		ZX00508BA	ZX00508EA
100509	1005	9	The Light of Seven	5_9			It's a friendly signal. Did support come?	84100509		ZX00509BA	ZX00509EA
100510	1005	10	Lost Sword	5_10			Gray Raven found the Forsakens and Liv deep inside the M.I.N.D. Test Area.	84100510		ZX00510BA	ZX00510EA
100511	1005	11	Turning the Table	5_11			Watanabe, I need an explanation...!	84100511		ZX00511BA	
100512	1005	12	Liv's Return	5_12			Connect to Liv's M.I.N.D., Commandant. Only you can save her now.	84100512		ZX00512BA	ZX00512EA
100601	1006	1	Tracking the Ascendant	6_1			After resting in a Forsaken camp for a night, Gray Raven has received a new mission from Babylonia.	84100601		ZX00601BA	
100602	1006	2	Deep Under	6_2			Gray Raven has to go toward City 019 around 30km away.	84100602		ZX00602BA	ZX00602EA
100603	1006	3	Mystery	6_3			These are the marks of resistance from the people.	84100603		ZX00603BA	ZX00603EA
100604	1006	4	Powerful Reinforcement	6_4			Nanami suddenly appeared to join the battle of Gray Raven and the new type of Corrupted.	84100604		ZX00604BA	ZX00604EA
100605	1006	5	Mind Noises	6_5			The concentration of Punishing Virus is skyrocketing as the team ventures further. Liv has noticed some abnormal behavior in a member.	84100605		ZX00605BA	
100606	1006	6	Parting Ways	6_6			Kamui suddenly left without a single explanation.	84100606		ZX00606BA	
100607	1006	7	Greater Threats	6_7			Please decide quickly. Some of the Corrupted on the production line have awakened.	84100607		ZX00607BA	
100608	1006	8	Detonation	6_8			...Nanami, I order you to help Watanabe!	84100608		ZX00608BA	ZX00608EA
100609	1006	9	Cleansing	6_9			De... tecting... thermal... reaction... purify...	84100609		ZX00609BA	
100610	1006	10	Retreat	6_10			Lead everyone out after the detonation.	84100610		ZX00610BA	
100611	1006	11	Cerberus	6_11			Kamui, when were you first corrupted?	84100611		ZX00611BA	ZX00611EA
100612	1006	12	Purifying Force	6_12			Right before the Purifying Force executed the mission, Strike Hawk had connected in.	84100612		ZX00612BA	ZX00612EA
100701	1007	1	Left Behind	7_1			The leader of Strike Hawk had made up his mind to save Kamui. In order to break the deadlock, Bianca was willing to make temporary concessions and help to find Kamui in the ruins.	84100701		ZX00701BA	ZX00701EA
100702	1007	2	Buried Alive	7_2			Gray Raven encountered a group of aggressive Corrupted under the ground.	84100702		ZX00702BA	ZX00702EA
100703	1007	3	Restructure	7_3			Gray Raven has returned to the entrance because of the Corrupted's interference. They have to map the best route ahead.	84100703		ZX00703BA	ZX00703EA
100704	1007	4	Unexpected Alliance	7_4			He's Rohacchi, Nanami's pal!	84100704		ZX00704BA	ZX00704EA
100705	1007	5	Split	7_5			Without a trace of Kamui, Karenina quietly left the team.	84100705		ZX00705BA	ZX00705EA
100706	1007	6	Tracking	7_6			She's going after Kamui on her own.	84100706		ZX00706BA	ZX00706EA
100707	1007	7	Encounter	7_7			Traces of battle between Karenina and Kamui can be found on the way following the tracks of Karenina.	84100707		ZX00707BA	
100708	1007	8	Abnormal Energy	7_8			When Gray Raven found Karenina, she had already lost consciousness. Liv found abnormal energy inside her... same as the one inside Kamui.	84100708		ZX00708BA	
100709	1007	9	Boiling Consciousness	7_9			A form of energy is trying to invade Karen's M.I.N.D.	84100709		ZX00709BA	ZX00709EA
100710	1007	10	Besieged	7_10			The enemies were coming at Gray Raven once Karenina's condition was stabilized. Seeing that they moved in coordination, there must be someone behind them.	84100710		ZX00710BA	
100711	1007	11	Two Frontlines	7_11			We meet again, Babylonians.	84100711		ZX00711BA	ZX00711EA
100712	1007	12	End of the Path	7_12			Defeat the Ascendant first!	84100712		ZX00712BA	ZX00712EA
100801	1008	1	Dawn	8_1			With the authority of the Babylonian Council, I order the Gray Raven squad to withdraw immediately!	84100801		ZX00801BA	ZX00801EA
100802	1008	2	Potential Unlocked	8_2			With the "help" of the president, Gray Raven have obtained supplies and continued on their way.	84100802		ZX00802BA	
100803	1008	3	Obstacle	8_3			The situation has been getting worse. Gray Raven decided to sneak in with a special method.	84100803		ZX00803BA	ZX00803EA
100804	1008	4	Clone	8_4			Deep inside the ruins, Gray Raven encountered Nozzle, the robot that should have already been retrieved.	84100804		ZX00804BA	ZX00804EA
100805	1008	5	Weeping Rose	8_5			After Nozzle is the robot butler of the same model as the butler back in the Estate. It seems that "someone" does not want Gray Raven to find Kamui.	84100805		ZX00805BA	ZX00805EA
100806	1008	6	Path of Torture	8_6			It proved that those Corrupted were made by Roland through some unknown means. Suddenly, Lee left the team just like Kamui had done.	84100806		ZX00806BA	ZX00806EA
100807	1008	7	Remnants	8_7			Lee's not responding to my connection, something's wrong.	84100807		ZX00807BA	ZX00807EA
100808	1008	8	Trial of Torture	8_8			You'll pay for this.	84100808		ZX00808BA	ZX00808EA
100809	1008	9	Justice	8_9			How'd you guarantee that it ain't a monster coming out of that tin can?	84100809		ZX00809BA	
100810	1008	10	Resistance	8_10			I'll never be strayed by anything, I'll only follow my own will. I have not lost yet!	84100810		ZX00810BA	ZX00810EA
100811	1008	11	Devoured	8_11			I did it with my will and fought so from the beginning till now!	84100811		ZX00811BA	ZX00811EA
100812	1008	12	Light and Shadow	8_12			Because, you are me, and I am you. We're both Kamui.	84100812		ZX00812BA	ZX00812EA
100901	1009	1	Flying Sand	9_1			This war will likely determine the future direction of the world.	84100901		ZX00901BA	
100902	1009	2	Second Contact	9_2			A friendly reminder from Korolev: Dear children, please treat public facilities with love and care—	84100902		ZX00902BA	ZX00902EA
100903	1009	3	Star Rift	9_3			The contents of the signal... were lines from a play... Shakespeare's "The Tempest".	84100903		ZX00903BA	ZX00903EA
100904	1009	4	Reunion	9_4			At least for now, we're using each other.	84100904		ZX00904BA	ZX00904EA
100905	1009	5	Self Immune	9_5			Cells infected by bacteria or viruses will be... destroyed and discarded...	84100905		ZX00905BA	
100906	1009	6	Digit Blade	9_6			If there is any danger, Commandant, please wake us immediately.	84100906		ZX00906BA	
100907	1009	7	Strict Education	9_7			This high-density body plans to give Gray Raven a lesson.	84100907		ZX00907BA	
100908	1009	8	Gravitational Edge	9_8			The Prism is now ready.	84100908		ZX00908BA	
100909	1009	9	Instant Communication	9_9			Selena said some information was related to the design of these... rings.	84100909		ZX00909BA	
100910	1009	10	Hetero-Core	9_10			Coated man. Floating Cube.	84100910		ZX00910BA	
100911	1009	11	Set	9_11			The cross ahead is named the Punishing Heteromer.	84100911		ZX00911BA	
100912	1009	12	Shatter	9_12			We had a discussion and decided that I would be the best candidate to fire the Prism.	84100912		ZX00912BA	
100913	1009	13	Chase	9_13			Watanabe turns and runs toward the gravity room's exit.	84100913		ZX00913BA	ZX00913EA
101001	1010	1	Pray	10_1			The folks prayed to a certain being that they would find peace at the end of their journeys.	84101001		ZX01001BA	
101002	1010	2	To Akdilek	10_2			Akdilek Commercial Alliance... Wait, this diagram, is a train?	84101002		ZX01002BA	
101003	1010	3	Constructs on Earth	10_3			Are you surprised? Construct Tech is not something only Babylonia has.	84101003		ZX01003BA	ZX01003EA
101004	1010	4	A Trade with Akdilek	10_4			After all, that is our most valuable merchandise.	84101004		ZX01004BA	ZX01004EA
101005	1010	5	Choice	10_5			We can't afford to wait any longer.	84101005		ZX01005BA	
101006	1010	6	Omen	10_6			Golden Apple System, activate!	84101006		ZX01006BA	
101007	1010	7	Someone and Bianca	10_7			Aww, you're not using the motorcycle I especially prepared for you? And it's a really cool design too...	84101007		ZX01007BA	
101008	1010	8	Powerless	10_8			I don't plan to abandon any one of you... It is not my intention for anyone to get hurt.	84101008		ZX01008BA	
101009	1010	9	Hitchhike	10_9			There's no use in finding the culprit now... Let's find the way to the carriage.	84101009		ZX01009BA	
101010	1010	10	Gunners	10_10			As expected, Sophia has figured out the "satisfying" answer in her heart.	84101010		ZX01010BA	
101011	1010	11	Resolve	10_11			I can be a good merchant too!	84101011		ZX01011BA	ZX01011EA
101012	1010	12	From Now On	10_12			The Eternal Engine got back on track after destroying the "goods".	84101012		ZX01012BA	
101013	1010	13	Eternity				Fate never favors anyone... There is no eternity, Aston.	84101012		YR01101BA	
101014	1010	14	Delivery				I have confirmed the status of the "goods". Are you ready for delivery?	84101012		YR01102BA	
101015	1010	15	Port				The Nighter. The oriental ship that only pulls in at night.	84101012		YR01103BA	YR01103EA
101101	1011	1	Night Voyage	11_1			Looks like you're in big trouble, Gray Raven.	84101101		ZX01101BA	
101102	1011	2	Escape Room	11_2			The familiar ceiling doesn't come to sight when opening eyes. It is a locked secret chamber and there is an unusual sign of connection.	84101102		ZX01102BA	ZX01102EA
101103	1011	3	Port	11_3			The only related text was about "Opera", an art form that existed in the pre-pandemic human world.	84101103		ZX01103BA	
101104	1011	4	Night Market	11_4			Canned pupa! Three grubs a can!	84101104		ZX01104BA	
101105	1011	5	Closure	11_5			Who kidnapped the commandant? The answer might be hidden on the ship that left the port.	84101105		ZX01105BA	
101106	1011	6	Cargo	11_6			No, that thing's called "Huaxu".	84101106		ZX01106BA	ZX01106EA
101107	1011	7	Control	11_7			Lucia, you look great in this outfit!	84101107		ZX01107BA	ZX01107EA
101108	1011	8	Entry	11_8			The audience feasts their eyes on this pair of embodiments of oriental beauty.	84101108		ZX01108BA	ZX01108EA
101109	1011	9	The Fool	11_9			And how can you be so sure? Machines are merely lifeless creations of mankind, devoid of emotions and thoughts.	84101109		ZX01109BA	ZX01109EA
101110	1011	10	Who Dreams	11_10			With Lucia as the vessel, Huaxu will become the perfect existence.	84101110		ZX01110BA	
101111	1011	11	Freedom	11_11			I don't understand love. I am the one who deprived you of your freedom, who always controlled you...	84101111			ZX01110EA
101112	1011	12	Kowloong	11_12			The ship drifts. Everyone trains their sights upon the sea's surface, an azure painting glittering under the morning sun.	84101112		ZX01111BA	
101113	1011	13	Unknown Future				The team is preparing for the experiment of a new frame in Babylonia while discussing the future directions.	84101112		YR01201BA	
101114	1011	14	Thorough Preparation				Apart from the new frame, Asimov is also preparing another secret weapon for Nikola.	84101112		YR01202BA	
101115	1011	15	Catcher in the Rye				The Ascendants gather together and prepare to head toward the battle that will decide their fate.	84101112		YR01203BA	
101201	1012	1	Mist	12_1			After a seemingly endless wait, the Nighter was finally coming ashore.	84101201		ZX01201BA	
101202	1012	2	Rejection	12_2			The crew weren't welcomed, but rejected instead.	84101202		ZX01202BA	
101203	1012	3	Gathering	12_3			The real Huaxu must not fall into the hands of Ascendants. Babylonia forces started gathering.	84101203		ZX01203BA	
101204	1012	4	Break the Ice	12_4			In the arctic land, the fisher was urging the sailor to hurry. Forest Guards were chasing after the Corrupted.	84101204		ZX01204BA	
101205	1012	5	Chaos	12_5			Everybody had their own plan. Except Babylonia.	84101205		ZX01205BA	
101206	1012	6	Hawk & Hound	12_6			The joint operation between Cerberus and Strike Hawk didn't seem to be going well.	84101206		ZX01206BA	
101207	1012	7	War Decision	12_7			The actions taken by different parties only further accelerated the war.	84101207		ZX01207BA	
101208	1012	8	Frankenstein	12_8			It was complete mayhem in Kowloong City. They seemed to have underestimated the Ascendants.	84101208		ZX01208BA	
101209	1012	9	Smile	12_9			War was imminent. Gray Raven made a promise.	84101209		ZX01209BA	
101210	1012	10	Support Force	12_10			Never underestimate the Support Force! —Bridget	84101210		ZX01210BA	
101211	1012	11	Sister	12_11			The two Lucias met again in Kowloong City.	84101211		ZX01211BA	ZX01211EA
101212	1012	12	Accumulation	12_12			Seriously wounded, Lucia was removed from the frontline for recovery, while Gray Raven received an unexpected reinforcement.	84101212		ZX01212BA	
101213	1012	13	Ticket	12_13			Two leaders were having a conversation in a station.	84101213		ZX01213BA	
101214	1012	14	Lamia's Poison	12_14			As an Ascendant, Lamia specialized in manipulating her enemies.	84101214		ZX01214BA	
101215	1012	15	Corporation	12_15			Qu decided to take one step further for the Corporation.	84101215		ZX01215BA	
101216	1012	16	Hawk Hunt	12_16			In order to rescue fellow comrades, Strike Hawk was forced to confront Lamia.	84101216		ZX01216BA	
101217	1012	17	Mermaid of Hatred	12_17			Strike Hawk's effort wasn't wasted. Kowloong guards decided to join forces against Lamia.	84101217		ZX01217BA	
101218	1012	18	Shield	12_18			Lucia was already on her way, so Strike Hawk decided to first create a path.	84101218		ZX01218BA	ZX01218EA
101219	1012	19	Crisis	12_19			A golden powder was seen on the battlefield between Cerberus and Roland.	84101219		ZX01219BA	
101220	1012	20	Onboard Entertainment	12_20			The train was getting close to Kowloong—	84101220		ZX01220BA	
101221	1012	21	Promise	12_21			Far away from the battle, Lucia woke up—	84101221		ZX01221BA	
101222	1012	22	Inside the Light Wall	12_22			Gray Raven managed to get through the light wall, only to be greeted by Kowloong's defense force.	84101222		ZX01222BA	
101223	1012	23	At the Door	12_23			There were also different opinions within the light wall. What would happen...?	84101223		ZX01223BA	
101224	1012	24	The Warden	12_24			Gray Raven met Qu in the tower and discovered Kowloong's real intention.	84101224		ZX01224BA	
101225	1012	25	Plume	12_25			On the Observatory Plume shone bright.	84101225		ZX01225BA	ZX01225EB
101226	1012	26	Hope	12_26			It was over... For now.	84101226		ZX01226BB	
131301	1013	1	Hidden Current_01				Information saved		2020/11/26 5:02	YR01601BA	
131302	1013	2	Hidden Current_02				Information saved		2020/11/26 5:02	YR01602BA	
131303	1013	3	Hidden Current_03				Information saved		2020/11/26 5:02	YR01603BA	
131304	1013	4	Decision Altitude				77.3% of the conventional engines have been forcibly shut down. Babylonia is falling!	630001		ZX01601BA	
131305	1013	5	A Familiar Sight				The virtual space looks completely normal, but there is something hidden underneath.	630002		ZX01602BA	ZX01602EA
131306	1013	6	Unexpected Bolt				You encounter unexpected events, both friendly and hostile... both commanded and improvised.	630003		ZX01603BA	ZX01603EA
131307	1013	7	Fake Friendship				False is false.	630004		ZX01604BA	
131308	1013	8	Profile of Bait				Veritas ends in pursuit.	630005		ZX01605BA	
131309	1013	9	Fragile Relationship				Is relationship and bond between people strong or frail?	630006		ZX01606BA	
131310	1013	10	Breaking a Deadlock				Finally, there is a hope to break the deadlock.	630007		ZX01607BA	ZX01607EA
131311	1013	11	Shutting				All signals come to a screeching halt here.	630008		ZX01608BA	
131312	1013	12	Huaxu				No matter who "it" works for, you've got to make it stop.	630009		ZX01609BA	ZX01609EA
131313	1013	13	S.S.D.D				The crisis in Babylonia is lifted temporarily. And everything returns to normal.	630010		ZX01610BA	
131314	1013	14	Enhance Inverse				If you see something too dangerous, don't let curiosity get the best of you.	630011		ZX01611BA	
131315	1013	15	Recover Clue				It seems that we will maintain this perspective until the end of this mission.	630012		ZX01611BB	
131316	1013	16	Enemies in Sight				Projections of Corrupted, the Corrupted, growths of punishing...	630013		ZX01612BA	
131317	1013	17	Crimson Tide				The four of you gaze into the red tide of life and death, just like how it gazes back.	630014		ZX01613BA	ZX01613EA
131318	1013	18	Shades of the Past				Looks like... this commandant must have been dead for over a week.	630015		ZX01614BA	
131319	1013	19	Piper				They seem to be lured by the "sound of the flute" and submerge in the sea of crimson.	630016		ZX01615BA	
131320	1013	20	Hetero-Creature				These Corrupted have started to develop biological traits. Simply calling them "Corrupted" would be inaccurate.	630017			ZX01617BA
131321	1013	21	Plunder & Sacrifice				In order to survive, we have to decide what to accept, as difficult to bear as they are... That's the price.	630018		ZX01618BA	
131322	1013	22	Past & Future				Please don't hate me.	630019		ZX01619BA	
131323	1013	23	Blood Link				...Will I become someone like her?	630020		ZX01620BA	
131324	1013	24	Continue Forward				Carefully, Liv opens the faded cover, and a white petal falls out onto her hand.	630021		ZX01621BA	
131325	1013	25	Full of Thorns				There are more traps ahead, so be careful.	630022		ZX01622BA	
131326	1013	26	We Were Here				I would still have some foolish hope had that never happened.	630023		ZX01623BA	
131327	1013	27	Shattered Fragments				It's up to you to decide when to let Lucia get that memory back.	630024		ZX01624BA	
131328	1013	28	City of Fakes				It's not that it was abandoned... It was never even occupied.	630025		ZX01625BA	
131329	1013	29	Red Tide's Guidance				Go back to the source—to the abyss.	630026		ZX01626BA	
131330	1013	30	Welcoming Ceremony				The broken remains remind you of "corpses."	630027		ZX01627BA	ZX01627EA
131331	1013	31	Curtain				Since our guests have arrived at the door, there is no reason not to entertain them.	630028		ZX01628BA	
131332	1013	32	Unexpected Support				Then, let me be your mission support from now on.	630029		ZX91629BA	
131333	1013	33	Ascension Secrets				A blindfolded queen, an advisor, and a beast.	630030		ZX01630BA	ZX01630EA
131334	1013	34	Test				Or is this another "test" of yours?	630031		ZX01631BA	
131335	1013	35	Question				Can you really put that blade of yours in Luna's heart?	630032		ZX01632BA	ZX01632EA
131336	1013	36	Fury of the Agent				If these weaklings are your "final plan," I must say I'm quite disappointed.	630033		ZX01633BA	ZX01633EA
131337	1013	37	Master of Ceremony				Miss Luna, this is my answer to your question—	630034		ZX01634BA	
131338	1013	38	Cross the Bridge				Whether in sight or out of sight, the Support Sorce are always working.	630035		ZX01635BA	
131339	1013	39	Huaxu's Projection				What does the appearance of Huaxu's projection here really mean?	630036		ZX01636BA	
131340	1013	40	Visitor				Be careful of that Lucia.	630037		ZX91637BA	
131341	1013	41	Crimson Resolve				Lucia... Quickly! Commandant's going to...	630038		ZX01638BA	
131342	1013	42	Divergence Point				I will accept your everything—your pain, your choices.	630039		ZX01639BA	
131343	1013	43	Sealed Past				Don't worry, you'll be the next.	630040		ZX01640BA	
131344	1013	44	Shards of Remorse				Before falling into complete silence, Lucia clutches the nameplate in her hand...	630041		ZX01641BA	
131345	1013	45	Chaotic Memories				The shards of each other's memories cross the boundary between them, like fragments of glass pouring down after it breaks, scattering in front of their eyes.	630042		ZX01642BA	
131346	1013	46	Lost Heart				Running your mouth when you're so lost and miserable. Is that who you are now?	630043		ZX01643BA	
131347	1013	47	Lucia				This is your reward for facing your past.	630044		ZX01644BA	ZX01644EA
131348	1013	48	To the Future				Welcome back, Lucia.	630045		ZX01645BA	
131349	1013	49	Polyphage Abyss				Underneath this behemoth is a lake composed of the Red Tide, shimmering in its fearsome scarlet glow.	630046		ZX01646BA	
131350	1013	50	A Perfect Disguise?				If it was not Murray, who is it?	630047		ZX01646BB	
131351	1013	51	Audio Analysis				It is impossible to find Lamia by blindly searching, so this is the time to check the tips.	630048		ZX01647BA	
131352	1013	52	Mermaid's Gift				Hee hee, take it—it's Lamia's petty concern.	630049		ZX91648BA	
131353	1013	53	Mermaid Caught Up				Lamia has nowhere to run.	630050		ZX01649BA	
131354	1013	54	Horrifying Marks				Only cracked and shattered rocks remain when you arrive at the epicenter.	630051		ZX01650BA	
131355	1013	55	Cannibalism				Miss Luna... Please serve your final duty as an agent...	630052		ZX01651BA	ZX01651EA
131356	1013	56	Resolve				Besides, Gray Raven is at its best when we are together, right?	630053		ZX01652BA	
131357	1013	57	Mermaid's Purpose				"Go, complete your task."	630054		ZX01653BA	
131358	1013	58	Huge Threat				Battle is the only option against the roaring Polyphage.	630055		ZX01654BA	ZX01654EA
131359	1013	59	Confession				This time, I'm choosing to believe in "myself."	630056		ZX01655BA	
131360	1013	60	Race Against Time				Despite the many enemies ahead of her, Lucia knows the bullets and beams coming from her teammates will clear her way.	630057		ZX01656BA	ZX01656EA
131361	1013	61	Awake and Destroy				The end... is nigh!	630058		ZX01657BA	ZX01658EA
131362	1013	62	Invader				Head to [Eden 16-B] Floor 3 to find [Cordis Die 1] event	621101		FZ01601BA	
131363	1013	63	Multi-line Operation				Head to [Dominick Memorial Park] Floor 1 to find [Cordis Die 2] event	621102		FZ01601BB	
131364	1013	64	Paradox				Head to [Babylonia Bridge] Floor 2 to find [Cordis Die 3] event	621103		FZ01601BC	
131365	1013	65	Earth's Fulcrum				Head to the deep of [Babylonia Bridge] Floor 2 to find [Cordis Die 4] event	621104		FZ01601BD	
131366	1013	66	Rough Marks				Head to [Dominick Memorial Park] Floor 4 to find [Cordis Die 5] event	621105		FZ01601BE	
131367	1013	67	Cat & Mouse				Head to the deep of [Dominick Memorial Park] Floor 4 to find [Cordis Die 6] event	621106		FZ01601BF	
131368	1013	68	Scarab				Head to [Babylonia Bridge] Floor 2 to find [The Hiddens 1] event	621201		FZ01603BA	
131369	1013	69	Clamber				Head to [Parliament Square] Floor 2 to find [The Hiddens 2] event	621202		FZ01603BB	
131370	1013	70	"Bad Boy"				Head to [Dominick Memorial Park] Floor 3 to find [The Hiddens 3] event	621203		FZ01603BC	
131371	1013	71	Bait				Head to [Dominick Memorial Park] Floor 4 to find [The Hiddens 4] event	621204		FZ01603BD	
131372	1013	72	Question				Head to the deep of [Dominick Memorial Park] Floor 4 to find [The Hiddens 5] event	621205		FZ01603BE	
131373	1013	73	Traveler				Head to [Eden 16-B] Floor 3 to find [World's End 1] event	621301		FZ01602BA	
131374	1013	74	"Great Antenna"				Head to [Parliament Square] Floor 2 to find [World's End 2] event	621302		FZ01602BB	
131375	1013	75	Dialogue				Head to [Babylonia Bridge] Floor 3 to find [World's End 3] event	621303		FZ01602BC	
