Id	GroupId	Order	Type	Title	Text	Condition	UnLockTime
1001421	10014	1	2	Story I	One of the largest contributors to the Construct Tech. Kalon has greatly improved the chance of a successful Construct modification experiment, though the price for it has become his unforgettable trauma.	84305012	
1001422	10014	2	2	Story II	Unable to stand the Construct modification experiment anymore, Kalon left the research team and hid out in the slum of City 052. He adopted a helpless girl named Karenina there.	84305012	
1001513	10015	3	1	PD: 	Oct 23	84308012	
1001514	10015	4	1	Blood Type	O	84308012	
1001521	10015	1	2	Story	A military Construct from the same batch as Kamui. He is somewhat timid, but he is willing to support his comrades with everything he has got on the battlefield.	84308012	
1001613	10016	3	1	PD: 	Jul 10	84311012	
1001614	10016	4	1	Blood Type	B	84311012	
1001621	10016	1	2	Story	He is an officer of Babylonia and the head of the Smith family.	84311012	
1001713	10017	3	1	PD: 	Jul 7	845001010	
1001714	10017	4	1	Blood Type	A	845001010	
1001721	10017	1	2	Story	Dominik's friend. After Dominik went missing, she started to research possible methods of suppressing the Punishing Virus, and, by conducting numerous human experiments, the gigantic Golden Vortex is her answer for that.	845001010	
1001813	10018	3	1	PD: 	May 1	84100112	
1001814	10018	4	1	Blood Type	B	84100112	
1001821	10018	1	2	Story I	The commander-in-chief of Babylonia and a member of the Babylonia Council. Nikola is responsible for handling the military affairs in Babylonia.	84100112	
1001822	10018	2	2	Story II	■■■■	84100112	
1001823	10018	3	2	Story III	■■■■	84100112	
1001824	10018	4	2	Story IV	■■■■	84100112	
1001825	10018	5	2	Story V	In order to reclaim the Earth, Nikola will do everything he needs to do.	84100112	
1001913	10019	3	1	PD: 	Aug 15	84101106	
1001914	10019	4	1	Blood Type	B	84101106	
1001921	10019	1	2	Story I	A member of the Kowloong Crew on the Nighter, Pulao is a security specialist responsible for the security affairs of the Kowloong Chamber of Commerce.	84101106	
1001922	10019	2	2	Story II	Unlike the rest of the Kowloong Crew, Pulao seems to have retained part of her memory.	84101106	
1002013	10020	3	1	PD: 	May 26	84303022	
1002014	10020	4	1	Blood Type	A	84303022	
1002021	10020	1	2	Story	A scavenger living in an underground tunnel of City 049.	84303022	
1002113	10021	3	1	PD: 	Sep 2	84100107	
1002114	10021	4	1	Blood Type	AB	84100107	
1002121	10021	1	2	Story I	The Sky Lord Celica. Everything seems to be a breeze to this impeccable, gorgeous secretary.	84100107	
1002122	10021	2	2	Story II	[This log has been edited abnormally. Please contact the relevant personnel as soon as possible.]	84100107	
1002213	10022	3	1	PD: 	■■■■	84309012	
1002214	10022	4	1	Blood Type	O	84309012	
1002221	10022	1	2	Story I	An Archaeological Team member from the World Government Association of Art. Her beautiful voice and superb opera singing techniques mark her off from the other opera singers.	84309012	
1002222	10022	2	2	Story II	A gentle, considerate girl who always lends a hand to people in need.	84309012	
1002313	10023	3	1	PD: 	Feb 1	84307011	
1002314	10023	4	1	Blood Type	AB	84307011	
1002321	10023	1	2	Story I	A pious priest of a church located in the north of Kuzath Snow Plains. He embraced everyone with infinite compassion.	84307011	
1002322	10023	2	2	Story II	In fact, he is a bionic robot hastily activated by the churches in the Golden Age, the time when religion lost its appeal.	84307011	
1002413	10024	3	1	PD: 	Dec 10	84307021	
1002414	10024	4	1	Blood Type	O	84307021	
1002421	10024	1	2	Story I	A military volunteer of City 173. Even though he was just a military volunteer, when it came to protecting his city, he acted even more valiantly than the real soldiers did.	84307021	
1002422	10024	2	2	Story II	His kindness always brings sunshine to the people around him.	84307021	
1002423	10024	3	2	Story III	Toby was abducted by Daedalus for an illegal Construct modification experiment soon after he came in contact with Bianca. He managed to escape halfway through the experiment.	84307021	
1002424	10024	4	2	Story IV	Only after Bianca left the church did the folks discover the symptoms of corruption on Toby's body. Nonetheless, the fact that Toby was corrupted before death did not lessen their hatred and fear of Bianca. They blamed her for everything that had ever happened.	84307021	
1002425	10024	5	2	Story V	His body is buried in the cemetery of City 173.	84307021	
1002513	10025	3	1	PD: 	Sep 1	84307023	
1002514	10025	4	1	Blood Type	B	84307023	
1002521	10025	1	2	Story I	The chairman of Daedalus and a former Kurono's employee. With an opposite view on how to treat the Constructs, Wen left Babylonia and founded Daedalus by leveraging his extensive social network.	84307023	
1002522	10025	2	2	Story II	He is a perfectionist who has a special affection for a perfect piece of work. As for the defectives, he shows no mercy, and almost everything in this world seems defective to him.	84307023	
1002613	10026	3	1	PD: 	Jun 13	84306021	
1002614	10026	4	1	Blood Type	A	84306021	
1002621	10026	1	2	Story I	The captain of the 25-633th squadron. Known as the "Beak of Islay", the flying ace of the World Government, Cyril has made outstanding contributions on the battlefield.	84306021	
1002622	10026	2	2	Story II	In the 5th Operation Acadia, Cyril was seen around the operation location, yet his name was not on the list of servicemen for that operation.	84306021	
1002713	10027	3	1	PD: 	Jan 5	84309011	
1002714	10027	4	1	Blood Type	AB	84309011	
1002721	10027	1	2	Story	A staff member of the Center of Basic Public Education in Babylonia.	84309011	
1002813	10028	3	1	PD: 	Oct 8	84101108	
1002814	10028	4	1	Blood Type	A	84101108	
1002821	10028	1	2	Story I	A member of the Kowloong Crew on the Nighter and Villier's bodyguard. Yazi is responsible for handling black ops missions.	84101108	
1002822	10028	2	2	Story II	Unlike the rest of the Kowloong Crew, Yazi seems to have retained part of her memory.	84101108	
1002913	10029	3	1	PD: 	Apr 21	84201101	
1002914	10029	4	1	Blood Type	B	84201101	
1002921	10029	1	2	Story	Lee's younger brother, Nikola's agent, and a new tactician in the Combat Department. In order to achieve his ambitions, Babylonia, Ascendants, and all the other things in this world are nothing but pawns to Murray.	84201101	
1003012	10030	2	1	PD: 	Unknown	84800104	
1003013	10030	3	1	Blood Type	O	84800104	
1003021	10030	1	2	Story	Publicly executed by Luna for attempting to lay hands on a secret she deemed to be forbidden. He may also be linked to other Ascendants that you have yet to meet...	84800104	
1003112	10031	2	1	PD: 	■■■■	84313011	
1003113	10031	3	1	Blood Type	■■■■	84313011	
1003121	10031	1	2	Story	Camu's instructor in Kurono. A member of the Special Security Department, and an experienced warrior. Killed by the furious Camu.	84313011	
1003212	10032	2	1	PD: 	■■■■	84800202	
1003213	10032	3	1	Blood Type	■■■■	84800202	
1003221	10032	1	2	Story	A Construct of Babylonia. Her real intention was to control Amberia and take revenge on the ARU. For this purpose she was willing to pay any price, including asking Ascendants for help and protection.	84800202	
1003312	10033	2	1	PD: 	■■■■	84800202	
1003313	10033	3	1	Blood Type	■■■■	84800202	
1003321	10033	1	2	Story	A Commandant of Babylonia. Once served as the direct leader of Atiel, and was later betrayed by her.	84800202	
1003412	10034	2	1	PD: 	■■■■	84800203	
1003413	10034	3	1	Blood Type	■■■■	84800203	
1003421	10034	1	2	Story	The Chief Captain of the Arctic Route Union.	84800203	
1003512	10035	2	1	PD: 	■■■■	84900201	
1003513	10035	3	1	Blood Type	■■■■	84900201	
1003521	10035	1	2	Story	An bear-model bionic. Joined Nanami to stop the war between bionics and humans.	84900201	
1003612	10036	2	1	PD: 	■■■■	84314012	
1003613	10036	3	1	Blood Type	■■■■	84314012	
1003621	10036	1	2	Story	A member of the Forest Guards. Protected Pfaff and Rosetta in the snow.	84314012	
1003712	10037	2	1	PD: 	■■■■	84314011	
1003713	10037	3	1	Blood Type	■■■■	84314011	
1003721	10037	1	2	Story I	Rosetta's grandfather. Never allowed her to display a single sign of weakness.	84314011	
1003722	10037	2	2	Story II	Decided to hunt the Narwhal alone without Rosetta for a chance to atone for their guilt.	84314011	
