Id	GroupId	Order	Title	Text	Condition
8320002	83200	2	Charge	Rosetta charges forward, dealing damage to enemies in the way.	800000
8320003	83200	3	Ion Blast - Explosion	Rosetta swings her spear, creating ion fields that draw in the enemy and deal damage.	800000
8320004	83200	4	Ion Blast - Scatter	Rosetta fires multiple tracking ion shots, dealing damage to multiple targets.	800000
8320005	83200	5	Ion Blast - Cross	Rosetta unleashes a cross slash attack, dealing heavy damage in a large area in front.	800000
8322001	83220	1	Annihilation Mode	Rosetta switches to attack mode, increasing mobility and attack power.	800000
8322002	83220	2	Ion Blast - Scatter	Rosetta fires multiple tracking ion shots, dealing damage to a single target.	800000
8322003	83220	3	Ion Gale	Rosetta fires a shockwave, dealing damage to a distant target.	800000
8322004	83220	4	Overload	Rosetta increases her energy output, greatly increasing attack speed.	800000
8322005	83220	5	Polar Storm	Rosetta leaps high in the air to create a storm, calling down thunder around all targets	800000
8322006	83220	6	Nightmare - Ion Zone	The Polar Storm is said to leave behind ion fields on the ground, creating energy clones of Rosetta. One must use their own body to destabilize the ion fields.	800000
8352001	83520	1	Inception	Huaxu puts her palms together to channel two giant hands from her M.I.N.D. that slap the enemies.	800000
8352002	83520	2	Origin	After channeling, Huaxu launches 3 consecutive attacks under her enemies that also knock them back for a short duration.	800000
8352003	83520	3	Lightning Storm	Huaxu creates 7 circular lightning zones near the enemies, damaging any enemy caught within.	800000
8352004	83520	4	Claw of Expulsion	Huaxu swings her arms to claw at the enemies in mid range.	800000
8352005	83520	5	Sacred Mode	Huaxu enters the Sacred mode to gain bonus shield and take significantly less damage from the front.	800000
