Id	BigIconPath	IconPath	LiHuiPath	ModelTransId[1]	ModelTransId[2]	ModelTransId[3]	ResonanceModelTransId1[1]	ResonanceModelTransId1[2]	ResonanceModelTransId1[3]	ResonanceModelTransId2[1]	ResonanceModelTransId2[2]	ResonanceModelTransId2[3]	ResonanceModelTransId3[1]	ResonanceModelTransId3[2]	ResonanceModelTransId3[3]	PainterName
2046001	Assets/Product/Texture/Image/IconTools/E3BowMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3BowMd070011Sp.png	Assets/Product/Texture/Image/Arms/E3BowMd070011.png	10470111												Artist 28
2046002	Assets/Product/Texture/Image/IconTools/E3BowMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3BowMd080011Sp.png	Assets/Product/Texture/Image/Arms/E3BowMd080011.png	10470211			10470221			10470231			10470241			Artist 29
2053001	Assets/Product/Texture/Image/IconTools/E1SawMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1SawMd030011Sp.png	Assets/Product/Texture/Image/Arms/E1SawMd030011.png	10530111												Artist 30
2054001	Assets/Product/Texture/Image/IconTools/E2SawMd100011.png	Assets/Product/Texture/Image/IconToolsSp/E2SawMd100011Sp.png	Assets/Product/Texture/Image/Arms/E2SawMd100011.png	10540111												Artist 31
2055001	Assets/Product/Texture/Image/IconTools/E2SawMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2SawMd050011Sp.png	Assets/Product/Texture/Image/Arms/E2SawMd050011.png	10550111												Artist 32
2056001	Assets/Product/Texture/Image/IconTools/E3SawMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3SawMd070011Sp.png	Assets/Product/Texture/Image/Arms/E3SawMd070011.png	10570111												Artist 34
2056002	Assets/Product/Texture/Image/IconTools/E3SawMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3SawMd080011Sp.png	Assets/Product/Texture/Image/Arms/E3SawMd080011.png	10570211												Artist 35
2063001	Assets/Product/Texture/Image/IconTools/E1ClaymoreMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1ClaymoreMd030011Sp.png	Assets/Product/Texture/Image/Arms/E1ClaymoreMd030011.png	10630111												Artist 36
2064001	Assets/Product/Texture/Image/IconTools/E2ClaymoreMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2ClaymoreMd040011Sp.png	Assets/Product/Texture/Image/Arms/E2ClaymoreMd040011.png	10640111												Artist 37
2065001	Assets/Product/Texture/Image/IconTools/E2ClaymoreMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2ClaymoreMd050011Sp.png	Assets/Product/Texture/Image/Arms/E2ClaymoreMd050011.png	10650111												Artist 38
2065050	Assets/Product/Texture/Image/IconTools/E2ClaymoreMd110011.png	Assets/Product/Texture/Image/IconToolsSp/E2ClaymoreMd110011Sp.png	Assets/Product/Texture/Image/Arms/E2ClaymoreMd110011.png	10660211												Artist 39
2066001	Assets/Product/Texture/Image/IconTools/E3ClaymoreMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3ClaymoreMd070011Sp.png	Assets/Product/Texture/Image/Arms/E3ClaymoreMd070011.png	10670111												Artist 40
2066002	Assets/Product/Texture/Image/IconTools/E3ClaymoreMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3ClaymoreMd080011Sp.png	Assets/Product/Texture/Image/Arms/E3ClaymoreMd080011P01.png	10670211			10670221			10670231			10670241			Artist 41
2073001	Assets/Product/Texture/Image/IconTools/E1SleeveMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1SleeveMd030011Sp.png	Assets/Product/Texture/Image/Arms/E1SleeveMd030011.png	10730111												Artist 42
2074001	Assets/Product/Texture/Image/IconTools/E2SleeveMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2SleeveMd040011Sp.png	Assets/Product/Texture/Image/Arms/E2SleeveMd040011.png	10740111												Artist 43
2075001	Assets/Product/Texture/Image/IconTools/E2SleeveMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2SleeveMd050011Sp.png	Assets/Product/Texture/Image/Arms/E2SleeveMd050011.png	10750111												Artist 44
2075002	Assets/Product/Texture/Image/IconTools/E2SleeveMd110011.png	Assets/Product/Texture/Image/IconToolsSp/E2SleeveMd110011Sp.png	Assets/Product/Texture/Image/Arms/E2SleeveMd110011.png	10760111												Artist 45
2076001	Assets/Product/Texture/Image/IconTools/E3SleeveMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3SleeveMd070011Sp.png	Assets/Product/Texture/Image/Arms/E3SleeveMd070011.png	10770111												Artist 46
2076002	Assets/Product/Texture/Image/IconTools/E3SleeveMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3SleeveMd080011Sp.png	Assets/Product/Texture/Image/Arms/E3SleeveMd080011.png	10770211												Artist 47
2083001	Assets/Product/Texture/Image/IconTools/E1DaggerMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1DaggerMd030011Sp.png	Assets/Product/Texture/Image/Arms/E1DaggerMd030011.png	10830111	10830112											Artist 48
2084001	Assets/Product/Texture/Image/IconTools/E2DaggerMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2DaggerMd040011Sp.png	Assets/Product/Texture/Image/Arms/E2DaggerMd050011.png	10840111	10840112											Artist 49
2085001	Assets/Product/Texture/Image/IconTools/E2DaggerMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2DaggerMd050011Sp.png	Assets/Product/Texture/Image/Arms/E2DaggerMd040011.png	10850111	10850112											Artist 50
2085002	Assets/Product/Texture/Image/IconTools/E2DaggerMd090011.png	Assets/Product/Texture/Image/IconToolsSp/E2DaggerMd090011Sp.png	Assets/Product/Texture/Image/Arms/E2DaggerMd090011.png	10860111	10860112											Artist 51
2086001	Assets/Product/Texture/Image/IconTools/E3DaggerMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3DaggerMd070011Sp.png	Assets/Product/Texture/Image/Arms/E3DaggerMd070011.png	10870111	10870112											Artist 52
2086002	Assets/Product/Texture/Image/IconTools/E3DaggerMd110011.png	Assets/Product/Texture/Image/IconToolsSp/E3DaggerMd110011Sp.png	Assets/Product/Texture/Image/Arms/E3DaggerMd110011.png	10870211	10870212		10870221	10870222		10870231	10870232		10870241	10870242		Artist 53
2093001	Assets/Product/Texture/Image/IconTools/E1SickMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1SickMd030011Sp.png	Assets/Product/Texture/Image/Arms/E1SickMd030011.png	10930111												Artist 54
2094001	Assets/Product/Texture/Image/IconTools/E2SickMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2SickMd040011Sp.png	Assets/Product/Texture/Image/Arms/E2SickMd040011.png	10940111												Artist 55
2095001	Assets/Product/Texture/Image/IconTools/E2SickMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2SickMd050011Sp.png	Assets/Product/Texture/Image/Arms/E2SickMd050011.png	10950111												Artist 56
2096001	Assets/Product/Texture/Image/IconTools/E3SickMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3SickMd070011Sp.png	Assets/Product/Texture/Image/Arms/E3SickMd070011.png	10970111			10970121			10970131			10970141			Artist 57
2096002	Assets/Product/Texture/Image/IconTools/E3SickMd090011.png	Assets/Product/Texture/Image/IconToolsSp/E3SickMd090011Sp.png	Assets/Product/Texture/Image/Arms/E3SickMd090011.png	10970211			10970221			10970231			10970241			Artist 58
2096003	Assets/Product/Texture/Image/IconTools/E3SickMd100011.png	Assets/Product/Texture/Image/IconToolsSp/E3SickMd100011Sp.png	Assets/Product/Texture/Image/Arms/E3SickMd100011P01.png	10970311			10970321			10970331			10970341			Artist 59
2104001	Assets/Product/Texture/Image/IconTools/E2KamuMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2KamuMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2KamuMd010011.png	11040111												Artist 60
2105001	Assets/Product/Texture/Image/IconTools/E2KamuMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2KamuMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2KamuMd020011.png	11050111												Artist 61
2106001	Assets/Product/Texture/Image/IconTools/E3KamuMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3KamuMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3KamuMd010011.png	11060111												Artist 62
2114001	Assets/Product/Texture/Image/IconTools/E2SpearMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2SpearMd010011sp.png	Assets/Product/Texture/Image/Arms/E2SpearMd010011.png	11140111	11140112											Artist 63
2115001	Assets/Product/Texture/Image/IconTools/E2SpearMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2SpearMd020011sp.png	Assets/Product/Texture/Image/Arms/E2SpearMd020011.png	11150111	11150112											Artist 64
2116001	Assets/Product/Texture/Image/IconTools/E3SpearMd010011P01.png	Assets/Product/Texture/Image/IconToolsSp/E3SpearMd010011P01sp.png	Assets/Product/Texture/Image/Arms/E3SpearMd010011P01.png	11160111	11160112		11160121	11160122		11160131	11160132		11160141	11160142		Artist 65
2125001	Assets/Product/Texture/Image/IconTools/E22BMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E22BMd010011Sp.png	Assets/Product/Texture/Image/Arms/E1GunMd030011.png	11250111	11250112											Artist 66
2126001	Assets/Product/Texture/Image/IconTools/E32BMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E32BMd010011Sp.png	Assets/Product/Texture/Image/Arms/E1GunMd030011.png	11260111	11260112											Artist 67
2134001	Assets/Product/Texture/Image/IconTools/E2QuMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2QuMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2QuMd010011.png	11340111												Artist 68
2135001	Assets/Product/Texture/Image/IconTools/E2QuMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2QuMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2QuMd020011.png	11350111												Artist 69
2136001	Assets/Product/Texture/Image/IconTools/E3QuMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3QuMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3QuMd010011.png	11360111												Artist 70
2144001	Assets/Product/Texture/Image/IconTools/E2GloveMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2GloveMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2GloveMd010011.png	11440111	11440112											Artist 71
2145001	Assets/Product/Texture/Image/IconTools/E2GloveMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2GloveMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2GloveMd020011.png	11450111	11450112											Artist 72
2146001	Assets/Product/Texture/Image/IconTools/E3GloveMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3GloveMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3GloveMd010011P01.png	11460111	11460112		11460121	11460122		11460131	11460132		11460141	11460142		Artist 73
2155001	Assets/Product/Texture/Image/IconTools/E3A2Md010011.png	Assets/Product/Texture/Image/IconToolsSp/E3A2Md010011Sp.png	Assets/Product/Texture/Image/Arms/E1GunMd030011.png	11550111												Artist 74
2156001	Assets/Product/Texture/Image/IconTools/E3A2Md010011P02.png	Assets/Product/Texture/Image/IconToolsSp/E3A2Md010011P02Sp.png	Assets/Product/Texture/Image/Arms/E1GunMd030011.png	11560111												Artist 75
2165001	Assets/Product/Texture/Image/IconTools/E39SMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E39SMd010011Sp.png	Assets/Product/Texture/Image/Arms/E1GunMd030011.png	11650111												Artist 76
2166001	Assets/Product/Texture/Image/IconTools/E39SMd010011P02.png	Assets/Product/Texture/Image/IconToolsSp/E39SMd010011P02Sp.png	Assets/Product/Texture/Image/Arms/E1GunMd030011.png	11660111												Artist 77
2174001	Assets/Product/Texture/Image/IconTools/E2RingMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2RingMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2RingMd010011.png	11740111												Artist 78
2175001	Assets/Product/Texture/Image/IconTools/E2RingMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2RingMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2RingMd020011.png	11750111												Artist 79
2176001	Assets/Product/Texture/Image/IconTools/E3RingMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3RingMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3RingMd010011P01.png	11760111			11760121			11760131			11760141			Artist 80
2184001	Assets/Product/Texture/Image/IconTools/E2RifleMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2RifleMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2RifleMd010011.png	11840112	11840111											Artist 81
2185001	Assets/Product/Texture/Image/IconTools/E2RifleMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2RifleMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2RifleMd020011.png	11850112	11850111											Artist 82
2186001	Assets/Product/Texture/Image/IconTools/E3RifleMd010011P01.png	Assets/Product/Texture/Image/IconToolsSp/E3RifleMd010011P01Sp.png	Assets/Product/Texture/Image/Arms/E3RifleMd010011P01.png	11860112	11860111		11860122	11860121		11860132	11860131		11860142	11860141		Artist 83
2194001	Assets/Product/Texture/Image/IconTools/E2CelloMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2CelloMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2CelloMd010011.png	11940111	11940112											Artist 84
2195001	Assets/Product/Texture/Image/IconTools/E2CelloMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2CelloMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2CelloMd020011.png	11950111	11950112											Artist 85
2196001	Assets/Product/Texture/Image/IconTools/E3CelloMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3CelloMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3CelloMd010011.png	11960111	11960112											Artist 86
2204001	Assets/Product/Texture/Image/IconTools/E2GunbladeMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2GunbladeMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2GunbladeMd010011.png	12040111	12040112											Artist 87
2205001	Assets/Product/Texture/Image/IconTools/E2GunbladeMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2GunbladeMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2GunbladeMd020011.png	12050111	12050112											Artist 88
2206001	Assets/Product/Texture/Image/IconTools/E3GunbladeMd010011P01.png	Assets/Product/Texture/Image/IconToolsSp/E3GunbladeMd010011P01Sp.png	Assets/Product/Texture/Image/Arms/E3GunbladeMd010011P01.png	12060111	12060112		12060121	12060122		12060131	12060132		12060141	12060142		Artist 89
2214001	Assets/Product/Texture/Image/IconTools/E2BallrobotMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2BallrobotMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2BallrobotMd010011.png	12140111	12140112	12140113										Artist 90
2215001	Assets/Product/Texture/Image/IconTools/E2BallrobotMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2BallrobotMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2BallrobotMd020011.png	12150111	12150112	12150113										Artist 91
2216001	Assets/Product/Texture/Image/IconTools/E3BallrobotMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3BallrobotMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3BallrobotMd010011.png	12160111	12160112	12160113	12160121	12160122	12160123	12160131	12160132	12160133	12160141	12160142	12160143	Artist 92
2224001	Assets/Product/Texture/Image/IconTools/E2LuolanMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2LuolanMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2LuolanMd010011.png	12240111	12240112											Artist 93
2225001	Assets/Product/Texture/Image/IconTools/E2LuolanMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2LuolanMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2LuolanMd020011.png	12250111	12250112											Artist 94
2226001	Assets/Product/Texture/Image/IconTools/E3LuolanMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3LuolanMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3LuolanMd010011P01.png	12260111	12260112		12260121	12260122		12260131	12260132		12260141	12260142		Artist 95
2234001	Assets/Product/Texture/Image/IconTools/E2LanceMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2LanceMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2LanceMd010011.png	12340112	12340111											Artist 96
2235001	Assets/Product/Texture/Image/IconTools/E2LanceMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2LanceMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2LanceMd020011.png	12350112	12350111											Artist 97
2236001	Assets/Product/Texture/Image/IconTools/E3LanceMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3LanceMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3LanceMd010011P01.png	12360112	12360111		12360122	12360121		12360132	12360131		12360142	12360141		Artist 98
2244001	Assets/Product/Texture/Image/IconTools/E2WandMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2WandMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2WandMd010011.png	12440111												Artist 99
2245001	Assets/Product/Texture/Image/IconTools/E2WandMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2WandMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2WandMd020011.png	12450111												Artist 100
2246001	Assets/Product/Texture/Image/IconTools/E3WandMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3WandMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3WandMd010011P01.png	12460111			12460121			12460131			12460141			Artist 101
2254001	Assets/Product/Texture/Image/IconTools/E2FluntMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2FluntMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2FluntMd010011P01.png	12540111												Artist 102
2255001	Assets/Product/Texture/Image/IconTools/E2FluntMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2FluntMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2FluntMd020011P01.png	12550111												Artist 103
2256001	Assets/Product/Texture/Image/IconTools/E3FluntMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3FluntMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3FluntMd010011P01.png	12560111			12560121			12560131			12560141			Artist 104
2264001	Assets/Product/Texture/Image/IconTools/E2BoomerangMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2BoomerangMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2BoomerangMd010011.png	12640111												Artist 105
2265001	Assets/Product/Texture/Image/IconTools/E2BoomerangMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2BoomerangMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2BoomerangMd020011.png	12650111												Artist 106
2266001	Assets/Product/Texture/Image/IconTools/E3BoomerangMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3BoomerangMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3BoomerangMd010011P01.png	12660111			12660121			12660131			12660141			Artist 107
2274001	Assets/Product/Texture/Image/IconTools/E2CuttingMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2CuttingMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2CuttingMd010011.png	12740111												Artist 108
2275001	Assets/Product/Texture/Image/IconTools/E2CuttingMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2CuttingMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2CuttingMd020011.png	12750111												Artist 109
2276001	Assets/Product/Texture/Image/IconTools/E3CuttingMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3CuttingMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3CuttingMd010011P01.png	12760111			12760121			12760131			12760141			Artist 110
2284001	Assets/Product/Texture/Image/IconTools/E2HammerMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2HammerMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2HammerMd010011.png	12840111												Artist 108
2285001	Assets/Product/Texture/Image/IconTools/E2HammerMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2HammerMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2HammerMd020011.png	12850111												Artist 109
2286001	Assets/Product/Texture/Image/IconTools/E2HammerMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E2HammerMd030011Sp.png	Assets/Product/Texture/Image/Arms/E3HammerMd010011P01.png	12860111			12860121			12860131			12860141			Artist 110
2294001	Assets/Product/Texture/Image/IconTools/E2NuoanMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E2NuoanMd010011Sp.png	Assets/Product/Texture/Image/Arms/E2NuoanMd010011.png	12940111	12940112											Artist 111
2295001	Assets/Product/Texture/Image/IconTools/E2NuoanMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E2NuoanMd020011Sp.png	Assets/Product/Texture/Image/Arms/E2NuoanMd020011.png	12950111	12950112											Artist 112
2296001	Assets/Product/Texture/Image/IconTools/E3NuoanMd010011.png	Assets/Product/Texture/Image/IconToolsSp/E3NuoanMd010011Sp.png	Assets/Product/Texture/Image/Arms/E3NuoanMd010011P01.png	12960111	12960112		12960121	12960122		12960131	12960132		12960141	12960142		Artist 113
