Id	IndexId	UiName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
270	22	UiEquipDetail	-0.18	-0.67	1.1	0	180	0	1	1	1
271	22	UiEquipBreakThrough	-0.18	-0.67	1.1	0	180	0	1	1	1
272	22	UiEquipResonanceSelect	-0.18	-0.67	1.1	0	180	0	1	1	1
273	22	UiEquipResonanceSelectAfter	1.92	0.71	-27.2	0	180	0	1	1	1
274	22	UiEquipResonanceSkill	-0.18	-0.67	1.1	0	180	0	1	1	1
275	22	UiEquipStrengthen	-0.18	-0.67	1.1	0	180	0	1	1	1
276	22	UiDrawShow	0	-0.38	2.9	0	180	0	1	1	1
277	22	UiDrawActivityShow	0	-0.38	2.9	0	180	0	1	1	1
278	22	UiLottoShow	0	0	0	0	0	0	1	1	1
279	22	UiArchiveWeaponDetail	-0.06	-0.74	1.5	6	180	0	1	1	1
280	22	UiFashion	-0.18	-0.61	0	6	180	0	1	1	1
281	22	UiFashionDetail	0	-0.7	0.33	6	180	0	1	1	1
282	24	UiEquipDetail	-0.26	-0.16	2	-70	90	0	1	1	1
283	24	UiEquipBreakThrough	-0.26	-0.16	2	-70	90	0	1	1	1
284	24	UiEquipResonanceSelect	-0.26	-0.16	2	-70	90	0	1	1	1
285	24	UiEquipResonanceSelectAfter	2	0.75	-26.96	-70	90	0	1	1	1
286	24	UiEquipResonanceSkill	-0.26	-0.16	2	-70	90	0	1	1	1
287	24	UiEquipStrengthen	-0.26	-0.16	2	-70	90	0	1	1	1
288	24	UiDrawShow	-0.1	-0.5	2.54	-70	90	0	1	1	1
289	24	UiDrawActivityShow	-0.1	-0.5	2.54	-70	90	0	1	1	1
290	24	UiLottoShow	0	0	0	0	0	0	1	1	1
291	24	UiArchiveWeaponDetail	0	-0.27	3.5	-122	-76	0	1	1	1
292	24	UiFashion	-0.32	-0.02	2.55	-62.7	90	0	1	1	1
293	24	UiFashionDetail	-0.32	-0.12	3.28	-62.7	90	0	1	1	1
294	25	UiEquipDetail	-0.245	-0.1036	0.94	-60	90	0	1	1	1
295	25	UiEquipBreakThrough	-0.245	-0.1036	0.94	-60	90	0	1	1	1
296	25	UiEquipResonanceSelect	-0.245	-0.1036	0.94	-60	90	0	1	1	1
297	25	UiEquipResonanceSelectAfter	1.98	1.02	-27.5	-116	90	0	1	1	1
298	25	UiEquipResonanceSkill	-0.245	-0.1036	0.94	-60	90	0	1	1	1
299	25	UiEquipStrengthen	-0.245	-0.1036	0.94	-60	90	0	1	1	1
300	25	UiDrawShow	-0.05	0.15	2.74	-59.8	-310.8	-31.1	1	1	1
301	25	UiDrawActivityShow	-0.05	0.15	2.74	-59.8	-310.8	-31.1	1	1	1
302	25	UiLottoShow	0	0	0	0	0	0	1	1	1
303	25	UiArchiveWeaponDetail	-0.09	-0.18	0.11	-56.58	38.1	-9.6	1	1	1
304	25	UiFashion	-0.07	-0.09	-1.08	236.4	98	213.7	1	1	1
305	25	UiFashionDetail	0.11	-0.1	-0.58	236.4	98	213.7	1	1	1
306	26	UiEquipDetail	-0.64	-0.79	1.92	-204.39	-94.5	86.3	1	1	1
307	26	UiEquipBreakThrough	-0.64	-0.79	1.92	-204.39	-94.5	86.3	1	1	1
308	26	UiEquipResonanceSelect	-0.64	-0.79	1.92	-204.39	-94.5	86.3	1	1	1
309	26	UiEquipResonanceSelectAfter	2	0.31	-27.14	-214.2	-270.3	88.9	1	1	1
310	26	UiEquipResonanceSkill	-0.64	-0.79	1.92	-204.39	-94.5	86.3	1	1	1
311	26	UiEquipStrengthen	-0.64	-0.79	1.92	-204.39	-94.5	86.3	1	1	1
312	26	UiDrawShow	-0.22	-0.45	4.58	-214.3	-89.18	93.7	1	1	1
313	26	UiDrawActivityShow	-0.22	-0.45	4.58	-214.3	-89.18	93.7	1	1	1
314	26	UiLottoShow	0.6	-0.69	4.1	152	240	90	1	1	1
315	26	UiArchiveWeaponDetail	-0.02	-0.72	3.02	28.4	210	-91.1	1	1	1
316	26	UiFashion	-0.3	-0.65	2.54	23.99	-90.4	-85.7	1	1	1
317	26	UiFashionDetail	-0.3	-0.65	2.54	23.99	-90.4	-85.7	1	1	1
318	27	UiEquipDetail	0.29	0.15	2	19.2	-115	160	1	1	1
319	27	UiEquipBreakThrough	0.29	0.15	2	19.2	-115	160	1	1	1
320	27	UiEquipResonanceSelect	0.29	0.15	2	19.2	-115	160	1	1	1
321	27	UiEquipResonanceSelectAfter	1.75	1.3	-26.5	19.2	145	160	1	1	1
322	27	UiEquipResonanceSkill	0.29	0.15	2	19.2	-115	160	1	1	1
323	27	UiEquipStrengthen	0.29	0.15	2	19.2	-115	160	1	1	1
324	27	UiDrawShow	-0.23	0.29	3.57	19.2	145	160	1	1	1
325	27	UiDrawActivityShow	-0.23	0.29	3.57	19.2	145	160	1	1	1
326	27	UiLottoShow	0	0	0	0	0	0	1	1	1
327	27	UiArchiveWeaponDetail	0.4	0.02	2.57	19.2	-135	160	1	1	1
328	27	UiFashion	0.29	0.15	2	19.2	-115	160	1	1	1
329	27	UiFashionDetail	0.29	0.15	2	19.2	-115	160	1	1	1
330	28	UiEquipDetail	-0.35	-0.12	2.3	-125	-105	-90	1	1	1
331	28	UiEquipBreakThrough	-0.35	-0.12	2.3	-125	-105	-90	1	1	1
332	28	UiEquipResonanceSelect	-0.35	-0.12	2.3	-125	-105	-90	1	1	1
333	28	UiEquipResonanceSelectAfter	1.9	1.15	-26.4	-125	-85	-90	1	1	1
334	28	UiEquipResonanceSkill	-0.35	-0.12	2.3	-125	-105	-90	1	1	1
335	28	UiEquipStrengthen	-0.35	-0.12	2.3	-125	-105	-90	1	1	1
336	28	UiDrawShow	-0.07	0.12	5.1	-125	-105	-90	1	1	1
337	28	UiDrawActivityShow	-0.07	0.12	5.1	-125	-105	-90	1	1	1
338	28	UiLottoShow	0	0	0	0	0	0	1	1	1
339	28	UiArchiveWeaponDetail	-0.07	-0.12	3.8	-125	-105	-90	1	1	1
340	28	UiFashion	-0.22	-0.06	3	-125	-105	-90	1	1	1
341	28	UiFashionDetail	-0.22	-0.06	3	-125	-105	-90	1	1	1
342	29	UiEquipDetail	-0.55	0.3	1.2	0	-180	40	1	1	1
