Id	Name	Star	Ability	CharacterId	FightEvent	FightEventLevel	FixAttrIds[1]	FixAttrLevels[1]	AttrFixGroupIds[1]	FixAttrIds[2]	FixAttrLevels[2]	AttrFixGroupIds[2]	Load	DecomposeValue	Icon	Quality	Desc	DescTips	DescInitValue	DescFixAttrId	DescCoefficient	Type	IsDisplay
12	Flambeau: Core IV	6	1450	1541003	2230233	4	4	3	303	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	4	Pinging orbs has a <color=#0d70bd>{0}%</color>(<color=#0d70bd>{3}</color> Focus) chance to cost no Deception Points.	(Only one Add-on of the same type can be equipped)	600000	4	2000	123	0
13	Flambeau: Overclock 1 I	3	290	1541003	2230234	1	4	2	702	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	1	Pinging orbs generates an extra 3 Signature Energy.	(Only one Add-on of the same type can be equipped)	40000	4	5000	124	0
14	Flambeau: Overclock 1 II	4	593	1541003	2230234	2	4	2	702	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	2	Pinging orbs generates an extra 5 Signature Energy.	(Only one Add-on of the same type can be equipped)	40000	4	5000	124	0
15	Flambeau: Overclock 1 III	5	916	1541003	2230234	3	4	3	703	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	3	Pinging orbs generates an extra 10 Signature Energy.	(Only one Add-on of the same type can be equipped)	40000	4	5000	124	0
16	Flambeau: Overclock 1 IV	6	1450	1541003	2230234	4	4	3	703	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	4	Pinging orbs generates an extra 20 Signature Energy.	(Only one Add-on of the same type can be equipped)	40000	4	5000	124	0
17	Flambeau: Overclock 2 I	3	290	1541003	2230235	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	1	When Incinerating Orbs damage an enemy, they also Burn the enemy to deal damage equal to 88% of ATK per second over 4s.	(Only one Add-on of the same type can be equipped)	40000	4	5000	125	0
18	Flambeau: Overclock 2 II	4	593	1541003	2230235	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	2	When Incinerating Orbs damage an enemy, they also Burn the enemy to deal damage equal to 176% of ATK per second over 4s.	(Only one Add-on of the same type can be equipped)	40000	4	5000	125	0
19	Flambeau: Overclock 2 III	5	916	1541003	2230235	3	4	3	303	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	3	When Incinerating Orbs damage an enemy, they also Burn the enemy to deal damage equal to 275% of ATK per second over 4s.	(Only one Add-on of the same type can be equipped)	40000	4	5000	125	0
20	Flambeau: Overclock 2 IV	6	1450	1541003	2230235	4	4	3	303	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	4	When Incinerating Orbs damage an enemy, they also Burn the enemy to deal 440% of ATK per second over 4s.	(Only one Add-on of the same type can be equipped)	40000	4	5000	125	0
21	Empyrea: Core I	3	290	1031004	2230236	1	4	2	1002	2	1	601	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	1	Core Passive has a <color=#0d70bd>{0}%</color> (<color=#0d70bd></color> Focus) chance to trigger bonus effects: same color - pulls enemies together; different colors - deals 16% more damage to enemies affected by White Oracle.	(Only one Add-on of the same type can be equipped)	40000	4	5000	126	0
22	Empyrea: Core II	4	593	1031004	2230236	2	4	2	1002	2	2	602	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	2	Core Passive has a <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) chance to trigger bonus effects: same color - pulls enemies together; different colors - deals 32% more damage to enemies affected by White Oracle.	(Only one Add-on of the same type can be equipped)	480000	4	2000	126	0
23	Empyrea: Core III	5	916	1031004	2230236	3	4	3	1003	2	2	602	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	3	Core Passive has a <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) chance to trigger bonus effects: same color - pulls enemies together; different colors - deals 50% more damage to enemies affected by White Oracle.	(Only one Add-on of the same type can be equipped)	640000	4	2000	126	0
24	Empyrea: Core IV	6	1450	1031004	2230236	4	4	3	1003	2	3	603	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	4	Core Passive has a <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) chance to trigger bonus effects: same color - pulls enemies together; different colors - deals 100% more damage to enemies affected by White Oracle.	(Only one Add-on of the same type can be equipped)	800000	4	2000	126	0
25	Empyrea: Overclock 1 I	3	290	1031004	2230237	1	4	2	702	2	1	401	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	1	Casting Core Passive generates an extra 8 Passive Energy and increases Extra DMG by 100% for 12s.	(Only one Add-on of the same type can be equipped)	800000	4	2000	127	0
26	Empyrea: Overclock 1 II	4	593	1031004	2230237	2	4	2	702	2	2	402	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	2	Casting Core Passive generates an extra 16 Passive Energy and increases Extra DMG by 150% for 12s.	(Only one Add-on of the same type can be equipped)	40000	4	5000	127	0
27	Empyrea: Overclock 1 III	5	916	1031004	2230237	3	4	3	103	2	2	402	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	3	Casting Core Passive generates an extra 24 Passive Energy and increases Extra DMG by 200% for 12s.	(Only one Add-on of the same type can be equipped)	40000	4	5000	127	0
28	Empyrea: Overclock 1 IV	6	1450	1031004	2230237	4	4	3	103	2	3	403	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	4	Casting Core Passive generates an extra 32 Passive Energy and increases Extra DMG by 250% for 12s.	(Only one Add-on of the same type can be equipped)	40000	4	5000	127	0
29	Empyrea: Overclock 2 I	3	290	1031004	2230238	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	1	After entering Core Passive in Sea of Sangharama, pinging Signal Orbs has a 50% chance to add 2 extra stacks of Signature charge.	(Only one Add-on of the same type can be equipped)	40000	4	5000	128	0
30	Empyrea: Overclock 2 II	4	593	1031004	2230238	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	2	After entering Core Passive in Sea of Sangharama, pinging Signal Orbs has a 70% chance to add 2 extra stacks of Signature charge.	(Only one Add-on of the same type can be equipped)	40000	4	5000	128	0
31	Empyrea: Overclock 2 III	5	916	1031004	2230238	3	4	3	303	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	3	After entering Core Passive in Sea of Sangharama, pinging Signal Orbs has an 80% chance to add 3 extra stacks of Signature charge.	(Only one Add-on of the same type can be equipped)	40000	4	5000	128	0
32	Empyrea: Overclock 2 IV	6	1450	1031004	2230238	4	4	3	303	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Lifu4.png	4	After entering Core Passive in Sea of Sangharama, pinging Signal Orbs has a 100% chance to add 3 extra stacks of Signature charge.	(Only one Add-on of the same type can be equipped)	40000	4	5000	128	0
33	Dragontoll: Core I	3	290	1551003	2230239	1	1	2	202	4	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	1	Catching Dragon Axe increases Pulao's damage by <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Might), stacking up to 2 times.	(Only one Add-on of the same type can be equipped)	64000	1	2000	129	0
34	Dragontoll: Core II	4	593	1551003	2230239	2	1	2	202	4	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	2	Catching Dragon Axe increases Pulao's damage by <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Might), stacking up to 2 times.	(Only one Add-on of the same type can be equipped)	128000	1	2000	129	0
35	Dragontoll: Core III	5	916	1551003	2230239	3	1	3	203	4	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	3	Catching Dragon Axe increases Pulao's damage by <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Might), stacking up to 2 times.	(Only one Add-on of the same type can be equipped)	400000	1	2000	129	0
36	Dragontoll: Core IV	6	1450	1551003	2230239	4	1	3	203	4	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	4	Catching Dragon Axe increases Pulao's damage by <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Might), stacking up to 2 times.	(Only one Add-on of the same type can be equipped)	640000	1	2000	129	0
37	Dragontoll: Overclock 1 I	3	290	1551003	2230240	1	1	2	102	4	1	701	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	1	Dragon Force Combo generates an extra 8 Signature Energy.	(Only one Add-on of the same type can be equipped)	40000	1	5000	130	0
38	Dragontoll: Overclock 1 II	4	593	1551003	2230240	2	1	2	102	4	2	702	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	2	Dragon Force Combo generates an extra 16 Signature Energy.	(Only one Add-on of the same type can be equipped)	40000	1	5000	130	0
39	Dragontoll: Overclock 1 III	5	916	1551003	2230240	3	1	3	103	4	2	702	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	3	Dragon Force Combo generates an extra 30 Signature Energy.	(Only one Add-on of the same type can be equipped)	40000	1	5000	130	0
40	Dragontoll: Overclock 1 IV	6	1450	1551003	2230240	4	1	3	103	4	3	703	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	4	Dragon Force Combo generates an extra 40 Signature Energy.	(Only one Add-on of the same type can be equipped)	40000	1	5000	130	0
41	Dragontoll: Overclock 2 I	3	290	1551003	2230241	1	1	2	202	4	1	701	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	1	Basic Attacks generate 1 more Dragon Force Combo Energy.	(Only one Add-on of the same type can be equipped)	40000	1	5000	131	0
42	Dragontoll: Overclock 2 II	4	593	1551003	2230241	2	1	2	202	4	2	702	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	2	Basic Attacks generate 2 more Dragon Force Combo Energy.	(Only one Add-on of the same type can be equipped)	40000	1	5000	131	0
43	Dragontoll: Overclock 2 III	5	916	1551003	2230241	3	1	3	203	4	2	702	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	3	Basic Attacks generate 4 more Dragon Force Combo Energy.	(Only one Add-on of the same type can be equipped)	40000	1	5000	131	0
44	Dragontoll: Overclock 2 IV	6	1450	1551003	2230241	4	1	3	203	4	3	703	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadPulao4.png	4	Basic Attacks generate 6 more Dragon Force Combo Energy.	(Only one Add-on of the same type can be equipped)	40000	1	5000	131	0
45	Starfarer: Core I	3	290	1051004	2230242	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	1	Attacks also trigger missile attacks (1s interval). Each perfect triggering will cause a large explosion that deals damage equal to ATK x<color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) to enemies caught.	(Only one Add-on of the same type can be equipped)	7460000	4	93300	132	0
46	Starfarer: Core II	4	593	1051004	2230242	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	2	Attacks also trigger missile attacks (1s interval). Each perfect triggering will cause a large explosion that deals damage equal to ATK x<color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) to enemies caught.	(Only one Add-on of the same type can be equipped)	14930000	4	93300	132	0
47	Starfarer: Core III	5	916	1051004	2230242	3	4	3	303	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	3	Attacks also trigger missile attacks (1s interval). Each perfect triggering will cause a large explosion that deals damage equal to ATK x<color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) to enemies caught.	(Only one Add-on of the same type can be equipped)	23330000	4	93300	132	0
48	Starfarer: Core IV	6	1450	1051004	2230242	4	4	3	303	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	4	Attacks also trigger missile attacks (1s interval). Each perfect triggering will cause a large explosion that deals damage equal to ATK x<color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) to enemies caught.	(Only one Add-on of the same type can be equipped)	37330000	4	93300	132	0
49	Starfarer: Overclock 1 I	3	290	1051004	2230243	1	4	2	702	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	1	20% chance to remain in the Signature form after casting the 2nd phase of Signature.	(Only one Add-on of the same type can be equipped)	40000	4	5000	133	0
50	Starfarer: Overclock 1 II	4	593	1051004	2230243	2	4	2	702	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	2	40% chance to remain in the Signature form after casting the 2nd phase of Signature.	(Only one Add-on of the same type can be equipped)	40000	4	5000	133	0
51	Starfarer: Overclock 1 III	5	916	1051004	2230243	3	4	3	703	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	3	60% chance to remain in the Signature form after casting the 2nd phase of Signature.	(Only one Add-on of the same type can be equipped)	40000	4	5000	133	0
52	Starfarer: Overclock 1 IV	6	1450	1051004	2230243	4	4	3	703	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	4	80% chance to remain in the Signature form after casting the 2nd phase of Signature.	(Only one Add-on of the same type can be equipped)	40000	4	5000	133	0
53	Starfarer: Overclock 2 I	3	290	1051004	2230244	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	1	Extra DMG Bonus increases by 1.25% for every Signal Orb present.	(Only one Add-on of the same type can be equipped)	40000	4	5000	134	0
54	Starfarer: Overclock 2 II	4	593	1051004	2230244	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	2	Extra DMG Bonus increases by 2.5% for every Signal Orb present.	(Only one Add-on of the same type can be equipped)	40000	4	5000	134	0
55	Starfarer: Overclock 2 III	5	916	1051004	2230244	3	4	3	303	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	3	Extra DMG Bonus increases by 4% for every Signal Orb present.	(Only one Add-on of the same type can be equipped)	40000	4	5000	134	0
56	Starfarer: Overclock 2 IV	6	1450	1051004	2230244	4	4	3	303	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadR5Yongyechao4.png	4	Extra DMG Bonus increases by 6.25% for every Signal Orb present.	(Only one Add-on of the same type can be equipped)	40000	4	5000	134	0
57	Starveil: Core I	3	290	1561003	2230245	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	1	Attacks made with Frost-Treated Blade deal bonus damage equal to Haicma's ATK x<color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus).	(Only one Add-on of the same type can be equipped)	160000	4	2000	135	0
58	Starveil: Core II	4	593	1561003	2230245	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	2	Attacks made with Frost-Treated Blade deal bonus damage equal to Haicma's ATK x<color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus).	(Only one Add-on of the same type can be equipped)	320000	4	2000	135	0
59	Starveil: Core III	5	916	1561003	2230245	3	4	3	303	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	3	Attacks made with Frost-Treated Blade deal bonus damage equal to Haicma's ATK x<color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus).	(Only one Add-on of the same type can be equipped)	480000	4	2000	135	0
60	Starveil: Core IV	6	1450	1561003	2230245	4	4	3	303	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	4	Attacks made with Frost-Treated Blade deal bonus damage equal to Haicma's ATK x<color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus).	(Only one Add-on of the same type can be equipped)	800000	4	2000	135	0
61	Starveil: Overclock 1 I	3	290	1561003	2230246	1	4	2	702	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	1	Gain 2 bonus Signature Energy per second.	(Only one Add-on of the same type can be equipped)	40000	4	5000	136	0
62	Starveil: Overclock 1 II	4	593	1561003	2230246	2	4	2	702	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	2	Gain 4 bonus Signature Energy per second.	(Only one Add-on of the same type can be equipped)	40000	4	5000	136	0
63	Starveil: Overclock 1 III	5	916	1561003	2230246	3	4	3	703	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	3	Gain 6 bonus Signature Energy per second.	(Only one Add-on of the same type can be equipped)	40000	4	5000	136	0
64	Starveil: Overclock 1 IV	6	1450	1561003	2230246	4	4	3	703	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	4	Gain 8 bonus Signature Energy per second.	(Only one Add-on of the same type can be equipped)	40000	4	5000	136	0
65	Starveil: Overclock 2 I	3	290	1561003	2230247	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	1	Dodge Gauge recovers 25% faster.	(Only one Add-on of the same type can be equipped)	40000	4	5000	137	0
66	Starveil: Overclock 2 II	4	593	1561003	2230247	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	2	Dodge Gauge recovers 50% faster.	(Only one Add-on of the same type can be equipped)	40000	4	5000	137	0
67	Starveil: Overclock 2 III	5	916	1561003	2230247	3	4	3	303	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	3	Dodge Gauge recovers 75% faster.	(Only one Add-on of the same type can be equipped)	40000	4	5000	137	0
68	Starveil: Overclock 2 IV	6	1450	1561003	2230247	4	4	3	303	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadHakama4.png	4	Dodge Gauge recovers 100% faster.	(Only one Add-on of the same type can be equipped)	40000	4	5000	137	0
69	Scire: Core I	3	290	1071004	2230248	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	1	Gravity Overload leaves behind a Gravity Fountain that erupts in 2s, dealing damage equal to <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) of Karenina's ATK to all units within range. Each Gravity Fountain increases the Extra DMG Bonus of next Gravity Fountain by 50%, up to 100%.	(Only one Add-on of the same type can be equipped)	710000	4	9000	138	0
70	Scire: Core II	4	593	1071004	2230248	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	2	Gravity Overload leaves behind a Gravity Fountain that erupts in 2s, dealing damage equal to <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) of Karenina's ATK to all units within range. Each Gravity Fountain increases the Extra DMG Bonus of next Gravity Fountain by 50%, up to 100%.	(Only one Add-on of the same type can be equipped)	1420000	4	9000	138	0
71	Scire: Core III	5	916	1071004	2230248	3	4	3	303	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	3	Gravity Overload leaves behind a Gravity Fountain that erupts in 2s, dealing damage equal to <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) of Karenina's ATK to all units within range. Each Gravity Fountain increases the Extra DMG Bonus of next Gravity Fountain by 50%, up to 100%.	(Only one Add-on of the same type can be equipped)	2220000	4	9000	138	0
72	Scire: Core IV	6	1450	1071004	2230248	4	4	3	303	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	4	Gravity Overload leaves behind a Gravity Fountain that erupts in 2s, dealing damage equal to <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) of Karenina's ATK to all units within range. Each Gravity Fountain increases the Extra DMG Bonus of next Gravity Fountain by 50%, up to 100%.	(Only one Add-on of the same type can be equipped)	3560000	4	9000	138	0
73	Scire: Overclock 1 I	3	290	1071004	2230249	1	4	2	702	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	1	Upon entering battlefield, trigger Matrix and gain 1 bonus Signal Orb. Pinging Signal Orbs manually will increase Basic Attack DMG by 3.56% for 15s, stacking up to 6 times (triggering this effect again will renew its duration).	(Only one Add-on of the same type can be equipped)	40000	4	5000	139	0
74	Scire: Overclock 1 II	4	593	1071004	2230249	2	4	2	702	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	2	Upon entering battlefield, trigger Matrix and gain 2 bonus Signal Orbs. Pinging Signal Orbs manually will increase Basic Attack DMG by 7.11% for 15s, stacking up to 6 times. Triggering this effect again will renew its duration.	(Only one Add-on of the same type can be equipped)	40000	4	5000	139	0
75	Scire: Overclock 1 III	5	916	1071004	2230249	3	4	3	703	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	3	Upon entering battlefield, trigger Matrix and gain 3 bonus Signal Orbs. Pinging Signal Orbs manually will increase Basic Attack DMG by 11.11% for 15s, stacking up to 6 times. Triggering this effect again will renew its duration.	(Only one Add-on of the same type can be equipped)	40000	4	5000	139	0
76	Scire: Overclock 1 IV	6	1450	1071004	2230249	4	4	3	703	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	4	Upon entering battlefield, trigger Matrix and gain 6 bonus Signal Orbs. Pinging Signal Orbs manually will increase Basic Attack DMG by 17.78% for 15s, stacking up to 6 times. Triggering this effect again will renew its duration.	(Only one Add-on of the same type can be equipped)	40000	4	5000	139	0
77	Scire: Overclock 2 I	3	290	1071004	2230250	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	1	Casting Signature Move also triggers Matrix. Every Signal Orb manually pinged within 10s will return a Blue Orb (the orbs pinged by Core Passive do not count).	(Only one Add-on of the same type can be equipped)	40000	4	5000	140	0
78	Scire: Overclock 2 II	4	593	1071004	2230250	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	2	Casting Signature Move also triggers Matrix and generates 3 bonus Blue Orbs. Every Signal Orb manually pinged within 10s will return a Blue Orb (the orbs pinged by Core Passive do not count).	(Only one Add-on of the same type can be equipped)	40000	4	5000	140	0
79	Scire: Overclock 2 III	5	916	1071004	2230250	3	4	3	303	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	3	Casting Signature Move also triggers Matrix and generates 6 bonus Blue Orbs. Every Signal Orb manually pinged within 10s will return a Blue Orb (the orbs pinged by Core Passive do not count).	(Only one Add-on of the same type can be equipped)	40000	4	5000	140	0
80	Scire: Overclock 2 IV	6	1450	1071004	2230250	4	4	3	303	1	3	103	6	400	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Kalienina4.png	4	Casting Signature Move also triggers Matrix and generates 9 bonus Blue Orbs. Every Signal Orb manually pinged within 10s will return a Blue Orb (the orbs pinged by Core Passive do not count).	(Only one Add-on of the same type can be equipped)	40000	4	5000	140	0
81	Arca: Core I	3	290	1571003	2230251	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadNuoan4.png	1	Each time Noan's Gear Level goes up, he has a <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) chance to go up another level.	(Only one Add-on of the same type can be equipped)	240000	4	2000	141	0
82	Arca: Core II	4	593	1571003	2230251	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadNuoan4.png	2	Each time Noan's Gear Level goes up, he has a <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Focus) chance to go up another level.	(Only one Add-on of the same type can be equipped)	400000	4	2000	141	0
