Id	StageId	MonsterWaveRandomGroupIds[1]	MonsterWaveRandomGroupIds[2]	MonsterWaveRandomGroupIds[3]	MonsterWaveRandomGroupIds[4]
320101	30180724	103101	103111	103121	
320102	30180725	103101	103111	103121	
320103	30180726	103101	103111	103121	
320104	30180727	103101	103111	103121	
330101	30180724	103101	103111	103121	
330102	30180725	103101	103111	103121	
330103	30180726	103101	103111	103121	
330104	30180727	103101	103111	103121	
340101	30180724	103101	103111	103121	
340102	30180725	103101	103111	103121	
340103	30180726	103101	103111	103121	
340104	30180727	103101	103111	103121	
350101	30180709	203501	203521		
360101	30180724	103101	103111	103121	
360102	30180725	103101	103111	103121	
360103	30180726	103101	103111	103121	
360104	30180727	103101	103111	103121	
370101	30180724	103101	103111	103121	
370102	30180725	103101	103111	103121	
370103	30180726	103101	103111	103121	
370104	30180727	103101	103111	103121	
380101	30180724	103101	103111	103121	
380102	30180725	103101	103111	103121	
380103	30180726	103101	103111	103121	
380104	30180727	103101	103111	103121	
390101	30180724	103101	103111	103121	
390102	30180725	103101	103111	103121	
390103	30180726	103101	103111	103121	
390104	30180727	103101	103111	103121	
400101	30180756	304001	304011		
400102	30180757	304002	304012		
410101	30180724	104101	104111	104121	
410102	30180725	104101	104111	104121	
410103	30180726	104101	104111	104121	
410104	30180727	104101	104111	104121	
410201	30180724	104101	104111	104121	
410202	30180725	104101	104111	104121	
410203	30180726	104101	104111	104121	
410204	30180727	104101	104111	104121	
420101	30180724	104101	104111	104121	
420102	30180725	104101	104111	104121	
420103	30180726	104101	104111	104121	
420104	30180727	104101	104111	104121	
420201	30180724	104101	104111	104121	
420202	30180725	104101	104111	104121	
420203	30180726	104101	104111	104121	
420204	30180727	104101	104111	104121	
430101	30180724	104101	104111	104121	
430102	30180725	104101	104111	104121	
430103	30180726	104101	104111	104121	
430104	30180727	104101	104111	104121	
430201	30180724	104101	104111	104121	
430202	30180725	104101	104111	104121	
430203	30180726	104101	104111	104121	
430204	30180727	104101	104111	104121	
440101	30180724	104101	104111	104121	
440102	30180725	104101	104111	104121	
440103	30180726	104101	104111	104121	
440104	30180727	104101	104111	104121	
440201	30180724	104101	104111	104121	
440202	30180725	104101	104111	104121	
440203	30180726	104101	104111	104121	
440204	30180727	104101	104111	104121	
450101	30180710	204501	204521		
460101	30180724	104101	104111	104121	
460102	30180725	104101	104111	104121	
460103	30180726	104101	104111	104121	
460104	30180727	104101	104111	104121	
460201	30180724	104101	104111	104121	
460202	30180725	104101	104111	104121	
460203	30180726	104101	104111	104121	
460204	30180727	104101	104111	104121	
470101	30180724	104101	104111	104121	
470102	30180725	104101	104111	104121	
470103	30180726	104101	104111	104121	
470104	30180727	104101	104111	104121	
470201	30180724	104101	104111	104121	
470202	30180725	104101	104111	104121	
470203	30180726	104101	104111	104121	
470204	30180727	104101	104111	104121	
480101	30180724	104101	104111	104121	
480102	30180725	104101	104111	104121	
480103	30180726	104101	104111	104121	
480104	30180727	104101	104111	104121	
480201	30180724	104101	104111	104121	
480202	30180725	104101	104111	104121	
480203	30180726	104101	104111	104121	
480204	30180727	104101	104111	104121	
490101	30180724	104101	104111	104121	
490102	30180725	104101	104111	104121	
490103	30180726	104101	104111	104121	
490104	30180727	104101	104111	104121	
490201	30180724	104101	104111	104121	
490202	30180725	104101	104111	104121	
490203	30180726	104101	104111	104121	
490204	30180727	104101	104111	104121	
500101	30180758	305001	305011		
500102	30180759	305002	305012		
510101	30180728	105101	105111	105121	
510102	30180729	105101	105111	105121	
510103	30180730	105101	105111	105121	
510104	30180731	105101	105111	105121	
510201	30180728	105101	105111	105121	
510202	30180729	105101	105111	105121	
510203	30180730	105101	105111	105121	
510204	30180731	105101	105111	105121	
520101	30180728	105101	105111	105121	
520102	30180729	105101	105111	105121	
520103	30180730	105101	105111	105121	
520104	30180731	105101	105111	105121	
520201	30180728	105101	105111	105121	
520202	30180729	105101	105111	105121	
520203	30180730	105101	105111	105121	
520204	30180731	105101	105111	105121	
530101	30180728	105101	105111	105121	
530102	30180729	105101	105111	105121	
530103	30180730	105101	105111	105121	
530104	30180731	105101	105111	105121	
530201	30180728	105101	105111	105121	
530202	30180729	105101	105111	105121	
530203	30180730	105101	105111	105121	
530204	30180731	105101	105111	105121	
540101	30180728	105101	105111	105121	
540102	30180729	105101	105111	105121	
540103	30180730	105101	105111	105121	
540104	30180731	105101	105111	105121	
540201	30180728	105101	105111	105121	
540202	30180729	105101	105111	105121	
540203	30180730	105101	105111	105121	
540204	30180731	105101	105111	105121	
550101	30180711	205501	205521		
560101	30180728	105101	105111	105121	
560102	30180729	105101	105111	105121	
560103	30180730	105101	105111	105121	
560104	30180731	105101	105111	105121	
560201	30180728	105101	105111	105121	
560202	30180729	105101	105111	105121	
560203	30180730	105101	105111	105121	
560204	30180731	105101	105111	105121	
570101	30180728	105101	105111	105121	
570102	30180729	105101	105111	105121	
570103	30180730	105101	105111	105121	
570104	30180731	105101	105111	105121	
570201	30180728	105101	105111	105121	
570202	30180729	105101	105111	105121	
570203	30180730	105101	105111	105121	
570204	30180731	105101	105111	105121	
580101	30180728	105101	105111	105121	
580102	30180729	105101	105111	105121	
580103	30180730	105101	105111	105121	
580104	30180731	105101	105111	105121	
580201	30180728	105101	105111	105121	
580202	30180729	105101	105111	105121	
580203	30180730	105101	105111	105121	
580204	30180731	105101	105111	105121	
590101	30180728	105101	105111	105121	
590102	30180729	105101	105111	105121	
590103	30180730	105101	105111	105121	
590104	30180731	105101	105111	105121	
590201	30180728	105101	105111	105121	
590202	30180729	105101	105111	105121	
590203	30180730	105101	105111	105121	
590204	30180731	105101	105111	105121	
600101	30180760	306001	306011		
600102	30180761	306002	306012		
600103	30180762	306003	306013		
610101	30180728	106101	106111	106121	
610102	30180729	106101	106111	106121	
610103	30180730	106101	106111	106121	
610104	30180731	106101	106111	106121	
610201	30180728	106101	106111	106121	
610202	30180729	106101	106111	106121	
610203	30180730	106101	106111	106121	
610204	30180731	106101	106111	106121	
620101	30180728	106101	106111	106121	
620102	30180729	106101	106111	106121	
620103	30180730	106101	106111	106121	
620104	30180731	106101	106111	106121	
620201	30180728	106101	106111	106121	
620202	30180729	106101	106111	106121	
620203	30180730	106101	106111	106121	
620204	30180731	106101	106111	106121	
630101	30180728	106101	106111	106121	
630102	30180729	106101	106111	106121	
630103	30180730	106101	106111	106121	
630104	30180731	106101	106111	106121	
630201	30180728	106101	106111	106121	
630202	30180729	106101	106111	106121	
630203	30180730	106101	106111	106121	
630204	30180731	106101	106111	106121	
640101	30180728	106101	106111	106121	
640102	30180729	106101	106111	106121	
640103	30180730	106101	106111	106121	
640104	30180731	106101	106111	106121	
640201	30180728	106101	106111	106121	
640202	30180729	106101	106111	106121	
640203	30180730	106101	106111	106121	
640204	30180731	106101	106111	106121	
650101	30180712	206501	206521		
660101	30180728	106101	106111	106121	
660102	30180729	106101	106111	106121	
660103	30180730	106101	106111	106121	
660104	30180731	106101	106111	106121	
660201	30180728	106101	106111	106121	
660202	30180729	106101	106111	106121	
660203	30180730	106101	106111	106121	
660204	30180731	106101	106111	106121	
670101	30180728	106101	106111	106121	
670102	30180729	106101	106111	106121	
670103	30180730	106101	106111	106121	
670104	30180731	106101	106111	106121	
670201	30180728	106101	106111	106121	
670202	30180729	106101	106111	106121	
670203	30180730	106101	106111	106121	
670204	30180731	106101	106111	106121	
680101	30180728	106101	106111	106121	
680102	30180729	106101	106111	106121	
680103	30180730	106101	106111	106121	
680104	30180731	106101	106111	106121	
680201	30180728	106101	106111	106121	
680202	30180729	106101	106111	106121	
680203	30180730	106101	106111	106121	
680204	30180731	106101	106111	106121	
690101	30180728	106101	106111	106121	
690102	30180729	106101	106111	106121	
690103	30180730	106101	106111	106121	
690104	30180731	106101	106111	106121	
690201	30180728	106101	106111	106121	
690202	30180729	106101	106111	106121	
690203	30180730	106101	106111	106121	
690204	30180731	106101	106111	106121	
700101	30180763	307001	307011		
700102	30180764	307002	307012		
700103	30180765	307003	307013		
710101	30180732	107101	107111	107121	
710102	30180733	107101	107111	107121	
710103	30180734	107101	107111	107121	
710104	30180735	107101	107111	107121	
710201	30180732	107101	107111	107121	
710202	30180733	107101	107111	107121	
710203	30180734	107101	107111	107121	
710204	30180735	107101	107111	107121	
710301	30180732	107101	107111	107121	
710302	30180733	107101	107111	107121	
710303	30180734	107101	107111	107121	
710304	30180735	107101	107111	107121	
720101	30180732	107101	107111	107121	
720102	30180733	107101	107111	107121	
720103	30180734	107101	107111	107121	
720104	30180735	107101	107111	107121	
720201	30180732	107101	107111	107121	
720202	30180733	107101	107111	107121	
720203	30180734	107101	107111	107121	
720204	30180735	107101	107111	107121	
720301	30180732	107101	107111	107121	
720302	30180733	107101	107111	107121	
720303	30180734	107101	107111	107121	
720304	30180735	107101	107111	107121	
730101	30180732	107101	107111	107121	
730102	30180733	107101	107111	107121	
730103	30180734	107101	107111	107121	
730104	30180735	107101	107111	107121	
730201	30180732	107101	107111	107121	
730202	30180733	107101	107111	107121	
730203	30180734	107101	107111	107121	
730204	30180735	107101	107111	107121	
730301	30180732	107101	107111	107121	
730302	30180733	107101	107111	107121	
730303	30180734	107101	107111	107121	
730304	30180735	107101	107111	107121	
740101	30180732	107101	107111	107121	
740102	30180733	107101	107111	107121	
740103	30180734	107101	107111	107121	
740104	30180735	107101	107111	107121	
740201	30180732	107101	107111	107121	
740202	30180733	107101	107111	107121	
740203	30180734	107101	107111	107121	
740204	30180735	107101	107111	107121	
740301	30180732	107101	107111	107121	
740302	30180733	107101	107111	107121	
740303	30180734	107101	107111	107121	
740304	30180735	107101	107111	107121	
750101	30180713	207501	207521		
760101	30180732	107101	107111	107121	
760102	30180733	107101	107111	107121	
760103	30180734	107101	107111	107121	
760104	30180735	107101	107111	107121	
760201	30180732	107101	107111	107121	
760202	30180733	107101	107111	107121	
760203	30180734	107101	107111	107121	
760204	30180735	107101	107111	107121	
760301	30180732	107101	107111	107121	
760302	30180733	107101	107111	107121	
760303	30180734	107101	107111	107121	
760304	30180735	107101	107111	107121	
770101	30180732	107101	107111	107121	
770102	30180733	107101	107111	107121	
770103	30180734	107101	107111	107121	
770104	30180735	107101	107111	107121	
770201	30180732	107101	107111	107121	
770202	30180733	107101	107111	107121	
770203	30180734	107101	107111	107121	
770204	30180735	107101	107111	107121	
770301	30180732	107101	107111	107121	
770302	30180733	107101	107111	107121	
770303	30180734	107101	107111	107121	
770304	30180735	107101	107111	107121	
780101	30180732	107101	107111	107121	
780102	30180733	107101	107111	107121	
780103	30180734	107101	107111	107121	
780104	30180735	107101	107111	107121	
780201	30180732	107101	107111	107121	
780202	30180733	107101	107111	107121	
780203	30180734	107101	107111	107121	
780204	30180735	107101	107111	107121	
780301	30180732	107101	107111	107121	
780302	30180733	107101	107111	107121	
780303	30180734	107101	107111	107121	
780304	30180735	107101	107111	107121	
790101	30180732	107101	107111	107121	
790102	30180733	107101	107111	107121	
790103	30180734	107101	107111	107121	
790104	30180735	107101	107111	107121	
790201	30180732	107101	107111	107121	
790202	30180733	107101	107111	107121	
790203	30180734	107101	107111	107121	
790204	30180735	107101	107111	107121	
790301	30180732	107101	107111	107121	
790302	30180733	107101	107111	107121	
790303	30180734	107101	107111	107121	
790304	30180735	107101	107111	107121	
800101	30180766	308001	308011		
800102	30180767	308003			
800103	30180768	308002			
810101	30180736	108101	108111	108121	
810102	30180737	108101	108111	108121	
810103	30180738	108101	108111	108121	
810104	30180739	108101	108111	108121	
810201	30180736	108101	108111	108121	
810202	30180737	108101	108111	108121	
810203	30180738	108101	108111	108121	
810204	30180739	108101	108111	108121	
810301	30180736	108101	108111	108121	
810302	30180737	108101	108111	108121	
810303	30180738	108101	108111	108121	
810304	30180739	108101	108111	108121	
820101	30180736	108101	108111	108121	
820102	30180737	108101	108111	108121	
820103	30180738	108101	108111	108121	
820104	30180739	108101	108111	108121	
820201	30180736	108101	108111	108121	
820202	30180737	108101	108111	108121	
820203	30180738	108101	108111	108121	
820204	30180739	108101	108111	108121	
820301	30180736	108101	108111	108121	
820302	30180737	108101	108111	108121	
820303	30180738	108101	108111	108121	
820304	30180739	108101	108111	108121	
830101	30180736	108101	108111	108121	
830102	30180737	108101	108111	108121	
830103	30180738	108101	108111	108121	
830104	30180739	108101	108111	108121	
830201	30180736	108101	108111	108121	
830202	30180737	108101	108111	108121	
830203	30180738	108101	108111	108121	
830204	30180739	108101	108111	108121	
830301	30180736	108101	108111	108121	
830302	30180737	108101	108111	108121	
830303	30180738	108101	108111	108121	
830304	30180739	108101	108111	108121	
840101	30180736	108101	108111	108121	
840102	30180737	108101	108111	108121	
840103	30180738	108101	108111	108121	
840104	30180739	108101	108111	108121	
840201	30180736	108101	108111	108121	
840202	30180737	108101	108111	108121	
840203	30180738	108101	108111	108121	
840204	30180739	108101	108111	108121	
840301	30180736	108101	108111	108121	
840302	30180737	108101	108111	108121	
840303	30180738	108101	108111	108121	
840304	30180739	108101	108111	108121	
850101	30180714	208501	208521		
860101	30180736	108101	108111	108121	
860102	30180737	108101	108111	108121	
860103	30180738	108101	108111	108121	
860104	30180739	108101	108111	108121	
860201	30180736	108101	108111	108121	
860202	30180737	108101	108111	108121	
860203	30180738	108101	108111	108121	
860204	30180739	108101	108111	108121	
860301	30180736	108101	108111	108121	
860302	30180737	108101	108111	108121	
860303	30180738	108101	108111	108121	
860304	30180739	108101	108111	108121	
870101	30180736	108101	108111	108121	
870102	30180737	108101	108111	108121	
870103	30180738	108101	108111	108121	
870104	30180739	108101	108111	108121	
870201	30180736	108101	108111	108121	
870202	30180737	108101	108111	108121	
870203	30180738	108101	108111	108121	
870204	30180739	108101	108111	108121	
870301	30180736	108101	108111	108121	
870302	30180737	108101	108111	108121	
870303	30180738	108101	108111	108121	
870304	30180739	108101	108111	108121	
880101	30180736	108101	108111	108121	
880102	30180737	108101	108111	108121	
880103	30180738	108101	108111	108121	
880104	30180739	108101	108111	108121	
880201	30180736	108101	108111	108121	
880202	30180737	108101	108111	108121	
880203	30180738	108101	108111	108121	
880204	30180739	108101	108111	108121	
880301	30180736	108101	108111	108121	
880302	30180737	108101	108111	108121	
880303	30180738	108101	108111	108121	
880304	30180739	108101	108111	108121	
890101	30180736	108101	108111	108121	
890102	30180737	108101	108111	108121	
890103	30180738	108101	108111	108121	
890104	30180739	108101	108111	108121	
890201	30180736	108101	108111	108121	
890202	30180737	108101	108111	108121	
890203	30180738	108101	108111	108121	
890204	30180739	108101	108111	108121	
890301	30180736	108101	108111	108121	
890302	30180737	108101	108111	108121	
890303	30180738	108101	108111	108121	
890304	30180739	108101	108111	108121	
900101	30180715	209001	209031	209011	209021
910101	30180716	309101	309111	309121	
910102	30180717	309102	309112	309122	
910103	30180718	309103	309113	309123	
920101	30180719	309201	309211	309221	
920102	30180720	309202	309212	309222	
920103	30180721	309203	309213	309223	
930101	30180722	309301	309311	309321	
930102	30180723	309302	309312	309322	
930103	30180724	309303	309313	309323	
940101	30180725	309401	309411	309421	
940102	30180726	309402	309412	309422	
940103	30180727	309403	309413	309423	
950101	30180728	309501	309511	309521	
950102	30180729	309502	309512	309522	
950103	30180730	309503	309513	309523	
960101	30180731	309601	309611	309621	
960102	30180732	309602	309612	309622	
960103	30180733	309603	309613	309623	
970101	30180734	309701	309711	309721	
970102	30180735	309702	309712	309722	
970103	30180716	309703	309713	309723	
980101	30180717	309801	309811	309821	
980102	30180718	309802	309812	309822	
980103	30180728	309803	309813	309823	
990101	30180704	309901	309911	309921	
990102	30180704	309902	309912	309922	
990103	30180704	309903	309913	309923	
1000101	30180736	310001	310011	310021	
1000102	30180737	310002	310012	310022	
1000103	30180738	310003	310013	310023	
1010101	30180722	310101	310111	310121	
1010102	30180723	310102	310112	310122	
1010103	30180724	310103	310113	310123	
1020101	30180725	310201	310211	310221	
1020102	30180726	310202	310212	310222	
1020103	30180716	310203	310213	310223	
1030101	30180717	310301	310311	310321	
1030102	30180718	310302	310312	310322	
1030103	30180719	310303	310313	310323	
1040101	30180720	310401	310411	310421	
1040102	30180721	310402	310412	310422	
1040103	30180731	310403	310413	310423	
1050101	30180732	310501	310511	310521	
1050102	30180733	310502	310512	310522	
1050103	30180734	310503	310513	310523	
1060101	30180734	310601	310611	310621	
1060102	30180735	310602	310612	310622	
1060103	30180738	310603	310613	310623	
1070101	30180739	310701	310711	310721	
1070102	30180716	310702	310712	310722	
1070103	30180717	310703	310713	310723	
1080101	30180718	310801	310811	310821	
1080102	30180719	310802	310812	310822	
1080103	30180721	310803	310813	310823	
1090101	30180722	310901	310911	310921	
1090102	30180723	310902	310912	310922	
1090103	30180724	310903	310913	310923	
1100101	30180716	311001	311011	311021	
1100102	30180717	311002	311012	311022	
1100103	30180718	311003	311013	311023	
1110101	30180719	311101	311111	311121	
1110102	30180720	311102	311112	311122	
1110103	30180721	311103	311113	311123	
1120101	30180722	311201	311211	311221	
1120102	30180723	311202	311212	311222	
1120103	30180724	311203	311213	311223	
1130101	30180725	311301	311311	311321	
1130102	30180726	311302	311312	311322	
1130103	30180727	311303	311313	311323	
1140101	30180728	311401	311411	311421	
1140102	30180729	311402	311412	311422	
1140103	30180730	311403	311413	311423	
1150101	30180731	311501	311511	311521	
1150102	30180732	311502	311512	311522	
1150103	30180733	311503	311513	311523	
1160101	30180734	311601	311611	311621	
1160102	30180735	311602	311612	311622	
1160103	30180736	311603	311613	311623	
1170101	30180737	311701	311711	311721	
1170102	30180738	311702	311712	311722	
1170103	30180739	311703	311713	311723	
1180101	30180736	311801	311811	311821	
1180102	30180737	311802	311812	311822	
1180103	30180738	311803	311813	311823	
1190101	30180736	311901	311911	311921	
1190102	30180737	311902	311912	311922	
1190103	30180738	311903	311913	311923	
1200101	30180736	312001	312011	312021	
1200102	30180737	312002	312012	312022	
1200103	30180738	312003	312013	312023	
6000101	30180705	600001			
